EntrezID	Gene	control	LPS_(1h)	LPS_(2h)	LPS_(4h)	LPS_(8h)	LPS_(24h)	CpG_(4h)	Pam2CSK4_(4h)	Pam3CSK4_(4h)	PolyIC_(4h)	R848_(4h)	FliC_(4h)
>SERIES	-	control	LPS	LPS	LPS	LPS	LPS	CpG	PAM2	PAM3	PolyIC	R848	FliC
93688	NP_444335	-0.138	-0.17	0.181	-0.791	-0.08	-0.328	0.511	-0.18	0.43	-0.181	0.228	0.085
13666	NP_034251	0.133	-0.099	-0.215	-0.454	-0.158	-0.109	-0.411	-0.242	-0.378	-0.705	-0.378	0.064
219150	NP_796312	-0.5	-0.365	-0.503	-0.143	-0.164	-0.169	-0.118	-0.448	-0.13	-0.648	0.055	-0.323
142688	NP_543133	0.023	-0.055	-0.477	-0.287	-0.926	-0.93	-0.138	-0.08	-0.449	-0.885	-0.63	-0.127
75227	AK015999	-0.046	0.46	0.489	0.163	0.036	0.171	0.156	-0.158	-0.192	0.273	-0.126	-0.276
51786	NP_058552	0.227	-0.033	0.316	0.94	0.64	0.06	0.628	0.267	0.407	0.549	0.144	0.101
217207	NP_659080	0.111	-0.037	0.085	0.422	0.155	0.072	0.1	-0.082	-0.004	-0.545	0.481	-0.152
57430	NP_065590	-0.261	-0.678	0.598	0.239	-0.254	0.933	-0.017	0.191	0.187	0.361	0.167	-0.144
67525	NP_835211	-0.278	0.116	0.044	0.099	-0.243	-0.751	0.425	0.23	-0.128	0.154	-0.068	0.409
66145	AK003349	-0.574	-0.348	0.045	0.308	0.083	-0.354	0.246	0.142	0.093	0.49	-0.13	0.089
54638	NP_613069	-0.017	-0.361	0.294	-0.232	-0.307	-0.687	-0.052	-0.097	-0.567	-0.763	-0.232	0.154
12663	NP_067325	-0.433	-0.186	-0.138	-0.099	-0.286	-0.263	0.018	-0.081	0.175	-0.432	-0.266	-0.106
74376	XP_355634	-0.243	0.017	-0.267	0.209	-0.379	-0.358	0.19	0.087	-0.227	0.264	-0.329	-0.062
108888	NP_849534	-0.445	0.479	-0.035	0.12	0.575	-0.032	0.445	-0.058	-0.543	0.827	0.239	-0.125
70507	AK017546	-0.346	0.427	-0.096	0.104	0.158	0.473	-0.137	-0.044	-0.009	0.858	-0.149	0.572
107271	NP_598912	0.259	0.463	0.183	-0.344	0.473	0.466	1.292	0.5	0.431	0.291	0.534	-0.397
75597	AK007894	0.125	0.006	0.015	0.082	0.072	0.169	0.485	-0.043	0.338	-0.004	-0.213	-0.201
18100	NP_035052	0.016	-0.42	-0.387	-0.132	-0.183	-0.255	-0.273	-0.126	-0.378	0.011	-0.316	0.044
20620	NP_690017	0.473	2.931	2.904	3.206	3.721	4.775	2.576	2.165	2.471	1.238	2.454	-0.227
26405	NP_036076	0.187	0.182	-0.383	-0.052	-0.023	0.205	0.296	0.126	-0.21	-0.004	-0.144	-0.165
109979	NP_859417	-0.352	0.244	0.287	0.219	0.196	0.353	0.154	0.356	0.055	0.415	-0.099	0.007
12798	NP_031751	-0.302	-0.172	-0.119	0.572	-0.033	0.403	0.397	-0.109	-0.302	0.421	-0.05	0.074
17773	NP_032665	-0.119	0.223	0.224	0.306	0.081	-0.239	0.354	-0.12	-0.052	0.289	0.529	-0.371
68041	NP_080800	0.016	0.116	-0.378	0.064	-0.347	-0.771	0.298	-0.209	0.32	0.078	-0.155	-0.626
66271	NP_079736	-0.138	0.178	-0.345	-0.199	0.39	0.954	0.236	-0.025	0.836	0.439	0.718	-0.5
15108	NP_058043	0.328	-0.513	0.297	-0.228	-0.754	-0.541	-0.361	-0.604	-0.404	-0.187	-0.754	-0.264
93971	NP_444384	-0.415	0.108	0.167	0.369	-0.201	0.254	-0.024	0.221	0.085	0.666	-0.266	-0.321
71174	AK016834	-0.074	-0.22	0.024	0.296	-0.514	0.232	-0.002	0.09	0.588	0.324	0.134	0.071
77735	AK020118	-0.13	0.309	-0.212	0.519	-0.12	0.302	0.17	0.444	0.261	-0.036	-0.251	0.074
16590	NP_066922	-0.099	0.033	0.063	-0.395	-0.929	0.393	0.05	0.225	-0.909	0.494	-0.279	-0.072
19092	NP_032952	-0.285	0.402	0.187	0.533	0.079	0.329	0.174	0.294	0.251	-0.038	0.068	0.065
69456	NP_848464	0.145	0.094	0.16	-0.299	-0.366	0.048	0.446	0.205	-0.009	-0.022	0.075	-0.167
19720	NP_033080	0.06	0.073	-0.122	0.156	-0.251	-0.11	0.269	-0.212	0.05	0.045	0.077	-0.063
72946	XP_149540	0.018	0.056	-0.023	-0.05	-0.156	0.005	0.169	0.179	-0.395	-0.186	-0.52	-0.234
22320	NP_058074	-0.214	-0.791	-0.512	0.266	0.075	-1.082	-0.268	-0.164	-0.745	-0.056	-0.482	-0.672
75844	AK016234	-0.065	-0.281	0.03	0.381	-0.102	0.457	0.438	0.391	0.033	0.996	-0.359	-0.177
14816	NP_058672	-0.541	0.384	0.18	0.457	0.7	0.11	0.297	0.085	0.243	0.332	0.129	0.054
66212	NP_077133	0.218	0.322	-0.215	0.006	-0.678	0.36	1.528	-0.567	-0.018	-0.459	-0.604	-0.179
75300	AK016066	-0.086	-0.226	0.045	0.206	0.189	0.544	0.313	0.538	0.65	0.621	-0.268	-0.219
27084	NP_113681	0.177	-0.105	0.235	0.077	-0.034	0.343	0.038	0.075	0.389	0.234	-0.345	-0.573
77824	AK020943	-0.191	0.217	-0.387	0.131	-0.746	0.052	-0.04	0.588	0.24	0.51	0.243	-0.309
224585	NP_663458	-0.328	0.059	-0.036	0.527	-0.287	0.092	0.177	0.247	0.58	0.497	-0.186	-0.071
69891	BC021945	-0.159	-0.139	0.104	0.349	0.324	0.161	0.304	0.64	0.531	0.277	0.217	0.021
73442	NP_780408	-0.267	0.087	0.007	0.181	-0.435	0.368	0.036	0.373	-0.314	0.386	0.096	0.326
94225	NP_444419	-0.639	-0.344	-0.105	0.814	1.049	1.806	0.134	-0.223	0.383	0.022	-0.047	0.095
20226	NP_035449	0.172	0.112	-1.373	0.402	-0.169	0.327	0.197	0.306	0.018	1.018	0.295	0.333
56195	NP_062423	-0.06	-0.31	0.363	-0.2	0.258	-0.38	0.057	0.383	0.037	-0.132	-0.179	-0.249
72832	NP_660105	-0.521	-0.118	0.219	0.688	-0.023	0.089	0.23	0.373	0.009	0.611	0.515	0.574
73230	NP_082748	-0.334	0.305	0.16	0.516	-0.53	-0.008	0.33	0.472	-0.139	0.22	-0.442	0.081
22305	NP_033515	-0.21	-0.398	-0.084	0.221	-0.756	-0.314	-0.165	0.233	0.268	0.426	-0.083	-0.159
57390	NP_065601	-0.071	0.101	0.506	0.216	-0.753	0.513	0.126	-0.073	0.306	0.263	0.115	-0.024
14729	NP_032174	-0.177	-0.372	0.089	-0.086	-0.106	0.323	-0.451	-0.192	0.675	0.184	-0.781	0.114
53375	NP_058084	0.011	0.041	0.074	0.055	0.206	0.249	-0.327	-0.008	0.02	0.4	-0.183	-0.356
78006	AK021397	-0.309	-0.153	0.093	0.234	-0.509	0.209	0.331	0.365	-0.004	0.306	-0.239	-0.118
66586	NP_079922	-0.242	0.208	0.267	0.134	0.356	-0.15	0.603	0.574	0.355	0.275	0.531	0.062
16410	NP_032428	-0.0615	0.2105	0.428	0.578	0.1275	0.899	0.2145	-0.0255	0.1985	-0.22	-0.2555	-0.3225
66054	NP_075638	0.223	0.405	0.187	0.98	0.902	1.599	1.427	0.507	0.834	-0.314	0.151	-0.133
11648	NP_031458	-0.391	-0.222	0.29	0.35	-0.325	0.094	0.427	-0.454	0.229	0.788	0.272	0.199
72561	AK012292	-0.311	-0.157	-0.27	-0.006	-0.306	-0.672	-0.66	-0.064	-0.072	0.563	-0.749	-0.12
70969	AK016439	-0.118	0.134	0.234	0.54	-0.464	-0.067	-0.085	0.03	0.213	0.017	-0.344	-0.221
54375	NP_061215	0.1765	0.189	0.2375	0.3135	-0.328	0.018	0.3395	0.1055	-0.1055	0.1835	0.00199999999999999	-0.0905
14610	NP_034419	-0.266	-0.511	0.047	0.595	-0.181	0.181	-0.024	0.265	-0.284	0.466	-0.274	0.045
15874	NP_034621	-0.23	-0.306	0.036	0.434	-0.615	0.563	-0.25	-0.633	0.432	0.508	-0.1	-0.187
105638	NP_758458	-0.006	0.084	-0.272	0.139	-0.106	-0.426	0.155	-0.031	-0.004	0.122	0.023	0.315
78247	AK019136	0.186	2.334	3.282	2.362	3.773	2.798	2.685	2.593	1.145	3.374	3.263	-0.331
18391	NP_035144	0.432	-0.155	-0.521	0.012	-1.183	-1.739	-0.479	-0.562	-0.476	-0.285	-0.839	0.005
18647	NP_035204	0.121	0.077	-0.175	0.115	-0.007	0.47	-0.722	0.055	0.281	0.146	-0.148	-0.024
228662	NP_663509	-0.115	-0.104	0.196	0.506	-0.212	0.224	0.112	-0.011	1.06	0.179	-0.278	-0.249
11820	NP_031497	-0.322	-0.406	0.444	0.513	0.999	0.188	0.624	0.229	0.372	0.353	0.679	-0.038
20962	NP_035647	0.007	-0.092	0.011	0.024	-0.145	0.37	-0.212	0.046	0.053	-0.036	-0.645	-0.29
72486	NP_080323	-0.024	-0.2595	-0.149	0.033	-0.4095	-0.251	-0.2995	0.226	-0.028	0.312	-0.211	0.052
77968	AK020949	-0.308	-0.278	-0.231	0.391	-1.07	0.29	-0.191	-0.008	-0.284	0.425	0.515	0.216
66124	NP_079644	0.01	-0.003	-0.374	-0.343	0.005	0.229	0.645	-0.322	-0.355	0.134	-0.336	-0.114
27275	NP_038773	0.184	0.055	0.074	0.549	-0.233	1.1	0.095	-0.077	0.168	0.454	0.023	0.316
99982	XP_131764	-0.026	-0.404	-0.049	0.317	0.307	0.169	0.567	0.354	-0.078	-0.518	0.464	-0.205
231050	NP_659157	0.026	0.269	-0.534	-0.304	-0.285	-0.629	-0.149	-0.164	-0.194	-0.91	0.116	0.256
217203	NP_659079	0.184	-0.387	-0.479	1.614	1.235	0.309	-0.517	-0.646	-0.392	1.191	-0.859	0.173
70394	NP_598488	-0.208	-0.512	-0.303	-0.078	-0.494	-0.128	0.105	-0.232	-0.044	-0.225	-0.211	-0.19
76582	NP_083941	-0.1165	-0.187	-0.0145	0.072	-0.4155	-0.942	-0.1655	-0.4795	-0.1825	-0.1875	-0.7795	-0.2325
15465	NP_032311	-0.507	-0.273	0.315	0.896	0.942	0.86	-0.007	0.486	1.039	0.918	0.807	-0.078
232784	NP_663551	-0.223	0.2	0.047	0.225	-0.075	0.287	0.017	0.233	0.245	-0.003	-0.172	-0.059
14467	NP_032121	0.182	-0.591	-0.064	-0.483	-0.666	-0.517	-0.611	-0.685	-0.542	-0.658	-0.354	-0.097
24109	NP_036038	0.101	0.092	-0.574	-0.095	-0.09	-0.137	-0.176	-0.163	-0.038	-0.134	-0.338	-0.188
29812	NP_038893	0.069	-0.254	0.427	-0.398	-0.784	-0.633	-0.674	-0.686	-0.449	-0.423	-0.997	0.138
54201	NP_059495	-0.409	-0.164	0.259	0.124	-0.28	-0.233	0.143	0.083	-0.175	0.109	-0.009	-0.048
71623	NP_082120	-0.348	0.017	0.114	0.174	-0.203	-0.663	0.433	0.514	0.136	0.219	0.38	-0.026
108907	NP_598612	0.777	-0.052	0.403	0.71	0.111	-0.01	0.001	0.021	-0.054	0.129	0.239	0.067
74144	NP_083059	-0.531	-0.076	-0.154	-0.102	-0.528	-0.287	-0.657	-0.315	-0.433	0.262	-0.359	-0.104
11798	NP_033818	0.127	-0.278	0.259	0.508	0.332	-0.271	0.194	0.12	0.634	-0.146	0.738	-0.122
12794	NP_034050	-0.32	-0.127	0.082	0.002	-0.327	-0.07	0.147	-0.189	0.274	-0.33	0.355	-0.195
14479	NP_081880	-0.365	-0.129	0.177	0.013	0.282	0.182	0.232	0.102	0.213	0.503	-0.172	0.049
77189	AK020767	-0.455	0.117	-0.114	0.218	0.822	0.287	0.063	0.053	-0.022	-0.27	0.5	-0.228
64059	NP_071316	-0.182	-0.242	0.025	0.338	-0.194	0.079	0.096	0.353	0.562	-0.316	1.292	0.505
20873	NP_035625	0.072	-0.032	0	0.302	0.048	-0.35	-0.039	0.598	0.284	0.524	0.055	-0.284
230753	NP_666265	0.319	-0.129	-0.202	-0.175	0.658	-0.468	-0.28	-0.481	-0.864	-0.25	-0.745	-0.017
77656	AK021252	-0.246	0.441	0.264	0.398	0.236	0.183	-0.108	0.709	-0.232	0.15	0.404	-0.099
70549	NP_081734	-0.143	-0.138	0.123	-0.018	-0.02	-0.364	-0.247	0.648	-0.23	0.359	-0.189	-0.182
20778	NP_058021	0.157	0.092	-0.115	-0.593	-0.393	-0.513	-0.933	-0.798	-1.11	-0.398	-0.758	-0.029
69288	XP_125637	-0.079	-0.361	0.078	0.462	0.441	0.983	0.141	0.177	0.167	0.08	0.468	-0.009
73951	AK015130	-0.179	-0.265	0.244	0.114	-0.051	-0.119	0.423	0.547	0.566	0.667	0.041	0.124
216971	NP_663405	0.294	0.098	0.344	-0.13	0.194	0.623	-0.062	0.279	0.521	-0.064	0.51	0.192
20459	NP_033210	-0.133	-0.39	0.06	0.171	-0.191	-0.311	0.175	0.214	0.402	0.974	0.221	-0.477
66241	NP_079715	0.008	0.032	0.4	-0.164	-0.327	-0.234	-0.494	-0.213	-0.581	0.105	-0.386	0.241
27493	U80889	-0.347	0.22	-0.117	0.346	-0.104	0.362	0.075	0.48	0.714	0.056	-0.266	0.062
67884	NP_080707	-0.23	0.232	-0.206	-0.186	-0.714	-0.504	0.169	-0.121	-0.538	-0.268	-0.52	-0.074
21881	NP_033414	0.323	-0.007	-0.397	0.105	-1.25	-1.093	0.426	-0.635	-1.504	-0.705	-0.853	-0.756
29815	NP_038895	-0.021	-0.337	1.191	1.064	0.575	1.15	1.143	-0.05	-0.139	0.751	0.142	-0.416
66282	NP_079741	0.076	-0.279	0.229	0.576	0.611	0.331	0.726	0.467	0.966	0.508	0.522	-0.147
20731	NP_035593	-0.156	-0.28	0.038	0.096	0.277	0.841	0.122	0.178	0.179	0.059	0.156	-0.186
108911	NP_776292	0.397	-0.138	-0.508	-0.397	-1.141	-2.588	-0.007	-0.426	-0.658	-0.48	-0.85	0.067
71986	NP_082314	0.022	0.357	0.929	-0.008	0.379	-0.08	0.472	0.431	0.474	0.538	0.555	-0.012
212167	NP_780646	0.151	0.063	0.402	0.835	1.701	0.288	0.953	0.904	1.599	1.547	1.256	0.047
75850	AK016309	0.459	0.047	-0.028	-0.235	-0.202	-0.011	-0.058	-0.07	-0.125	0.068	-0.291	0.137
11651	NP_033782	-0.415	1.481	0.561	0.63	0.45	0.614	1.326	0.926	0.472	0.759	0.804	0.212
71362	AK017418	-0.11	-0.164	0.051	0.453	-0.011	0.384	0.349	0.408	0.144	0.775	0.284	0.15
54339	AF198092	-0.819	-0.075	0.735	0.241	0.127	0.179	0.115	-0.286	0.07	0.477	-0.124	-0.013
19727	NP_035396	-0.352	0.096	-0.114	0.392	0.451	0.312	0.259	-0.032	0.59	0.411	0.044	-0.046
14870	NP_038569	0.335	0.043	-0.042	0.283	0.105	0.146	0.108	-0.168	-0.932	0.638	-0.089	0.048
67680	NP_075863	0.139	-0.14	-0.402	-0.472	-0.669	-0.35	-0.306	-0.169	-0.298	-0.023	-0.923	0.179
192156	NP_619597	0.317	-0.276	-0.321	-0.513	-1.166	-0.787	-0.545	-0.936	-0.647	-0.129	-0.682	0.392
71166	XP_129743	-0.426	0.078	0.036	0.551	0.127	0.132	0.184	0.339	0.647	0.226	0.3	0.077
74011	NP_082987	-0.325	-0.093	0.524	0.262	-0.415	-0.006	0.15	0.467	-0.152	0.65	-0.487	0.012
64051	NP_071313	-0.066	-0.259	-0.155	-0.566	-0.024	-0.1	-0.381	0.207	-0.429	0.226	0.196	0.181
27274	NP_038772	0.005	0.015	0.29	-0.331	0.181	0.48	0.585	-0.056	0.06	0.393	-0.017	0.123
170823	NP_573511	-0.191	-0.315	0.183	0.218	-0.252	0.308	0.269	-0.097	0.503	0.417	0.114	0.164
72462	NP_082520	0.1	-0.304	0.297	0.208	-0.344	-0.655	0.405	0.104	0.234	-0.045	-0.018	-0.279
