<name>	<tax_ID>	<ref_ID>	<data zip file name>	<promRangeStart>	<promRangeEnd>	<Gene DB>	<KEGG_DB_URL>	<WIKI_DB_URL>	<default PWM file>	<reference Genome>	<Genome sequences>	<Genome annotation>	
mouse	10090	0	mouseData.zip	-3000/-1000	200/200	NCBI_url=http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=Graphics&list_uids=	http://www.genome.jp/dbget-bin/show_pathway?mmu	http://www.wikipathways.org/index.php?title=Pathway:	mammals_non_redundant_332.txt	mm9/NCBI37/67_mm10/GRCm38/77	ftp://ftp.ensembl.org/pub/release-77/fasta/mus_musculus/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$knownGene$knownToLocusLink$chromInfo$$knownCanonical	endl
rat	10116	0	ratData.zip	-3000/-1000	200/200	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=Graphics&list_uids=	http://www.genome.jp/dbget-bin/show_pathway?rno	http://www.wikipathways.org/index.php?title=Pathway:	mammals_non_redundant_332.txt	rn4/RGSC3.4/69_rn5/RGSC5.0/77	ftp://ftp.ensembl.org/pub/release-77/fasta/rattus_norvegicus/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$refGene$refLink$chromInfo$	endl
human	9606	0	humanData.zip	-3000/-1000	200/200	NCBI_url=http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=Graphics&list_uids=;UCSC_url=http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=169574858&clade=mammal&org=Human&db=hg19&position=	http://www.genome.jp/dbget-bin/show_pathway?hsa	http://www.wikipathways.org/index.php?title=Pathway:	mammals_non_redundant_332.txt	hg19/GRCh37/75_hg38/GRCh38/77	ftp://ftp.ensembl.org/pub/release-77/fasta/homo_sapiens/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$knownGene$knownToLocusLink$chromInfo$cytoBand$knownCanonical	endl
s.cerevisiae	4932	1	s.cerevisiaeData.zip	-600/-600	0/0	http://db.yeastgenome.org/cgi-bin/locus.pl?locus=	http://www.genome.jp/dbget-bin/show_pathway?sce	http://www.wikipathways.org/index.php?title=Pathway:	yeast_non_redundant_101.txt	sacCer3/R64-1-1/77	ftp://ftp.ensembl.org/pub/release-77/fasta/saccharomyces_cerevisiae/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$ensGene$ensGtp$chromInfo$sgdOther$	endl
s.pombe	4896	1	s.pombeData.zip	-500/-500	0/0	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=Graphics&list_uids=	http://www.genome.jp/dbget-bin/show_pathway?spo	http://www.wikipathways.org/index.php?title=Pathway:	yeast_non_redundant_101.txt	 	 	 	endl
zebrafish	7955	0	zebrafishData.zip	-3000/-1000	200/200	http://www.ensembl.org/Danio_rerio/searchview?species=Danio_rerio;idx=;q=	http://www.genome.jp/dbget-bin/show_pathway?dre	http://www.wikipathways.org/index.php?title=Pathway:	all_orgs_non_redundant_570.txt	danRer6/zv8/59_danRer7/zv9/77	ftp://ftp.ensembl.org/pub/release-77/fasta/danio_rerio/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$refGene$refLink$chromInfo$$	endl
fly	7227	2	flyData.zip	-3000/-1000	200/200	http://flybase.bio.indiana.edu/.bin/fbidq.html?	http://www.genome.jp/dbget-bin/show_pathway?dme	http://www.wikipathways.org/index.php?title=Pathway:	insects_non_redundant_73.txt	dm3/BDGP5/77	ftp://ftp.ensembl.org/pub/release-77/fasta/drosophila_melanogaster/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$ensGene$ensGtp$chromInfo$$	endl
c.elegans	6239	3	c.elegansData.zip	-3000/-1000	200/200	http://www.wormbase.org/db/gene/gene?name=	http://www.genome.jp/dbget-bin/show_pathway?cel	http://www.wikipathways.org/index.php?title=Pathway:	all_orgs_non_redundant_570.txt	ce6/WS190/54_ce10/WBcel235/77	ftp://ftp.ensembl.org/pub/release-77/fasta/caenorhabditis_elegans/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$ensGene$ensGtp$chromInfo$$	endl
arabidopsis	3702	4	arabidopsisData.zip	-1000/-1000	200/200	http://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&method=1&sub_type=gene&name=	 	http://www.wikipathways.org/index.php?title=Pathway:	plants_non_redundant_60.txt	TAIR10/23	ftp://ftp.ensemblgenomes.org/pub/plants/release-23/fasta/arabidopsis_thaliana/dna/CHECKSUMS	 	endl
chicken	9031	0	chickenData.zip	-3000/-1000	200/200	http://www.ensembl.org/Gallus_gallus/searchview?species=Gallus_gallus;idx=;q=	http://www.genome.jp/dbget-bin/show_pathway?ath	http://www.wikipathways.org/index.php?title=Pathway:	all_orgs_non_redundant_570.txt	galGal3/WASHUC2/70_galGal4/77	ftp://ftp.ensembl.org/pub/release-77/fasta/gallus_gallus/dna/CHECKSUMS	http://hgdownload.cse.ucsc.edu/goldenpath/#/database/$refGene$refLink$chromInfo$$	endl
