GeneId	GeneName	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52	Cond53	Cond54	Cond55	Cond56	Cond57	Cond58	Cond59	Cond60	Cond61	Cond62	Cond63	Cond64	Cond65	Cond66	Cond67	Cond68	Cond69	Cond70	Cond71	Cond72
YGL255W	ZRT1	-0.421601	0.679767876	0.660445615	-0.073800302	0.022811003	0.158066829	0.061455524	-0.479567783	0.196711351	-0.382956478	-0.170411607	-0.460245522	0.293322656	-0.421601	0.389933961	0.138744568	-0.286345173	-0.170411607	-1.600258919	-2.566371968	-2.237893531	0.061455524	0.834345963	0.776379181	1.819781273	1.433336054	2.34148232	0.505867527	0.138744568	-0.151089346	0.158066829	-0.421601	-0.112444824	1.858425795	1.935714839	1.259435705	1.935714839	-2.0060264	-1.155846917	-1.928737356	-1.870770573	-1.426358571	-1.542292136	-0.556856827	-1.039913351	-0.440923261	-0.093122563	0.447900744	1.182146661	0.679767876	0.351289439	-1.349069527	-0.981946568	0.100100046	0.641123354	1.182146661	1.665203185	0.679767876	-0.382956478	-0.382956478	0.196711351	0.254678134	0.641123354	0.331967178	-0.460245522	-0.054478041	-0.015833519	0.409256222	-0.305667434	0.254678134	-0.344311956	-0.382956478
YML109W	ZDS2	0.016602406	-1.274432295	0.128866293	0.100800321	1.055043361	-0.039529538	1.026977389	-0.292123284	-0.207925368	-0.039529538	0.044668378	0.128866293	0.24113018	-0.600848973	0.353394067	0.100800321	0.128866293	-0.600848973	-0.741178832	1.84089057	2.654803751	1.223439192	0.213064208	0.297262123	-1.077970493	-0.628914945	-1.134102436	1.026977389	-0.404387171	1.251505163	0.381460039	0.690185728	0.690185728	0.325328095	-0.516651058	-0.909574662	-1.134102436	-2.032213533	0.325328095	-0.011463566	-0.348255227	-1.583157985	-1.246366323	-0.264057312	2.935463469	1.251505163	0.213064208	0.774383643	0.493723926	-0.909574662	-1.021838549	1.167307248	0.493723926	0.128866293	-0.264057312	-0.656980916	-1.863817702	-2.116411448	-2.677730883	0.128866293	-0.292123284	-0.404387171	0.7182517	-0.488585086	0.577921841	-0.011463566	1.36376905	1.223439192	-0.769244803	0.7182517	0.690185728	-0.544717029
YPR107C	YTH1	-0.047770822	0.374623815	-0.108112913	-0.771875915	0.133255451	0.676334271	0.857360544	-0.047770822	-0.560678596	-1.314954735	-1.314954735	-0.379652323	0.434965906	-0.379652323	0.676334271	-0.439994414	1.189242045	1.249584136	-0.983073234	0.374623815	1.068557863	0.766847407	-1.133928461	0.61599218	-1.254612644	0.012571269	-2.974362239	0.585821134	0.978044726	0.736676362	-1.194270553	2.365912821	1.309926227	0.314281724	-0.922731143	0.706505316	-2.310599237	-1.767520418	-0.621020687	1.008215772	1.159070999	1.460781455	0.947873681	-1.284783689	-0.439994414	0.314281724	0.042742315	-0.168455004	0.646163225	0.676334271	0.61599218	0.193597542	-1.435638917	-0.319310232	0.978044726	-0.590849642	-2.15974401	1.279755182	1.853005047	-0.19862605	-0.590849642	-0.711533824	1.008215772	0.253939633	-1.103757416	0.193597542	-0.319310232	-0.500336505	-0.168455004	-0.168455004	-0.258968141	0.88753159
YBR054W	YRO2	-1.269196391	-1.029045702	-0.347017746	-1.336438584	-1.144318033	-1.739891742	-0.443078021	0.383040349	1.189946664	1.506945573	1.36285516	1.103492416	0.315798156	0.229343908	-0.279775553	0.229343908	0.652009121	1.113098444	0.325404184	-1.39407475	-3.00788738	-1.50934708	-0.164503222	0.123677605	0.96900803	1.334037077	2.083307227	1.00743214	0.757675424	-0.414259939	-0.673622683	-1.576589273	-1.307620502	-0.471896104	0.748069396	0.61358501	1.478127491	0.920977892	1.410885298	0.210131853	-0.106867057	-0.692834738	1.113098444	0.623191038	-0.039624864	-1.211560226	-1.78792188	-2.431525726	-0.942591454	0.690433231	1.017038168	1.103492416	0.450282542	-0.068442946	-0.865743234	-0.318199663	0.229343908	0.89215981	0.258161991	-0.241351442	0.238949936	0.210131853	-0.385441856	-0.596774462	-0.702440765	-0.126079112	0.114071577	0.171707743	-0.404653911	0.402252404	0.872947755	0.5751609
YPL283C	YRF1-7	-0.846425892	-1.09337982	2.314584384	1.524331815	0.166085212	-0.574776572	-0.525385786	-1.513201497	-0.475995	0.067303641	1.721894957	1.870067314	0.585906889	-0.722948928	-0.179650287	-0.599471964	-0.599471964	-0.722948928	0.017912855	1.74659035	-0.179650287	-0.599471964	-0.253736465	-1.167465998	1.30207328	0.882251603	1.697199565	2.512147527	-0.03147793	1.771285743	0.585906889	0.264866783	-2.501017209	-1.266247569	-1.019293642	-1.068684427	-0.401908822	-0.574776572	0.462429925	0.85755621	-0.327822644	-0.599471964	-0.574776572	0.091999034	1.450245637	-0.303127251	0.017912855	-1.340333748	-1.142770606	-0.945207463	-0.673558143	-0.068521019	0.536516104	-0.377213429	-0.105564109	-0.105564109	0.709383853	0.067303641	-2.501017209	-0.969902856	-0.253736465	0.363648354	0.561211497	0.783470032	0.166085212	0.437734533	0.659993068	0.41303914	-0.722948928	0.85755621	-0.03147793	0.511820711
YNL339C	YRF1-6	-1.444765266	-0.529314231	2.037928889	1.759313357	0.784158994	0.147323491	-1.006940858	-1.066644186	-0.648720887	0.107521272	1.779214466	1.022972307	0.724455665	-0.887534201	0.067719053	-0.648720887	-0.529314231	-1.146248624	0.92346676	1.600104481	0.226927929	-0.529314231	-0.529314231	-0.887534201	-2.161205206	0.286631257	-0.051687604	2.73446772	1.620005591	1.699610029	0.784158994	0.406037914	-1.842787455	-0.887534201	-0.608918669	-1.066644186	-0.529314231	-2.300512972	0.147323491	1.26178562	0.605049008	-0.230797589	-0.350204246	-0.071588713	-0.489512012	-0.131292042	0.306532367	-1.265655281	-0.807929763	-0.748226435	-0.350204246	0.326433476	1.003071198	-0.17109426	0.246829038	0.027916834	0.92346676	-0.051687604	-2.04179855	-0.807929763	-0.250698698	-0.290500917	0.804060103	-0.19099537	-0.071588713	1.082675635	0.704554556	0.664752337	-0.847731982	0.804060103	0.505543461	0.346334585
YLR467W	YRF1-5	-1.0894989	-0.834015917	2.316940868	1.571782169	0.52855999	-0.49337194	-0.514662189	-1.323691634	-0.79143542	0.507269742	1.635652915	1.55049192	0.613720984	-0.49337194	-0.195308461	-0.79143542	-0.49337194	-1.004337906	0.911784464	1.912426146	0.166625765	-0.770145172	-1.323691634	-0.770145172	-2.026269836	0.294367256	0.400818499	3.040809319	1.507911423	1.99758714	0.613720984	0.336947753	-1.685625859	-0.621113432	-1.068208651	-1.004337906	-1.515303871	-0.621113432	-0.174018212	0.996945458	0.592430736	-0.237888958	-0.429501195	0.251786759	0.400818499	-0.301759703	0.273077007	-1.004337906	-1.217240391	-0.046276721	-0.557242686	0.592430736	0.049529398	-0.49337194	0.08146477	-0.323049952	0.315657505	0.187916013	-2.366913813	-0.983047657	-0.152727964	0.507269742	0.720172227	-0.067566969	-0.195308461	0.251786759	0.762752724	0.635011233	-0.301759703	0.592430736	0.847913718	0.315657505
YLR466W	YRF1-4	-0.860666771	-0.156727271	2.189737731	0.58987523	0.61120673	-0.860666771	-0.263384771	-1.500611772	-0.647351771	0.58987523	0.90984773	1.86976523	0.73919573	-0.263384771	-0.818003771	-0.604688771	-0.647351771	-0.263384771	1.29381473	2.275063731	0.56854373	-0.348710771	-2.716507273	-0.135395771	-1.415285772	0.56854373	-0.348710771	0.69653273	1.57112423	2.083080231	-0.540694271	0.65386973	-0.626020271	-0.220721771	-1.351291272	-0.626020271	-1.052650272	-1.671263772	0.52588073	1.37914073	0.63253823	-0.263384771	-0.455368271	0.227239729	0.50454923	-0.114064271	0.077919229	-1.223302272	-1.116644772	0.163245229	-0.647351771	0.52588073	0.035256229	-0.455368271	0.163245229	-0.156727271	0.248571229	0.184576729	-2.780501773	-0.839335271	-1.137976272	-0.370042271	0.205908229	1.40047223	0.397891729	1.01650523	0.90984773	0.84585323	-0.881998271	0.63253823	0.141913729	0.95251073
YGR296W	YRF1-3	-1.174354708	-0.495664094	2.241721382	2.422705545	0.341387663	-0.970747524	-0.970747524	-1.717307199	-0.382548992	0.069911417	1.223685461	1.65352285	0.477125786	-0.450418053	-0.29205691	-0.224187849	-0.925501483	-0.337302951	0.635486929	1.540407747	-0.020580664	0.137780479	-1.513700015	-0.812386381	-0.744517319	-0.359925971	-0.540910135	2.64893575	2.105983259	1.630899829	0.522371827	0.884340154	-1.083862626	-0.744517319	-1.649438138	-0.744517319	-2.509112915	-0.020580664	0.20564954	1.20106244	0.318764642	-0.586156176	-0.654025237	-0.563533155	0.522371827	0.002042356	-0.473041074	-0.948124503	-0.359925971	-0.563533155	-0.178941808	1.155816399	0.974832236	0.307453132	-0.359925971	0.115157458	-0.29205691	-0.020580664	-1.672061158	-0.857632421	-0.676648258	0.228272561	-0.178941808	0.318764642	0.409256724	0.929586195	1.020078277	0.612863908	-1.038616585	0.386633704	0.296141622	0.567617868
YER190W	YRF1-2	-0.950147496	-0.473346207	2.242348091	1.537511403	0.21075999	-0.680651116	-1.53060124	-0.473346207	0.003455082	0.003455082	0.749752752	1.496050421	0.293681953	-0.058736391	0.21075999	0.604639316	-1.30256584	-0.722112097	0.70829177	1.496050421	-0.0380059	-0.659920625	-1.344026822	-0.970877987	-1.447679276	0.169299008	0.335142935	2.636227417	2.242348091	1.848468766	1.247284532	0.563178334	-2.131785474	-0.78430357	-2.857352653	-0.825764551	-0.53553768	-0.141658354	0.272951463	0.542447843	0.397334408	-0.141658354	-0.431885226	-0.245310808	1.122901587	0.438795389	-0.245310808	-1.55133173	-0.369693753	0.024185573	-0.348963262	1.475319931	0.252220972	-0.28677179	-0.825764551	-0.058736391	-0.680651116	-0.369693753	-1.80009762	-1.074530441	0.003455082	0.148568518	0.314412444	0.583908825	0.70829177	0.542447843	0.397334408	0.314412444	-0.328232771	-0.328232771	0.272951463	0.604639316
