AffyID	Symbol	C_0	C_0.5	C_2	C_4
200000_s_at	PRPF8	998.53	1015.17	1147.53	834.87
200001_at	CAPNS1	812.33	656.5	869.67	767.6
200002_at	RPL35	3585.37	3633.1	3461.1	3107.07
200003_s_at	RPL28	3823.2	3826.9	4042.93	3683.8
200004_at	EIF4G2	1441.53	1620.57	1408.37	1830.9
200005_at	EIF3S7	1552.13	1717.03	1772.37	1539.57
200006_at	PARK7	2084.27	2329.63	2100.07	2285.5
200007_at	SRP14	1309.6	1424	1283.6	1529.9
200008_s_at	GDI2	564.73	567.63	761.93	426.7
200009_at	GDI2	1354.07	1310.97	1310.53	1363.43
200010_at	RPL11	3934.63	3699.03	3946.17	3523
200011_s_at	ARF3	316.43	302.23	339.5	301.37
200012_x_at	RPL21	3066.47	3233.7	3100.73	2966.4
200013_at	DPP7	3103.13	3206.33	3143.53	2675.87
200014_s_at	HNRPC	718.9	794.63	701.93	864.87
200015_s_at	NEDD5	833	878.27	733.8	818.87
200016_x_at	HNRPA1	4133.9	4554.53	4436.57	4918
200017_at	RPS27A	3269.07	2974.5	2582	2561.57
200018_at	RPS13	4374.8	4562.7	4954.07	4607.87
200019_s_at	FAU	2838.43	2855.1	2823.4	2672.73
200020_at	TARDBP	756.63	792.7	742.23	753.8
200021_at	CFL1	3887.7	4381.57	5123.8	4694.7
200022_at	RPL18	3855.1	3996.33	4088.8	3399.1
200023_s_at	EIF3S5	1570.43	1642.47	1646.17	1821.2
200024_at	RPS5	3767.27	3969.17	5016.73	4486.2
200025_s_at	RPL27	4851.7	5104.43	5274.3	4703.87
200026_at	RPL34	4019.93	3877.77	3356.43	3762.4
200027_at	NARS	729.53	798.63	639.03	742.33
200028_s_at	STARD7	888.73	1065.63	1034.67	1170
200029_at	RPL19	5113.67	5969.47	5664.57	5911.57
200030_s_at	SLC25A3	2718.07	2889.93	3118	3237.4
200031_s_at	RPS11	5934.13	6593.37	6883.27	5757.87
200032_s_at	RPL9	3726.33	3980.77	3831.93	3922.93
200033_at	DDX5	1155.77	1207.27	1222.13	1589.87
200034_s_at	RPL6	3466.33	3701.23	3510.97	3677.53
200035_at	HSA011916	363.9	411.63	434.77	392.93
200036_s_at	RPL10A	2708.83	2834.73	2997	2935.2
200037_s_at	CBX3	794.67	890	696.73	823.8
200038_s_at	RPL17	4689.3	4757.7	4714.17	4765.67
200039_s_at	PSMB2	1182.9	1149.9	1143.8	1248.53
200040_at	KHDRBS1	973.33	1015.73	889.5	1096.6
200041_s_at	BAT1	3122.03	3114.6	3410.27	3317.27
200042_at	HSPC117	502.33	541.8	524.57	488.67
200043_at	ERH	1304.8	1486.67	1284.13	1532.17
200044_at	SFRS9	819.47	883.23	859.47	882.97
200045_at	ABCF1	652.03	677.47	797.43	653.23
200046_at	DAD1	545.07	498.23	568.37	532.53
200047_s_at	YY1	389.17	489.07	371.17	503.37
200048_s_at	JTB	1049.13	1049.73	995.33	971.53
200049_at	HBOA	240.53	245.4	251.2	269.63
200050_at	ZNF146	300.9	334.03	288.53	427.03
200051_at	SART1	118.73	116.43	156.73	106.5
200052_s_at	ILF2	523.3	534.33	530.87	513.8
200053_at	SPAG7	263.13	244.7	284.17	198.27
200054_at	ZNF259	94.73	103.33	108.73	110.83
200055_at	TAF10	1135.93	1113.13	1144.03	1132.23
200056_s_at	C1D	87.53	105.5	66.83	123.33
200057_s_at	NONO	2831.1	2858.6	3372.2	3332.93
200058_s_at	U5-200KD	1158.43	1082.87	1139.4	1024.27
200059_s_at	ARHA	1355.33	1314.97	1112	1270.47
200060_s_at	RNPS1	1025.5	1021.87	1129.37	1041.53
200061_s_at	RPS24	5656.73	5543.27	6051.8	5872.87
200062_s_at	RPL30	4756.37	4904.13	4602.27	5040.6
200063_s_at	NPM1	2905.47	2867.17	3134.73	3180.1
200064_at	HSPCB	2611.03	2852.3	2796.3	2570.17
200065_s_at	ARF1	1771.03	1412.03	1901.73	1552.4
200066_at	IK	494.07	479.5	435.97	544.33
200067_x_at	SNX3	662.43	781.4	657.13	852.37
200068_s_at	CANX	1856.9	1901.97	1836.07	1994.43
200069_at	SART3	123.63	106.3	96.2	139.3
200070_at	CGI-57	101.07	82.3	76.37	53.47
200071_at	SPF30	266.8	282.33	221.77	349.93
200072_s_at	HNRPM	1231.47	1119.43	1414.8	1139.67
200073_s_at	HNRPD	530	490.3	551.23	676.8
200074_s_at	RPL14	1650.93	1651.5	1704.33	1510.93
200075_s_at	GUK1	370.73	380	393.63	331.23
200076_s_at	MGC2749	376.67	399.53	411.7	316.73
200077_s_at	OAZ1	2416.9	2414.23	2444.17	2219
200078_s_at	ATP6V0B	759.87	721.7	722.3	670.63
200079_s_at	KARS	628.57	723.03	692.87	725.73
200080_s_at	H3F3A	2574.7	2606.13	2869.17	2669.53
200081_s_at	RPS6	4839.43	4965.27	5086.6	4746.97
200082_s_at	RPS7	3831.87	3965.77	4299.4	4220.43
200083_at	USP22	681.9	556.73	761.53	546.43
200084_at	SMAP	796.83	775.27	648.1	895.47
200085_s_at	TCEB2	1054.77	1166.6	1084.17	938.03
200086_s_at	COX4I1	855.27	859.23	1038.4	941.07
200087_s_at	RNP24	992.2	1107.53	1021.43	1052.7
200088_x_at	---	3727.6	3789.77	3715.93	3569.73
200089_s_at	RPL4	2454.4	2664.77	2399.7	2538.43
200090_at	FNTA	436.63	448.53	427.43	470.83
200091_s_at	RPS25	1290.67	1380.47	1173.97	1327.07
200092_s_at	RPL37	3496.6	3418.63	3504.33	3443.53
200093_s_at	HINT1	850.17	894.27	869.1	1015.07
