TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr4q32.3	human chr4q32.3	1.407899983038e-05	-11.1708262445316	18	6	0.00714285714285714	840	26250	23022,57630,55601,84869,91351,50859	PALLD,SH3RF1,DDX60,CBR4,DDX60L,SPOCK3
human chr10p12	human chr10p12	1.48345981864643e-05	-11.118548390098	6	4	0.00476190476190476	840	26250	10529,8829,783,8028	NEBL,NRP1,CACNB2,MLLT10
human chr6p25	human chr6p25	0.00331052619598792	-5.71064813063025	10	3	0.00357142857142857	840	26250	2762,6239,2296	GMDS,RREB1,FOXC1
human chr6q12	human chr6q12	0.00444434636402351	-5.41612247054263	11	3	0.00357142857142857	840	26250	7803,4199,23469	PTP4A1,ME1,PHF3
human chr5q14.3	human chr5q14.3	0.00480751988792691	-5.33757394365563	22	4	0.00476190476190476	840	26250	1462,57561,100505994,4208	VCAN,ARRDC3,LUCAT1,MEF2C
human chr10q24.33	human chr10q24.33	0.00578592145329097	-5.15232764782435	12	3	0.00357142857142857	840	26250	9644,22984,9748	SH3PXD2A,PDCD11,SLK
human chr1q42.12	human chr1q42.12	0.00578592145329097	-5.15232764782435	12	3	0.00357142857142857	840	26250	55740,149111,127602	ENAH,CNIH3,DNAH14
human chr8p11.22	human chr8p11.22	0.00578592145329097	-5.15232764782435	12	3	0.00357142857142857	840	26250	8754,203102,59339	ADAM9,ADAM32,PLEKHA2
human chr11q22-q23	human chr11q22-q23	0.00587880515348697	-5.13640174290986	4	2	0.00238095238095238	840	26250	472,1662	ATM,DDX10
human chr12q24.21	human chr12q24.21	0.00587880515348697	-5.13640174290986	4	2	0.00238095238095238	840	26250	23389,6926	MED13L,TBX3
human chr20q13.2-q13.3	human chr20q13.2-q13.3	0.00587880515348697	-5.13640174290986	4	2	0.00238095238095238	840	26250	7165,3911	TPD52L2,LAMA5
human chr3p21.31	human chr3p21.31	0.00627739369646107	-5.0708004011323	86	8	0.00952380952380952	840	26250	64866,84315,1951,23276,3373,51246,8927,788	CDCP1,MON1A,CELSR3,KLHL18,HYAL1,SHISA5,BSN,SLC25A20
human chr4q26	human chr4q26	0.00663932654131815	-5.01474474513789	24	4	0.00476190476190476	840	26250	817,79642,2247,9871	CAMK2D,ARSJ,FGF2,SEC24D
human chr9p13.2	human chr9p13.2	0.00734445558781359	-4.91380959221039	13	3	0.00357142857142857	840	26250	158234,84186,64425	TRMT10B,ZCCHC7,POLR1E
human chr2q33	human chr2q33	0.00770705603288562	-4.86561900182402	25	4	0.00476190476190476	840	26250	23314,65072,1195,617	SATB2,CFLAR-AS1,CLK1,BCS1L
human chr6q23.1	human chr6q23.1	0.00959059067672807	-4.64697279899836	5	2	0.00238095238095238	840	26250	154075,114801	SAMD3,TMEM200A
human chr2p25	human chr2p25	0.0111415668655165	-4.49707240217283	15	3	0.00357142857142857	840	26250	3398,7837,4953	ID2,PXDN,ODC1
human chr1p21.2	human chr1p21.2	0.0111415668655165	-4.49707240217283	15	3	0.00357142857142857	840	26250	54482,391059,148867	TRMT13,FRRS1,SLC30A7
human chr17q22	human chr17q22	0.0128370997923796	-4.35541587910107	44	5	0.00595238095238095	840	26250	124540,8714,54894,6827,56155	MSI2,ABCC3,RNF43,SUPT4H1,TEX14
human chr7p21.3	human chr7p21.3	0.0133912361015133	-4.31315480826626	16	3	0.00357142857142857	840	26250	2115,10124,221806	ETV1,ARL4A,VWDE
human chr14q22.2	human chr14q22.2	0.0140821764442119	-4.26284536319435	6	2	0.00238095238095238	840	26250	23034,2764	SAMD4A,GMFB
human chr6q22.31	human chr6q22.31	0.0186111426966061	-3.9839948079236	18	3	0.00357142857142857	840	26250	57515,5570,79632	SERINC1,PKIB,FAM184A
