TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Type 2 diabetes(PMID:18372903)	Type 2 diabetes(PMID:18372903)	0.000101221572483305	-9.19819865699665	8	5	0.0280898876404494	178	2389	54901,10644,63892,221895,6934	CDKAL1,IGF2BP2,THADA,JAZF1,TCF7L2
Type 2 diabetes(PMID:17463246)	Type 2 diabetes(PMID:17463246)	0.00039727163159418	-7.83089030067773	6	4	0.0224719101123595	178	2389	54901,10644,5468,6934	CDKAL1,IGF2BP2,PPARG,TCF7L2
Type 2 diabetes(PMID:17463248)	Type 2 diabetes(PMID:17463248)	0.000873109176000469	-7.04344995152404	7	4	0.0224719101123595	178	2389	54901,10644,5468,6934	CDKAL1,IGF2BP2,PPARG,TCF7L2
Type 2 diabetes(PMID:17463249)	Type 2 diabetes(PMID:17463249)	0.00164499677952172	-6.41001685250427	8	4	0.0224719101123595	178	2389	54901,10644,5468,6934	CDKAL1,IGF2BP2,PPARG,TCF7L2
Type 2 diabetes(PMID:19401414)	Type 2 diabetes(PMID:19401414)	0.00363704554105197	-5.61658359145767	5	3	0.0168539325842697	178	2389	54901,10644,6934	CDKAL1,IGF2BP2,TCF7L2
Coronary heart disease(PMID:22319020)	Coronary heart disease(PMID:22319020)	0.00552258992743279	-5.19890833897591	2	2	0.0112359550561798	178	2389	3570,2335	IL6R,FN1
Diabetes (gestational)(PMID:22233651)	Diabetes (gestational)(PMID:22233651)	0.00552258992743279	-5.19890833897591	2	2	0.0112359550561798	178	2389	54901,10644	CDKAL1,IGF2BP2
Polycystic ovary syndrome(PMID:21151128)	Polycystic ovary syndrome(PMID:21151128)	0.00552258992743279	-5.19890833897591	2	2	0.0112359550561798	178	2389	63892,57706	THADA,DENND1A
Brain imaging in schizophrenia (interaction)(PMID:19023125)	Brain imaging in schizophrenia (interaction)(PMID:19023125)	0.00552258992743279	-5.19890833897591	2	2	0.0112359550561798	178	2389	23043,7187	TNIK,TRAF3
Height(PMID:19343178)	Height(PMID:19343178)	0.00917448945801144	-4.69132853149312	12	4	0.0224719101123595	178	2389	8091,1021,221895,57211	HMGA2,CDK6,JAZF1,ADGRG6
Metabolic syndrome(PMID:20694148)	Metabolic syndrome(PMID:20694148)	0.0113796021564626	-4.47593281078412	7	3	0.0168539325842697	178	2389	3992,6934,9709	FADS1,TCF7L2,HERPUD1
Height(PMID:18391951)	Height(PMID:18391951)	0.0148733234162114	-4.20818604541806	28	6	0.0337078651685393	178	2389	8091,26052,84456,1021,57211,5139	HMGA2,DNM3,L3MBTL3,CDK6,ADGRG6,PDE3A
Hippocampal volume(PMID:22504421)	Hippocampal volume(PMID:22504421)	0.0157533786409883	-4.15070041982781	3	2	0.0112359550561798	178	2389	1803,253827	DPP4,MSRB3
Primary tooth development (number of teeth)(PMID:20195514)	Primary tooth development (number of teeth)(PMID:20195514)	0.0157533786409883	-4.15070041982781	3	2	0.0112359550561798	178	2389	253827,5890	MSRB3,RAD51B
Type 2 diabetes(PMID:18711366)	Type 2 diabetes(PMID:18711366)	0.0157533786409883	-4.15070041982781	3	2	0.0112359550561798	178	2389	54901,10644	CDKAL1,IGF2BP2
Type 2 diabetes(PMID:17460697)	Type 2 diabetes(PMID:17460697)	0.0157533786409883	-4.15070041982781	3	2	0.0112359550561798	178	2389	54901,6934	CDKAL1,TCF7L2
Economic and political preferences (immigration/crime)(PMID:22566634)	Economic and political preferences (immigration/crime)(PMID:22566634)	0.0157533786409883	-4.15070041982781	3	2	0.0112359550561798	178	2389	10973,55289	ASCC3,ACOXL
Phosphorus levels(PMID:20558539)	Phosphorus levels(PMID:20558539)	0.0157533786409883	-4.15070041982781	3	2	0.0112359550561798	178	2389	1475,57102	CSTA,C12orf4
Type 2 diabetes(PMID:20581827)	Type 2 diabetes(PMID:20581827)	0.0164917446401724	-4.10489534811787	14	4	0.0224719101123595	178	2389	54901,10644,221895,6934	CDKAL1,IGF2BP2,JAZF1,TCF7L2
