TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.287.10	-	6.0016466784107e-06	-12.023476679988	6	5	0.00782472613458529	639	9988	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
1.10.1300.10	-	0.000223736242650453	-8.40504268806072	21	7	0.0109546165884194	639	9988	5138,5141,5140,5152,10846,5139,5142	PDE2A,PDE4A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
3.40.50.800	-	0.000352570564109794	-7.95025977387391	11	5	0.00782472613458529	639	9988	23438,2058,2617,3035,6897	HARS2,EPRS,GARS,HARS,TARS
1.10.150.60	-	0.00184861041525484	-6.29332104901832	15	5	0.00782472613458529	639	9988	8242,10765,10620,57492,84159	KDM5C,KDM5B,ARID3B,ARID1B,ARID5B
3.40.980.10	-	0.00408703120232984	-5.49993643989774	2	2	0.00312989045383412	639	9988	80308,10243	FLAD1,GPHN
3.40.50.620	-	0.00455947480553669	-5.39054783631331	42	8	0.0125195618153365	639	9988	80308,833,2058,440,89978,4141,8565,7453	FLAD1,CARS,EPRS,ASNS,DPH6,MARS,YARS,WARS
3.40.50.300	-	0.00906559401906043	-4.70326890806836	733	63	0.0985915492957746	639	9988	57634,204,4175,26052,6819,546,8886,164045,6596,60625,26038,5881,91351,25981,254394,10347,80224,55636,26154,644019,56919,783,4174,1106,79659,4438,4522,89795,5984,80205,5983,4893,5908,617,9704,1742,1244,57169,25902,4171,55601,54555,127602,2770,84083,58480,1778,10973,55345,9931,143098,1107,10124,200894,5890,55871,8714,146754,317,23195,5413,1662,9653	EP400,AK2,MCM6,DNM3,SULT1C2,ATRX,DDX18,HFM1,HLTF,DHX35,CHD5,RAC3,DDX60L,DNAH1,MCM9,ABCA7,NUBPL,CHD7,ABCA12,CBWD6,DHX33,CACNB2,MCM5,CHD2,DYNC2H1,MSH4,MTHFD1,NAV3,RFC4,CHD9,RFC3,NRAS,RAP1B,BCS1L,DHX34,DLG4,ABCC2,ZNFX1,MTHFD1L,MCM2,DDX60,DDX49,DNAH14,GNAI1,ZRANB3,RHOU,DYNC1H1,ASCC3,ZGRF1,HELZ,MPP7,CHD3,ARL4A,ARL13B,RAD51B,CBWD1,ABCC3,DNAH2,APAF1,MDN1,SEPT5,DDX10,HS2ST1
2.130.10.30	-	0.00910113615661778	-4.69935602087716	21	5	0.00782472613458529	639	9988	8924,23077,26297,51366,8925	HERC2,MYCBP2,SERGEF,UBR5,HERC1
3.30.70.580	-	0.0117396758468258	-4.44478107596629	3	2	0.00312989045383412	639	9988	83480,126789	PUS3,PUSL1
3.30.70.660	-	0.0117396758468258	-4.44478107596629	3	2	0.00312989045383412	639	9988	83480,126789	PUS3,PUSL1
