TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01657	MCMFAMILY	0.000298158359226461	-8.11788580580526	8	4	0.0176991150442478	226	4759	4175,4171,4174,254394	MCM6,MCM2,MCM5,MCM9
PR00700	PRTYPHPHTASE	0.0012718234965124	-6.66730358429581	36	7	0.0309734513274336	226	4759	5775,5782,5771,5793,5797,5786,5796	PTPN4,PTPN12,PTPN2,PTPRG,PTPRM,PTPRA,PTPRK
PR00387	PDIESTERASE1	0.00155391734508572	-6.46697621694177	19	5	0.0221238938053097	226	4759	5138,5141,5152,10846,5142	PDE2A,PDE4A,PDE9A,PDE10A,PDE4B
PR00633	RCCNDNSATION	0.00722706443518902	-4.92992235082385	17	4	0.0176991150442478	226	4759	8924,23077,26297,8925	HERC2,MYCBP2,SERGEF,HERC1
PR00020	MAMDOMAIN	0.00989415962782213	-4.61581063250627	10	3	0.0132743362831858	226	4759	8829,5797,5796	NRP1,PTPRM,PTPRK
PR00085	THFDHDRGNASE	0.0126430747089034	-4.37064566755781	4	2	0.00884955752212389	226	4759	25902,4522	MTHFD1L,MTHFD1
PR00008	DAGPEDOMAIN	0.0156614417814348	-4.15655352487746	21	4	0.0176991150442478	226	4759	5583,23683,673,5578	PRKCH,PRKD3,BRAF,PRKCA
PR01282	COUPTNFACTOR	0.0204154716087212	-3.89146225338895	5	2	0.00884955752212389	226	4759	7026,7025	NR2F2,NR2F1
PR01884	MALPROTEIN	0.0204154716087212	-3.89146225338895	5	2	0.00884955752212389	226	4759	7851,152189	MALL,CMTM8
PR00363	CYTOCHROMEB5	0.029673190886476	-3.51751130457476	6	2	0.00884955752212389	226	4759	3992,80777	FADS1,CYB5B
PR00404	MADSDOMAIN	0.029673190886476	-3.51751130457476	6	2	0.00884955752212389	226	4759	4209,4208	MEF2D,MEF2C
PR01818	DESMOCADHERN	0.040258895226928	-3.21242430010756	7	2	0.00884955752212389	226	4759	1825,1824	DSC3,DSC2
PR01628	LCACHANNELB2	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	783	CACNB2
PR00989	ADENOKINASE	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	132	ADK
PR00474	GLU5KINASE	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	5832	ALDH18A1
PR01261	TAUPROTEIN	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	4137	MAPT
PR01607	APYRASEFAMLY	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	4907	NT5E
PR00201	ANNEXINV	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	308	ANXA5
PR01519	EPSLNTUBULIN	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	51175	TUBE1
PR01661	MCMPROTEIN5	0.0474889682704456	-3.04725784185302	1	1	0.00442477876106195	226	4759	4174	MCM5
