TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa00970	Aminoacyl-tRNA biosynthesis	1.46299398397124e-06	-13.4350255480528	44	15	0.0257731958762887	582	6908	79731,833,2058,10352,2617,283459,3035,10667,4141,23438,8565,16,6897,51067,7453	NARS2,CARS,EPRS,WARS2,GARS,GATC,HARS,FARS2,MARS,HARS2,YARS,AARS,TARS,YARS2,WARS
ko00970	Aminoacyl-tRNA biosynthesis	1.46299398397124e-06	-13.4350255480528	44	15	0.0257731958762887	582	6908	79731,833,2058,2617,10352,283459,3035,10667,4141,23438,8565,16,6897,51067,7453	NARS2,CARS,EPRS,GARS,WARS2,GATC,HARS,FARS2,MARS,HARS2,YARS,AARS,TARS,YARS2,WARS
ko00230	Purine metabolism	4.42938431213658e-05	-10.024664872031	174	31	0.0532646048109966	582	6908	204,5141,5558,5422,25885,102157402,5142,353,3615,5138,5140,5139,10622,3251,654364,2618,29922,957,10846,471,30833,84172,2272,54107,9533,132,30834,5152,64425,5631,4907	AK2,PDE4A,PRIM2,POLA1,POLR1A,AK6,PDE4B,APRT,IMPDH2,PDE2A,PDE3B,PDE3A,POLR3G,HPRT1,NME1-NME2,GART,NME7,ENTPD5,PDE10A,ATIC,NT5C,POLR1B,FHIT,POLE3,POLR1C,ADK,ZNRD1,PDE9A,POLR1E,PRPS1,NT5E
hsa00230	Purine metabolism	4.42938431213658e-05	-10.024664872031	174	31	0.0532646048109966	582	6908	204,5141,5558,25885,5422,102157402,5142,353,3615,5138,5140,5139,10622,3251,2618,654364,957,29922,10846,471,30833,84172,2272,54107,9533,30834,132,5152,64425,5631,4907	AK2,PDE4A,PRIM2,POLR1A,POLA1,AK6,PDE4B,APRT,IMPDH2,PDE2A,PDE3B,PDE3A,POLR3G,HPRT1,GART,NME1-NME2,ENTPD5,NME7,PDE10A,ATIC,NT5C,POLR1B,FHIT,POLE3,POLR1C,ZNRD1,ADK,PDE9A,POLR1E,PRPS1,NT5E
hsa03008	Ribosome biogenesis in eukaryotes	0.000206386928928581	-8.48575785519662	78	17	0.0292096219931271	582	6908	4809,10813,102157402,65083,55226,51602,51119,55781,10940,10556,10199,83732,55127,23195,2091,84916,51068	SNU13,UTP14A,AK6,NOL6,NAT10,NOP58,SBDS,RIOK2,POP1,RPP30,MPHOSPH10,RIOK1,HEATR1,MDN1,FBL,UTP4,NMD3
ko03008	Ribosome biogenesis in eukaryotes	0.000206386928928581	-8.48575785519662	78	17	0.0292096219931271	582	6908	4809,10813,102157402,65083,55226,51602,51119,55781,10940,10556,10199,83732,55127,23195,2091,84916,51068	SNU13,UTP14A,AK6,NOL6,NAT10,NOP58,SBDS,RIOK2,POP1,RPP30,MPHOSPH10,RIOK1,HEATR1,MDN1,FBL,UTP4,NMD3
hsa03030	DNA replication	0.000564970847382841	-7.47873642570153	36	10	0.0171821305841924	582	6908	5984,4175,5983,5558,5422,4174,54107,4171,79621,6117	RFC4,MCM6,RFC3,PRIM2,POLA1,MCM5,POLE3,MCM2,RNASEH2B,RPA1
ko03030	DNA replication	0.000564970847382841	-7.47873642570153	36	10	0.0171821305841924	582	6908	5984,5983,4175,5558,5422,4174,54107,79621,4171,6117	RFC4,RFC3,MCM6,PRIM2,POLA1,MCM5,POLE3,RNASEH2B,MCM2,RPA1
hsa05222	Small cell lung cancer	0.00193181125575176	-6.24929724167442	86	16	0.0274914089347079	582	6908	3910,3915,2335,1019,3908,5747,5291,329,4609,3551,3673,7187,317,2272,3911,1021	LAMA4,LAMC1,FN1,CDK4,LAMA2,PTK2,PIK3CB,BIRC2,MYC,IKBKB,ITGA2,TRAF3,APAF1,FHIT,LAMA5,CDK6
ko05222	Small cell lung cancer	0.00193181125575176	-6.24929724167442	86	16	0.0274914089347079	582	6908	3910,3915,2335,1019,3908,5747,5291,329,4609,3551,3673,7187,317,2272,3911,1021	LAMA4,LAMC1,FN1,CDK4,LAMA2,PTK2,PIK3CB,BIRC2,MYC,IKBKB,ITGA2,TRAF3,APAF1,FHIT,LAMA5,CDK6
hsa00240	Pyrimidine metabolism	0.00241977800193553	-6.02407947775881	104	18	0.0309278350515464	582	6908	5558,25885,5422,7378,10622,790,654364,957,29922,30833,7372,51727,54107,84172,9533,30834,64425,4907	PRIM2,POLR1A,POLA1,UPP1,POLR3G,CAD,NME1-NME2,ENTPD5,NME7,NT5C,UMPS,CMPK1,POLE3,POLR1B,POLR1C,ZNRD1,POLR1E,NT5E
ko00240	Pyrimidine metabolism	0.00241977800193553	-6.02407947775881	104	18	0.0309278350515464	582	6908	5558,5422,7378,25885,10622,790,654364,957,29922,7372,30833,54107,51727,84172,9533,30834,64425,4907	PRIM2,POLA1,UPP1,POLR1A,POLR3G,CAD,NME1-NME2,ENTPD5,NME7,UMPS,NT5C,POLE3,CMPK1,POLR1B,POLR1C,ZNRD1,POLR1E,NT5E
ko03013	RNA transport	0.00599523066058761	-5.11679101574864	166	24	0.0412371134020619	582	6908	8563,8663,8669,1974,6612,5411,348995,80336,23279,9669,9883,8761,8667,1207,25929,10556,10940,1965,22916,26019,8891,26986,51068,81929	THOC5,EIF3C,EIF3J,EIF4A2,SUMO3,PNN,NUP43,PABPC1L,NUP160,EIF5B,POM121,PABPC4,EIF3H,CLNS1A,GEMIN5,RPP30,POP1,EIF2S1,NCBP2,UPF2,EIF2B3,PABPC1,NMD3,SEH1L
hsa03013	RNA transport	0.00599523066058761	-5.11679101574864	166	24	0.0412371134020619	582	6908	8563,8663,8669,1974,6612,5411,348995,80336,23279,9669,9883,8761,8667,1207,25929,10556,10940,1965,22916,26019,8891,26986,51068,81929	THOC5,EIF3C,EIF3J,EIF4A2,SUMO3,PNN,NUP43,PABPC1L,NUP160,EIF5B,POM121,PABPC4,EIF3H,CLNS1A,GEMIN5,RPP30,POP1,EIF2S1,NCBP2,UPF2,EIF2B3,PABPC1,NMD3,SEH1L
hsa05220	Chronic myeloid leukemia	0.00728068060344055	-4.92253093165982	73	13	0.0223367697594502	582	6908	4088,25,673,4893,6464,1019,4609,3551,861,7042,7048,5291,1021	SMAD3,ABL1,BRAF,NRAS,SHC1,CDK4,MYC,IKBKB,RUNX1,TGFB2,TGFBR2,PIK3CB,CDK6
ko05220	Chronic myeloid leukemia	0.00728068060344055	-4.92253093165982	73	13	0.0223367697594502	582	6908	4088,25,673,4893,6464,1019,4609,3551,861,7042,7048,5291,1021	SMAD3,ABL1,BRAF,NRAS,SHC1,CDK4,MYC,IKBKB,RUNX1,TGFB2,TGFBR2,PIK3CB,CDK6
hsa04110	Cell cycle	0.00742933090958214	-4.90231947685359	124	19	0.0326460481099656	582	6908	7709,4175,10274,25847,1019,7042,4171,10459,4088,25,8881,1647,4609,4174,5001,8379,10393,472,1021	ZBTB17,MCM6,STAG1,ANAPC13,CDK4,TGFB2,MCM2,MAD2L2,SMAD3,ABL1,CDC16,GADD45A,MYC,MCM5,ORC5,MAD1L1,ANAPC10,ATM,CDK6
ko04110	Cell cycle	0.00742933090958214	-4.90231947685359	124	19	0.0326460481099656	582	6908	7709,4175,10274,25847,1019,7042,4171,10459,4088,25,8881,1647,4609,4174,5001,8379,10393,472,1021	ZBTB17,MCM6,STAG1,ANAPC13,CDK4,TGFB2,MCM2,MAD2L2,SMAD3,ABL1,CDC16,GADD45A,MYC,MCM5,ORC5,MAD1L1,ANAPC10,ATM,CDK6
ko00900	Terpenoid backbone biosynthesis	0.00806535745489492	-4.82017724663948	22	6	0.0103092783505155	582	6908	2342,3422,4598,57107,2224,3156	FNTB,IDI1,MVK,PDSS2,FDPS,HMGCR
hsa00900	Terpenoid backbone biosynthesis	0.00806535745489492	-4.82017724663948	22	6	0.0103092783505155	582	6908	2342,3422,4598,57107,2224,3156	FNTB,IDI1,MVK,PDSS2,FDPS,HMGCR
