TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00092	Rosuvastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00508	Cholesteryl ester storage disease	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00510	Mevalonic aciduria	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00387	CHILD Syndrome	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00095	Alendronate Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00107	Zoledronate Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00389	Smith-Lemli-Opitz Syndrome (SLOS)	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00112	Risedronate Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00119	Fluvastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00079	Ibandronate Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00209	Hypercholesterolemia	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00388	Chondrodysplasia Punctata II- X Linked Dominant (CDPX2)	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00386	Desmosterolosis	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00511	Wolman disease	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00023	Steroid Biosynthesis	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00099	Lovastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00509	Hyper-IgD syndrome	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00131	Atorvastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00082	Simvastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00117	Pamidronate Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00319	Lysosomal Acid Lipase Deficiency (Wolman Disease)	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00111	Cerivastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00089	Pravastatin Action Pathway	0.0105281738580689	-4.55370039066121	21	6	0.0645161290322581	93	978	6713,3422,4598,2224,3156,2222	SQLE,IDI1,MVK,FDPS,HMGCR,FDFT1
SMP00649	Lamivudine Metabolism Pathway	0.0220140101553178	-3.81607620306925	18	5	0.0537634408602151	93	978	8714,1244,30833,51727,10257	ABCC3,ABCC2,NT5C,CMPK1,ABCC4
SMP00428	Mercaptopurine Action Pathway	0.0688962045197917	-2.67515418927533	47	8	0.0860215053763441	93	978	3251,2618,957,10257,10846,471,353,132	HPRT1,GART,ENTPD5,ABCC4,PDE10A,ATIC,APRT,ADK
SMP00430	Thioguanine Action Pathway	0.0688962045197917	-2.67515418927533	47	8	0.0860215053763441	93	978	3251,2618,10257,957,10846,471,353,132	HPRT1,GART,ABCC4,ENTPD5,PDE10A,ATIC,APRT,ADK
SMP00427	Azathioprine Action Pathway	0.0688962045197917	-2.67515418927533	47	8	0.0860215053763441	93	978	3251,2618,10257,957,10846,471,353,132	HPRT1,GART,ABCC4,ENTPD5,PDE10A,ATIC,APRT,ADK
SMP00029	Selenoamino Acid Metabolism	0.078304107042753	-2.54715522470768	11	3	0.032258064516129	93	978	2678,22928,4141	GGT1,SEPHS2,MARS
SMP00647	Thioguanine Metabolism Pathway	0.095092024539981	-2.35291017688047	1	1	0.010752688172043	93	978	3251	HPRT1
SMP00445	Spermidine and Spermine Biosynthesis	0.104222870947981	-2.26122368288392	6	2	0.021505376344086	93	978	6723,4953	SRM,ODC1
SMP00203	Molybdenum Cofactor Deficiency	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00167	Adenylosuccinate Lyase Deficiency	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00365	Gout or Kelley-Seegmiller Syndrome	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00537	Myoadenylate deaminase deficiency	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00050	Purine Metabolism	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00144	Adenosine Deaminase Deficiency	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00536	Mitochondrial DNA depletion syndrome	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00512	Xanthinuria type I	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00513	Xanthinuria type II	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00210	Purine Nucleoside Phosphorylase Deficiency	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00364	Lesch-Nyhan Syndrome (LNS)	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	3251,353,2618,957,10846,471	HPRT1,APRT,GART,ENTPD5,PDE10A,ATIC
SMP00168	AICA-Ribosiduria	0.130633037662801	-2.0353631258093	37	6	0.0645161290322581	93	978	353,3251,2618,957,10846,471	APRT,HPRT1,GART,ENTPD5,PDE10A,ATIC
SMP00582	Joubert syndrome	0.130769084441738	-2.03432222537494	21	4	0.043010752688172	93	978	23236,8867,5305,30849	PLCB1,SYNJ1,PIP4K2A,PIK3R4
SMP00463	Phosphatidylinositol Phosphate Metabolism	0.130769084441738	-2.03432222537494	21	4	0.043010752688172	93	978	23236,8867,5305,30849	PLCB1,SYNJ1,PIP4K2A,PIK3R4
SMP00044	Histidine Metabolism	0.140571051675226	-1.96204221216097	14	3	0.032258064516129	93	978	23438,3035,10196	HARS2,HARS,PRMT3
SMP00191	Histidinemia	0.140571051675226	-1.96204221216097	14	3	0.032258064516129	93	978	23438,3035,10196	HARS2,HARS,PRMT3
SMP00345	Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	0.164171463502895	-1.80684388815801	15	3	0.032258064516129	93	978	210,1352,7389	ALAD,COX10,UROD
SMP00609	Mercaptopurine Metabolism Pathway	0.164171463502895	-1.80684388815801	15	3	0.032258064516129	93	978	3251,10257,132	HPRT1,ABCC4,ADK
SMP00344	Acute Intermittent Porphyria	0.164171463502895	-1.80684388815801	15	3	0.032258064516129	93	978	210,1352,7389	ALAD,COX10,UROD
SMP00024	Porphyrin Metabolism	0.164171463502895	-1.80684388815801	15	3	0.032258064516129	93	978	210,1352,7389	ALAD,COX10,UROD
SMP00342	Hereditary Coproporphyria (HCP)	0.164171463502895	-1.80684388815801	15	3	0.032258064516129	93	978	210,1352,7389	ALAD,COX10,UROD
SMP00346	Porphyria Variegata (PV)	0.164171463502895	-1.80684388815801	15	3	0.032258064516129	93	978	210,1352,7389	ALAD,COX10,UROD
SMP00580	GLUT-1 deficiency syndrome	0.207935159680341	-1.57052898018549	9	2	0.021505376344086	93	978	51727,6513	CMPK1,SLC2A1
SMP00444	Lactose Synthesis	0.207935159680341	-1.57052898018549	9	2	0.021505376344086	93	978	51727,6513	CMPK1,SLC2A1
SMP00466	Transfer of Acetyl Groups into Mitochondria	0.207935159680341	-1.57052898018549	9	2	0.021505376344086	93	978	4199,51660	ME1,MPC1
SMP00311	Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	0.207935159680341	-1.57052898018549	9	2	0.021505376344086	93	978	3363,5567	HTR7,PRKACB
SMP00579	Congenital disorder of glycosylation CDG-IId	0.207935159680341	-1.57052898018549	9	2	0.021505376344086	93	978	51727,6513	CMPK1,SLC2A1
SMP00482	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	0.244658267363882	-1.40789286920042	10	2	0.021505376344086	93	978	1374,788	CPT1A,SLC25A20
SMP00437	Vincristine Action Pathway	0.244658267363882	-1.40789286920042	10	2	0.021505376344086	93	978	8714,1244	ABCC3,ABCC2
SMP00438	Vindesine Action Pathway	0.244658267363882	-1.40789286920042	10	2	0.021505376344086	93	978	8714,1244	ABCC3,ABCC2
SMP00654	Warburg Effect	0.250249514304515	-1.38529680162979	45	6	0.0645161290322581	93	978	6566,8802,2539,51660,3099,5226	SLC16A1,SUCLG1,G6PD,MPC1,HK2,PGD
SMP00564	Multiple carboxylase deficiency- neonatal or early onset form	0.259247709384089	-1.34997126745989	3	1	0.010752688172043	93	978	3141	HLCS
