TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP197	Cholesterol biosynthesis	2.83161685918864e-05	-10.4720775881258	17	8	0.0213903743315508	374	4455	3422,4598,6721,2224,6713,1717,3156,2222	IDI1,MVK,SREBF2,FDPS,SQLE,DHCR7,HMGCR,FDFT1
WP244	Alpha6-Beta4 Integrin Signaling Pathway	0.000133552707666568	-8.92101434406072	69	16	0.0427807486631016	374	4455	1308,3915,7431,5747,3908,5578,5291,667,3667,4088,25,4316,6464,4233,3691,3911	COL17A1,LAMC1,VIM,PTK2,LAMA2,PRKCA,PIK3CB,DST,IRS1,SMAD3,ABL1,MMP7,SHC1,MET,ITGB4,LAMA5
WP2261	Signaling Pathways in Glioblastoma	0.000796624857622786	-7.13512668305535	80	16	0.0427807486631016	374	4455	673,4893,2308,4763,1019,672,5578,5291,5606,2260,3667,5583,675,472,4233,1021	BRAF,NRAS,FOXO1,NF1,CDK4,BRCA1,PRKCA,PIK3CB,MAP2K3,FGFR1,IRS1,PRKCH,BRCA2,ATM,MET,CDK6
WP466	DNA Replication	0.00196861146959839	-6.23042682251447	42	10	0.0267379679144385	374	4455	5984,55388,5983,4175,5558,5422,4174,5001,4171,6117	RFC4,MCM10,RFC3,MCM6,PRIM2,POLA1,MCM5,ORC5,MCM2,RPA1
WP1982	SREBP signalling	0.00209969497615584	-6.16596319425208	64	13	0.0347593582887701	374	4455	3422,51141,3638,6721,9871,5468,133522,2224,51586,6713,949,3156,2222	IDI1,INSIG2,INSIG1,SREBF2,SEC24D,PPARG,PPARGC1B,FDPS,MED15,SQLE,SCARB1,HMGCR,FDFT1
WP179	Cell cycle	0.0101448501547366	-4.59078907616962	102	16	0.0427807486631016	374	4455	55388,4175,1019,55869,4221,4171,254394,10459,4088,25,1647,4174,5001,8379,472,1021	MCM10,MCM6,CDK4,HDAC8,MEN1,MCM2,MCM9,MAD2L2,SMAD3,ABL1,GADD45A,MCM5,ORC5,MAD1L1,ATM,CDK6
WP366	TGF-beta Receptor Signaling Pathway	0.0138272551945821	-4.281113620495	151	21	0.0561497326203209	374	4455	2308,1019,4092,5520,7042,7048,5606,6498,7421,4088,817,8881,10131,4609,10393,6935,960,1021,5576,56288,4208	FOXO1,CDK4,SMAD7,PPP2R2A,TGFB2,TGFBR2,MAP2K3,SKIL,VDR,SMAD3,CAMK2D,CDC16,TRAP1,MYC,ANAPC10,ZEB1,CD44,CDK6,PRKAR2A,PARD3,MEF2C
WP1742	TP53 network	0.0176050222233859	-4.03957106404216	19	5	0.0133689839572193	374	4455	472,25,1647,5366,4609	ATM,ABL1,GADD45A,PMAIP1,MYC
WP306	Focal Adhesion	0.0186733556304118	-3.9806576037591	184	24	0.0641711229946524	374	4455	3910,10188,5829,673,3915,2335,71,7148,5908,30849,5747,3908,5291,5881,329,5606,5906,6464,3673,3691,4233,7414,3911,858	LAMA4,TNK2,PXN,BRAF,LAMC1,FN1,ACTG1,TNXB,RAP1B,PIK3R4,PTK2,LAMA2,PIK3CB,RAC3,BIRC2,MAP2K3,RAP1A,SHC1,ITGA2,ITGB4,MET,VCL,LAMA5,CAV2
WP2012	miRs in Muscle Cell Differentiation	0.0214059487372441	-3.84408641720727	42	8	0.0213903743315508	374	4455	5583,23683,3398,4209,5578,5576,5567,4208	PRKCH,PRKD3,ID2,MEF2D,PRKCA,PRKAR2A,PRKACB,MEF2C
WP404	Nucleotide Metabolism	0.0219002826223526	-3.8212557371127	20	5	0.0133689839572193	374	4455	6723,3251,654364,5422,5631	SRM,HPRT1,NME1-NME2,POLA1,PRPS1
WP236	Adipogenesis	0.0243189537603299	-3.71649924253282	131	18	0.0481283422459893	374	4455	2308,5468,4209,4154,7025,3667,4088,123,57761,8651,1647,3091,9663,652,5106,8204,1649,4208	FOXO1,PPARG,MEF2D,MBNL1,NR2F1,IRS1,SMAD3,PLIN2,TRIB3,SOCS1,GADD45A,HIF1A,LPIN2,BMP4,PCK2,NRIP1,DDIT3,MEF2C
WP45	G1 to S cell cycle control	0.0246812410308801	-3.7017117963275	68	11	0.0294117647058824	374	4455	4175,1647,5558,4174,4609,1019,5001,472,4171,1021,6117	MCM6,GADD45A,PRIM2,MCM5,MYC,CDK4,ORC5,ATM,MCM2,CDK6,RPA1
WP35	G Protein Signaling Pathways	0.0258999255825294	-3.65351518354219	95	14	0.0374331550802139	374	4455	5583,23683,4893,5141,2788,5142,9590,5533,11214,5578,2787,5576,5567,2770	PRKCH,PRKD3,NRAS,PDE4A,GNG7,PDE4B,AKAP12,PPP3CC,AKAP13,PRKCA,GNG5,PRKAR2A,PRKACB,GNAI1
WP1984	Integrated Breast Cancer Pathway	0.0278327578071852	-3.58154161359338	152	20	0.053475935828877	374	4455	23077,673,2308,4763,1019,7035,4092,672,7048,79027,3667,25,675,5906,1647,4609,28996,472,57820,3156	MYCBP2,BRAF,FOXO1,NF1,CDK4,TFPI,SMAD7,BRCA1,TGFBR2,ZNF655,IRS1,ABL1,BRCA2,RAP1A,GADD45A,MYC,HIPK2,ATM,CCNB1IP1,HMGCR
