TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS51192	HELICASE_ATP_BIND_1	1.96199134694407e-08	-17.746720793143	108	36	0.023936170212766	1504	11866	57634,8886,546,164045,55308,6597,6596,91351,60625,26038,55636,54606,57647,56919,64794,1106,6499,80205,55794,51428,57062,23517,56916,1974,9704,55601,54555,90957,84083,25788,1654,10847,10973,79009,1107,1662	EP400,DDX18,ATRX,HFM1,DDX19A,SMARCA4,HLTF,DDX60L,DHX35,CHD5,CHD7,DDX56,DHX37,DHX33,DDX31,CHD2,SKIV2L,CHD9,DDX28,DDX41,DDX24,SKIV2L2,SMARCAD1,EIF4A2,DHX34,DDX60,DDX49,DHX57,ZRANB3,RAD54B,DDX3X,SRCAP,ASCC3,DDX50,CHD3,DDX10
PS51194	HELICASE_CTER	1.96199134694407e-08	-17.746720793143	108	36	0.023936170212766	1504	11866	57634,546,8886,164045,55308,6597,6596,60625,26038,91351,55636,54606,57647,56919,1106,64794,6499,80205,55794,57062,51428,23517,56916,1974,9704,55601,54555,90957,25788,84083,1654,10847,10973,79009,1107,1662	EP400,ATRX,DDX18,HFM1,DDX19A,SMARCA4,HLTF,DHX35,CHD5,DDX60L,CHD7,DDX56,DHX37,DHX33,CHD2,DDX31,SKIV2L,CHD9,DDX28,DDX24,DDX41,SKIV2L2,SMARCAD1,EIF4A2,DHX34,DDX60,DDX49,DHX57,RAD54B,ZRANB3,DDX3X,SRCAP,ASCC3,DDX50,CHD3,DDX10
PS50016	ZF_PHD_2	2.140268934132e-06	-13.0545790666712	74	25	0.0166223404255319	1504	11866	8110,23469,8085,10765,55904,11176,5927,5977,4799,51773,58508,26038,9866,8028,11177,64324,29994,22992,83860,1107,57117,8242,54620,4297,7994	DPF3,PHF3,KMT2D,KDM5B,KMT2E,BAZ2A,KDM5A,DPF2,NFX1,RSF1,KMT2C,CHD5,TRIM66,MLLT10,BAZ1A,NSD1,BAZ2B,KDM2A,TAF3,CHD3,INTS12,KDM5C,FBXL19,KMT2A,KAT6A
PS50862	AA_TRNA_LIGASE_II	8.67526130280034e-06	-11.6550351112247	17	10	0.00664893617021277	1504	11866	79731,2193,2058,6301,2617,4677,3035,10667,23438,6897	NARS2,FARSA,EPRS,SARS,GARS,NARS,HARS,FARS2,HARS2,TARS
PS00178	AA_TRNA_LIGASE_I	2.01363319265336e-05	-10.8129848160332	15	9	0.00598404255319149	1504	11866	2058,5917,10352,23395,57038,4141,7407,51067,7453	EPRS,RARS,WARS2,LARS2,RARS2,MARS,VARS,YARS2,WARS
PS51284	DOC	2.56571342252305e-05	-10.5706888875847	7	6	0.00398936170212766	1504	11866	8924,23077,9820,23140,10393,79654	HERC2,MYCBP2,CUL7,ZZEF1,ANAPC10,HECTD3
PS01359	ZF_PHD_1	2.62556379415126e-05	-10.547629813264	79	24	0.0159574468085106	1504	11866	8110,8085,55870,23469,10765,55904,5927,5977,4799,51773,58508,26038,9866,8028,11177,64324,22992,83860,1107,57117,8242,54620,4297,7994	DPF3,KMT2D,ASH1L,PHF3,KDM5B,KMT2E,KDM5A,DPF2,NFX1,RSF1,KMT2C,CHD5,TRIM66,MLLT10,BAZ1A,NSD1,KDM2A,TAF3,CHD3,INTS12,KDM5C,FBXL19,KMT2A,KAT6A
PS51185	WHEP_TRS_2	3.25231817502893e-05	-10.3335574382709	5	5	0.00332446808510638	1504	11866	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
PS00762	WHEP_TRS_1	3.25231817502893e-05	-10.3335574382709	5	5	0.00332446808510638	1504	11866	4141,2058,2617,3035,7453	MARS,EPRS,GARS,HARS,WARS
PS50294	WD_REPEATS_REGION	5.41766658588965e-05	-9.82326026142723	239	52	0.0345744680851064	1504	11866	23312,84128,2784,5048,64743,5356,30849,80232,22884,348995,84940,65065,22898,54475,55626,5191,253769,26960,55003,11151,84916,81929,1130,27339,134430,6468,80349,23001,7090,57418,84135,11169,79446,10025,25929,22872,11137,54554,55250,57539,8925,23335,7260,9742,9128,6907,317,55339,144406,254065,8816,10391	DMXL2,WDR75,GNB3,PAFAH1B1,WDR13,PLRG1,PIK3R4,WDR26,WDR37,NUP43,CORO6,NBEAL1,DENND3,NLE1,AMBRA1,PEX7,WDR27,NBEA,PAK1IP1,CORO1A,UTP4,SEH1L,LYST,PRPF19,WDR36,FBXW4,WDR61,WDFY3,TLE3,WDR18,UTP15,WDHD1,WDR25,MED16,GEMIN5,SEC31A,PWP1,WDR5B,ELP2,WDR35,HERC1,WDR7,TSSC1,IFT140,PRPF4,TBL1X,APAF1,WDR33,WDR66,BRWD3,DCAF5,CORO2B
PS51184	JMJC	6.93307710255244e-05	-9.5766217239766	32	13	0.0086436170212766	1504	11866	23135,51780,55806,10765,22992,23030,5927,79663,221037,84864,23210,8242,23081	KDM6B,KDM3B,HR,KDM5B,KDM2A,KDM4B,KDM5A,HSPBAP1,JMJD1C,MINA,JMJD6,KDM5C,KDM4C
PS50280	SET	0.000108486172604335	-9.12888783453981	51	17	0.0113031914893617	1504	11866	55870,8085,23067,55904,63976,29072,79813,639,58508,80854,64324,10919,79723,55209,4297,79918,64754	ASH1L,KMT2D,SETD1B,KMT2E,PRDM16,SETD2,EHMT1,PRDM1,KMT2C,SETD7,NSD1,EHMT2,SUV39H2,SETD5,KMT2A,SETD6,SMYD3
PS50868	POST_SET	0.000184171387401919	-8.5996437806174	15	8	0.00531914893617021	1504	11866	64324,55870,8085,23067,79723,29072,58508,4297	NSD1,ASH1L,KMT2D,SETD1B,SUV39H2,SETD2,KMT2C,KMT2A
PS51011	ARID	0.000184171387401919	-8.5996437806174	15	8	0.00531914893617021	1504	11866	10765,196528,10620,5927,84159,8242,8289,57492	KDM5B,ARID2,ARID3B,KDM5A,ARID5B,KDM5C,ARID1A,ARID1B
PS50082	WD_REPEATS_2	0.000212343257175353	-8.45730645506279	227	48	0.0319148936170213	1504	11866	23312,84128,2784,5048,64743,5356,30849,80232,22884,348995,84940,65065,54475,55626,5191,253769,55003,11151,81929,1130,27339,134430,6468,80349,23001,7090,57418,84135,11169,79446,10025,25929,11137,22872,54554,55250,57539,8925,23335,7260,9742,9128,6907,317,55339,254065,8816,10391	DMXL2,WDR75,GNB3,PAFAH1B1,WDR13,PLRG1,PIK3R4,WDR26,WDR37,NUP43,CORO6,NBEAL1,NLE1,AMBRA1,PEX7,WDR27,PAK1IP1,CORO1A,SEH1L,LYST,PRPF19,WDR36,FBXW4,WDR61,WDFY3,TLE3,WDR18,UTP15,WDHD1,WDR25,MED16,GEMIN5,PWP1,SEC31A,WDR5B,ELP2,WDR35,HERC1,WDR7,TSSC1,IFT140,PRPF4,TBL1X,APAF1,WDR33,BRWD3,DCAF5,CORO2B
PS00103	PUR_PYR_PR_TRANSFER	0.000257193321286259	-8.26568253294317	4	4	0.00265957446808511	1504	11866	7372,353,3251,5471	UMPS,APRT,HPRT1,PPAT
PS51309	PABC	0.00115587387940984	-6.76289861554043	5	4	0.00265957446808511	1504	11866	80336,51366,26986,8761	PABPC1L,UBR5,PABPC1,PABPC4
PS51195	Q_MOTIF	0.0014433919899895	-6.54075938674603	37	12	0.00797872340425532	1504	11866	1654,55794,54606,79009,51428,57062,8886,55308,1974,64794,1662,54555	DDX3X,DDX28,DDX56,DDX50,DDX41,DDX24,DDX18,DDX19A,EIF4A2,DDX31,DDX10,DDX49
PS51358	NOP	0.00203270111289373	-6.19838977290419	3	3	0.00199468085106383	1504	11866	26121,51602,10528	PRPF31,NOP58,NOP56
PS01245	RIO1	0.00203270111289373	-6.19838977290419	3	3	0.00199468085106383	1504	11866	83732,55781,8780	RIOK1,RIOK2,RIOK3
PS51758	LETM1_RBD	0.00203270111289373	-6.19838977290419	3	3	0.00199468085106383	1504	11866	25875,3954,137994	LETMD1,LETM1,LETM2
PS00767	THF_DHG_CYH_2	0.00203270111289373	-6.19838977290419	3	3	0.00199468085106383	1504	11866	10797,441024,4522	MTHFD2,MTHFD2L,MTHFD1
PS00126	PDEASE_I	0.00288695289186218	-5.84755369576659	21	8	0.00531914893617021	1504	11866	5141,10846,5142,5138,5140,5152,5139,8622	PDE4A,PDE10A,PDE4B,PDE2A,PDE3B,PDE9A,PDE3A,PDE8B
PS50090	MYB_LIKE	0.00311844644140439	-5.77042033661908	6	4	0.00265957446808511	1504	11866	57634,54856,9988,6621	EP400,GON4L,DMTF1,SNAPC4
PS51183	JMJN	0.00471695319271996	-5.35659219783292	10	5	0.00332446808510638	1504	11866	8242,10765,23030,5927,23081	KDM5C,KDM5B,KDM4B,KDM5A,KDM4C
