TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chrXq24	human chrXq24	5.10005913973437e-11	-23.6991838872451	48	16	0.0145586897179254	1099	26250	3920,79836,65109,23157,7319,29071,55922,3597,7737,203427,347454,292,170261,54521,6170,158801	LAMP2,LONRF3,UPF3B,SEPT6,UBE2A,C1GALT1C1,NKRF,IL13RA1,RNF113A,SLC25A43,SOWAHD,SLC25A5,ZCCHC12,WDR44,RPL39,NKAPP1
human chrXq22.3	human chrXq22.3	2.85515371127507e-09	-19.674140155962	26	11	0.0100090991810737	1099	26250	84187,79589,54885,1831,9949,55086,79710,5716,54830,139221,115201	TMEM164,RNF128,TBC1D8B,TSC22D3,AMMECR1,CXorf57,MORC4,PSMD10,NUP62CL,MUM1L1,ATG4A
human chrXq22.1	human chrXq22.1	2.21972201173484e-07	-15.3207136828541	30	10	0.00909918107370337	1099	26250	402415,51566,1678,2491,57526,1478,79979,90843,27286,100287765	XKRX,ARMCX3,TIMM8A,CENPI,PCDH19,CSTF2,TRMT2B,TCEAL8,SRPX2,LINC00630
human chrXq22	human chrXq22	2.76810736597298e-07	-15.0999318256701	18	8	0.00727934485896269	1099	26250	84443,3188,7105,1287,9643,2717,1821,84707	FRMPD3,HNRNPH2,TSPAN6,COL4A5,MORF4L2,GLA,DRP2,BEX2
human chrXq23	human chrXq23	1.79494410892657e-06	-13.2305366735971	29	9	0.00818926296633303	1099	26250	827,80823,79868,8450,57529,10009,63932,55916,5358	CAPN6,BHLHB9,ALG13,CUL4B,RGAG1,ZBTB33,CXorf56,NXT2,PLS3
human chr12q22	human chr12q22	1.79969460958215e-05	-10.9253084758055	29	8	0.00727934485896269	1099	26250	55785,59277,55591,55967,4048,7181,10988,57458	FGD6,NTN4,VEZT,NDUFA12,LTA4H,NR2C1,METAP2,TMCC3
human chrXq22.2	human chrXq22.2	0.0006919462054894	-7.27600234310042	18	5	0.00454959053685168	1099	26250	139231,27018,286527,51186,79921	FAM199X,NGFRAP1,TMSB15B,WBP5,TCEAL4
human chrXq21.33	human chrXq21.33	0.0013308587705958	-6.62193085294069	6	3	0.00272975432211101	1099	26250	1730,94121,10824	DIAPH2,SYTL4,DIAPH2-AS1
human chrXq21.33-q22.3	human chrXq21.33-q22.3	0.00175128957295499	-6.34740286359192	2	2	0.00181983621474067	1099	26250	54470,11013	ARMCX6,TMSB15A
human chr7p21.1	human chr7p21.1	0.00371353066597688	-5.5957721929176	16	4	0.00363967242948135	1099	26250	27075,3696,346389,9734	TSPAN13,ITGB8,MACC1,HDAC9
human chr11p11.2	human chr11p11.2	0.00419048792702482	-5.47493810146399	62	8	0.00727934485896269	1099	26250	4192,5795,3732,4038,90139,120071,55343,57586	MDK,PTPRJ,CD82,LRP4,TSPAN18,GYLTL1B,SLC35C1,SYT13
human chr9p22.3	human chr9p22.3	0.00508495716074399	-5.28146867414955	9	3	0.00272975432211101	1099	26250	6595,11168,340481	SMARCA2,PSIP1,ZDHHC21
human chr2p13.2	human chr2p13.2	0.00508495716074399	-5.28146867414955	9	3	0.00272975432211101	1099	26250	56603,2016,10322	CYP26B1,EMX1,SMYD5
human chr20q13	human chr20q13	0.00703967839245567	-4.9561927927455	10	3	0.00272975432211101	1099	26250	6790,63916,655	AURKA,ELMO2,BMP7
human chr4q21.21	human chr4q21.21	0.00703967839245567	-4.9561927927455	10	3	0.00272975432211101	1099	26250	306,80144,55589	ANXA3,FRAS1,BMP2K
human chr5q23.3	human chr5q23.3	0.00703967839245567	-4.9561927927455	10	3	0.00272975432211101	1099	26250	337876,28965,6558	CHSY3,SLC27A6,SLC12A2
human chr22q13.1	human chr22q13.1	0.00725696579244251	-4.92579347242985	82	9	0.00818926296633303	1099	26250	25777,140564,3005,23616,23466,11078,164668,23467,23492	SUN2,APOBEC3D,H1F0,SH3BP1,CBX6,TRIOBP,APOBEC3H,NPTXR,CBX7
human chr4p14	human chr4p14	0.00759404457547423	-4.8803909473617	30	5	0.00454959053685168	1099	26250	116984,768211,54502,92689,51274	ARAP2,RELL1,RBM47,FAM114A1,KLF3
human chr2q33.3	human chr2q33.3	0.00865433194039168	-4.74969528104058	20	4	0.00363967242948135	1099	26250	57683,7855,3417,8828	ZDBF2,FZD5,IDH1,NRP2
human chr2q36.1	human chr2q36.1	0.00938102322223511	-4.66906643638727	11	3	0.00272975432211101	1099	26250	65080,5270,2043	MRPL44,SERPINE2,EPHA4
human chr22q13.1-q13.2	human chr22q13.1-q13.2	0.00993136399207568	-4.61205744962548	4	2	0.00181983621474067	1099	26250	9582,60489	APOBEC3B,APOBEC3G
human chr6p21	human chr6p21	0.0100186485640989	-4.60330706626414	32	5	0.00454959053685168	1099	26250	860,3159,3710,11329,4188	RUNX2,HMGA1,ITPR3,STK38,MDFI
human chr15q22.2	human chr15q22.2	0.0122294493664943	-4.4039083534778	22	4	0.00363967242948135	1099	26250	145773,83660,2958,9133	FAM81A,TLN2,GTF2A2,CCNB2
human chr8p21.2	human chr8p21.2	0.0122294493664943	-4.4039083534778	22	4	0.00363967242948135	1099	26250	157313,4824,80005,55872	CDCA2,NKX3-1,DOCK5,PBK
human chr7p12.1	human chr7p12.1	0.0160943744932073	-4.12928547840954	5	2	0.00181983621474067	1099	26250	63979,10371	FIGNL1,SEMA3A
human chr5q13.1	human chr5q13.1	0.0160943744932073	-4.12928547840954	5	2	0.00181983621474067	1099	26250	100506658,5295	OCLN,PIK3R1
human chr11q21	human chr11q21	0.0163562318539103	-4.11314630111492	36	5	0.00454959053685168	1099	26250	23052,79780,84441,120103,143686	ENDOD1,CCDC82,MAML2,SLC36A4,SESN3
