TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04142	Lysosome	3.32460722092797e-05	-10.3115739268844	123	21	0.047085201793722	446	6908	3920,3916,2548,6272,3074,9516,4891,10577,1514,2517,2799,950,22901,1075,1515,20,5476,2717,411,2760,27074	LAMP2,LAMP1,GAA,SORT1,HEXB,LITAF,SLC11A2,NPC2,CTSL,FUCA1,GNS,SCARB2,ARSG,CTSC,CTSV,ABCA2,CTSA,GLA,ARSB,GM2A,LAMP3
ko04142	Lysosome	3.32460722092797e-05	-10.3115739268844	123	21	0.047085201793722	446	6908	3920,3916,2548,6272,3074,9516,4891,10577,1514,2517,2799,950,22901,1075,1515,20,5476,2717,411,2760,27074	LAMP2,LAMP1,GAA,SORT1,HEXB,LITAF,SLC11A2,NPC2,CTSL,FUCA1,GNS,SCARB2,ARSG,CTSC,CTSV,ABCA2,CTSA,GLA,ARSB,GM2A,LAMP3
hsa04931	Insulin resistance	0.000236663380787429	-8.34887176069018	111	18	0.0403587443946188	446	6908	5563,2673,32,207,6195,5295,5465,5588,9021,5792,8660,6196,51422,28965,4792,376497,5293,9882	PRKAA2,GFPT1,ACACB,AKT1,RPS6KA1,PIK3R1,PPARA,PRKCQ,SOCS3,PTPRF,IRS2,RPS6KA2,PRKAG2,SLC27A6,NFKBIA,SLC27A1,PIK3CD,TBC1D4
hsa05205	Proteoglycans in cancer	0.000241837961520604	-8.3272426365701	203	27	0.0605381165919283	446	6908	3339,207,8322,5329,5295,6385,7157,22808,3710,2002,6382,5566,8324,8323,1514,3480,5336,7291,5600,5293,3685,2065,89780,7855,7074,2549,6300	HSPG2,AKT1,FZD4,PLAUR,PIK3R1,SDC4,TP53,MRAS,ITPR3,ELK1,SDC1,PRKACA,FZD7,FZD6,CTSL,IGF1R,PLCG2,TWIST1,MAPK11,PIK3CD,ITGAV,ERBB3,WNT3A,FZD5,TIAM1,GAB1,MAPK12
ko05205	Proteoglycans in cancer	0.000241837961520604	-8.3272426365701	203	27	0.0605381165919283	446	6908	3339,207,8322,5329,5295,6385,7157,22808,3710,2002,6382,5566,8324,8323,1514,3480,5336,7291,5600,5293,3685,2065,89780,7855,7074,2549,6300	HSPG2,AKT1,FZD4,PLAUR,PIK3R1,SDC4,TP53,MRAS,ITPR3,ELK1,SDC1,PRKACA,FZD7,FZD6,CTSL,IGF1R,PLCG2,TWIST1,MAPK11,PIK3CD,ITGAV,ERBB3,WNT3A,FZD5,TIAM1,GAB1,MAPK12
ko04722	Neurotrophin signaling pathway	0.000629549283907793	-7.37050641698398	120	18	0.0403587443946188	446	6908	6272,207,6195,5295,801,7157,397,9261,6196,27018,53358,4792,5336,5600,5293,4217,2549,6300	SORT1,AKT1,RPS6KA1,PIK3R1,CALM1,TP53,ARHGDIB,MAPKAPK2,RPS6KA2,NGFRAP1,SHC3,NFKBIA,PLCG2,MAPK11,PIK3CD,MAP3K5,GAB1,MAPK12
hsa04722	Neurotrophin signaling pathway	0.000629549283907793	-7.37050641698398	120	18	0.0403587443946188	446	6908	6272,207,6195,5295,801,7157,397,9261,6196,27018,53358,4792,5336,5600,5293,4217,2549,6300	SORT1,AKT1,RPS6KA1,PIK3R1,CALM1,TP53,ARHGDIB,MAPKAPK2,RPS6KA2,NGFRAP1,SHC3,NFKBIA,PLCG2,MAPK11,PIK3CD,MAP3K5,GAB1,MAPK12
hsa04068	FoxO signaling pathway	0.000912406970901652	-6.99942442740167	134	19	0.0426008968609865	446	6908	5563,207,5295,7046,23710,8660,51422,3480,10769,23678,10733,604,1027,6446,5600,5293,9133,1032,6300	PRKAA2,AKT1,PIK3R1,TGFBR1,GABARAPL1,IRS2,PRKAG2,IGF1R,PLK2,SGK3,PLK4,BCL6,CDKN1B,SGK1,MAPK11,PIK3CD,CCNB2,CDKN2D,MAPK12
hsa05166	HTLV-I infection	0.00112594705178566	-6.78913077365121	258	30	0.0672645739910314	446	6908	3601,207,8322,3134,5295,9232,7157,7046,22808,598,2002,292,2113,5566,2353,3105,8324,8323,1031,5154,3106,4792,5902,5293,3107,83660,89780,7855,4603,9133	IL15RA,AKT1,FZD4,HLA-F,PIK3R1,PTTG1,TP53,TGFBR1,MRAS,BCL2L1,ELK1,SLC25A5,ETS1,PRKACA,FOS,HLA-A,FZD7,FZD6,CDKN2C,PDGFA,HLA-B,NFKBIA,RANBP1,PIK3CD,HLA-C,TLN2,WNT3A,FZD5,MYBL1,CCNB2
ko05166	HTLV-I infection	0.00112594705178566	-6.78913077365121	258	30	0.0672645739910314	446	6908	3601,207,8322,3134,5295,9232,7157,7046,22808,598,2002,292,2113,5566,2353,3105,8324,8323,1031,5154,3106,4792,5902,5293,3107,83660,89780,7855,4603,9133	IL15RA,AKT1,FZD4,HLA-F,PIK3R1,PTTG1,TP53,TGFBR1,MRAS,BCL2L1,ELK1,SLC25A5,ETS1,PRKACA,FOS,HLA-A,FZD7,FZD6,CDKN2C,PDGFA,HLA-B,NFKBIA,RANBP1,PIK3CD,HLA-C,TLN2,WNT3A,FZD5,MYBL1,CCNB2
hsa05215	Prostate cancer	0.0015514936380485	-6.46853717460085	89	14	0.031390134529148	446	6908	5154,9134,56034,4824,207,3480,2263,4792,5295,7157,1027,6932,5293,2950	PDGFA,CCNE2,PDGFC,NKX3-1,AKT1,IGF1R,FGFR2,NFKBIA,PIK3R1,TP53,CDKN1B,TCF7,PIK3CD,GSTP1
ko05215	Prostate cancer	0.0015514936380485	-6.46853717460085	89	14	0.031390134529148	446	6908	5154,9134,56034,4824,207,3480,2263,4792,5295,7157,1027,6932,5293,2950	PDGFA,CCNE2,PDGFC,NKX3-1,AKT1,IGF1R,FGFR2,NFKBIA,PIK3R1,TP53,CDKN1B,TCF7,PIK3CD,GSTP1
ko04920	Adipocytokine signaling pathway	0.0015546488832783	-6.46650555738212	70	12	0.0269058295964126	446	6908	5563,8660,32,51422,207,84254,4792,5465,5588,2182,3953,9021	PRKAA2,IRS2,ACACB,PRKAG2,AKT1,CAMKK1,NFKBIA,PPARA,PRKCQ,ACSL4,LEPR,SOCS3
