TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00618	Fosphenytoin (Antiarrhythmic) Metabolism Pathway	0.00139395768382834	-6.57560832303832	4	3	0.0422535211267606	71	978	6640,6331,6641	SNTA1,SCN5A,SNTB1
SMP00499	Beta-mercaptolactate-cysteine disulfiduria	0.00243722424112666	-6.01689549333763	9	4	0.0563380281690141	71	978	2805,2730,2729,1491	GOT1,GCLM,GCLC,CTH
SMP00013	Cysteine Metabolism	0.00243722424112666	-6.01689549333763	9	4	0.0563380281690141	71	978	2805,2730,2729,1491	GOT1,GCLM,GCLC,CTH
SMP00722	Cystinosis- ocular nonnephropathic	0.00243722424112666	-6.01689549333763	9	4	0.0563380281690141	71	978	2730,2805,2729,1491	GCLM,GOT1,GCLC,CTH
SMP00472	Erlotinib Action Pathway	0.0148688491648925	-4.2084869145856	3	2	0.028169014084507	71	978	5243,9429	ABCB1,ABCG2
SMP00650	Doxorubicin Metabolism Pathway	0.0294743872684472	-3.52423362095299	17	4	0.0563380281690141	71	978	1728,7498,5243,9429	NQO1,XDH,ABCB1,ABCG2
SMP00327	Phenytoin (Antiarrhythmic) Action Pathway	0.0444534400175047	-3.11331292929672	77	10	0.140845070422535	71	978	6640,6331,476,1728,801,481,6641,10961,5566,9601	SNTA1,SCN5A,ATP1A1,NQO1,CALM1,ATP1B1,SNTB1,ERP29,PRKACA,PDIA4
SMP00640	Acetaminophen Metabolism Pathway	0.0462008443873319	-3.07475720427939	28	5	0.0704225352112676	71	978	2950,10961,5243,9601,9429	GSTP1,ERP29,ABCB1,PDIA4,ABCG2
SMP00320	Intracellular Signalling Through Adenosine Receptor A2a and Adenosine	0.0508531735030759	-2.97881274932823	38	6	0.0845070422535211	71	978	5600,2002,207,9693,6195,4792	MAPK11,ELK1,AKT1,RAPGEF2,RPS6KA1,NFKBIA
SMP00321	Intracellular Signalling Through Adenosine Receptor A2b and Adenosine	0.0508531735030759	-2.97881274932823	38	6	0.0845070422535211	71	978	5600,2002,207,9693,6195,4792	MAPK11,ELK1,AKT1,RAPGEF2,RPS6KA1,NFKBIA
SMP00433	Irinotecan Action Pathway	0.0594744828746286	-2.82220791766692	21	4	0.0563380281690141	71	978	10961,5243,9601,9429	ERP29,ABCB1,PDIA4,ABCG2
