TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
META_PWY-7426	mannosyl-glycoprotein N-acetylglucosaminyltransferases	0.0114466139245207	-4.47006131983387	8	4	0.0347826086956522	115	907	4122,11320,4249,11282	MAN2A2,MGAT4A,MGAT5,MGAT4B
HUMAN_PWY-6371	superpathway of inositol phosphate compounds	0.0132728455693175	-4.32203501735509	66	15	0.130434782608696	115	907	5335,23007,5728,90809,3635,5295,5336,79837,5290,5287,5293,200576,3706,9562,5330	PLCG1,PLCH1,PTEN,TMEM55B,INPP5D,PIK3R1,PLCG2,PIP4K2C,PIK3CA,PIK3C2B,PIK3CD,PIKFYVE,ITPKA,MINPP1,PLCB2
HUMAN_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0138779744234178	-4.27745226946528	17	6	0.0521739130434783	115	907	5335,23007,5330,90809,5336,79837	PLCG1,PLCH1,PLCB2,TMEM55B,PLCG2,PIP4K2C
META_PWY-4041	gamma-glutamyl cycle	0.0159539125419012	-4.13805117939984	2	2	0.0173913043478261	115	907	2730,2729	GCLM,GCLC
META_PWY-5340	sulfate activation for sulfonation	0.0159539125419012	-4.13805117939984	2	2	0.0173913043478261	115	907	9060,9061	PAPSS2,PAPSS1
HUMAN_PWY-5340	sulfate activation for sulfonation	0.0159539125419012	-4.13805117939984	2	2	0.0173913043478261	115	907	9060,9061	PAPSS2,PAPSS1
META_LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)	0.0159539125419012	-4.13805117939984	2	2	0.0173913043478261	115	907	501,10157	ALDH7A1,AASS
HUMAN_PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0.0159539125419012	-4.13805117939984	2	2	0.0173913043478261	115	907	55907,54187	CMAS,NANS
HUMAN_LYSINE-DEG1-PWY	lysine degradation I (saccharopine pathway)	0.0159539125419012	-4.13805117939984	2	2	0.0173913043478261	115	907	501,10157	ALDH7A1,AASS
HUMAN_PWY-0	putrescine degradation III	0.018608796497293	-3.98412088009712	9	4	0.0347826086956522	115	907	221,217,224,6303	ALDH3B1,ALDH2,ALDH3A2,SAT1
HUMAN_PWY-6398	melatonin degradation I	0.0280241155698801	-3.57468986913456	10	4	0.0347826086956522	115	907	113612,5447,29785,1545	CYP2U1,POR,CYP2S1,CYP1B1
META_PWY-5327	superpathway of L-lysine degradation	0.0297898293656564	-3.51358824018015	6	3	0.0260869565217391	115	907	501,1428,10157	ALDH7A1,CRYM,AASS
