TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Liver enzyme levels (alkaline phosphatase)(PMID:22001757)	Liver enzyme levels (alkaline phosphatase)(PMID:22001757)	0.000733915302405894	-7.21711692782549	8	5	0.0185873605947955	269	2389	9415,2524,26090,2822,84224	FADS2,FUT2,ABHD12,GPLD1,NBPF3
Information processing speed(PMID:21130836)	Information processing speed(PMID:21130836)	0.00150011920117241	-6.50221070658307	9	5	0.0185873605947955	269	2389	26033,23510,25924,23731,642273	ATRNL1,KCTD2,MYRIP,TMEM245,FAM110C
HDL cholesterol(PMID:21909109)	HDL cholesterol(PMID:21909109)	0.0118763124952262	-4.43320940925519	5	3	0.0111524163568773	269	2389	4940,5819,19	OAS3,PVRL2,ABCA1
Nephrolithiasis(PMID:22396660)	Nephrolithiasis(PMID:22396660)	0.0126367851535693	-4.37114326172946	2	2	0.00743494423791822	269	2389	160851,10636	DGKH,RGS14
Hirschsprung&#39;s disease(PMID:19196962)	Hirschsprung&#39;s disease(PMID:19196962)	0.0126367851535693	-4.37114326172946	2	2	0.00743494423791822	269	2389	3084,5979	NRG1,RET
Breast cancer(PMID:20453838)	Breast cancer(PMID:20453838)	0.0349999797574194	-3.35240779585234	7	3	0.0111524163568773	269	2389	57178,2263,22891	ZMIZ1,FGFR2,ZNF365
Renal function-related traits (sCR)(PMID:22797727)	Renal function-related traits (sCR)(PMID:22797727)	0.0349999797574194	-3.35240779585234	7	3	0.0111524163568773	269	2389	217,10636,57619	ALDH2,RGS14,SHROOM3
Hippocampal atrophy(PMID:19668339)	Hippocampal atrophy(PMID:19668339)	0.0349999797574194	-3.35240779585234	7	3	0.0111524163568773	269	2389	1946,114569,411	EFNA5,MAL2,ARSB
Hepatitis C induced liver fibrosis(PMID:22841784)	Hepatitis C induced liver fibrosis(PMID:22841784)	0.0350833578603113	-3.35002839598174	3	2	0.00743494423791822	269	2389	10461,83468	MERTK,GLT8D2
Multiple sclerosis(PMID:21654844)	Multiple sclerosis(PMID:21654844)	0.0350833578603113	-3.35002839598174	3	2	0.00743494423791822	269	2389	23321,64208	TRIM2,POPDC3
Nasopharyngeal carcinoma(PMID:20512145)	Nasopharyngeal carcinoma(PMID:20512145)	0.0350833578603113	-3.35002839598174	3	2	0.00743494423791822	269	2389	55504,2122	TNFRSF19,MECOM
Iris characteristics(PMID:21835309)	Iris characteristics(PMID:21835309)	0.0350833578603113	-3.35002839598174	3	2	0.00743494423791822	269	2389	10371,26146	SEMA3A,TRAF3IP1
Attention deficit hyperactivity disorder (time to onset)(PMID:18937294)	Attention deficit hyperactivity disorder (time to onset)(PMID:18937294)	0.0350833578603113	-3.35002839598174	3	2	0.00743494423791822	269	2389	9509,55959	ADAMTS2,SULF2
Response to statin therapy(PMID:20339536)	Response to statin therapy(PMID:20339536)	0.0374378384253628	-3.28507336340475	12	4	0.0148698884758364	269	2389	79789,57217,9415,1952	CLMN,TTC7A,FADS2,CELSR2
Pulmonary function(PMID:21946350)	Pulmonary function(PMID:21946350)	0.0435623792732033	-3.13356136181207	18	5	0.0185873605947955	269	2389	4324,81706,4277,120935,2122	MMP15,PPP1R14C,MICB,CCDC38,MECOM
Folate pathway vitamin levels(PMID:19303062)	Folate pathway vitamin levels(PMID:19303062)	0.0649854665570674	-2.73359162551652	4	2	0.00743494423791822	269	2389	2524,84224	FUT2,NBPF3
Multiple sclerosis (age of onset)(PMID:19010793)	Multiple sclerosis (age of onset)(PMID:19010793)	0.0649854665570674	-2.73359162551652	4	2	0.00743494423791822	269	2389	344148,5125	NCKAP5,PCSK5
Systemic sclerosis(PMID:21750679)	Systemic sclerosis(PMID:21750679)	0.0649854665570674	-2.73359162551652	4	2	0.00743494423791822	269	2389	10318,6775	TNIP1,STAT4
Crohn&#39;s disease and psoriasis(PMID:22482804)	Crohn&#39;s disease and psoriasis(PMID:22482804)	0.0649854665570674	-2.73359162551652	4	2	0.00743494423791822	269	2389	57178,254887	ZMIZ1,ZDHHC23
Intracranial aneurysm(PMID:22286173)	Intracranial aneurysm(PMID:22286173)	0.0649854665570674	-2.73359162551652	4	2	0.00743494423791822	269	2389	217,1909	ALDH2,EDNRA
HIV-1 control(PMID:21051598)	HIV-1 control(PMID:21051598)	0.0649854665570674	-2.73359162551652	4	2	0.00743494423791822	269	2389	3106,10866	HLA-B,HCP5
Immune reponse to smallpox (secreted IFN-alpha)(PMID:22610502)	Immune reponse to smallpox (secreted IFN-alpha)(PMID:22610502)	0.0654804712392766	-2.72600332981486	20	5	0.0185873605947955	269	2389	6446,4052,11064,10396,1612	SGK1,LTBP1,CNTRL,ATP8A1,DAPK1
Ventricular conduction(PMID:21076409)	Ventricular conduction(PMID:21076409)	0.0789271597127461	-2.53922988079786	15	4	0.0148698884758364	269	2389	6331,11278,26018,26037	SCN5A,KLF12,LRIG1,SIPA1L1
