TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	3.84406685345437e-12	-26.2844902333343	379	112	0.071156289707751	1574	9988	26030,161742,4534,4771,64855,6710,27237,64787,55160,23527,143872,6002,63916,53358,55715,26031,5998,5336,1785,153090,219790,54566,114881,83660,7074,10817,207,51177,7430,7145,54443,157,26084,58473,29,84951,8660,23007,55200,5335,128272,23164,11078,57480,51332,64097,321,2549,2245,64411,50650,10160,55691,9826,55111,23216,11113,122786,8874,5922,2059,83605,5338,7006,6305,23239,139818,320,55701,64759,7408,156,55103,56899,23263,5902,54893,149371,79156,93664,29116,9855,57669,5923,116984,64283,22874,653583,144100,221178,6641,144717,5921,9479,23150,83478,160851,84220,23075,130271,26119,116985,55198,55785,5337,9882,60312,23229,50619,25791,23348,50649	PLEKHG3,SPRED1,MTM1,NF2,FAM129B,SPTB,ARHGEF16,EPS8L2,ARHGEF10L,ACAP2,ARHGAP42,RGS12,ELMO2,SHC3,DOK4,OSBPL3,RGS3,PLCG2,DNM2,DAB2IP,RTKN2,EPB41L4B,OSBPL7,TLN2,TIAM1,FRS3,AKT1,PLEKHO1,EZR,TNS1,ANLN,ADRBK2,ARHGEF26,PLEKHB1,ABR,TNS4,IRS2,PLCH1,PLEKHG6,PLCG1,ARHGEF19,MPRIP,TRIOBP,PLEKHG1,SPTBN5,EPB41L4A,APBA2,GAB1,FGD1,ARAP3,ARHGEF3,FARP1,FRMD4A,ARHGEF11,PLEKHJ1,TBC1D1,CIT,FRMD6,ARHGEF7,RASA2,EPS8,CCM2,PLD2,TEC,SBF1,PHLPP1,DOCK11,APBA1,ARHGEF40,TNS3,VASP,ADRBK1,RALGPS2,ANKS1B,MCF2L,RANBP1,MTMR10,EXOC8,PLEKHF1,CADPS2,MYLIP,FARP2,EPB41L5,RASGRF1,ARAP2,ARHGEF28,PLEKHA6,PHLDB3,PLEKHA7,SPATA13,SNTB1,FAM109A,RASA1,MAPK8IP1,FRMD4B,ARHGAP24,DGKH,RGPD5,SWAP70,PLEKHH2,LDLRAP1,ARAP1,APPL2,FGD6,PLD1,TBC1D4,AFAP1,ARHGEF9,DEF6,NGEF,DOCK9,ARHGEF4
1.20.900.10	-	1.42221721185519e-05	-11.1607083943014	71	26	0.0165184243964422	1574	9988	26030,5923,64283,50650,10160,9826,8874,221178,55701,27237,26084,29,55160,55200,128272,389337,23263,57480,55785,7074,259173,23229,25791,50649,2245,9855	PLEKHG3,RASGRF1,ARHGEF28,ARHGEF3,FARP1,ARHGEF11,ARHGEF7,SPATA13,ARHGEF40,ARHGEF16,ARHGEF26,ABR,ARHGEF10L,PLEKHG6,ARHGEF19,ARHGEF37,MCF2L,PLEKHG1,FGD6,TIAM1,ALS2CL,ARHGEF9,NGEF,ARHGEF4,FGD1,FARP2
1.10.238.10	-	0.000382320147254545	-7.86925221853399	260	62	0.0393900889453621	1574	9988	10398,29957,9185,147968,6282,10165,794,162494,1606,808,79180,25780,4925,6273,85021,51440,23413,5523,51150,5358,805,5954,824,63941,9478,5330,1608,6284,10125,6277,11261,25801,30818,54885,6775,6275,801,7402,5357,826,83543,867,90411,10627,3936,51199,10235,4924,5335,23007,53905,6778,10669,85407,6772,6276,9813,5311,55012,1821,823,10938	MYL9,SLC25A24,REPS2,CAPN12,S100A11,SLC25A13,CALB2,RHBDL3,DGKA,CALM3,EFHD2,RASGRP3,NUCB2,S100A2,REPS1,HPCAL4,NCS1,PPP2R3A,SDF4,PLS3,CALM2,RCN1,CAPN2,NECAB3,CABP1,PLCB2,DGKG,S100A13,RASGRP1,S100A6,CHP1,GCA,KCNIP3,TBC1D8B,STAT4,S100A4,CALM1,UTRN,PLS1,CAPNS1,AIF1L,CBL,MCFD2,MYL12A,LCP1,NIN,RASGRP2,NUCB1,PLCG1,PLCH1,DUOX1,STAT6,CGREF1,NKD1,STAT1,S100A5,EFCAB14,PKD2,PPP2R3C,DRP2,CAPN1,EHD1
2.60.40.150	-	0.000449473119876775	-7.70743450589236	146	39	0.0247776365946633	1574	9988	5321,8448,5922,55784,8938,94121,5585,54843,84144,11060,221184,5998,9783,5336,5290,153090,11059,5293,5330,94120,9699,79772,827,83737,5588,23344,29,5921,5335,23007,9066,22841,8821,80223,8291,5287,57586,123036,57488	PLA2G4A,DOC2A,RASA2,MCTP2,BAIAP3,SYTL4,PKN1,SYTL2,SYDE2,WWP2,CPNE2,RGS3,RIMS3,PLCG2,PIK3CA,DAB2IP,WWP1,PIK3CD,PLCB2,SYTL3,RIMS2,MCTP1,CAPN6,ITCH,PRKCQ,ESYT1,ABR,RASA1,PLCG1,PLCH1,SYT7,RAB11FIP2,INPP4B,RAB11FIP1,DYSF,PIK3C2B,SYT13,TC2N,ESYT2
3.40.850.10	-	0.000684514836178363	-7.28680023899533	44	16	0.0101651842439644	1574	9988	3797,90990,10112,10749,9493,9585,63971,11004,3832,26153,3799,23303,9928,3835,1062,113220	KIF3C,KIFC2,KIF20A,KIF1C,KIF23,KIF20B,KIF13A,KIF2C,KIF11,KIF26A,KIF5B,KIF13B,KIF14,KIF22,CENPE,KIF12
1.10.472.10	-	0.000688143486289917	-7.28151318612169	40	15	0.00952986022871665	1574	9988	9134,892,10983,595,5925,890,85417,5933,10309,79616,57018,899,891,9133,8851	CCNE2,CCNC,CCNI,CCND1,RB1,CCNA2,CCNB3,RBL1,CCNO,CCNJL,CCNL1,CCNF,CCNB1,CCNB2,CDK5R1
2.30.42.10	-	0.000798247992272829	-7.13309124153342	150	39	0.0247776365946633	1574	9988	84443,4008,10083,9826,85415,64398,320,9351,9463,6640,57568,6002,5998,1739,30851,1741,7074,375449,1856,9699,8573,9693,4354,6645,117583,23513,55914,6641,57716,114822,392862,27134,27295,57619,3984,26037,4355,321,357	FRMPD3,LMO7,USH1C,ARHGEF11,RHPN2,MPP5,APBA1,SLC9A3R2,PICK1,SNTA1,SIPA1L2,RGS12,RGS3,DLG1,TAX1BP3,DLG3,TIAM1,MAST4,DVL2,RIMS2,CASK,RAPGEF2,MPP1,SNTB2,PARD3B,SCRIB,ERBB2IP,SNTB1,PRX,RHPN1,GRID2IP,TJP3,PDLIM3,SHROOM3,LIMK1,SIPA1L1,MPP2,APBA2,SHROOM2
1.20.80.10	-	0.000874993959849107	-7.04129357466008	49	17	0.0108005082592122	1574	9988	57669,91452,10160,55691,4771,122786,64746,7430,23150,130271,1622,10455,54566,64097,83660,29116,9855	EPB41L5,ACBD5,FARP1,FRMD4A,NF2,FRMD6,ACBD3,EZR,FRMD4B,PLEKHH2,DBI,ECI2,EPB41L4B,EPB41L4A,TLN2,MYLIP,FARP2
3.80.20.20	-	0.00153414542764059	-6.4797817776358	7	5	0.00317662007623888	1574	9988	2064,3643,2065,3480,1956	ERBB2,INSR,ERBB3,IGF1R,EGFR
1.25.40.10	-	0.0023168305086539	-6.06755518741435	194	46	0.0292249047013977	1574	9988	123016,22980,158219,6767,160418,55214,5611,64837,54821,23038,22878,29899,9049,10513,79809,8774,9881,10811,11153,147700,3434,55823,83857,79836,54777,57217,9694,160335,899,3437,27031,85461,146862,6674,84220,5830,9812,54970,5709,8974,283208,57728,23523,23508,125488,26115	TTC8,TCF25,TTC39B,ST13,TMTC3,P3H2,DNAJC3,KLC2,ERCC6L,WDTC1,TRAPPC8,GPSM2,AIP,APPBP2,TTC21B,NAPG,TRANK1,NOXA1,FICD,KLC3,IFIT1,VPS11,TMTC1,LONRF3,CFAP46,TTC7A,EMC2,TMTC2,CCNF,IFIT3,NPHP3,TANC1,UNC45B,SPAG1,RGPD5,PEX5,KIAA0141,TTC12,PSMD3,P4HA2,P4HA3,WDR19,CABIN1,TTC9,TTC39C,TANC2
