TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00109	TYRKINASE	4.16091793869674e-07	-14.6923599426861	98	33	0.0499243570347958	661	4759	8711,114783,2043,5979,2064,10420,7006,780,10461,3480,4293,2065,2050,6885,6850,7016,2041,7525,4919,1956,7294,284656,2534,3643,3716,2263,5754,558,3984,4296,84451,6259,3718	TNK1,LMTK3,EPHA4,RET,ERBB2,TESK2,TEC,DDR1,MERTK,IGF1R,MAP3K9,ERBB3,EPHB4,MAP3K7,SYK,TESK1,EPHA1,YES1,ROR1,EGFR,TXK,EPHA10,FYN,INSR,JAK1,FGFR2,PTK7,AXL,LIMK1,MAP3K11,KIAA1804,RYK,JAK3
PR00380	KINESINHEAVY	0.000150759846633903	-8.79982240685225	44	16	0.0242057488653555	661	4759	3797,10112,90990,10749,9493,9585,63971,11004,3832,26153,3799,23303,9928,3835,1062,113220	KIF3C,KIF20A,KIFC2,KIF1C,KIF23,KIF20B,KIF13A,KIF2C,KIF11,KIF26A,KIF5B,KIF13B,KIF14,KIF22,CENPE,KIF12
PR00259	TMFOUR	0.00036669512635419	-7.91097977352838	30	12	0.0181543116490166	661	4759	23555,967,7105,3732,90139,928,27075,10103,975,26262,7102,340348	TSPAN15,CD63,TSPAN6,CD82,TSPAN18,CD9,TSPAN13,TSPAN1,CD81,TSPAN17,TSPAN7,TSPAN33
PR00661	ERMFAMILY	0.00060980511104032	-7.40237114194259	16	8	0.0121028744326778	661	4759	57669,10160,4771,7430,54566,64097,29116,9855	EPB41L5,FARP1,NF2,EZR,EPB41L4B,EPB41L4A,MYLIP,FARP2
PR00452	SH3DOMAIN	0.0006505951990807	-7.33762292317036	83	23	0.0347957639939486	661	4759	274,3927,11252,10580,8874,152503,10174,7525,7006,9564,30011,153769,79729,5335,2534,5336,4293,84451,4296,26578,2017,29993,4703	BIN1,LASP1,PACSIN2,SORBS1,ARHGEF7,SH3D19,SORBS3,YES1,TEC,BCAR1,SH3KBP1,SH3RF2,SH3D21,PLCG1,FYN,PLCG2,MAP3K9,KIAA1804,MAP3K11,OSTF1,CTTN,PACSIN1,NEB
PR00935	BAND41	0.00113707137310034	-6.77929929300857	25	10	0.0151285930408472	661	4759	57669,10160,55691,4771,7430,54566,64097,29116,9855,23150	EPB41L5,FARP1,FRMD4A,NF2,EZR,EPB41L4B,EPB41L4A,MYLIP,FARP2,FRMD4B
PR00779	INSP3RECEPTR	0.00266905495398888	-5.9260308190419	3	3	0.00453857791225416	661	4759	3709,3710,3708	ITPR2,ITPR3,ITPR1
PR01284	NUCLEARECPTR	0.00266905495398888	-5.9260308190419	3	3	0.00453857791225416	661	4759	4929,3164,8013	NR4A2,NR4A1,NR4A3
PR00454	ETSDOMAIN	0.00308737241711659	-5.78043490027322	28	10	0.0151285930408472	661	4759	2005,2004,2114,2119,2001,2002,51513,2118,2113,1999	ELK4,ELK3,ETS2,ETV5,ELF5,ELK1,ETV7,ETV4,ETS1,ELF3
PR01638	MHCCLASSI	0.00395490981904624	-5.5327974797807	9	5	0.0075642965204236	661	4759	3106,3107,3133,3134,3105	HLA-B,HLA-C,HLA-E,HLA-F,HLA-A
PR00119	CATATPASE	0.00599336898208338	-5.11710159055716	35	11	0.0166414523449319	661	4759	476,10079,540,10396,79572,9914,5205,148229,57205,490,23400	ATP1A1,ATP9A,ATP7B,ATP8A1,ATP13A3,ATP2C2,ATP8B1,ATP8B3,ATP10D,ATP2B1,ATP13A2
PR00926	MITOCARRIER	0.00826078145838417	-4.7962360883717	27	9	0.0136157337367625	661	4759	153328,283130,29957,291,10165,55972,292,203427,55186	SLC25A48,SLC25A45,SLC25A24,SLC25A4,SLC25A13,SLC25A40,SLC25A5,SLC25A43,SLC25A36
PR00336	LYSASSOCTDMP	0.00956841609862658	-4.64928759415063	4	3	0.00453857791225416	661	4759	3920,3916,27074	LAMP2,LAMP1,LAMP3
PR01773	P38MAPKINASE	0.00956841609862658	-4.64928759415063	4	3	0.00453857791225416	661	4759	5603,5600,6300	MAPK13,MAPK11,MAPK12
PR00705	PAPAIN	0.0114073880533087	-4.47349405863986	11	5	0.0075642965204236	661	4759	1514,1522,1075,1508,1515	CTSL,CTSZ,CTSC,CTSB,CTSV
PR00489	FRIZZLED	0.0114073880533087	-4.47349405863986	11	5	0.0075642965204236	661	4759	7855,8322,8324,8323,6608	FZD5,FZD4,FZD7,FZD6,SMO
PR00504	CHROMODOMAIN	0.0162406192168701	-4.12023981585788	8	4	0.00605143721633888	661	4759	23468,23492,8535,23466	CBX5,CBX7,CBX4,CBX6
PR00296	CYCLINKINASE	0.01926660761179	-3.94938185710862	2	2	0.00302571860816944	661	4759	1163,1164	CKS1B,CKS2
PR00740	GLHYDRLASE27	0.01926660761179	-3.94938185710862	2	2	0.00302571860816944	661	4759	2717,4668	GLA,NAGA
PR00676	MASPIN	0.01926660761179	-3.94938185710862	2	2	0.00302571860816944	661	4759	5268,5272	SERPINB5,SERPINB9
PR00443	GPROTEINAS	0.01926660761179	-3.94938185710862	2	2	0.00302571860816944	661	4759	2778,2774	GNAS,GNAL
PR00047	STROIDFINGER	0.0201024192465037	-3.90691511063728	46	12	0.0181543116490166	661	4759	7068,2908,9975,3164,7067,5465,8013,4929,5916,4306,7181,7182	THRB,NR3C1,NR1D2,NR4A1,THRA,PPARA,NR4A3,NR4A2,RARG,NR3C2,NR2C1,NR2C2
PR01748	AP2TNSCPFCT	0.0214576622019846	-3.84167348517947	5	3	0.00453857791225416	661	4759	7022,7020,339488	TFAP2C,TFAP2A,TFAP2E
PR01536	INTRLKN1R12F	0.0385304262035283	-3.25630705880317	6	3	0.00453857791225416	661	4759	3554,3556,8809	IL1R1,IL1RAP,IL18R1
PR00689	ACOABINDINGP	0.0385304262035283	-3.25630705880317	6	3	0.00453857791225416	661	4759	91452,10455,1622	ACBD5,ECI2,DBI
PR00310	ANTIPRLFBTG1	0.0385304262035283	-3.25630705880317	6	3	0.00453857791225416	661	4759	10950,694,10140	BTG3,BTG1,TOB1
PR01764	MAPKPHPHTASE	0.038772868898811	-3.25003453213113	10	4	0.00605143721633888	661	4759	11221,1846,1847,1843	DUSP10,DUSP4,DUSP5,DUSP1
PR00469	PNDRDTASEII	0.0524617129267041	-2.94767165302341	3	2	0.00302571860816944	661	4759	150209,84883	AIFM3,AIFM2
PR00660	ERLUMENR	0.0524617129267041	-2.94767165302341	3	2	0.00302571860816944	661	4759	11015,10945	KDELR3,KDELR1
PR00386	P53SUPPRESSR	0.0524617129267041	-2.94767165302341	3	2	0.00302571860816944	661	4759	7161,7157	TP73,TP53
PR00967	ONCOGENEAML1	0.0524617129267041	-2.94767165302341	3	2	0.00302571860816944	661	4759	864,860	RUNX3,RUNX2
PR00056	HSFDOMAIN	0.0524617129267041	-2.94767165302341	3	2	0.00302571860816944	661	4759	3299,3298	HSF4,HSF2
PR01088	NAHEXCHNGR6	0.0524617129267041	-2.94767165302341	3	2	0.00302571860816944	661	4759	10479,84679	SLC9A6,SLC9A7
PR00398	STRDHORMONER	0.0530960200536856	-2.93565330545127	47	11	0.0166414523449319	661	4759	7068,9975,2908,3164,7067,8013,5465,4929,5916,7181,7182	THRB,NR1D2,NR3C1,NR4A1,THRA,NR4A3,PPARA,NR4A2,RARG,NR2C1,NR2C2
PR01270	HDASUPER	0.0544102865252071	-2.91120205245871	11	4	0.00605143721633888	661	4759	3065,10013,79885,9734	HDAC1,HDAC6,HDAC11,HDAC9
PR00756	ALADIPTASE	0.0544102865252071	-2.91120205245871	11	4	0.00605143721633888	661	4759	51752,6051,4048,64167	ERAP1,RNPEP,LTA4H,ERAP2
PR01415	ANKYRIN	0.0548813827587524	-2.90258109984052	112	22	0.0332829046898638	661	4759	4659,4794,5716,79754,85461,580,147463,286,203286,22881,56899,4792,84988,1612,55075,23253,64332,26578,6041,4791,26115,256949	PPP1R12A,NFKBIE,PSMD10,ASB13,TANC1,BARD1,ANKRD29,ANK1,ANKS6,ANKRD6,ANKS1B,NFKBIA,PPP1R16A,DAPK1,UACA,ANKRD12,NFKBIZ,OSTF1,RNASEL,NFKB2,TANC2,KANK3
PR00412	EPOXHYDRLASE	0.0605942706977303	-2.80355493331808	7	3	0.00453857791225416	661	4759	4232,2052,253152	MEST,EPHX1,EPHX4
PR00717	GPCRKINASE	0.0605942706977303	-2.80355493331808	7	3	0.00453857791225416	661	4759	2870,156,157	GRK6,ADRBK1,ADRBK2
PR00785	NCTRNSLOCATR	0.0605942706977303	-2.80355493331808	7	3	0.00453857791225416	661	4759	9915,2034,405	ARNT2,EPAS1,ARNT
PR00195	DYNAMIN	0.0605942706977303	-2.80355493331808	7	3	0.00453857791225416	661	4759	4599,10059,1785	MX1,DNM1L,DNM2
PR00376	IL1BCENZYME	0.0729364931015826	-2.61816617397896	12	4	0.00605143721633888	661	4759	836,840,837,842	CASP3,CASP7,CASP4,CASP9
PR01301	RGSPROTEIN	0.0737197854854405	-2.60748405604041	22	6	0.00907715582450832	661	4759	8787,8490,6002,10636,5998,8601	RGS9,RGS5,RGS12,RGS14,RGS3,RGS20
PR01347	EPHRIN	0.0872064615865245	-2.43947685004963	8	3	0.00453857791225416	661	4759	1946,1942,1947	EFNA5,EFNA1,EFNB1
PR01185	INTEGRINA	0.0929214192497476	-2.37600109730777	18	5	0.0075642965204236	661	4759	3685,3675,3679,3655,3674	ITGAV,ITGA3,ITGA7,ITGA6,ITGA2B
PR00220	SYNAPTOPHYSN	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	6855,6856	SYP,SYPL1
PR01823	JANUSKINASE	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	3716,3718	JAK1,JAK3
PR00742	GLHYDRLASE35	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	2720,89944	GLB1,GLB1L2
PR01406	BBOXZNFINGER	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	6737,81786	TRIM21,TRIM7
PR00546	THYROIDHORMR	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	7068,7067	THRB,THRA
PR01452	LNOTCHREPEAT	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	4853,4854	NOTCH2,NOTCH3
PR00927	ADPTRNSLCASE	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	291,292	SLC25A4,SLC25A5
PR00381	KINESINLIGHT	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	64837,147700	KLC2,KLC3
PR01428	PROTEASEAR	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	2149,2150	F2R,F2RL1
PR01473	ICAM	0.095355009756607	-2.35014840760688	4	2	0.00302571860816944	661	4759	7087,3383	ICAM5,ICAM1
PR01084	NAHEXCHNGR	0.117775099011531	-2.13897841371262	9	3	0.00453857791225416	661	4759	10479,84679,6549	SLC9A6,SLC9A7,SLC9A2
PR00267	INTFRNREGFCT	0.117775099011531	-2.13897841371262	9	3	0.00453857791225416	661	4759	3660,3665,3659	IRF2,IRF7,IRF1
PR00465	EP450IV	0.117775099011531	-2.13897841371262	9	3	0.00453857791225416	661	4759	56603,51302,1592	CYP26B1,CYP39A1,CYP26A1
