TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00099	btg1	0.00011337069137072	-9.08484765359647	6	3	0.0180722891566265	166	9131	10140,7832,10766	TOB1,BTG2,TOB2
SM00109	C1	0.00112271634169231	-6.79200422489842	65	6	0.036144578313253	166	9131	5588,23683,9475,23526,23371,23025	PRKCQ,PRKD3,ROCK2,HMHA1,TNS2,UNC13A
SM00043	CY	0.00332657530097113	-5.70581194234197	17	3	0.0180722891566265	166	9131	1474,1475,1471	CST6,CSTA,CST3
SM00471	HDc	0.00902194200905021	-4.70809566774324	24	3	0.0180722891566265	166	9131	10846,5139,5142	PDE10A,PDE3A,PDE4B
SM00382	AAA	0.015911941246413	-4.14068542984471	144	7	0.0421686746987952	166	9131	8714,85441,79659,54863,26154,5825,5243	ABCC3,HELZ2,DYNC2H1,TOR4A,ABCA12,ABCD3,ABCB1
SM00929	NADH-G_4Fe-4S_3	0.0181798269630438	-4.00744270826249	1	1	0.00602409638554217	166	9131	4719	NDUFS1
SM00941	PYNP_C	0.0181798269630438	-4.00744270826249	1	1	0.00602409638554217	166	9131	1890	TYMP
SM01060	Catalase	0.0181798269630438	-4.00744270826249	1	1	0.00602409638554217	166	9131	847	CAT
SM00180	EGF_Lam	0.0233781837411973	-3.75595201025018	34	3	0.0180722891566265	166	9131	3910,3913,3912	LAMA4,LAMB2,LAMB1
SM00136	LamNT	0.0333595938314667	-3.40040987688146	16	2	0.0120481927710843	166	9131	3913,3912	LAMB2,LAMB1
SM00902	Fe_hyd_SSU	0.0360311028359953	-3.32337274586473	2	1	0.00602409638554217	166	9131	64428	NARFL
SM00080	LIF_OSM	0.0360311028359953	-3.32337274586473	2	1	0.00602409638554217	166	9131	3976	LIF
SM00812	Alpha_L_fucos	0.0360311028359953	-3.32337274586473	2	1	0.00602409638554217	166	9131	2517	FUCA1
SM00423	PSI	0.0480203305974091	-3.03613080363528	45	3	0.0180722891566265	166	9131	223117,3691,10371	SEMA3D,ITGB4,SEMA3A
SM00399	ZnF_C4	0.0507080605448539	-2.98167039591619	46	3	0.0180722891566265	166	9131	7026,5468,7025	NR2F2,PPARG,NR2F1
SM00143	PI3K_p85B	0.0535597299514414	-2.92695780015393	3	1	0.00602409638554217	166	9131	5290	PIK3CA
SM00228	PDZ	0.0542293441029637	-2.91453311292915	149	6	0.036144578313253	166	9131	6386,6641,10611,7074,64798,113146	SDCBP,SNTB1,PDLIM5,TIAM1,DEPTOR,AHNAK2
SM00220	S_TKc	0.0555723292097194	-2.89006987769163	268	9	0.0542168674698795	166	9131	23043,817,23683,9344,9748,6446,5588,11040,9475	TNIK,CAMK2D,PRKD3,TAOK2,SLK,SGK1,PRKCQ,PIM2,ROCK2
SM00430	HOLI	0.0562979589024063	-2.87709699844739	48	3	0.0180722891566265	166	9131	7026,5468,7025	NR2F2,PPARG,NR2F1
SM00227	NEBU	0.070771505239187	-2.64829882766766	4	1	0.00602409638554217	166	9131	10529	NEBL
SM00737	ML	0.070771505239187	-2.64829882766766	4	1	0.00602409638554217	166	9131	10577	NPC2
SM00664	DoH	0.070771505239187	-2.64829882766766	4	1	0.00602409638554217	166	9131	391059	FRRS1
SM00051	DSL	0.070771505239187	-2.64829882766766	4	1	0.00602409638554217	166	9131	182	JAG1
SM00678	WWE	0.070771505239187	-2.64829882766766	4	1	0.00602409638554217	166	9131	23220	DTX4
