TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005515	protein binding	5.26257786457831e-11	-23.6678150279161	10510	477	0.75594294770206	631	16491	8728,196513,27242,134353,55308,3074,6890,9666,8938,891,121457,767,22809,23580,9722,3833,1031,85441,1890,6134,6281,150275,26031,220,5818,283237,5290,1408,64129,51257,83548,10472,7074,1363,60489,3920,3976,6133,90990,7071,132671,6645,79971,23526,7039,26994,665,7447,64798,9638,8541,899,55601,5447,79666,55608,6827,10769,10550,92689,135932,642273,23119,1979,81848,8793,64393,11325,1948,10808,3636,79142,9748,94241,1609,6662,1660,55022,51477,10483,6273,6505,9600,4000,3725,2799,6494,55806,3675,5480,23767,706,3913,51582,23554,6386,79830,8694,9961,5631,9475,25946,3156,171392,1643,1308,221937,9219,6262,5836,10577,10567,3611,26999,51129,355,3667,847,6158,4905,50484,3091,1462,160,6276,81610,140606,4190,85365,10611,91392,3875,29959,29085,2582,3659,1728,3635,8493,27346,2495,55266,780,8895,6389,3303,10513,64787,5331,282991,1912,23683,334,6337,6464,55603,26154,5825,2941,51434,64219,84918,379,5874,1266,10484,54961,10952,1292,3855,374393,23224,55726,6303,6594,1153,23314,87,5588,2189,214,6793,29934,2287,6773,90957,10521,54331,4488,817,126353,10607,3912,8821,3200,6400,6772,5937,51495,10509,8899,123016,9344,4719,3489,7508,91404,10123,10763,2950,27286,1947,965,119392,2937,6640,9077,6118,63901,10529,80131,1384,25945,1471,23025,2232,8313,581,79156,308,50808,56912,6277,81607,30061,7050,2254,26509,5295,29070,9770,54492,6641,23371,2296,1891,301,2263,51,10447,5243,5268,64782,3685,317,11040,10391,3169,2016,836,375790,1314,28971,79654,5250,65264,54894,1026,92737,2152,79586,56241,9765,57568,286077,3909,255743,56252,7105,10766,3032,7385,6935,3566,2115,9353,3910,10957,57215,5468,6628,11274,475,23466,8612,6612,126282,23406,672,11054,54443,93100,29926,3077,51616,84951,58480,2934,22905,56478,1535,55062,113146,51719,4900,823,138716,84904,7433,2896,3927,128344,6209,860,10083,2335,1195,283987,29091,677,54809,3337,221908,89890,2125,5997,2053,57534,1119,84312,650,1291,94039,223117,9646,55714,51384,3107,9728,8204,5551,516,50512,1690,54556,6829,1956,9636,7025,55357,10940,3656,79581,10371,10140,2810,56647,23312,9134,3397,116349,57214,6513,4935,9123,8270,79710,5087,8737,1475,85456,27173,54700,79174,4193,182,2905,5627,4940,112399,7414,2149,81619,51522,3306,6207,6275,7832,1371,57822,5734,65010,7431,8507,23510,4832,133,6892,10312,5754,55165,80818,55157,7088,8237,4048,4595,3977,5429,23043,6819,967,3856,122786,8536,5272,79637,1326,5142,55766,55143,9518,28951,141,116362,4189,10788,135228,7153,2261,114790,373156,79083,57692,10010,59,6446,653604,960,6774,154796,83786,5236,5865,53,4487,10765,10410,57037,83861,50861,900,9564,23654,6189,3304,11322,840,79633,138151,6926,3691,7026,11065,196,2876,201176	ADAM19,DCP1B,TNFRSF21,LSM11,DDX19A,HEXB,TAP1,DZIP3,BAIAP3,CCNB1,IKBIP,CA8,ATF5,CDC42EP4,NOS1AP,KIFC1,CDKN2C,HELZ2,TYMP,RPL10,S100A10,CCDC117,OSBPL3,ALDH1A3,PVRL1,TTC9C,PIK3CA,CRY2,TINAGL1,MARCH2,COG3,ZBTB18,TIAM1,CPE,APOBEC3G,LAMP2,LIF,RPL9,KIFC2,KLF10,SPATA18,SNTB2,WLS,HMHA1,TGFA,RNF11,BNIP3L,VSNL1,DEPTOR,FEZ1,PPFIA3,CCNF,DDX60,POR,PLEKHF2,ANKRD10,SUPT4H1,PLK2,ARL6IP5,FAM114A1,TMEM139,FAM110C,HIC2,EIF4EBP2,SPRY4,TNFRSF10D,ZMAT3,DDX42,EFNB2,HSPH1,INPPL1,PHF23,SLK,TP53INP1,DGKQ,SOX9,DHX9,PID1,ISYNA1,SEC23B,S100A2,SLC1A1,PITPNM1,LMNA,JUN,GNS,SIPA1,HR,ITGA3,PPIC,FLRT3,TSPO,LAMB2,AZIN1,TSPAN12,SDCBP,ZMYM1,DGAT1,MVP,PRPS1,ROCK2,ZNF385A,HMGCR,ZNF675,DDB2,COL17A1,FOXK1,MTA2,RYR2,PYGL,NPC2,RABAC1,ILK,CYFIP2,ANGPTL4,FAS,IRS1,CAT,RPL28,NSF,RRM2B,HIF1A,VCAN,AP2A1,S100A5,FAM83D,SELM,MDH1,ALG2,PDLIM5,ZNF502,KRT18,NRBP1,PHPT1,GALE,IRF1,NQO1,INPP5D,PPM1D,TMEM97,FTH1,TMEM19,DDR1,CPNE3,SDHA,HSPA1A,APPBP2,EPS8L2,PLCB3,BLOC1S2,PHC2,PRKD3,APLP2,SCNN1A,SHC1,FAM46A,ABCA12,ABCD3,GSTA4,ANAPC7,PJA1,LRP11,ARL4D,RAB27B,CNN3,SEC23A,SSH3,SEC61B,COL6A2,KRT7,FAM111B,SYNE2,ASUN,SAT1,SMARCA1,CIRBP,SATB2,ACTN1,PRKCQ,FANCG,ALCAM,STK10,SNX12,FKBP3,STAT2,DHX57,DDX17,GNG2,MSX2,CAMK2D,MISP,TBL3,LAMB1,INPP4B,HOXA3,SEL1L,STAT1,RBMS1,HACD3,SEMA4B,PRPF4B,TTC8,TAOK2,NDUFS1,IGFBP6,XPC,SESTD1,ARL4C,NES,GSTP1,SRPX2,EFNB1,CD58,SFR1,GSS,SNTA1,DIRAS3,RPA2,FAM111A,NEBL,LRRC8E,CRAT,PVRL3,CST3,UNC13A,FDXR,AXIN2,BAX,PLEKHF1,ANXA5,AK3,IFT46,S100A6,PVRL4,SLC40A1,TGIF1,FGF9,MYOF,PIK3R1,CCDC113,RASSF2,NEURL1B,SNTB1,TNS2,FOXC1,ECH1,ANXA1,FGFR2,ACOX1,FAM3C,ABCB1,SERPINB5,AEN,ITGAV,APAF1,PIM2,CORO2B,FOXA1,EMX1,CASP3,AGRN,COPA,AAMDC,HECTD3,SLC25A3,UBE2Z,RNF43,CDKN1A,DNER,F3,CHPF,SUSD2,ZFYVE16,SIPA1L2,FAM83H,LAMA3,NPNT,YLPM1,TSPAN6,TOB2,HADHB,UQCRC2,ZEB1,IL4R,ETV1,SLIT2,LAMA4,PNRC1,THAP11,PPARG,SNRPB,USP18,ATOX1,CBX6,PLPP2,SUMO3,TNFAIP8L1,COTL1,BRCA1,OGFR,ANLN,NAPRT,GMPPA,HFE,TAF9B,TNS4,RHOU,GSN,EPN2,EIF4ENIF1,CYBA,WIPI1,AHNAK2,CAB39,NRGN,CAPN1,RPP25L,ARHGEF39,VIPR1,GRN,LASP1,PIFO,RPS15,RUNX2,USH1C,FN1,CLK1,HID1,STXBP6,ZFP36L1,SAMD9,DNAJB1,PPP1R35,KBTBD6,EVPL,RGS2,EPHX2,MIB1,CHKA,BRMS1L,BMP2,COL6A1,ZNF101,SEMA3D,CTR9,TENM3,WNT16,HLA-C,SECISBP2L,NRIP1,PRF1,ATP5G1,PODXL2,COCH,ING3,SUPT5H,EGFR,ISG15,NR2F1,TBC1D2,POP1,IRAK2,SLC52A2,SEMA3A,TOB1,SFN,BCCIP,DMXL2,CCNE2,ID1,EXOC3-AS1,CEMIP,SLC2A1,GPR143,SLC16A3,LAGE3,MORC4,PBX1,RIPK1,CSTA,TNKS1BP1,SLC39A1,RRN3,CRELD2,MDM2,JAG1,GRIN2C,PROS1,OAS3,EGLN3,VCL,F2R,TSPAN14,TMEM14C,HSPA2,RPS13,S100A4,BTG2,CPOX,GRHL3,PTGER4,SLC26A6,VIM,ENC1,KCTD2,NME3,ADM,TAPBP,TCIRG1,PTK7,CEP55,ZNF436,DARS2,TLE1,USP11,LTA4H,MUTYH,LIFR,POLH,TNIK,SULT1C2,CD63,KRT8,FRMD6,CAMK1,SERPINB9,ARMC7,MAP3K8,PDE4B,H2AFJ,CDCA8,GDF15,TRIB2,ADPRH,RBP7,DNAJB9,IQGAP2,CD109,TOP2A,FGFR3,STK11IP,GSTK1,MLPH,MAGEE1,TANK,ACTA2,SGK1,HIST2H3D,CD44,STAT3,AMOT,FRMD8,PGM1,RAB3B,ACP2,MSX1,KDM5B,IFITM3,ANKMY2,RSPH3,STMN3,CCNG1,BCAR1,PLXNB2,RPS3A,HSPA1B,TMC6,CASP7,FAT4,NACC2,TBX3,ITGB4,NR2F2,UBE2C,AHR,GPX1,ARHGAP27
GO:0005488	binding	2.99137714386653e-06	-12.7197766933646	13878	570	0.903328050713154	631	16491	8728,196513,134353,3074,9666,8938,767,22809,23580,9722,1031,150275,220,5818,283237,1408,64129,83548,7074,1363,60489,64167,79971,7039,26994,9638,8541,79666,7263,6827,10520,92689,135932,11325,79142,9748,6662,1660,6505,9600,4000,3725,2799,6494,51136,23767,706,3913,51582,6386,79830,8694,9961,25946,3156,171392,1308,221937,9219,6262,3611,9517,91664,3667,53353,6158,5986,160,6276,140606,4190,85365,10611,91392,57231,29085,2582,1728,9060,523,3635,8493,27346,84617,8895,3303,10513,23683,6337,26154,90459,5825,2941,51434,64219,84918,1267,379,5874,22875,1266,54961,10952,1292,3855,140564,374393,23224,55726,6594,6303,1153,87,2189,29934,2287,10521,54331,126353,51363,3912,8821,3200,5937,51495,10531,10509,123016,9344,7508,91404,23223,2950,27286,965,2937,9077,6118,25945,1471,23025,2232,581,79156,308,50808,6277,81607,2254,5295,29070,9770,54492,6641,23371,2296,301,51,10447,64782,3685,10391,3169,1591,375790,28971,79654,54894,1026,391059,56241,286077,3909,6821,255743,10766,2115,57215,10957,5468,6628,6160,475,23466,8612,6612,126282,672,54443,93100,29926,84951,55062,113146,860,64761,10083,114783,1195,283987,3978,677,7546,3337,9249,57534,650,23461,10846,9646,51384,9728,4907,56603,1690,57169,129025,6829,80777,7025,55357,3656,79581,66002,10371,2810,56647,3397,6235,6513,9123,4935,8270,7576,8737,85456,79174,4193,182,2905,4940,112399,6207,6159,84681,7390,6275,7832,1371,5734,65010,7431,8507,6892,53905,5754,55165,80818,81889,4048,4595,5429,22847,54863,967,1326,55143,9518,4189,10788,135228,373156,57692,5238,6446,653604,960,53,10410,55279,83861,50861,9564,6189,2517,6210,79633,6926,3691,7026,11065,10114,2876,27242,55308,6890,121457,891,3833,1890,85441,6281,6134,548596,26031,5290,51257,10472,1738,3976,3920,6133,90990,132671,7071,23526,6645,64798,7447,665,899,55601,5447,55608,54502,10550,197342,10769,27336,23119,642273,1979,81848,8793,64393,1948,84128,10808,57343,3636,94241,1609,55022,4125,51477,10483,6273,23521,55806,3675,5480,6307,6170,23554,9475,5631,1643,64763,5836,10577,10567,26999,51129,4781,355,847,4905,3091,50484,1462,81610,3875,37,29959,3659,64924,164045,2495,55266,54509,780,6389,5139,64787,282991,5331,1912,9582,334,55603,6464,64428,10484,5588,23314,214,6793,6773,90957,4488,817,10607,6772,6400,8899,4719,3489,10123,10763,6414,1947,119392,6640,63901,80131,10529,1384,8313,79659,56912,7050,30061,26509,1891,2263,5243,283209,5268,11040,317,132864,2016,836,1314,65264,5250,92737,79042,79586,2152,9765,57568,56252,7105,3032,7385,6935,3566,9353,3910,11274,23406,11054,9262,3077,51616,58480,22905,2934,56478,1535,51719,8714,4900,823,138716,84904,2896,7433,6209,128344,3927,2335,29091,54809,221908,89890,2125,5997,2053,84312,1119,50862,94039,1291,158471,223117,55714,3107,8204,5551,516,50512,54556,9636,1956,10940,10140,9134,23312,116349,57214,5087,79710,79642,1475,27173,54700,92305,84885,5627,7414,81619,2149,51522,3306,7941,57822,6142,23510,4832,133,10312,55210,55157,7088,8237,3977,23043,6819,3856,8536,122786,5272,79637,55766,5142,64084,28951,116362,141,6164,4121,7153,64207,114790,2261,79083,10010,59,154796,6774,83786,5236,5865,4487,10765,79862,57037,900,23654,3304,11322,23052,840,138151,23220,4325,196,201176	ADAM19,DCP1B,LSM11,HEXB,DZIP3,BAIAP3,CA8,ATF5,CDC42EP4,NOS1AP,CDKN2C,CCDC117,ALDH1A3,PVRL1,TTC9C,CRY2,TINAGL1,COG3,TIAM1,CPE,APOBEC3G,ERAP2,WLS,TGFA,RNF11,FEZ1,PPFIA3,PLEKHF2,TST,SUPT4H1,ZNF211,FAM114A1,TMEM139,DDX42,PHF23,SLK,SOX9,DHX9,SLC1A1,PITPNM1,LMNA,JUN,GNS,SIPA1,RNFT1,FLRT3,TSPO,LAMB2,AZIN1,SDCBP,ZMYM1,DGAT1,MVP,ZNF385A,HMGCR,ZNF675,COL17A1,FOXK1,MTA2,RYR2,ILK,SPTLC2,ZNF845,IRS1,LRP1B,RPL28,RFNG,AP2A1,S100A5,SELM,MDH1,ALG2,PDLIM5,ZNF502,SNX14,PHPT1,GALE,NQO1,PAPSS2,ATP6V1A,INPP5D,PPM1D,TMEM97,TUBB6,CPNE3,HSPA1A,APPBP2,PRKD3,SCNN1A,ABCA12,ERI1,ABCD3,GSTA4,ANAPC7,PJA1,LRP11,CNP,ARL4D,RAB27B,ENPP4,CNN3,SSH3,SEC61B,COL6A2,KRT7,APOBEC3D,FAM111B,SYNE2,ASUN,SMARCA1,SAT1,CIRBP,ACTN1,FANCG,SNX12,FKBP3,DDX17,GNG2,MISP,CHST15,LAMB1,INPP4B,HOXA3,RBMS1,HACD3,PITRM1,SEMA4B,TTC8,TAOK2,XPC,SESTD1,RRP12,GSTP1,SRPX2,CD58,GSS,DIRAS3,RPA2,PVRL3,CST3,UNC13A,FDXR,BAX,PLEKHF1,ANXA5,AK3,S100A6,PVRL4,FGF9,PIK3R1,CCDC113,RASSF2,NEURL1B,SNTB1,TNS2,FOXC1,ANXA1,ACOX1,FAM3C,AEN,ITGAV,CORO2B,FOXA1,CYP24A1,AGRN,AAMDC,HECTD3,RNF43,CDKN1A,FRRS1,SUSD2,FAM83H,LAMA3,SUOX,NPNT,TOB2,ETV1,THAP11,PNRC1,PPARG,SNRPB,RPL31,ATOX1,CBX6,PLPP2,SUMO3,TNFAIP8L1,BRCA1,ANLN,NAPRT,GMPPA,TNS4,WIPI1,AHNAK2,RUNX2,PARP12,USH1C,LMTK3,CLK1,HID1,LIG1,ZFP36L1,ZIC2,DNAJB1,DHRS3,MIB1,BMP2,ABCA5,PDE10A,CTR9,WNT16,SECISBP2L,NT5E,CYP26B1,COCH,ZNFX1,ZNF280A,SUPT5H,CYB5B,NR2F1,TBC1D2,IRAK2,SLC52A2,CYP4F12,SEMA3A,SFN,BCCIP,ID1,RPS29,SLC2A1,SLC16A3,GPR143,LAGE3,ZNF28,RIPK1,TNKS1BP1,CRELD2,MDM2,JAG1,GRIN2C,OAS3,EGLN3,RPS13,RPL29,HINT2,UROS,S100A4,BTG2,CPOX,PTGER4,SLC26A6,VIM,ENC1,TAPBP,DUOX1,PTK7,CEP55,ZNF436,FAHD1,LTA4H,MUTYH,POLH,ZNF507,TOR4A,CD63,MAP3K8,CDCA8,GDF15,DNAJB9,IQGAP2,CD109,GSTK1,MAGEE1,PGM3,SGK1,HIST2H3D,CD44,ACP2,IFITM3,ZNF654,RSPH3,STMN3,BCAR1,RPS3A,FUCA1,RPS15A,FAT4,TBX3,ITGB4,NR2F2,UBE2C,HIPK3,GPX1,TNFRSF21,DDX19A,TAP1,IKBIP,CCNB1,KIFC1,TYMP,HELZ2,S100A10,RPL10,CKMT1A,OSBPL3,PIK3CA,MARCH2,ZBTB18,DLD,LIF,LAMP2,RPL9,KIFC2,SPATA18,KLF10,HMHA1,SNTB2,DEPTOR,VSNL1,BNIP3L,CCNF,DDX60,POR,ANKRD10,RBM47,ARL6IP5,EME2,PLK2,HTATSF1,HIC2,FAM110C,EIF4EBP2,SPRY4,TNFRSF10D,ZMAT3,EFNB2,WDR75,HSPH1,ZNF304,INPPL1,TP53INP1,DGKQ,PID1,MAN2B1,ISYNA1,SEC23B,S100A2,RPL13A,HR,ITGA3,PPIC,MSMO1,RPL39,TSPAN12,ROCK2,PRPS1,DDB2,ZNF574,PYGL,NPC2,RABAC1,CYFIP2,ANGPTL4,NFIB,FAS,CAT,NSF,HIF1A,RRM2B,VCAN,FAM83D,KRT18,ACADVL,NRBP1,IRF1,SLC30A5,HFM1,FTH1,TMEM19,RHOF,DDR1,SDHA,PDE3A,EPS8L2,BLOC1S2,PLCB3,PHC2,APOBEC3B,APLP2,FAM46A,SHC1,NARFL,SEC23A,PRKCQ,SATB2,ALCAM,STK10,STAT2,DHX57,MSX2,CAMK2D,TBL3,STAT1,SEL1L,PRPF4B,NDUFS1,IGFBP6,ARL4C,NES,SEPP1,EFNB1,SFR1,SNTA1,FAM111A,LRRC8E,NEBL,CRAT,AXIN2,DYNC2H1,IFT46,TGIF1,SLC40A1,MYOF,ECH1,FGFR2,ABCB1,PGM2L1,SERPINB5,PIM2,APAF1,CPEB2,EMX1,CASP3,COPA,UBE2Z,SLC25A3,DNER,TSEN34,CHPF,F3,ZFYVE16,SIPA1L2,YLPM1,TSPAN6,HADHB,UQCRC2,ZEB1,IL4R,SLIT2,LAMA4,USP18,COTL1,OGFR,STK17B,HFE,TAF9B,RHOU,EPN2,GSN,EIF4ENIF1,CYBA,CAB39,ABCC3,NRGN,CAPN1,RPP25L,ARHGEF39,GRN,VIPR1,RPS15,PIFO,LASP1,FN1,STXBP6,SAMD9,PPP1R35,KBTBD6,EVPL,RGS2,EPHX2,BRMS1L,CHKA,RNF141,ZNF101,COL6A1,PRUNE2,SEMA3D,TENM3,HLA-C,NRIP1,PRF1,ATP5G1,PODXL2,ING3,ISG15,EGFR,POP1,TOB1,CCNE2,DMXL2,EXOC3-AS1,CEMIP,PBX1,MORC4,ARSJ,CSTA,SLC39A1,RRN3,TMEM129,ZDHHC12,PROS1,VCL,TSPAN14,F2R,TMEM14C,HSPA2,PLA2G7,GRHL3,RPL18A,KCTD2,NME3,ADM,TCIRG1,ATAD3A,DARS2,TLE1,USP11,LIFR,TNIK,SULT1C2,KRT8,CAMK1,FRMD6,SERPINB9,ARMC7,H2AFJ,PDE4B,CLSTN2,TRIB2,RBP7,ADPRH,RPL34,MAN1A1,TOP2A,IRF2BPL,STK11IP,FGFR3,MLPH,TANK,ACTA2,AMOT,STAT3,FRMD8,PGM1,RAB3B,MSX1,KDM5B,ZNF669,ANKMY2,CCNG1,PLXNB2,HSPA1B,TMC6,ENDOD1,CASP7,NACC2,DTX4,MMP16,AHR,ARHGAP27
GO:0019899	enzyme binding	5.74518915267763e-06	-12.0671477224575	1647	98	0.155309033280507	631	16491	9134,23312,836,6513,8493,9666,8737,65264,1026,891,85456,1475,22809,8895,3303,23580,9722,2152,1031,286077,54700,4193,6464,1408,51434,81619,7414,3306,3920,5468,9638,672,23406,29934,5447,817,10312,3912,6772,51495,51719,128344,9344,860,2335,29091,5272,1609,6662,3337,221908,28951,2950,10788,84312,3725,6640,6118,7153,114790,55806,3675,79083,1471,10010,8313,59,9646,308,9961,8204,6774,9475,3156,171392,5295,6262,10577,6829,3611,9564,23371,1956,3304,355,3667,847,4905,3091,138151,160,1462,81610,3685,11065,10611,10140,2810	CCNE2,DMXL2,CASP3,SLC2A1,PPM1D,DZIP3,RIPK1,UBE2Z,CDKN1A,CCNB1,TNKS1BP1,CSTA,ATF5,CPNE3,HSPA1A,CDC42EP4,NOS1AP,F3,CDKN2C,FAM83H,RRN3,MDM2,SHC1,CRY2,ANAPC7,TSPAN14,VCL,HSPA2,LAMP2,PPARG,FEZ1,BRCA1,COTL1,SNX12,POR,CAMK2D,TCIRG1,LAMB1,STAT1,HACD3,CAB39,PIFO,TAOK2,RUNX2,FN1,STXBP6,SERPINB9,DGKQ,SOX9,DNAJB1,PPP1R35,TRIB2,GSTP1,IQGAP2,BRMS1L,JUN,SNTA1,RPA2,TOP2A,STK11IP,HR,ITGA3,MLPH,CST3,TANK,AXIN2,ACTA2,CTR9,ANXA5,MVP,NRIP1,STAT3,ROCK2,HMGCR,ZNF675,PIK3R1,RYR2,NPC2,SUPT5H,ILK,BCAR1,TNS2,EGFR,HSPA1B,FAS,IRS1,CAT,NSF,HIF1A,NACC2,AP2A1,VCAN,FAM83D,ITGAV,UBE2C,PDLIM5,TOB1,SFN
GO:0003824	catalytic activity	0.000374002301227088	-7.89124860755507	5611	255	0.404120443740095	631	16491	1591,8728,836,5655,8492,196513,55308,3074,6890,79654,9666,65264,54894,1026,891,767,391059,79042,79586,3833,85441,1890,6821,25840,548596,220,283237,313,5290,3032,7385,1408,64129,51257,1738,1363,60489,64167,90990,11274,26994,83693,8612,114294,6612,672,10610,55601,93100,8869,29926,9262,5447,7263,58480,4047,84263,1535,10769,197342,8714,823,11325,3636,114783,64761,1195,9748,1609,6662,84803,1660,3978,89890,4125,51477,55008,2053,9249,57534,1119,84312,2799,50862,650,55806,5480,8824,6307,23461,10846,729920,158471,51449,51582,8694,5631,9475,223,4907,3156,56603,64847,1643,23531,9219,157506,5836,7108,54556,3611,9517,1956,10940,847,4905,5986,50484,80311,3656,4190,85365,66002,37,29959,29085,2582,23333,161436,9060,1728,523,3635,57214,164045,8493,8737,10162,2495,84617,79642,54509,284439,80162,780,8895,3303,6389,10513,5139,5331,9582,23683,4193,26154,92305,6464,5825,90459,64428,84885,2941,4940,64219,379,112399,1267,5874,22875,54961,84681,7390,140564,7941,6594,6303,1371,5588,6793,2287,4832,837,90957,10521,53905,817,6892,10312,5754,51363,8821,55157,51495,8237,4048,10531,81889,5429,4595,8899,23043,8760,9344,4719,6819,54625,9903,8536,1326,10123,5142,28951,141,2950,4121,2937,9077,7153,373156,2261,3038,1384,2232,5238,6446,79659,50808,960,5236,53,5865,10678,10765,9770,54492,23371,1891,3304,301,23052,2517,54884,840,2263,138151,51,5243,23220,283209,64782,11040,11065,4325,10114,2876	CYP24A1,ADAM19,CASP3,KLK10,PRSS12,DCP1B,DDX19A,HEXB,TAP1,HECTD3,DZIP3,UBE2Z,RNF43,CDKN1A,CCNB1,CA8,FRRS1,TSEN34,CHPF,KIFC1,HELZ2,TYMP,SUOX,METTL7A,CKMT1A,ALDH1A3,TTC9C,AOAH,PIK3CA,HADHB,UQCRC2,CRY2,TINAGL1,MARCH2,DLD,CPE,APOBEC3G,ERAP2,KIFC2,USP18,RNF11,HSDL1,PLPP2,LACTB,SUMO3,BRCA1,ST6GALNAC2,DDX60,NAPRT,ST3GAL5,GMPPA,STK17B,POR,TST,RHOU,LSS,HSDL2,CYBA,PLK2,EME2,ABCC3,CAPN1,DDX42,INPPL1,LMTK3,PARP12,CLK1,SLK,DGKQ,SOX9,GPAT3,DHX9,LIG1,KBTBD6,MAN2B1,ISYNA1,HERC6,EPHX2,DHRS3,MIB1,CHKA,BRMS1L,GNS,RNF141,BMP2,HR,PPIC,CES2,MSMO1,ABCA5,PDE10A,ISPD,PRUNE2,PCYOX1,AZIN1,DGAT1,PRPS1,ROCK2,ALDH9A1,NT5E,HMGCR,CYP26B1,SPATA20,DDB2,MMD,MTA2,RDH10,PYGL,TM7SF2,ING3,ILK,SPTLC2,EGFR,POP1,CAT,NSF,RFNG,RRM2B,KLHL15,IRAK2,MDH1,ALG2,CYP4F12,ACADVL,NRBP1,PHPT1,GALE,DPY19L1,EML5,PAPSS2,NQO1,ATP6V1A,INPP5D,CEMIP,HFM1,PPM1D,RIPK1,LPCAT3,FTH1,TUBB6,ARSJ,RHOF,SLC25A42,ATHL1,DDR1,CPNE3,HSPA1A,SDHA,APPBP2,PDE3A,PLCB3,APOBEC3B,PRKD3,MDM2,ABCA12,TMEM129,SHC1,ABCD3,ERI1,NARFL,ZDHHC12,GSTA4,OAS3,PJA1,ARL4D,EGLN3,CNP,RAB27B,ENPP4,SSH3,HINT2,UROS,APOBEC3D,PLA2G7,SMARCA1,SAT1,CPOX,PRKCQ,STK10,FKBP3,NME3,CASP4,DHX57,DDX17,DUOX1,CAMK2D,TAPBP,TCIRG1,PTK7,CHST15,INPP4B,DARS2,HACD3,USP11,LTA4H,PITRM1,FAHD1,POLH,MUTYH,PRPF4B,TNIK,CDS2,TAOK2,NDUFS1,SULT1C2,PARP14,KLHL21,CAMK1,MAP3K8,ARL4C,PDE4B,TRIB2,ADPRH,GSTP1,MAN1A1,GSS,DIRAS3,TOP2A,GSTK1,FGFR3,HAS3,CRAT,FDXR,PGM3,SGK1,DYNC2H1,AK3,CD44,PGM1,ACP2,RAB3B,B3GNT2,KDM5B,RASSF2,NEURL1B,TNS2,ECH1,HSPA1B,ANXA1,ENDOD1,FUCA1,RETSAT,CASP7,FGFR2,NACC2,ACOX1,ABCB1,DTX4,PGM2L1,AEN,PIM2,UBE2C,MMP16,HIPK3,GPX1
GO:0019900	kinase binding	0.000413508124357114	-7.79083339591334	576	39	0.0618066561014263	631	16491	9134,128344,9344,1609,6662,6513,8493,28951,891,2950,22809,8895,1031,7153,286077,114790,6464,8313,59,308,9961,6774,5295,9638,6262,3611,9564,23371,355,3667,4905,3091,160,81610,51719,3685,10611,10140,2810	CCNE2,PIFO,TAOK2,DGKQ,SOX9,SLC2A1,PPM1D,TRIB2,CCNB1,GSTP1,ATF5,CPNE3,CDKN2C,TOP2A,FAM83H,STK11IP,SHC1,AXIN2,ACTA2,ANXA5,MVP,STAT3,PIK3R1,FEZ1,RYR2,ILK,BCAR1,TNS2,FAS,IRS1,NSF,HIF1A,AP2A1,FAM83D,CAB39,ITGAV,PDLIM5,TOB1,SFN
GO:0004614	phosphoglucomutase activity	0.000526270958248658	-7.54969434811005	5	3	0.00475435816164818	631	16491	283209,5236,5238	PGM2L1,PGM1,PGM3
GO:0019215	intermediate filament binding	0.00115164934887467	-6.76656014770026	13	4	0.0063391442155309	631	16491	10763,7431,286077,2125	NES,VIM,FAM83H,EVPL
GO:0097200	cysteine-type endopeptidase activity involved in execution phase of apoptosis	0.00173870785023669	-6.35461305643716	7	3	0.00475435816164818	631	16491	836,840,837	CASP3,CASP7,CASP4
GO:0046977	TAP binding	0.00173870785023669	-6.35461305643716	7	3	0.00475435816164818	631	16491	6892,3107,6890	TAPBP,HLA-C,TAP1
GO:0005102	receptor binding	0.00199798212175319	-6.21561754686729	1429	76	0.120443740095087	631	16491	836,1314,6890,8737,54894,891,92737,8895,3303,27173,1890,182,3909,26154,6464,255743,5818,10766,7074,1363,2149,9353,3910,3976,5468,6275,7039,79971,87,672,214,3077,133,10521,6892,55062,3912,6772,3977,10509,2896,1948,2335,9518,2053,27286,1947,965,650,373156,55806,3675,25945,1384,223117,308,3913,51384,6386,8204,6774,81607,2254,5295,3611,1891,3304,301,847,3667,3091,51,10447,3691,10371,10140	CASP3,COPA,TAP1,RIPK1,RNF43,CCNB1,DNER,CPNE3,HSPA1A,SLC39A1,TYMP,JAG1,LAMA3,ABCA12,SHC1,NPNT,PVRL1,TOB2,TIAM1,CPE,F2R,SLIT2,LAMA4,LIF,PPARG,S100A4,TGFA,WLS,ACTN1,BRCA1,ALCAM,HFE,ADM,DDX17,TAPBP,WIPI1,LAMB1,STAT1,LIFR,SEMA4B,GRN,EFNB2,FN1,GDF15,EPHX2,SRPX2,EFNB1,CD58,BMP2,GSTK1,HR,ITGA3,PVRL3,CRAT,SEMA3D,ANXA5,LAMB2,WNT16,SDCBP,NRIP1,STAT3,PVRL4,FGF9,PIK3R1,ILK,ECH1,HSPA1B,ANXA1,CAT,IRS1,HIF1A,ACOX1,FAM3C,ITGB4,SEMA3A,TOB1
