TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
HUMAN_PWY66-5	superpathway of cholesterol biosynthesis	0.000312455187882609	-8.07104949784606	25	10	0.0909090909090909	110	907	4047,3422,4598,6307,4597,7108,6713,38,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,TM7SF2,SQLE,ACAT1,FDFT1,HMGCR
META_PWY66-5	superpathway of cholesterol biosynthesis	0.000776091339954898	-7.16124033858043	23	9	0.0818181818181818	110	907	4047,3422,4598,6307,4597,6713,38,2222,3156	LSS,IDI1,MVK,MSMO1,MVD,SQLE,ACAT1,FDFT1,HMGCR
META_PWY66-422	D-galactose degradation V (Leloir pathway)	0.00174124095973162	-6.35315722471051	3	3	0.0272727272727273	110	907	130589,55276,2582	GALM,PGM2,GALE
META_PWY-922	mevalonate pathway I	0.00366901887552312	-5.60783098902612	10	5	0.0454545454545455	110	907	38,3422,4598,4597,3156	ACAT1,IDI1,MVK,MVD,HMGCR
HUMAN_PWY-922	mevalonate pathway	0.00366901887552312	-5.60783098902612	10	5	0.0454545454545455	110	907	38,3422,4598,4597,3156	ACAT1,IDI1,MVK,MVD,HMGCR
HUMAN_PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0.00942831602179849	-4.66403777497506	12	5	0.0454545454545455	110	907	38,3422,4598,4597,3156	ACAT1,IDI1,MVK,MVD,HMGCR
META_PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0.00942831602179849	-4.66403777497506	12	5	0.0454545454545455	110	907	38,3422,4598,4597,3156	ACAT1,IDI1,MVK,MVD,HMGCR
HUMAN_PWY66-4	cholesterol biosynthesis III (via desmosterol)	0.0138595547242274	-4.27878041241557	13	5	0.0454545454545455	110	907	6713,7108,4047,6307,2222	SQLE,TM7SF2,LSS,MSMO1,FDFT1
HUMAN_PWY66-341	cholesterol biosynthesis I	0.0138595547242274	-4.27878041241557	13	5	0.0454545454545455	110	907	6713,7108,4047,6307,2222	SQLE,TM7SF2,LSS,MSMO1,FDFT1
HUMAN_PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	0.0138595547242274	-4.27878041241557	13	5	0.0454545454545455	110	907	6713,7108,4047,6307,2222	SQLE,TM7SF2,LSS,MSMO1,FDFT1
HUMAN_PWY66-422	D-galactose degradation V (Leloir pathway)	0.0144660953061771	-4.23594762228855	5	3	0.0272727272727273	110	907	130589,55276,2582	GALM,PGM2,GALE
META_PWY-6117	spermine and spermidine degradation I	0.0145909543384771	-4.22735350813582	2	2	0.0181818181818182	110	907	54498,6303	SMOX,SAT1
META_PWY-5340	sulfate activation for sulfonation	0.0145909543384771	-4.22735350813582	2	2	0.0181818181818182	110	907	9060,9061	PAPSS2,PAPSS1
HUMAN_PWY-5340	sulfate activation for sulfonation	0.0145909543384771	-4.22735350813582	2	2	0.0181818181818182	110	907	9060,9061	PAPSS2,PAPSS1
HUMAN_PWY-5670	epoxysqualene biosynthesis	0.0145909543384771	-4.22735350813582	2	2	0.0181818181818182	110	907	6713,2222	SQLE,FDFT1
META_PWY-5670	epoxysqualene biosynthesis	0.0145909543384771	-4.22735350813582	2	2	0.0181818181818182	110	907	6713,2222	SQLE,FDFT1
META_PWY-5327	superpathway of L-lysine degradation	0.0263931901870927	-3.63464924956264	6	3	0.0272727272727273	110	907	38,35,501	ACAT1,ACADS,ALDH7A1
META_PWY66-341	cholesterol biosynthesis I	0.0343714521138468	-3.37052893955559	11	4	0.0363636363636364	110	907	6713,4047,6307,2222	SQLE,LSS,MSMO1,FDFT1
META_PWY66-4	cholesterol biosynthesis III (via desmosterol)	0.0343714521138468	-3.37052893955559	11	4	0.0363636363636364	110	907	6713,4047,6307,2222	SQLE,LSS,MSMO1,FDFT1
META_PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	0.0343714521138468	-3.37052893955559	11	4	0.0363636363636364	110	907	6713,4047,6307,2222	SQLE,LSS,MSMO1,FDFT1
META_DETOX1-PWY-1	reactive oxygen species degradation	0.0421591946301253	-3.1663024776325	7	3	0.0272727272727273	110	907	847,2876,6648	CAT,GPX1,SOD2
HUMAN_PWY-6117	spermine and spermidine degradation I	0.0742340929865951	-2.60053176012188	4	2	0.0181818181818182	110	907	196743,6303	PAOX,SAT1
HUMAN_PWY-4361	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation	0.0742340929865951	-2.60053176012188	4	2	0.0181818181818182	110	907	51074,84245	APIP,MRI1
META_PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	0.0742340929865951	-2.60053176012188	4	2	0.0181818181818182	110	907	1738,5162	DLD,PDHB
