TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
4914	NTRK1 (neurotrophic tyrosine kinase, receptor, type 1)	1.09132571562047e-16	-36.7539682778372	1951	268	0.196049743964887	1367	16036	7295,55308,23053,4942,4628,11180,6134,5290,8665,83548,5499,1738,8615,6133,3312,83693,26512,292,5447,10421,1398,3703,27336,3315,311,11325,9852,10808,3636,9748,9131,1660,54919,327,51477,10483,23521,4000,6137,9475,5631,1936,51386,51604,221937,54505,9948,9219,64763,3615,8476,26999,9517,58497,847,3667,10916,10973,4905,160,5859,80124,4190,23187,37,10611,23623,10938,7756,10383,523,4430,162,6389,8895,3303,2936,6464,5825,30000,103,1267,1315,1639,1266,10484,140775,6594,87,214,2287,90957,10521,10573,1650,10607,3912,6772,6400,9497,51495,302,6738,8899,4719,23223,84245,7086,9784,10763,55102,9354,2950,3959,3105,9601,308,54512,4200,6709,4214,23339,5295,6129,7384,79665,57650,1891,5834,9943,3033,23473,5371,5243,3685,192111,57488,10489,1314,6767,24144,7358,79654,5250,11004,92906,6745,6141,6427,5111,9061,3032,7385,200081,7112,26145,57326,11054,4736,5162,983,4047,83858,55699,3838,823,5442,2896,11331,9520,6138,3978,3337,57534,9810,64175,5211,23277,1656,6904,149371,9646,191,9735,9325,4522,9184,23152,79029,80267,23513,6829,1956,6130,10940,5108,80789,55671,2810,56647,161436,7317,5721,8655,54148,11316,6193,526,85456,10121,1933,57617,55746,9928,55037,4940,3998,10130,7414,23070,6207,6159,48,9446,79084,7431,5754,55210,55157,8237,4343,5594,4048,6202,55276,54821,5142,682,55201,55922,23265,55898,64207,3692,114790,79707,9632,6238,5238,6774,6576,5236,9868,1892,9382,5905,124997,89941,6051,23654,6189,11196,64225,8453,38,6603,5223,164	TXN,DDX19A,ZSWIM8,OAT,MYH10,WDR6,RPL10,PIK3CA,EIF3F,COG3,PPP1CA,DLD,USO1,RPL9,HSPA8,HSDL1,INTS6,SLC25A5,POR,CD2BP2,CRK,STT3A,HTATSF1,HSPB1,ANXA11,DDX42,EPM2AIP1,HSPH1,INPPL1,SLK,AIFM1,DHX9,DNAAF5,APEH,ISYNA1,SEC23B,RPL13A,LMNA,RPL13,ROCK2,PRPS1,EEF1D,EIF3L,PIGT,FOXK1,DHX29,WDR1,MTA2,ZNF574,IMPDH2,CDC42BPA,CYFIP2,SPTLC2,PRUNE,CAT,IRS1,MAGED2,ASCC3,NSF,AP2A1,QARS,VCPIP1,MDH1,PHLDB1,ACADVL,PDLIM5,RUSC1,EHD1,ZNF207,TUBB4B,ATP6V1A,MYO1B,AP1B1,SDHA,CPNE3,HSPA1A,GSR,SHC1,ABCD3,TNPO2,ADAR,CNP,COPB1,DCTN1,CNN3,SEC23A,SMCR8,SMARCA1,ACTN1,ALCAM,FKBP3,DHX57,DDX17,MRPL28,DDOST,TBL3,LAMB1,STAT1,SEL1L,SLC4A7,HACD3,ANXA2,TROVE2,PRPF4B,NDUFS1,RRP12,MRI1,TKT,SNX17,NES,ATG2B,UBE4A,GSTP1,LGALS3BP,HLA-A,PDIA4,ANXA5,EXOSC4,ME2,SPTAN1,MAP3K1,VPS39,PIK3R1,RPL7,UQCRC1,DHX40,KIAA1524,ECH1,PYGB,OXSR1,HADH,CAPN7,PML,ABCB1,ITGAV,PGAM5,ESYT2,LRRC41,COPA,ST13,TFIP11,UGDH,HECTD3,SLC25A3,KIF2C,HNRNPLL,SSR1,RPL18,SRSF2,PCNA,PAPSS1,HADHB,UQCRC2,TXLNA,TMPO,IRF2BP1,PBXIP1,OGFR,RPL10A,PDHB,CDK1,LSS,ATAD3B,IARS2,KPNA2,CAPN1,POLRMT,GRN,PHB2,NPEPPS,RPL15,LIG1,DNAJB1,MIB1,RNF40,P3H1,PFKL,CLUH,DDX6,TBCD,EXOC8,CTR9,AHCY,KNTC1,TRIP4,MTHFD1,BUB3,CIC,SPATA5L1,EDEM3,SCRIB,SUPT5H,EGFR,RPL7A,POP1,PCM1,INTS5,PPP4R3A,SFN,BCCIP,EML5,UBA1,PSME2,DYNLL1,MRPL39,COPE,RPS5,ATP6V1B2,TNKS1BP1,ACTR1A,EEF1B2,VPS18,NUP133,KIF14,PTCD3,OAS3,LMAN1,PDIA6,VCL,CMTR1,RPS13,RPL29,ACO1,GSTO1,WDR77,VIM,PTK7,ATAD3A,DARS2,USP11,MOV10,MAPK1,LTA4H,RPS8,PGM2,ERCC6L,PDE4B,BSG,MAP1S,NKRF,EXOC7,UNC45A,IRF2BPL,EIF6,STK11IP,NOL9,SEC24C,RRBP1,PGM3,STAT3,SLC25A1,PGM1,TOMM70A,ECHS1,COG1,RANGAP1,WDR81,RHOT2,RNPEP,PLXNB2,RPS3A,SEC23IP,ATL2,CUL2,ACAT1,SMARCD2,PGAM1,AP1G1
6231	RPS26 (ribosomal protein S26)	1.35652276764565e-15	-34.2338517578244	129	43	0.0314557425018288	1367	16036	6202,6209,9820,2335,6235,1660,6193,6138,29937,8726,23521,6164,6137,4193,6141,6134,4113,6155,158471,59,6227,6222,6228,6576,6207,6159,6133,6160,6144,84305,6129,6232,6142,4736,6157,89941,6189,6130,6210,6201,6208,6146,4343	RPS8,RPS15,CUL7,FN1,RPS29,DHX9,RPS5,RPL15,NENF,EED,RPL13A,RPL34,RPL13,MDM2,RPL18,RPL10,MAGEB2,RPL27,PRUNE2,ACTA2,RPS21,RPS18,RPS23,SLC25A1,RPS13,RPL29,RPL9,RPL31,RPL21,PYM1,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RHOT2,RPS3A,RPL7A,RPS15A,RPS7,RPS14,RPL22,MOV10
6230	RPS25 (ribosomal protein S25)	8.61154324939262e-15	-32.3856728533463	135	43	0.0314557425018288	1367	16036	6202,6209,9820,2335,6235,6193,6138,1026,23521,6164,6137,4193,6141,6134,6155,6227,6222,6228,6207,6159,51386,6133,7311,6160,6144,84305,6129,6232,6142,4736,6157,6189,6130,1398,6210,6158,6201,6208,8453,9905,22890,6146,2810	RPS8,RPS15,CUL7,FN1,RPS29,RPS5,RPL15,CDKN1A,RPL13A,RPL34,RPL13,MDM2,RPL18,RPL10,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,EIF3L,RPL9,UBA52,RPL31,RPL21,PYM1,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,CRK,RPS15A,RPL28,RPS7,RPS14,CUL2,SGSM2,ZBTB1,RPL22,SFN
9349	RPL23 (ribosomal protein L23)	2.66965329824489e-14	-31.2542426887804	174	49	0.035844915874177	1367	16036	56647,6202,6209,9820,2335,6193,6138,8726,3959,64787,23521,6164,6137,1775,3692,4193,6141,6134,998,6170,6155,6227,6222,1738,6228,6207,6133,6160,6144,991,6129,6232,6142,4736,6157,292,1956,6189,6130,1398,6210,6158,6201,6208,8453,6790,23212,55748,6146	BCCIP,RPS8,RPS15,CUL7,FN1,RPS5,RPL15,EED,LGALS3BP,EPS8L2,RPL13A,RPL34,RPL13,DNASE1L2,EIF6,MDM2,RPL18,RPL10,CDC42,RPL39,RPL27,RPS21,RPS18,DLD,RPS23,RPS13,RPL9,RPL31,RPL21,CDC20,RPL7,RPS27,RPL18A,RPL10A,RPL27A,SLC25A5,EGFR,RPS3A,RPL7A,CRK,RPS15A,RPL28,RPS7,RPS14,CUL2,AURKA,RRS1,CNDP2,RPL22
6164	RPL34 (ribosomal protein L34)	1.19476898386275e-13	-29.7556533611709	80	31	0.0226773957571324	1367	16036	6202,6209,7311,6133,6160,6144,6129,6138,6232,672,4736,6157,23521,6189,6130,6137,3692,6141,6158,6210,6208,4113,6155,6227,22890,6222,6146,4343,2810,6228,6207	RPS8,RPS15,UBA52,RPL9,RPL31,RPL21,RPL7,RPL15,RPS27,BRCA1,RPL10A,RPL27A,RPL13A,RPS3A,RPL7A,RPL13,EIF6,RPL18,RPL28,RPS15A,RPS14,MAGEB2,RPL27,RPS21,ZBTB1,RPS18,RPL22,MOV10,SFN,RPS23,RPS13
6217	RPS16 (ribosomal protein S16)	1.51388253891581e-13	-29.5189286401959	157	45	0.0329188002926116	1367	16036	6202,6209,2335,6990,6235,6193,6138,1026,8726,23521,6164,6137,6141,6134,4113,6155,59,6227,6222,9114,6228,6207,6159,51386,6133,9761,6160,6144,84305,6129,6232,6142,4736,6157,6189,6130,6210,6158,6201,6208,8453,6790,22890,6146,2810	RPS8,RPS15,FN1,DYNLT3,RPS29,RPS5,RPL15,CDKN1A,EED,RPL13A,RPL34,RPL13,RPL18,RPL10,MAGEB2,RPL27,ACTA2,RPS21,RPS18,ATP6V0D1,RPS23,RPS13,RPL29,EIF3L,RPL9,MLEC,RPL31,RPL21,PYM1,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPS15A,RPL28,RPS7,RPS14,CUL2,AURKA,ZBTB1,RPL22,SFN
6191	RPS4X (ribosomal protein S4, X-linked)	1.68059703182121e-13	-29.4144571025545	188	50	0.0365764447695684	1367	16036	6202,6209,9820,2335,6235,79654,6193,6138,1026,8726,3959,23521,6137,3692,6141,6134,23363,6170,6155,59,6227,6222,6228,6576,6207,6159,51386,6133,7311,6160,6144,84305,3312,6129,6232,6142,4736,6157,292,6189,6130,817,6210,6201,6208,8453,6790,22890,23212,6146	RPS8,RPS15,CUL7,FN1,RPS29,HECTD3,RPS5,RPL15,CDKN1A,EED,LGALS3BP,RPL13A,RPL13,EIF6,RPL18,RPL10,OBSL1,RPL39,RPL27,ACTA2,RPS21,RPS18,RPS23,SLC25A1,RPS13,RPL29,EIF3L,RPL9,UBA52,RPL31,RPL21,PYM1,HSPA8,RPL7,RPS27,RPL18A,RPL10A,RPL27A,SLC25A5,RPS3A,RPL7A,CAMK2D,RPS15A,RPS7,RPS14,CUL2,AURKA,ZBTB1,RRS1,RPL22
3921	RPSA (ribosomal protein SA)	3.43801704740426e-13	-28.6987113434506	204	52	0.0380395025603511	1367	16036	6202,6209,9820,2335,8655,6235,8270,1660,6193,6138,29937,6748,23521,6164,6137,4193,5111,6141,6134,23363,6155,158471,7385,6227,5627,6222,6228,6207,6159,6133,6160,6144,64763,6129,6232,6142,672,4736,6157,292,5162,90957,6189,6130,6210,6201,6208,22890,6146,37,3315,2810	RPS8,RPS15,CUL7,FN1,DYNLL1,RPS29,LAGE3,DHX9,RPS5,RPL15,NENF,SSR4,RPL13A,RPL34,RPL13,MDM2,PCNA,RPL18,RPL10,OBSL1,RPL27,PRUNE2,UQCRC2,RPS21,PROS1,RPS18,RPS23,RPS13,RPL29,RPL9,RPL31,RPL21,ZNF574,RPL7,RPS27,RPL18A,BRCA1,RPL10A,RPL27A,SLC25A5,PDHB,DHX57,RPS3A,RPL7A,RPS15A,RPS7,RPS14,ZBTB1,RPL22,ACADVL,HSPB1,SFN
6203	RPS9 (ribosomal protein S9)	1.10155347743177e-12	-27.5342996802038	147	42	0.0307242136064375	1367	16036	6202,6209,9820,2335,6235,6193,6138,1026,23521,6164,6118,6137,6141,6134,23363,6170,4113,6155,6227,6222,6774,6228,6207,51386,6133,6160,6144,84305,6129,6232,6142,4736,6157,6189,6130,6210,6201,6208,8453,22890,6146,2810	RPS8,RPS15,CUL7,FN1,RPS29,RPS5,RPL15,CDKN1A,RPL13A,RPL34,RPA2,RPL13,RPL18,RPL10,OBSL1,RPL39,MAGEB2,RPL27,RPS21,RPS18,STAT3,RPS23,RPS13,EIF3L,RPL9,RPL31,RPL21,PYM1,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPS15A,RPS7,RPS14,CUL2,ZBTB1,RPL22,SFN
25873	RPL36 (ribosomal protein L36)	1.52243755649236e-12	-27.2107084099658	108	35	0.0256035113386979	1367	16036	6202,6209,9820,2335,6193,6138,23521,6164,6137,3692,6141,6134,4113,6155,6222,6228,6207,6133,7311,6160,6144,6129,6142,4736,6157,6189,6130,6210,6158,6201,5859,6208,8453,6146,11325	RPS8,RPS15,CUL7,FN1,RPS5,RPL15,RPL13A,RPL34,RPL13,EIF6,RPL18,RPL10,MAGEB2,RPL27,RPS18,RPS23,RPS13,RPL9,UBA52,RPL31,RPL21,RPL7,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPS15A,RPL28,RPS7,QARS,RPS14,CUL2,RPL22,DDX42
