TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	3.69096420310053e-16	-35.5354737623324	107	40	0.0550964187327824	726	8202	6202,6209,23480,6235,6193,6138,6748,23521,6164,6745,6137,23478,6141,6134,6170,6155,6227,6222,6228,6207,6159,7311,10952,6133,6160,6144,6129,6142,6232,4736,6157,6189,6130,6158,6210,1650,6201,6208,60559,6146	RPS8,RPS15,SEC61G,RPS29,RPS5,RPL15,SSR4,RPL13A,RPL34,SSR1,RPL13,SEC11A,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,UBA52,SEC61B,RPL9,RPL31,RPL21,RPL7,RPL18A,RPS27,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,DDOST,RPS7,RPS14,SPCS3,RPL22
R-HSA-156842	Eukaryotic Translation Elongation	2.88693208512614e-15	-33.4785820188827	88	35	0.0482093663911846	726	8202	6202,6209,6235,6193,6138,23521,6164,1933,6137,6141,6134,6170,6155,6227,6222,1936,6228,6207,6159,7311,6133,6160,6144,6129,6142,6232,4736,6157,6189,6130,6158,6210,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,EEF1B2,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,EEF1D,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPL18A,RPS27,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,RPS7,RPS14,RPL22
R-HSA-192823	Viral mRNA Translation	3.87042083821133e-15	-33.1854131500573	84	34	0.046831955922865	726	8202	6202,6209,5611,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,6222,6228,6207,6159,7311,6133,6160,6144,6129,6232,6142,4736,6157,6189,6130,6158,6210,6201,6208,6146	RPS8,RPS15,DNAJC3,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,RPS7,RPS14,RPL22
R-HSA-72764	Eukaryotic Translation Termination	5.9188729916224e-15	-32.7606303371748	85	34	0.046831955922865	726	8202	6202,6209,6235,6193,6138,327,23521,6164,6137,6141,6134,6170,6155,6227,6222,6228,6207,6159,7311,6133,6160,6144,6129,6232,6142,4736,6157,6189,6130,6210,6158,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,APEH,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPS15A,RPL28,RPS7,RPS14,RPL22
R-HSA-156902	Peptide chain elongation	2.78665746360749e-14	-31.2113484660268	84	33	0.0454545454545455	726	8202	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,6222,6228,6207,6159,7311,6133,6160,6144,6129,6232,6142,4736,6157,6189,6130,6210,6158,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPS15A,RPL28,RPS7,RPS14,RPL22
R-HSA-72766	Translation	1.02934959020109e-13	-29.9046790719638	146	44	0.0606060606060606	726	8202	6202,6209,23480,6235,6193,6138,327,6748,23521,6164,1933,6745,6137,23478,6141,6134,6170,6155,6227,8665,6222,1936,6228,6207,6159,7311,10952,6133,6160,6144,6129,6142,6232,4736,6157,6189,6130,6158,6210,1650,6201,6208,60559,6146	RPS8,RPS15,SEC61G,RPS29,RPS5,RPL15,APEH,SSR4,RPL13A,RPL34,EEF1B2,SSR1,RPL13,SEC11A,RPL18,RPL10,RPL39,RPL27,RPS21,EIF3F,RPS18,EEF1D,RPS23,RPS13,RPL29,UBA52,SEC61B,RPL9,RPL31,RPL21,RPL7,RPL18A,RPS27,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,DDOST,RPS7,RPS14,SPCS3,RPL22
R-HSA-72689	Formation of a pool of free 40S subunits	1.96305796527412e-13	-29.2591027651421	94	34	0.046831955922865	726	8202	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,8665,6222,6228,6207,6159,7311,6133,6160,6144,6129,6232,6142,4736,6157,6189,6130,6158,6210,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,EIF3F,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,RPS7,RPS14,RPL22
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	1.96917879005909e-13	-29.2559896109201	89	33	0.0454545454545455	726	8202	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,6222,6228,6207,6159,6133,7311,6160,6144,6129,6232,6142,4736,6157,6189,6130,6210,6158,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,RPS18,RPS23,RPS13,RPL29,RPL9,UBA52,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPS15A,RPL28,RPS7,RPS14,RPL22
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	5.46180547853191e-12	-25.9332417071084	104	34	0.046831955922865	726	8202	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,8665,6222,6228,6207,6159,7311,6133,6160,6144,6129,6232,6142,4736,6157,6189,6130,6158,6210,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,EIF3F,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,RPS7,RPS14,RPL22
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	7.41114949519753e-12	-25.6280355610946	105	34	0.046831955922865	726	8202	6202,6209,6235,6193,6138,23521,6164,6137,6141,6134,6170,6155,6227,8665,6222,6228,6207,6159,7311,6133,6160,6144,6129,6232,6142,4736,6157,6189,6130,6158,6210,6201,6208,6146	RPS8,RPS15,RPS29,RPS5,RPL15,RPL13A,RPL34,RPL13,RPL18,RPL10,RPL39,RPL27,RPS21,EIF3F,RPS18,RPS23,RPS13,RPL29,UBA52,RPL9,RPL31,RPL21,RPL7,RPS27,RPL18A,RPL10A,RPL27A,RPS3A,RPL7A,RPL28,RPS15A,RPS7,RPS14,RPL22
