TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
7837	PXDN (peroxidasin)	1.87739951070275e-05	-10.8830378846744	13	5	0.011037527593819	453	16036	57520,10225,51435,4914,5796	HECW2,CD96,SCARA3,NTRK1,PTPRK
1777	DNASE2 (deoxyribonuclease II, lysosomal)	2.05577573415767e-05	-10.7922722020439	7	4	0.00883002207505519	453	16036	51726,54464,4976,8607	DNAJB11,XRN1,OPA1,RUVBL1
9528	TMEM59 (transmembrane protein 59)	7.07390759664831e-05	-9.55651243666294	9	4	0.00883002207505519	453	16036	53833,5140,4914,6259	IL20RB,PDE3B,NTRK1,RYK
11231	SEC63 (SEC63 homolog, protein translocation regulator)	0.000111179091858343	-9.10436821668294	18	5	0.011037527593819	453	16036	3840,29927,8631,7095,4914	KPNA4,SEC61A1,SKAP1,SEC62,NTRK1
4130	MAP1A (microtubule associated protein 1A)	0.000163998467406982	-8.71565347526312	30	6	0.0132450331125828	453	16036	6696,27185,4914,4131,1739,7277	SPP1,DISC1,NTRK1,MAP1B,DLG1,TUBA4A
2923	PDIA3 (protein disulfide isomerase family A member 3)	0.000185182594131986	-8.59416822433753	105	11	0.0242825607064018	453	16036	4241,29927,23621,5062,4914,3673,857,8407,5361,51068,3914	MFI2,SEC61A1,BACE1,PAK2,NTRK1,ITGA2,CAV1,TAGLN2,PLXNA1,NMD3,LAMB3
1628	DBP (D site of albumin promoter (albumin D-box) binding protein)	0.00025973756949929	-8.2558387847632	12	4	0.00883002207505519	453	16036	467,9575,1649,1054	ATF3,CLOCK,DDIT3,CEBPG
22809	ATF5 (activating transcription factor 5)	0.000366832491455656	-7.91060524065535	13	4	0.00883002207505519	453	16036	6310,57761,27185,1054	ATXN1,TRIB3,DISC1,CEBPG
5792	PTPRF (protein tyrosine phosphatase, receptor type, F)	0.000421871547164302	-7.77080968087041	49	7	0.0154525386313466	453	16036	8660,6498,857,2534,7048,4914,6259	IRS2,SKIL,CAV1,FYN,TGFBR2,NTRK1,RYK
23080	AVL9 (AVL9 homolog (S. cerevisiase))	0.000796290665926703	-7.13554628057454	2	2	0.00441501103752759	453	16036	57520,4914	HECW2,NTRK1
91752	ZNF804A (zinc finger protein 804A)	0.000796290665926703	-7.13554628057454	2	2	0.00441501103752759	453	16036	6310,6696	ATXN1,SPP1
25960	ADGRA2 (adhesion G protein-coupled receptor A2)	0.000796290665926703	-7.13554628057454	2	2	0.00441501103752759	453	16036	1739,6259	DLG1,RYK
166647	ADGRA3 (adhesion G protein-coupled receptor A3)	0.000796290665926703	-7.13554628057454	2	2	0.00441501103752759	453	16036	1739,6259	DLG1,RYK
200539	ANKRD23 (ankyrin repeat domain 23)	0.000796290665926703	-7.13554628057454	2	2	0.00441501103752759	453	16036	7273,84665	TTN,MYPN
1994	ELAVL1 (ELAV like RNA binding protein 1)	0.00080264788885441	-7.1275944347617	1762	72	0.158940397350993	453	16036	23086,81609,55573,1831,55171,51726,57520,6596,9656,58477,5366,8496,7220,83989,84056,7879,26136,79669,4914,56704,4774,285315,4144,8660,6541,8607,2887,152002,4026,54800,10160,5504,122953,152503,2119,6695,256356,64778,55892,1287,10644,4976,23199,2122,10019,6184,50807,2624,5062,8614,83641,5584,51714,5292,157638,84186,79718,27032,84159,7328,8087,10150,84168,283078,55435,3840,8140,3099,81831,6259,1054,114785	EXPH5,SNX27,CDV3,TSC22D3,TBCCD1,DNAJB11,HECW2,HLTF,MDC1,SRPRB,PMAIP1,PPFIBP1,TRPC1,FAM172A,KATNAL1,RAB7A,TES,C3orf52,NTRK1,JPH1,NFIA,C3orf33,MAT2A,IRS2,SLC7A1,RUVBL1,GRB10,XXYLT1,LPP,KLHL24,FARP1,PPP1R2,JDP2,SH3D19,ETV5,SPOCK1,GK5,FNDC3B,MYNN,COL4A5,IGF2BP2,OPA1,GSE1,MECOM,SH2B3,RPN1,ASAP1,GATA2,PAK2,STC2,FAM107B,PRKCI,SELT,PIM1,FAM84B,ZCCHC7,TBL1XR1,ATP2C1,ARID5B,UBE2H,FXR1,MBNL2,ANTXR1,MKX,AP1AR,KPNA4,SLC7A5,HK2,NETO2,RYK,CEBPG,MBD6
8828	NRP2 (neuropilin 2)	0.000872943594032004	-7.04363961585928	16	4	0.00883002207505519	453	16036	483,8829,7048,6259	ATP1B3,NRP1,TGFBR2,RYK
5499	PPP1CA (protein phosphatase 1, catalytic subunit, alpha isozyme)	0.000929965598230429	-6.98036296365124	277	18	0.0397350993377483	453	16036	5504,4914,4194,1894,857,2992,9656,1181,7048,54843,5099,153769,152485,440,8607,25937,23228,9575	PPP1R2,NTRK1,MDM4,ECT2,CAV1,GYG1,MDC1,CLCN2,TGFBR2,SYTL2,PCDH7,SH3RF2,ZNF827,ASNS,RUVBL1,WWTR1,PLCL2,CLOCK
3741	KCNA5 (potassium channel, voltage gated shaker related subfamily A, member 5)	0.00101033341972569	-6.89747488406581	28	5	0.011037527593819	453	16036	10188,857,2534,8514,1739	TNK2,CAV1,FYN,KCNAB2,DLG1
79990	PLEKHH3 (pleckstrin homology domain containing, family H (with MyTH4 domain) member 3)	0.00112804398139827	-6.78727013606508	8	3	0.00662251655629139	453	16036	8631,7048,4914	SKAP1,TGFBR2,NTRK1
10615	SPAG5 (sperm associated antigen 5)	0.00123525891863253	-6.69647468016124	43	6	0.0132450331125828	453	16036	51421,54927,57520,1822,9901,84894	AMOTL2,CHCHD3,HECW2,ATN1,SRGAP3,LINGO1
9898	UBAP2L (ubiquitin associated protein 2 like)	0.00123525891863253	-6.69647468016124	43	6	0.0132450331125828	453	16036	7328,6310,55573,7784,55689,4914	UBE2H,ATXN1,CDV3,ZP3,YEATS2,NTRK1
3912	LAMB1 (laminin, beta 1)	0.00139859005798877	-6.57229065126491	30	5	0.011037527593819	453	16036	57520,118429,10225,4914,5796	HECW2,ANTXR2,CD96,NTRK1,PTPRK
1982	EIF4G2 (eukaryotic translation initiation factor 4 gamma, 2)	0.00139859005798877	-6.57229065126491	30	5	0.011037527593819	453	16036	6498,7879,4914,1974,54165	SKIL,RAB7A,NTRK1,EIF4A2,DCUN1D1
84955	NUDCD1 (NudC domain containing 1)	0.00162936620877618	-6.41956416874872	31	5	0.011037527593819	453	16036	57520,11235,4914,79876,9276	HECW2,PDCD10,NTRK1,UBA5,COPB2
8061	FOSL1 (FOS-like antigen 1)	0.00162936620877618	-6.41956416874872	31	5	0.011037527593819	453	16036	6310,467,9586,1649,1054	ATXN1,ATF3,CREB5,DDIT3,CEBPG
9373	PLAA (phospholipase A2-activating protein)	0.00162936620877618	-6.41956416874872	31	5	0.011037527593819	453	16036	58477,857,3840,5062,4914	SRPRB,CAV1,KPNA4,PAK2,NTRK1
25759	SHC2 (SHC (Src homology 2 domain containing) transforming protein 2)	0.00165669643410333	-6.40292975943151	9	3	0.00662251655629139	453	16036	4916,9743,4914	NTRK3,ARHGAP32,NTRK1
4867	NPHP1 (nephronophthisis 1 (juvenile))	0.00173835072323944	-6.35481847546647	19	4	0.00883002207505519	453	16036	10188,9743,27031,5062	TNK2,ARHGAP32,NPHP3,PAK2
5048	PAFAH1B1 (platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa))	0.00176370642144945	-6.34033776299792	62	7	0.0154525386313466	453	16036	27185,5144,440,4133,5062,4914,4131	DISC1,PDE4D,ASNS,MAP2,PAK2,NTRK1,MAP1B
55327	LIN7C (lin-7 homolog C (C. elegans))	0.00188691471096053	-6.27281221183631	32	5	0.011037527593819	453	16036	51421,143098,26084,1739,55083	AMOTL2,MPP7,ARHGEF26,DLG1,KIF26B
10755	GIPC1 (GIPC PDZ domain containing family, member 1)	0.00197873151722578	-6.22529928744399	47	6	0.0132450331125828	453	16036	57520,55573,3480,8829,1649,4914	HECW2,CDV3,IGF1R,NRP1,DDIT3,NTRK1
3737	KCNA2 (potassium channel, voltage gated shaker related subfamily A, member 2)	0.00212493832720312	-6.15401249951957	20	4	0.00883002207505519	453	16036	2534,26047,8514,1739	FYN,CNTNAP2,KCNAB2,DLG1
23499	MACF1 (microtubule-actin crosslinking factor 1)	0.00220848116835022	-6.11545025386003	48	6	0.0132450331125828	453	16036	6498,57520,27185,23129,26047,80254	SKIL,HECW2,DISC1,PLXND1,CNTNAP2,CEP63
4594	MUT (methylmalonyl-CoA mutase)	0.00231730819904177	-6.06734902595925	10	3	0.00662251655629139	453	16036	112849,4914,26084	L3HYPDH,NTRK1,ARHGEF26
64430	PCNXL4 (pecanex-like 4 (Drosophila))	0.00234407630234544	-6.05586385560203	3	2	0.00441501103752759	453	16036	27185,80254	DISC1,CEP63
131544	CRYBG3 (crystallin beta-gamma domain containing 3)	0.00234407630234544	-6.05586385560203	3	2	0.00441501103752759	453	16036	5577,4291	PRKAR2B,MLF1
23145	SSPO (SCO-spondin)	0.00234407630234544	-6.05586385560203	3	2	0.00441501103752759	453	16036	1822,23331	ATN1,TTC28
64411	ARAP3 (ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3)	0.00234407630234544	-6.05586385560203	3	2	0.00441501103752759	453	16036	50807,4914	ASAP1,NTRK1
4133	MAP2 (microtubule associated protein 2)	0.00245777553401031	-6.00849859258992	49	6	0.0132450331125828	453	16036	57520,5577,2534,4139,4133,4914	HECW2,PRKAR2B,FYN,MARK1,MAP2,NTRK1
1047	CLGN (calmegin)	0.00248946623219909	-5.99568695606357	34	5	0.011037527593819	453	16036	6184,3840,29927,26235,4914	RPN1,KPNA4,SEC61A1,FBXL4,NTRK1
