TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0043168	anion binding	5.73543371038775e-07	-14.3714322780598	2626	110	0.248868778280543	442	16491	5599,8448,6712,349565,81609,84254,9914,56922,22808,4916,6596,57118,91351,54843,23200,58477,4753,4316,440,79876,79572,7220,89978,5144,8309,26577,4233,4129,7277,10188,5984,4139,63979,7879,84056,4914,283455,5577,4919,4171,55341,4144,55083,2534,8607,60678,5066,146754,57586,8829,833,84706,306,7273,64411,9175,10079,30849,256356,6507,2047,4976,9252,7048,26038,11199,10019,3480,3491,2644,50807,23263,5062,5584,8833,545,80216,5292,5106,2762,1608,2571,10051,89795,5096,2247,5095,27032,1974,84033,7328,9743,6857,5291,55289,50940,57761,85476,131870,79915,5352,28976,55733,6259,3099,84166,1800,27347,138429,170506	MAPK8,DOC2A,SPTBN2,NMNAT3,SNX27,CAMKK1,ATP2C2,MCCC1,MRAS,NTRK3,HLTF,CAMK1D,DDX60L,SYTL2,ATP11B,SRPRB,NELL2,MMP7,ASNS,UBA5,ATP13A3,TRPC1,DPH6,PDE4D,ACOX2,PCOLCE2,MET,MAOB,TUBA4A,TNK2,RFC4,MARK1,FIGNL1,RAB7A,KATNAL1,NTRK1,KSR2,PRKAR2B,ROR1,MCM2,LSG1,MAT2A,KIF26B,FYN,RUVBL1,EEFSEC,PAM,DNAH2,SYT13,NRP1,CARS,GPT2,ANXA3,TTN,ARAP3,MAP3K13,ATP9A,PIK3R4,GK5,SLC1A3,EPHB1,OPA1,RPS6KA5,TGFBR2,CHD5,ANXA10,SH2B3,IGF1R,CYR61,GCHFR,ASAP1,MCF2L,PAK2,PRKCI,GMPS,ATR,ALPK1,PIM1,PCK2,GMDS,DGKG,GAD1,SMC4,NAV3,PCCB,FGF2,PCCA,ATP2C1,EIF4A2,OBSCN,UBE2H,ARHGAP32,SYT1,PIK3CB,ACOXL,PDE11A,TRIB3,GFM1,NUDT16,ATAD5,PLOD2,ACAD9,HHAT,RYK,HK2,NLRC5,DPEP1,STK39,PIP5KL1,DHX36
GO:0032559	adenyl ribonucleotide binding	1.80829634231724e-05	-10.9205403102825	1493	67	0.15158371040724	442	16491	5599,349565,84254,9914,56922,4916,6596,57118,91351,23200,440,79876,79572,89978,5144,4233,5984,10188,4139,63979,84056,4914,283455,5577,4919,4171,4144,55083,2534,8607,146754,833,7273,9175,10079,30849,256356,2047,7048,9252,26038,3480,5062,5584,8833,545,5292,80216,1608,10051,89795,5096,5095,1974,27032,7328,84033,5291,50940,57761,79915,84166,3099,6259,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,ASNS,UBA5,ATP13A3,DPH6,PDE4D,MET,RFC4,TNK2,MARK1,FIGNL1,KATNAL1,NTRK1,KSR2,PRKAR2B,ROR1,MCM2,MAT2A,KIF26B,FYN,RUVBL1,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,PIM1,ALPK1,DGKG,SMC4,NAV3,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,PDE11A,TRIB3,ATAD5,NLRC5,HK2,RYK,PIP5KL1,STK39,DHX36
GO:0032555	purine ribonucleotide binding	1.99427364025583e-05	-10.8226455710226	1827	78	0.176470588235294	442	16491	5599,349565,84254,9914,56922,22808,4916,6596,57118,91351,23200,58477,440,79876,79572,89978,5144,4233,7277,5984,10188,4139,63979,7879,84056,4914,283455,5577,4919,4171,55341,4144,55083,2534,8607,60678,146754,833,7273,9175,10079,30849,256356,4976,2047,7048,9252,26038,3480,5062,5584,8833,545,80216,5292,5106,1608,10051,89795,5096,5095,1974,27032,7328,84033,5291,50940,57761,85476,131870,79915,55733,3099,6259,84166,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,MRAS,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,SRPRB,ASNS,UBA5,ATP13A3,DPH6,PDE4D,MET,TUBA4A,RFC4,TNK2,MARK1,FIGNL1,RAB7A,KATNAL1,NTRK1,KSR2,PRKAR2B,ROR1,MCM2,LSG1,MAT2A,KIF26B,FYN,RUVBL1,EEFSEC,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,OPA1,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,ALPK1,PIM1,PCK2,DGKG,SMC4,NAV3,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,PDE11A,TRIB3,GFM1,NUDT16,ATAD5,HHAT,HK2,RYK,NLRC5,PIP5KL1,STK39,DHX36
GO:0030554	adenyl nucleotide binding	2.1438659116854e-05	-10.750314764909	1501	67	0.15158371040724	442	16491	5599,349565,84254,9914,56922,4916,6596,57118,91351,23200,440,79876,79572,89978,5144,4233,5984,10188,4139,63979,84056,4914,283455,5577,4919,4171,4144,55083,2534,8607,146754,833,7273,9175,10079,30849,256356,2047,7048,9252,26038,3480,5062,5584,8833,545,5292,80216,1608,10051,89795,5096,5095,1974,27032,7328,84033,5291,50940,57761,79915,84166,3099,6259,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,ASNS,UBA5,ATP13A3,DPH6,PDE4D,MET,RFC4,TNK2,MARK1,FIGNL1,KATNAL1,NTRK1,KSR2,PRKAR2B,ROR1,MCM2,MAT2A,KIF26B,FYN,RUVBL1,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,PIM1,ALPK1,DGKG,SMC4,NAV3,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,PDE11A,TRIB3,ATAD5,NLRC5,HK2,RYK,PIP5KL1,STK39,DHX36
GO:0017076	purine nucleotide binding	2.41451430147669e-05	-10.6314273154935	1837	78	0.176470588235294	442	16491	5599,349565,84254,9914,56922,22808,4916,6596,57118,91351,23200,58477,440,79876,79572,89978,5144,4233,7277,5984,10188,4139,63979,7879,84056,4914,283455,5577,4919,4171,55341,4144,55083,2534,8607,60678,146754,833,7273,9175,10079,30849,256356,4976,2047,7048,9252,26038,3480,5062,5584,8833,545,80216,5292,5106,1608,10051,89795,5096,5095,1974,27032,7328,84033,5291,50940,57761,85476,131870,79915,55733,3099,6259,84166,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,MRAS,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,SRPRB,ASNS,UBA5,ATP13A3,DPH6,PDE4D,MET,TUBA4A,RFC4,TNK2,MARK1,FIGNL1,RAB7A,KATNAL1,NTRK1,KSR2,PRKAR2B,ROR1,MCM2,LSG1,MAT2A,KIF26B,FYN,RUVBL1,EEFSEC,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,OPA1,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,ALPK1,PIM1,PCK2,DGKG,SMC4,NAV3,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,PDE11A,TRIB3,GFM1,NUDT16,ATAD5,HHAT,HK2,RYK,NLRC5,PIP5KL1,STK39,DHX36
GO:0032553	ribonucleotide binding	2.70476773979964e-05	-10.5179094196486	1843	78	0.176470588235294	442	16491	5599,349565,84254,9914,56922,22808,4916,6596,57118,91351,23200,58477,440,79876,79572,89978,5144,4233,7277,5984,10188,4139,63979,7879,84056,4914,283455,5577,4919,4171,55341,4144,55083,2534,8607,60678,146754,833,7273,9175,10079,30849,256356,4976,2047,7048,9252,26038,3480,5062,5584,8833,545,80216,5292,5106,1608,10051,89795,5096,5095,1974,27032,7328,84033,5291,50940,57761,85476,131870,79915,55733,3099,6259,84166,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,MRAS,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,SRPRB,ASNS,UBA5,ATP13A3,DPH6,PDE4D,MET,TUBA4A,RFC4,TNK2,MARK1,FIGNL1,RAB7A,KATNAL1,NTRK1,KSR2,PRKAR2B,ROR1,MCM2,LSG1,MAT2A,KIF26B,FYN,RUVBL1,EEFSEC,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,OPA1,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,ALPK1,PIM1,PCK2,DGKG,SMC4,NAV3,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,PDE11A,TRIB3,GFM1,NUDT16,ATAD5,HHAT,HK2,RYK,NLRC5,PIP5KL1,STK39,DHX36
GO:0004714	transmembrane receptor protein tyrosine kinase activity	4.90440047454538e-05	-9.92279260683503	64	9	0.0203619909502262	442	16491	3480,51232,4914,6259,4916,4919,4233,2047,8829	IGF1R,CRIM1,NTRK1,RYK,NTRK3,ROR1,MET,EPHB1,NRP1
GO:0035639	purine ribonucleoside triphosphate binding	5.05952095830839e-05	-9.89165365842362	1785	75	0.169683257918552	442	16491	5599,349565,84254,9914,56922,22808,4916,6596,57118,91351,23200,58477,440,79876,79572,89978,4233,7277,5984,10188,4139,63979,7879,84056,4914,283455,4919,4171,55341,4144,55083,2534,8607,60678,146754,833,7273,9175,10079,30849,256356,4976,2047,7048,9252,26038,3480,5062,5584,8833,545,80216,5292,5106,1608,10051,89795,5096,5095,1974,27032,7328,84033,5291,57761,85476,131870,79915,55733,3099,6259,84166,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,MRAS,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,SRPRB,ASNS,UBA5,ATP13A3,DPH6,MET,TUBA4A,RFC4,TNK2,MARK1,FIGNL1,RAB7A,KATNAL1,NTRK1,KSR2,ROR1,MCM2,LSG1,MAT2A,KIF26B,FYN,RUVBL1,EEFSEC,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,OPA1,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,ALPK1,PIM1,PCK2,DGKG,SMC4,NAV3,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,TRIB3,GFM1,NUDT16,ATAD5,HHAT,HK2,RYK,NLRC5,PIP5KL1,STK39,DHX36
GO:0005524	ATP binding	5.33187011632923e-05	-9.83922342222855	1456	64	0.144796380090498	442	16491	5599,349565,84254,9914,56922,4916,6596,57118,91351,23200,440,79876,79572,89978,4233,5984,10188,4139,63979,84056,4914,283455,4919,4171,4144,55083,2534,8607,146754,833,7273,9175,10079,30849,256356,2047,7048,9252,26038,3480,5062,5584,8833,545,5292,80216,1608,89795,10051,5096,5095,1974,27032,7328,84033,5291,57761,79915,84166,3099,6259,138429,27347,170506	MAPK8,NMNAT3,CAMKK1,ATP2C2,MCCC1,NTRK3,HLTF,CAMK1D,DDX60L,ATP11B,ASNS,UBA5,ATP13A3,DPH6,MET,RFC4,TNK2,MARK1,FIGNL1,KATNAL1,NTRK1,KSR2,ROR1,MCM2,MAT2A,KIF26B,FYN,RUVBL1,DNAH2,CARS,TTN,MAP3K13,ATP9A,PIK3R4,GK5,EPHB1,TGFBR2,RPS6KA5,CHD5,IGF1R,PAK2,PRKCI,GMPS,ATR,PIM1,ALPK1,DGKG,NAV3,SMC4,PCCB,PCCA,EIF4A2,ATP2C1,UBE2H,OBSCN,PIK3CB,TRIB3,ATAD5,NLRC5,HK2,RYK,PIP5KL1,STK39,DHX36
GO:0019199	transmembrane receptor protein kinase activity	5.9279773882081e-05	-9.73324239138856	81	10	0.0226244343891403	442	16491	3480,51232,4914,6259,4916,4919,4233,2047,8829,7048	IGF1R,CRIM1,NTRK1,RYK,NTRK3,ROR1,MET,EPHB1,NRP1,TGFBR2
