TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
rhoa_reg_pathway	Regulation of RhoA activity	0.0103987963416489	-4.56606521591269	46	6	0.0652173913043478	92	2227	84033,10160,64411,23263,29,1894	OBSCN,FARP1,ARAP3,MCF2L,ABR,ECT2
myc_pathway	C-MYC pathway	0.011263885178908	-4.48615367325229	22	4	0.0434782608695652	92	2227	8464,8607,86,5062	SUPT3H,RUVBL1,ACTL6A,PAK2
myc_activpathway	Validated targets of C-MYC transcriptional activation	0.0167843692412938	-4.08730722796974	81	8	0.0869565217391304	92	2227	8464,11235,8607,91942,5366,5292,23089,86	SUPT3H,PDCD10,RUVBL1,NDUFAF2,PMAIP1,PIM1,PEG10,ACTL6A
botulinumtoxinpathway	Effects of Botulinum toxin	0.0503017321654819	-2.98971576577987	9	2	0.0217391304347826	92	2227	6857,6812	SYT1,STXBP1
anthraxpathway	Cellular roles of Anthrax toxin	0.0595270685633964	-2.82132413604298	22	3	0.0326086956521739	92	2227	118429,3606,84168	ANTXR2,IL18,ANTXR1
glypican_1pathway	Glypican 1 network	0.0893921572473035	-2.4147223271911	26	3	0.0326086956521739	92	2227	2534,2247,7048	FYN,FGF2,TGFBR2
nephrin_neph1_pathway	Nephrin/Neph1 signaling in the kidney podocyte	0.0893921572473035	-2.4147223271911	26	3	0.0326086956521739	92	2227	5599,2534,5291	MAPK8,FYN,PIK3CB
ephrinbrevpathway	Ephrin B reverse signaling	0.0976797994801939	-2.32606050200536	27	3	0.0326086956521739	92	2227	5599,2534,2047	MAPK8,FYN,EPHB1
igf1_pathway	IGF1 pathway	0.106268358468504	-2.2417877005174	28	3	0.0326086956521739	92	2227	8660,2887,3480	IRS2,GRB10,IGF1R
il12_stat4pathway	IL12 signaling mediated by STAT4	0.106268358468504	-2.2417877005174	28	3	0.0326086956521739	92	2227	5599,3606,2119	MAPK8,IL18,ETV5
circadianpathway	Circadian rhythm pathway	0.111354813846052	-2.19503365454684	14	2	0.0217391304347826	92	2227	545,9575	ATR,CLOCK
reelinpathway	Reelin signaling pathway	0.115143232800045	-2.16157842300474	29	3	0.0326086956521739	92	2227	5599,2534,4131	MAPK8,FYN,MAP1B
bard1pathway	BARD1 signaling events	0.115143232800045	-2.16157842300474	29	3	0.0326086956521739	92	2227	55120,545,11073	FANCL,ATR,TOPBP1
mapktrkpathway	Trk receptor signaling mediated by the MAPK pathway	0.115143232800045	-2.16157842300474	29	3	0.0326086956521739	92	2227	1958,9252,4208	EGR1,RPS6KA5,MEF2C
vegfr1_2_pathway	Signaling events mediated by VEGFR1 and VEGFR2	0.115796548851942	-2.15592051694761	63	5	0.0543478260869565	92	2227	2887,2534,857,8829,9175	GRB10,FYN,CAV1,NRP1,MAP3K13
ephrinarevpathway	Ephrin A  reverse signaling	0.118935389188309	-2.12917488131765	3	1	0.0108695652173913	92	2227	2534	FYN
pi3kcibpathway	Class IB PI3K non-lipid kinase events	0.118935389188309	-2.12917488131765	3	1	0.0108695652173913	92	2227	5140	PDE3B
avb3_integrin_pathway	Integrins in angiogenesis	0.119282609751833	-2.12625972955782	46	4	0.0434782608695652	92	2227	6696,3480,2247,7048	SPP1,IGF1R,FGF2,TGFBR2
angiopoietinreceptor_pathway	Angiopoietin receptor Tie2-mediated signaling	0.133830710771166	-2.01117963018769	48	4	0.0434782608695652	92	2227	5599,2534,2247,285	MAPK8,FYN,FGF2,ANGPT2
alphasynuclein_pathway	Alpha-synuclein signaling	0.143335884674448	-1.94256455906677	32	3	0.0326086956521739	92	2227	2534,5330,4129	FYN,PLCB2,MAOB
epopathway	EPO signaling pathway	0.153205439688407	-1.87597551520153	33	3	0.0326086956521739	92	2227	8660,5599,10019	IRS2,MAPK8,SH2B3
syndecan_1_pathway	Syndecan-1-mediated signaling events	0.153859734624333	-1.87171390573944	17	2	0.0217391304347826	92	2227	4316,4233	MMP7,MET
tgfbrpathway	TGF-beta receptor signaling	0.156938888456684	-1.85189879490835	51	4	0.0434782608695652	92	2227	6498,83939,857,7048	SKIL,EIF2A,CAV1,TGFBR2
erbb2erbb3pathway	ErbB2/ErbB3 signaling events	0.173561011770066	-1.75122608855719	35	3	0.0326086956521739	92	2227	5599,9542,5291	MAPK8,NRG2,PIK3CB
p38alphabetadownstreampathway	Signaling mediated by p38-alpha and p38-beta	0.173561011770066	-1.75122608855719	35	3	0.0326086956521739	92	2227	9252,1649,4208	RPS6KA5,DDIT3,MEF2C
tcptp_pathway	Signaling events mediated by TCPTP	0.184016737079078	-1.69272856312369	36	3	0.0326086956521739	92	2227	545,4233,5291	ATR,MET,PIK3CB
atf2_pathway	ATF-2 transcription factor network	0.189866624058026	-1.66143343196599	55	4	0.0434782608695652	92	2227	5599,467,122953,1649	MAPK8,ATF3,JDP2,DDIT3
