TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	5.40038641783906e-06	-12.1290400480952	247	21	0.0636363636363636	330	11866	6712,79674,64411,10160,5922,23101,58504,84033,8631,26084,29,8660,23007,23527,50807,23263,55785,84632,2887,23228,27128	SPTBN2,VEPH1,ARAP3,FARP1,RASA2,MCF2L2,ARHGAP22,OBSCN,SKAP1,ARHGEF26,ABR,IRS2,PLCH1,ACAP2,ASAP1,MCF2L,FGD6,AFAP1L2,GRB10,PLCL2,CYTH4
PS00109	PROTEIN_KINASE_TYR	5.73344493687448e-05	-9.76660890427446	94	11	0.0333333333333333	330	11866	10188,7273,2534,3480,4914,6259,84033,4916,4919,4233,2047	TNK2,TTN,FYN,IGF1R,NTRK1,RYK,OBSCN,NTRK3,ROR1,MET,EPHB1
PS50010	DH_2	0.000691793307910252	-7.27622333495371	70	8	0.0242424242424242	330	11866	10160,23101,23263,1894,84033,55785,29,26084	FARP1,MCF2L2,MCF2L,ECT2,OBSCN,FGD6,ABR,ARHGEF26
PS50004	C2	0.000837435725985708	-7.0851660423018	108	10	0.0303030303030303	330	11866	8448,23007,5922,57520,57586,23228,6857,5330,29,54843	DOC2A,PLCH1,RASA2,HECW2,SYT13,PLCL2,SYT1,PLCB2,ABR,SYTL2
PS50007	PIPLC_X_DOMAIN	0.00131969114663902	-6.63035754958033	18	4	0.0121212121212121	330	11866	23007,23228,5330,257068	PLCH1,PLCL2,PLCB2,PLCXD2
PS50002	SH3	0.00147691962940168	-6.51779669167194	201	14	0.0424242424242424	330	11866	10188,2534,143098,50807,152503,23263,1739,9743,80005,8631,785,26084,9901,153769	TNK2,FYN,MPP7,ASAP1,SH3D19,MCF2L,DLG1,ARHGAP32,DOCK5,SKAP1,CACNB4,ARHGEF26,SRGAP3,SH3RF2
PS01208	VWFC_1	0.00175214760713276	-6.34691303937027	32	5	0.0151515151515152	330	11866	23145,4753,51232,3491,80144	SSPO,NELL2,CRIM1,CYR61,FRAS1
PS50011	PROTEIN_KINASE_DOM	0.0019973057704684	-6.21595612136279	481	25	0.0757575757575758	330	11866	5599,10188,7273,4139,9175,84254,4914,30849,283455,84033,4916,4919,57118,2047,9252,7048,57761,2534,3480,5062,5584,6259,27347,5292,4233	MAPK8,TNK2,TTN,MARK1,MAP3K13,CAMKK1,NTRK1,PIK3R4,KSR2,OBSCN,NTRK3,ROR1,CAMK1D,EPHB1,RPS6KA5,TGFBR2,TRIB3,FYN,IGF1R,PAK2,PRKCI,RYK,STK39,PIM1,MET
PS50184	VWFC_2	0.00201869403391419	-6.20530449451608	33	5	0.0151515151515152	330	11866	23145,4753,51232,3491,80144	SSPO,NELL2,CRIM1,CYR61,FRAS1
PS50238	RHOGAP	0.00210699223835454	-6.16249382790938	65	7	0.0212121212121212	330	11866	1123,9743,64411,58504,9901,29,84144	CHN1,ARHGAP32,ARAP3,ARHGAP22,SRGAP3,ABR,SYDE2
