TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005737	cytoplasm	5.05001515345734e-05	-9.89353422100284	10396	379	0.670796460176991	565	17570	8448,6712,3339,1831,51175,3606,5361,79094,6596,2992,57118,23175,1490,463,5366,137994,261729,89978,57600,8309,23228,4129,4249,1021,8514,84859,7277,7378,5577,7145,4171,7462,1303,29,6498,6165,6747,146754,8829,9779,90627,27128,51068,152002,4208,4026,833,1958,1962,6480,4291,4983,4810,30849,256356,6507,7048,1293,9276,11199,2122,10019,387755,1123,6184,23657,50807,622,153768,57522,157638,776,1608,6812,858,114793,4602,627,27185,3475,84343,10274,92369,11073,594,5095,1974,5357,166378,27031,91947,8087,84168,23236,10150,50940,55435,55785,27347,11222,5599,25914,200734,55573,80321,9914,9500,4711,4753,440,23527,64789,79876,5144,80254,23089,79929,6820,22891,11343,51700,2137,1894,92370,23331,27230,4144,3669,8660,54927,2534,27295,29927,55764,25937,2887,9575,57129,59352,8975,51397,10160,23621,10079,259230,3800,4842,5585,2047,4976,2113,9252,80723,51319,4154,55186,11235,23263,9922,5742,219771,23034,10051,23189,51421,5096,217,5359,29968,163486,56895,56648,10335,23250,7784,8631,5140,9901,2591,57761,5352,28976,6259,339983,1822,138429,874,84665,170506,1649,384,23086,83943,349565,2736,84254,116496,56922,9197,51726,785,78991,55120,58477,6196,51122,221895,7439,29123,1739,7220,51435,25924,374378,1825,10188,1604,4139,83667,80790,84056,287,56704,4914,9194,494470,9140,283455,857,4919,7422,55341,3364,199221,55083,10195,4482,23007,64215,4133,60678,1803,165918,54464,196294,84706,7273,64411,5504,5922,26047,26227,5217,25981,84236,54541,6696,8706,2624,5062,65009,5584,8833,23180,545,5292,57552,2762,2571,5330,84186,8738,84033,1852,83939,6857,205428,55289,85476,131870,55733,6478,3099,60412,84166,5799,5337,483,1288,4008,81609,91942,58504,57520,55171,4916,125228,23635,51313,54843,79098,84002,23200,23317,152137,127018,55277,54221,55486,9711,2272,1889,51454,285195,118429,83989,63979,7879,26136,79669,6310,80005,79739,22877,89782,8607,4616,406,57586,23023,57221,54800,306,27333,9175,152503,7095,6695,1287,10644,22849,151242,26235,5305,7037,84144,79187,56945,6509,2644,8614,9856,166336,84632,5106,1761,56938,8893,3164,27032,54542,55638,7328,9743,79623,5291,84303,219681,11342,4131,22943,387849,3840,23287,8140,22916,30812,23355,3269	DOC2A,SPTBN2,HSPG2,TSC22D3,TUBE1,IL18,PLXNA1,CHAC1,HLTF,GYG1,CAMK1D,LPIN1,CTGF,ZFHX3,PMAIP1,LETM2,STEAP2,DPH6,FNIP2,ACOX2,PLCL2,MAOB,MGAT5,CDK6,KCNAB2,LRCH3,TUBA4A,UPP1,PRKAR2B,TNS1,MCM2,LAT2,COL12A1,ABR,SKIL,RPL35A,SSR3,DNAH2,NRP1,TBC1D5,STARD13,CYTH4,NMD3,XXYLT1,MEF2C,LPP,CARS,EGR1,EHHADH,ST6GAL1,MLF1,OPHN1,NHS,PIK3R4,GK5,SLC1A3,TGFBR2,COL6A3,COPB2,ANXA10,MECOM,SH2B3,INSC,CHN1,RPN1,SLC7A11,ASAP1,BDH1,PRELID2,SRGAP1,FAM84B,CACNA1D,DGKG,STXBP1,CAV2,FMNL2,MYB,BDNF,DISC1,IFRD1,HPS3,STAG1,SPSB4,TOPBP1,BCKDHB,PCCA,EIF4A2,PLS1,SPATA5,NPHP3,ARRDC4,FXR1,ANTXR1,PLCB1,MBNL2,PDE11A,AP1AR,FGD6,STK39,MRPL3,MAPK8,RTTN,SPRED2,CDV3,CEP70,ATP2C2,MAGED1,NDUFB5,NELL2,ASNS,ACAP2,EXO5,UBA5,PDE4D,CEP63,PEG10,MAP6D1,SULT2B1,ZNF365,MGLL,CYB5R2,EXTL3,ECT2,PXYLP1,TTC28,SERP1,MAT2A,ISG20,IRS2,CHCHD3,FYN,PDLIM3,SEC61A1,IFT122,WWTR1,GRB10,CLOCK,MRPL47,LGR6,USP13,COMMD10,FARP1,BACE1,ATP9A,SGMS1,KIF5C,NOS1,PKN1,EPHB1,OPA1,ETS1,RPS6KA5,SLC35G2,RSRC1,MBNL1,SLC25A36,PDCD10,MCF2L,IQSEC1,PTGS1,CCNY,SAMD4A,SMC4,KANK1,AMOTL2,PCCB,ALDH2,PLSCR1,PSAT1,DENND1B,AGPAT4,EIF5A2,MRVI1,ATP11A,ZP3,SKAP1,PDE3B,SRGAP3,GALNT3,TRIB3,PLOD2,ACAD9,RYK,NAT8L,ATN1,PIP5KL1,CBR3,MYPN,DHX36,DDIT3,ARG2,EXPH5,IMMP2L,NMNAT3,GLI2,CAMKK1,FAM129A,MCCC1,SLC33A1,DNAJB11,CACNB4,PCYOX1L,FANCL,SRPRB,RPS6KA2,COMMD2,JAZF1,BEST1,ANKRD11,DLG1,TRPC1,SCARA3,MYRIP,GALNT18,DSC3,TNK2,CD55,MARK1,SESN2,CMIP,KATNAL1,ANK2,JPH1,NTRK1,SLC16A7,RNF165,ATG12,KSR2,CAV1,ROR1,VEGFA,LSG1,HUS1,DZIP1L,KIF26B,ALG3,MSRA,PLCH1,DNAJC1,MAP2,EEFSEC,DPP4,RNF168,XRN1,IMMP1L,GPT2,TTN,ARAP3,PPP1R2,RASA2,CNTNAP2,PHGDH,PFN2,DNAH1,RHBDD1,DDIT4,SPP1,B3GALNT1,GATA2,PAK2,NDRG4,PRKCI,GMPS,RFTN1,ATR,PIM1,NCEH1,GMDS,GAD1,PLCB2,ZCCHC7,CRADD,OBSCN,DUSP9,EIF2A,SYT1,C3orf58,ACOXL,GFM1,NUDT16,HHAT,SIAH2,HK2,EXOC4,NLRC5,PTPRN2,PLD1,ATP1B3,COL4A6,LMO7,SNX27,NDUFAF2,ARHGAP22,HECW2,TBCCD1,NTRK3,FAM210A,SSBP2,FAM198B,SYTL2,C1orf116,B3GNT5,ATP11B,DNAJC13,CCDC50,LYPLAL1,FGGY,SNTG2,PARL,RUBCN,FHIT,ECE1,GULP1,SLC9A9,ANTXR2,FAM172A,FIGNL1,RAB7A,TES,C3orf52,ATXN1,DOCK5,TTLL7,MLXIP,LMLN,RUVBL1,GADD45B,ARNTL,SYT13,TMCC1,ARFGEF3,KLHL24,ANXA3,GOLIM4,MAP3K13,SH3D19,SEC62,SPOCK1,COL4A5,IGF2BP2,CPEB3,PPP1R1C,FBXL4,PIP4K2A,TFRC,SYDE2,FSD1,MRPS22,SLC1A4,GCHFR,STC2,KIAA0319,PRICKLE2,AFAP1L2,PCK2,DMRT1,ARNTL2,EIF2B5,NR4A1,ATP2C1,RC3H2,SYBU,UBE2H,ARHGAP32,GALNT14,PIK3CB,CHCHD6,ARMC3,RNF13,MAP1B,DKK1,REP15,KPNA4,AGTPBP1,SLC7A5,NCBP2,SOX8,VPS8,HRH1
GO:0005768	endosome	0.000780365159048655	-7.15574859520341	780	42	0.0743362831858407	565	17570	23086,81609,27333,23621,10079,30849,26047,5585,2047,7037,23200,23317,23527,9856,261729,5584,23180,9711,1889,285195,51421,118429,10188,7879,4914,9743,857,23250,91947,7784,84168,11342,22943,387849,55435,2534,6478,5337,9779,8829,23355,1649	EXPH5,SNX27,GOLIM4,BACE1,ATP9A,PIK3R4,CNTNAP2,PKN1,EPHB1,TFRC,ATP11B,DNAJC13,ACAP2,KIAA0319,STEAP2,PRKCI,RFTN1,RUBCN,ECE1,SLC9A9,AMOTL2,ANTXR2,TNK2,RAB7A,NTRK1,ARHGAP32,CAV1,ATP11A,ARRDC4,ZP3,ANTXR1,RNF13,DKK1,REP15,AP1AR,FYN,SIAH2,PLD1,TBC1D5,NRP1,VPS8,DDIT3
GO:0043005	neuron projection	0.000998402055683642	-6.90935450137322	888	46	0.0814159292035398	565	17570	54800,8448,306,10160,23621,4983,6695,4842,22849,6507,26047,2047,4976,3749,5217,4753,6509,3480,2644,50807,1739,6812,23034,8514,5796,80228,27185,10188,627,7077,7879,4914,2894,5577,9743,8087,79739,6857,4131,4133,28976,6478,60412,5799,90249,8829	KLHL24,DOC2A,ANXA3,FARP1,BACE1,OPHN1,SPOCK1,NOS1,CPEB3,SLC1A3,CNTNAP2,EPHB1,OPA1,KCNC4,PFN2,NELL2,SLC1A4,IGF1R,GCHFR,ASAP1,DLG1,STXBP1,SAMD4A,KCNAB2,PTPRK,ORAI2,DISC1,TNK2,BDNF,TIMP2,RAB7A,NTRK1,GRID1,PRKAR2B,ARHGAP32,FXR1,TTLL7,SYT1,MAP1B,MAP2,ACAD9,SIAH2,EXOC4,PTPRN2,UNC5A,NRP1
GO:1990622	CHOP-ATF3 complex	0.00103230670334624	-6.87595946291094	2	2	0.00353982300884956	565	17570	467,1649	ATF3,DDIT3
GO:0042720	mitochondrial inner membrane peptidase complex	0.00103230670334624	-6.87595946291094	2	2	0.00353982300884956	565	17570	83943,196294	IMMP2L,IMMP1L
GO:0097546	ciliary base	0.00105216403149564	-6.85690625334648	25	5	0.00884955752212389	565	17570	27185,5577,2736,27031,55764	DISC1,PRKAR2B,GLI2,NPHP3,IFT122
GO:0005791	rough endoplasmic reticulum	0.00121159470528598	-6.71581784883891	66	8	0.0141592920353982	565	17570	6184,29927,23657,5352,4133,7095,6747,339983	RPN1,SEC61A1,SLC7A11,PLOD2,MAP2,SEC62,SSR3,NAT8L
GO:0044444	cytoplasmic part	0.00128813298598518	-6.65456140664139	7817	287	0.507964601769912	565	17570	8448,6712,3339,1831,51175,3606,79094,2992,23175,1490,463,5366,137994,261729,89978,8309,4129,4249,1021,8514,7277,7378,5577,7462,1303,29,6498,6165,6747,146754,8829,9779,90627,27128,152002,833,1962,6480,4983,30849,256356,6507,7048,1293,9276,11199,2122,10019,1123,6184,23657,50807,622,153768,57522,776,6812,858,114793,4602,627,27185,84343,10274,11073,594,5095,1974,5357,166378,27031,91947,8087,84168,23236,50940,55435,55785,11222,5599,200734,80321,9914,4711,440,23527,64789,79876,5144,80254,79929,6820,11343,51700,2137,1894,92370,27230,4144,8660,54927,2534,27295,29927,25937,2887,9575,57129,59352,8975,10160,23621,10079,259230,4842,5585,2047,4976,80723,4154,55186,11235,23263,9922,5742,219771,10051,51421,5096,217,5359,29968,163486,56895,56648,10335,23250,7784,8631,5140,9901,2591,57761,5352,28976,339983,1822,874,84665,170506,1649,23086,83943,384,349565,2736,84254,9197,56922,51726,785,78991,58477,6196,7439,1739,7220,51435,374378,25924,10188,1604,83667,287,4914,56704,9140,857,7422,55341,199221,10195,4482,23007,4133,64215,60678,1803,54464,196294,84706,7273,64411,5504,5922,26047,26227,25981,84236,54541,8706,6696,2624,5062,5584,65009,8833,23180,545,57552,2571,5330,84033,1852,83939,6857,55289,205428,85476,55733,3099,60412,84166,6478,5799,5337,483,1288,81609,91942,58504,125228,51313,54843,84002,23200,23317,127018,55486,9711,1889,2272,285195,118429,83989,7879,79669,22877,8607,406,57586,57221,23023,306,27333,9175,152503,7095,10644,1287,26235,5305,7037,84144,56945,6509,2644,8614,9856,5106,8893,54542,55638,27032,9743,79623,84303,5291,11342,22943,4131,387849,3840,23287,8140,22916,23355	DOC2A,SPTBN2,HSPG2,TSC22D3,TUBE1,IL18,CHAC1,GYG1,LPIN1,CTGF,ZFHX3,PMAIP1,LETM2,STEAP2,DPH6,ACOX2,MAOB,MGAT5,CDK6,KCNAB2,TUBA4A,UPP1,PRKAR2B,LAT2,COL12A1,ABR,SKIL,RPL35A,SSR3,DNAH2,NRP1,TBC1D5,STARD13,CYTH4,XXYLT1,CARS,EHHADH,ST6GAL1,OPHN1,PIK3R4,GK5,SLC1A3,TGFBR2,COL6A3,COPB2,ANXA10,MECOM,SH2B3,CHN1,RPN1,SLC7A11,ASAP1,BDH1,PRELID2,SRGAP1,CACNA1D,STXBP1,CAV2,FMNL2,MYB,BDNF,DISC1,HPS3,STAG1,TOPBP1,BCKDHB,PCCA,EIF4A2,PLS1,SPATA5,NPHP3,ARRDC4,FXR1,ANTXR1,PLCB1,PDE11A,AP1AR,FGD6,MRPL3,MAPK8,SPRED2,CEP70,ATP2C2,NDUFB5,ASNS,ACAP2,EXO5,UBA5,PDE4D,CEP63,MAP6D1,SULT2B1,MGLL,CYB5R2,EXTL3,ECT2,PXYLP1,SERP1,MAT2A,IRS2,CHCHD3,FYN,PDLIM3,SEC61A1,WWTR1,GRB10,CLOCK,MRPL47,LGR6,USP13,FARP1,BACE1,ATP9A,SGMS1,NOS1,PKN1,EPHB1,OPA1,SLC35G2,MBNL1,SLC25A36,PDCD10,MCF2L,IQSEC1,PTGS1,CCNY,SMC4,AMOTL2,PCCB,ALDH2,PLSCR1,PSAT1,DENND1B,AGPAT4,EIF5A2,MRVI1,ATP11A,ZP3,SKAP1,PDE3B,SRGAP3,GALNT3,TRIB3,PLOD2,ACAD9,NAT8L,ATN1,CBR3,MYPN,DHX36,DDIT3,EXPH5,IMMP2L,ARG2,NMNAT3,GLI2,CAMKK1,SLC33A1,MCCC1,DNAJB11,CACNB4,PCYOX1L,SRPRB,RPS6KA2,BEST1,DLG1,TRPC1,SCARA3,GALNT18,MYRIP,TNK2,CD55,SESN2,ANK2,NTRK1,JPH1,ATG12,CAV1,VEGFA,LSG1,DZIP1L,ALG3,MSRA,PLCH1,MAP2,DNAJC1,EEFSEC,DPP4,XRN1,IMMP1L,GPT2,TTN,ARAP3,PPP1R2,RASA2,CNTNAP2,PHGDH,DNAH1,RHBDD1,DDIT4,B3GALNT1,SPP1,GATA2,PAK2,PRKCI,NDRG4,GMPS,RFTN1,ATR,NCEH1,GAD1,PLCB2,OBSCN,DUSP9,EIF2A,SYT1,ACOXL,C3orf58,GFM1,HHAT,HK2,EXOC4,NLRC5,SIAH2,PTPRN2,PLD1,ATP1B3,COL4A6,SNX27,NDUFAF2,ARHGAP22,FAM210A,FAM198B,SYTL2,B3GNT5,ATP11B,DNAJC13,LYPLAL1,PARL,RUBCN,ECE1,FHIT,SLC9A9,ANTXR2,FAM172A,RAB7A,C3orf52,MLXIP,RUVBL1,ARNTL,SYT13,ARFGEF3,TMCC1,ANXA3,GOLIM4,MAP3K13,SH3D19,SEC62,IGF2BP2,COL4A5,FBXL4,PIP4K2A,TFRC,SYDE2,MRPS22,SLC1A4,GCHFR,STC2,KIAA0319,PCK2,EIF2B5,RC3H2,SYBU,ATP2C1,ARHGAP32,GALNT14,CHCHD6,PIK3CB,RNF13,DKK1,MAP1B,REP15,KPNA4,AGTPBP1,SLC7A5,NCBP2,VPS8
GO:0044424	intracellular part	0.00148572169403312	-6.51185463553411	13357	459	0.812389380530973	565	17570	8448,6712,3339,1831,4194,51175,2625,3606,5361,79094,6596,2992,57118,23175,1490,463,5366,137994,79572,261729,89978,57600,8309,23228,4129,114818,4249,1021,8514,84859,7277,7378,9425,4774,5577,7145,4171,7462,1303,29,6498,6165,6747,146754,3097,7029,8829,9779,90627,27128,51068,152002,4208,4026,833,10365,1958,1962,6480,4291,2792,4983,4810,30849,256356,6507,7048,26038,1293,9276,11199,153769,2122,10019,387755,1123,6184,23657,50807,622,9678,153768,57522,157638,776,1608,6812,858,114793,285,4602,627,27185,3475,84343,10274,92369,11073,594,5095,84159,1974,5357,166378,27031,8087,91947,84168,23236,10150,50940,55435,1054,55785,27347,11222,5599,25914,200734,55573,9658,80321,79977,9914,89927,9500,4711,1960,84940,152485,4753,440,23527,64789,79876,5144,80254,23089,79929,6820,22891,11343,5984,902,51700,2137,1894,467,92370,23331,27230,114991,4144,84627,3669,8660,54927,2534,27295,29927,25790,286053,55764,25937,28999,2887,9575,55689,730755,57129,59352,8975,51397,10160,23621,10079,259230,169841,5090,3800,4842,55892,9586,5585,2047,4976,2113,9252,80723,51319,4154,55186,80853,11235,23263,9922,5742,219771,23034,116931,10051,89795,23189,51421,5096,217,5359,55167,29968,163486,56895,56648,51163,10335,23250,7784,8631,5140,9901,8464,2591,57761,80012,5352,28976,6259,339983,1822,138429,874,84665,170506,1649,384,23086,83943,349565,2736,7403,84254,116496,56922,9197,51726,22982,785,78991,55120,58477,6196,51122,221895,7439,29123,1739,7220,256979,51435,25924,374378,9771,1825,10188,1604,4139,83667,79364,80790,84056,287,56704,4914,9194,494470,9140,283455,4919,857,7422,55341,3364,199221,55083,10195,4482,23007,64215,4133,60678,23350,1803,165918,54464,5522,196294,86,7182,84706,7273,64411,5504,5922,122953,2119,26047,26227,5217,25981,84236,54541,9668,8706,6696,3480,2624,5062,65009,5584,8833,23180,545,5292,2762,57552,2571,5330,84186,8738,84033,1852,7486,83939,6857,205428,55289,85476,131870,79915,55733,6478,54165,3099,60412,84166,5799,483,5337,6907,1288,4008,81609,91942,58504,57520,55171,4916,57018,125228,23635,51313,9656,79098,54843,84002,23200,23317,152137,127018,55277,8543,54221,55486,9711,2272,1889,51454,205564,55084,285195,118429,83989,63979,7879,26136,79669,6310,79739,80005,22877,55509,89782,8607,3755,4616,406,57586,23023,57221,54800,306,27333,9175,152503,7095,6695,1287,10644,22849,151242,26235,5305,7037,5523,84144,79187,56945,6509,10283,2644,84969,8614,9856,166336,84632,57101,5106,1761,51450,56938,8893,2247,79718,3164,27032,54542,55638,7328,9743,55628,79623,5291,84303,219681,11342,4131,283078,22943,387849,3840,339778,84456,23287,8140,22916,114785,30812,83940,23355,3269	DOC2A,SPTBN2,HSPG2,TSC22D3,MDM4,TUBE1,GATA3,IL18,PLXNA1,CHAC1,HLTF,GYG1,CAMK1D,LPIN1,CTGF,ZFHX3,PMAIP1,LETM2,ATP13A3,STEAP2,DPH6,FNIP2,ACOX2,PLCL2,MAOB,KLHL29,MGAT5,CDK6,KCNAB2,LRCH3,TUBA4A,UPP1,CDYL,NFIA,PRKAR2B,TNS1,MCM2,LAT2,COL12A1,ABR,SKIL,RPL35A,SSR3,DNAH2,HIVEP2,TFDP2,NRP1,TBC1D5,STARD13,CYTH4,NMD3,XXYLT1,MEF2C,LPP,CARS,KLF2,EGR1,EHHADH,ST6GAL1,MLF1,GNGT1,OPHN1,NHS,PIK3R4,GK5,SLC1A3,TGFBR2,CHD5,COL6A3,COPB2,ANXA10,SH3RF2,MECOM,SH2B3,INSC,CHN1,RPN1,SLC7A11,ASAP1,BDH1,PHF14,PRELID2,SRGAP1,FAM84B,CACNA1D,DGKG,STXBP1,CAV2,FMNL2,ANGPT2,MYB,BDNF,DISC1,IFRD1,HPS3,STAG1,SPSB4,TOPBP1,BCKDHB,PCCA,ARID5B,EIF4A2,PLS1,SPATA5,NPHP3,FXR1,ARRDC4,ANTXR1,PLCB1,MBNL2,PDE11A,AP1AR,CEBPG,FGD6,STK39,MRPL3,MAPK8,RTTN,SPRED2,CDV3,ZNF516,CEP70,GRHL2,ATP2C2,C16orf45,MAGED1,NDUFB5,EGR3,CORO6,ZNF827,NELL2,ASNS,ACAP2,EXO5,UBA5,PDE4D,CEP63,PEG10,MAP6D1,SULT2B1,ZNF365,MGLL,RFC4,CCNH,CYB5R2,EXTL3,ECT2,ATF3,PXYLP1,TTC28,SERP1,ZNF618,MAT2A,ZNF469,ISG20,IRS2,CHCHD3,FYN,PDLIM3,SEC61A1,CFAP45,NSMCE2,IFT122,WWTR1,KLF15,GRB10,CLOCK,YEATS2,KRTAP2-3,MRPL47,LGR6,USP13,COMMD10,FARP1,BACE1,ATP9A,SGMS1,ZNF169,PBX3,KIF5C,NOS1,MYNN,CREB5,PKN1,EPHB1,OPA1,ETS1,RPS6KA5,SLC35G2,RSRC1,MBNL1,SLC25A36,KDM7A,PDCD10,MCF2L,IQSEC1,PTGS1,CCNY,SAMD4A,MED12L,SMC4,NAV3,KANK1,AMOTL2,PCCB,ALDH2,PLSCR1,MSL2,PSAT1,DENND1B,AGPAT4,EIF5A2,DBR1,MRVI1,ATP11A,ZP3,SKAP1,PDE3B,SRGAP3,SUPT3H,GALNT3,TRIB3,PHC3,PLOD2,ACAD9,RYK,NAT8L,ATN1,PIP5KL1,CBR3,MYPN,DHX36,DDIT3,ARG2,EXPH5,IMMP2L,NMNAT3,GLI2,KDM6A,CAMKK1,FAM129A,MCCC1,SLC33A1,DNAJB11,DIP2C,CACNB4,PCYOX1L,FANCL,SRPRB,RPS6KA2,COMMD2,JAZF1,BEST1,ANKRD11,DLG1,TRPC1,SUN3,SCARA3,MYRIP,GALNT18,RAPGEF5,DSC3,TNK2,CD55,MARK1,SESN2,ZXDC,CMIP,KATNAL1,ANK2,JPH1,NTRK1,SLC16A7,RNF165,ATG12,KSR2,ROR1,CAV1,VEGFA,LSG1,HUS1,DZIP1L,KIF26B,ALG3,MSRA,PLCH1,DNAJC1,MAP2,EEFSEC,U2SURP,DPP4,RNF168,XRN1,PPP2R2C,IMMP1L,ACTL6A,NR2C2,GPT2,TTN,ARAP3,PPP1R2,RASA2,JDP2,ETV5,CNTNAP2,PHGDH,PFN2,DNAH1,RHBDD1,DDIT4,ZNF432,B3GALNT1,SPP1,IGF1R,GATA2,PAK2,NDRG4,PRKCI,GMPS,RFTN1,ATR,PIM1,GMDS,NCEH1,GAD1,PLCB2,ZCCHC7,CRADD,OBSCN,DUSP9,WRN,EIF2A,SYT1,C3orf58,ACOXL,GFM1,NUDT16,ATAD5,HHAT,SIAH2,DCUN1D1,HK2,EXOC4,NLRC5,PTPRN2,ATP1B3,PLD1,TBL1X,COL4A6,LMO7,SNX27,NDUFAF2,ARHGAP22,HECW2,TBCCD1,NTRK3,CCNL1,FAM210A,SSBP2,FAM198B,MDC1,C1orf116,SYTL2,B3GNT5,ATP11B,DNAJC13,CCDC50,LYPLAL1,FGGY,LMO4,SNTG2,PARL,RUBCN,FHIT,ECE1,GULP1,SENP5,SOBP,SLC9A9,ANTXR2,FAM172A,FIGNL1,RAB7A,TES,C3orf52,ATXN1,TTLL7,DOCK5,MLXIP,BATF3,LMLN,RUVBL1,KCNG1,GADD45B,ARNTL,SYT13,TMCC1,ARFGEF3,KLHL24,ANXA3,GOLIM4,MAP3K13,SH3D19,SEC62,SPOCK1,COL4A5,IGF2BP2,CPEB3,PPP1R1C,FBXL4,PIP4K2A,TFRC,PPP2R3A,SYDE2,FSD1,MRPS22,SLC1A4,CWC27,GCHFR,TOX2,STC2,KIAA0319,PRICKLE2,AFAP1L2,ANO2,PCK2,DMRT1,PRRX2,ARNTL2,EIF2B5,FGF2,TBL1XR1,NR4A1,ATP2C1,RC3H2,SYBU,UBE2H,ARHGAP32,ZNF407,GALNT14,PIK3CB,CHCHD6,ARMC3,RNF13,MAP1B,MKX,DKK1,REP15,KPNA4,C2orf70,L3MBTL3,AGTPBP1,SLC7A5,NCBP2,MBD6,SOX8,TATDN1,VPS8,HRH1
GO:0030425	dendrite	0.00188178932260661	-6.27553218743969	412	25	0.0442477876106195	565	17570	306,627,10188,10160,4914,4983,2894,4842,22849,5577,9743,6507,2047,8087,4976,79739,4131,4753,6509,2644,50807,4133,28976,23034,5796	ANXA3,BDNF,TNK2,FARP1,NTRK1,OPHN1,GRID1,NOS1,CPEB3,PRKAR2B,ARHGAP32,SLC1A3,EPHB1,FXR1,OPA1,TTLL7,MAP1B,NELL2,SLC1A4,GCHFR,ASAP1,MAP2,ACAD9,SAMD4A,PTPRK
