TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-194840	Rho GTPase cycle	8.50022927296867e-05	-9.3728323285473	124	14	0.049645390070922	282	8202	1123,64411,23263,58504,1894,57522,4983,84033,101928168,9743,90627,29,9901,84144	CHN1,ARAP3,MCF2L,ARHGAP22,ECT2,SRGAP1,OPHN1,OBSCN,LOC101928168,ARHGAP32,STARD13,ABR,SRGAP3,SYDE2
R-HSA-1474290	Collagen formation	0.000161132699067993	-8.73328231464717	86	11	0.0390070921985816	282	8202	4316,7092,9313,5352,1287,26577,1288,1303,1293,7093,3914	MMP7,TLL1,MMP20,PLOD2,COL4A5,PCOLCE2,COL4A6,COL12A1,COL6A3,TLL2,LAMB3
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	0.000464769705156519	-7.67396853278545	54	8	0.0283687943262411	282	8202	4316,7092,9313,1287,1288,1293,7093,3914	MMP7,TLL1,MMP20,COL4A5,COL4A6,COL6A3,TLL2,LAMB3
R-HSA-422475	Axon guidance	0.000792654359554588	-7.14012329571591	516	32	0.113475177304965	282	8202	6712,200734,5922,9542,1287,5361,2047,9252,785,5217,9965,1293,6196,5062,1739,57522,7220,776,4233,2247,287,283455,1852,7422,9901,8660,2534,3673,6478,23129,90249,8829	SPTBN2,SPRED2,RASA2,NRG2,COL4A5,PLXNA1,EPHB1,RPS6KA5,CACNB4,PFN2,FGF19,COL6A3,RPS6KA2,PAK2,DLG1,SRGAP1,TRPC1,CACNA1D,MET,FGF2,ANK2,KSR2,DUSP9,VEGFA,SRGAP3,IRS2,FYN,ITGA2,SIAH2,PLXND1,UNC5A,NRP1
R-HSA-3323169	Defects in biotin (Btn) metabolism	0.00126994037551899	-6.66878532802399	7	3	0.0106382978723404	282	8202	5096,5095,56922	PCCB,PCCA,MCCC1
R-HSA-3371599	Defective HLCS causes multiple carboxylase deficiency	0.00126994037551899	-6.66878532802399	7	3	0.0106382978723404	282	8202	5096,5095,56922	PCCB,PCCA,MCCC1
R-HSA-2214320	Anchoring fibril formation	0.00126994037551899	-6.66878532802399	7	3	0.0106382978723404	282	8202	7092,3914,7093	TLL1,LAMB3,TLL2
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	0.00146963341777782	-6.52274228495212	64	8	0.0283687943262411	282	8202	7092,5352,1287,26577,1288,1303,1293,7093	TLL1,PLOD2,COL4A5,PCOLCE2,COL4A6,COL12A1,COL6A3,TLL2
R-HSA-399954	Sema3A PAK dependent Axon repulsion	0.00179457279416094	-6.32298828304976	16	4	0.0141843971631206	282	8202	2534,5361,8829,5062	FYN,PLXNA1,NRP1,PAK2
R-HSA-1474244	Extracellular matrix organization	0.00208754630834852	-6.17176591784531	267	19	0.0673758865248227	282	8202	7077,7092,9313,3339,2247,10319,1287,1293,1303,84467,3914,6696,4316,5352,3673,26577,3687,1288,7093	TIMP2,TLL1,MMP20,HSPG2,FGF2,LAMC3,COL4A5,COL6A3,COL12A1,FBN3,LAMB3,SPP1,MMP7,PLOD2,ITGA2,PCOLCE2,ITGAX,COL4A6,TLL2
R-HSA-381119	Unfolded Protein Response (UPR)	0.00267274215709763	-5.92465030846927	86	9	0.0319148936170213	282	8202	58477,440,29927,7095,2137,51726,467,27230,1649	SRPRB,ASNS,SEC61A1,SEC62,EXTL3,DNAJB11,ATF3,SERP1,DDIT3
R-HSA-1474228	Degradation of the extracellular matrix	0.00337850655804516	-5.69032151386244	89	9	0.0319148936170213	282	8202	6696,4316,7077,7092,9313,3339,1303,7093,3914	SPP1,MMP7,TIMP2,TLL1,MMP20,HSPG2,COL12A1,TLL2,LAMB3
R-HSA-977347	Serine biosynthesis	0.00345373858326676	-5.6682979873371	3	2	0.00709219858156028	282	8202	29968,26227	PSAT1,PHGDH
R-HSA-166520	Signalling by NGF	0.00348633763649853	-5.65890348158348	430	26	0.0921985815602837	282	8202	5599,6712,200734,2247,3164,5922,9500,4914,1894,1852,84033,283455,9542,5577,9252,5291,9965,29,84894,8660,57761,2534,6196,23263,5584,4208	MAPK8,SPTBN2,SPRED2,FGF2,NR4A1,RASA2,MAGED1,NTRK1,ECT2,DUSP9,OBSCN,KSR2,NRG2,PRKAR2B,RPS6KA5,PIK3CB,FGF19,ABR,LINGO1,IRS2,TRIB3,FYN,RPS6KA2,MCF2L,PRKCI,MEF2C
R-HSA-352230	Amino acid transport across the plasma membrane	0.00378012327167386	-5.57799865832846	31	5	0.0177304964539007	282	8202	6541,6509,23657,117247,8140	SLC7A1,SLC1A4,SLC7A11,SLC16A10,SLC7A5
R-HSA-193648	NRAGE signals death through JNK	0.00412759881263553	-5.49005944238737	45	6	0.0212765957446809	282	8202	84033,5599,23263,9500,29,1894	OBSCN,MAPK8,MCF2L,MAGED1,ABR,ECT2
R-HSA-196780	Biotin transport and metabolism	0.00540390255236886	-5.22063389154698	11	3	0.0106382978723404	282	8202	5096,5095,56922	PCCB,PCCA,MCCC1
R-HSA-373753	Nephrin interactions	0.00613209702232625	-5.09421849580057	22	4	0.0141843971631206	282	8202	2534,4868,84063,5291	FYN,NPHS1,KIRREL2,PIK3CB
R-HSA-936837	Ion transport by P-type ATPases	0.00632100743065962	-5.06387667994139	49	6	0.0212765957446809	282	8202	23200,483,23250,10079,27032,9914	ATP11B,ATP1B3,ATP11A,ATP9A,ATP2C1,ATP2C2
