TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	3.42888224199786e-06	-12.5832762268644	278	28	0.0788732394366197	355	9131	6712,79674,64411,10160,80790,5922,23101,58504,4983,1894,84033,8631,26084,29,10019,8660,23007,23527,50807,23263,54221,9922,55785,84632,2887,5337,23228,27128	SPTBN2,VEPH1,ARAP3,FARP1,CMIP,RASA2,MCF2L2,ARHGAP22,OPHN1,ECT2,OBSCN,SKAP1,ARHGEF26,ABR,SH2B3,IRS2,PLCH1,ACAP2,ASAP1,MCF2L,SNTG2,IQSEC1,FGD6,AFAP1L2,GRB10,PLD1,PLCL2,CYTH4
SM00324	RhoGAP	0.000161597438191738	-8.73040226477684	64	10	0.028169014084507	355	9131	1123,64411,58504,4983,57522,9743,90627,29,9901,84144	CHN1,ARAP3,ARHGAP22,OPHN1,SRGAP1,ARHGAP32,STARD13,ABR,SRGAP3,SYDE2
SM00149	PLCYc	0.00218054571208287	-6.12818010686411	15	4	0.0112676056338028	355	9131	23007,23228,23236,5330	PLCH1,PLCL2,PLCB1,PLCB2
SM00148	PLCXc	0.00218054571208287	-6.12818010686411	15	4	0.0112676056338028	355	9131	23007,23228,23236,5330	PLCH1,PLCL2,PLCB1,PLCB2
SM00239	C2	0.00224105048032284	-6.1008105586148	135	13	0.0366197183098592	355	9131	8448,23007,5922,57520,57586,23228,5585,6857,23236,5330,29,54843,84144	DOC2A,PLCH1,RASA2,HECW2,SYT13,PLCL2,PKN1,SYT1,PLCB1,PLCB2,ABR,SYTL2,SYDE2
SM00214	VWC	0.00364361815575704	-5.61477809218885	39	6	0.0169014084507042	355	9131	23145,4753,1490,51232,3491,80144	SSPO,NELL2,CTGF,CRIM1,CYR61,FRAS1
SM00325	RhoGEF	0.00386554911921738	-5.55565153220457	66	8	0.0225352112676056	355	9131	10160,23101,23263,1894,84033,55785,29,26084	FARP1,MCF2L2,MCF2L,ECT2,OBSCN,FGD6,ABR,ARHGEF26
SM00219	TyrKc	0.006997125487201	-4.96225585895001	88	9	0.0253521126760563	355	9131	10188,2534,3480,4914,6259,4916,4919,4233,2047	TNK2,FYN,IGF1R,NTRK1,RYK,NTRK3,ROR1,MET,EPHB1
SM00326	SH3	0.0104626526025315	-4.55994325760682	217	16	0.0450704225352113	355	9131	10188,152503,84033,9743,80005,785,8631,9901,26084,153769,2534,50807,143098,23263,57522,1739	TNK2,SH3D19,OBSCN,ARHGAP32,DOCK5,CACNB4,SKAP1,SRGAP3,ARHGEF26,SH3RF2,FYN,ASAP1,MPP7,MCF2L,SRGAP1,DLG1
SM00878	Biotin_carb_C	0.0139420570223428	-4.27284532195765	5	2	0.00563380281690141	355	9131	5095,56922	PCCA,MCCC1
SM00060	FN3	0.0142097537828314	-4.25382666405833	187	14	0.0394366197183099	355	9131	79187,7273,3480,133396,9856,84033,64778,53833,2047,4868,50615,1303,1293,5796	FSD1,TTN,IGF1R,IL31RA,KIAA0319,OBSCN,FNDC3B,IL20RB,EPHB1,NPHS1,IL21R,COL12A1,COL6A3,PTPRK
SM00338	BRLZ	0.0149216017049526	-4.20494533708957	52	6	0.0169014084507042	355	9131	467,9586,122953,1649,55509,1054	ATF3,CREB5,JDP2,DDIT3,BATF3,CEBPG
SM00458	RICIN	0.0194281137078128	-3.94103410173561	27	4	0.0112676056338028	355	9131	2591,79623,374378,202	GALNT3,GALNT14,GALNT18,AIM1
SM00111	C4	0.0203792220741197	-3.89323942296026	6	2	0.00563380281690141	355	9131	1287,1288	COL4A5,COL4A6
SM00222	Sec7	0.02238988068707	-3.79914617723471	16	3	0.00845070422535211	355	9131	27128,57221,9922	CYTH4,ARFGEF3,IQSEC1
SM00235	ZnMc	0.0247492441028282	-3.6989603317337	29	4	0.0112676056338028	355	9131	4316,7092,9313,7093	MMP7,TLL1,MMP20,TLL2
SM00028	TPR	0.0279068115495812	-3.57888447839047	93	8	0.0225352112676056	355	9131	7403,79836,164832,55001,27031,23331,22996,151613	KDM6A,LONRF3,LONRF2,TTC22,NPHP3,TTC28,TTC39A,TTC14
SM00121	IB	0.0308145022196863	-3.47976984852978	18	3	0.00845070422535211	355	9131	1490,51232,3491	CTGF,CRIM1,CYR61
SM00802	UME	0.0388785456137442	-3.24731270714346	1	1	0.0028169014084507	355	9131	545	ATR
SM00910	HIRAN	0.0388785456137442	-3.24731270714346	1	1	0.0028169014084507	355	9131	6596	HLTF
SM00017	OSTEO	0.0388785456137442	-3.24731270714346	1	1	0.0028169014084507	355	9131	6696	SPP1
SM00042	CUB	0.0406654045577076	-3.20237755886481	49	5	0.0140845070422535	355	9131	26577,7092,8829,81831,7093	PCOLCE2,TLL1,NRP1,NETO2,TLL2
SM00033	CH	0.0425454695271259	-3.15718190372962	66	6	0.0169014084507042	355	9131	4008,6712,5357,8407,84859,89795	LMO7,SPTBN2,PLS1,TAGLN2,LRCH3,NAV3
SM00231	FA58C	0.0461234418348336	-3.07643395855067	21	3	0.00845070422535211	355	9131	23145,26047,8829	SSPO,CNTNAP2,NRP1
