TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP516	Hypertrophy Model	0.000629150873805863	-7.37113946705996	20	5	0.0304878048780488	164	4455	467,3475,3606,7422,3491	ATF3,IFRD1,IL18,VEGFA,CYR61
WP236	Adipogenesis	0.000937727767735667	-6.97205087737645	131	13	0.0792682926829268	164	4455	8660,57761,2624,4616,25937,6695,2625,28999,5106,4154,1649,23175,4208	IRS2,TRIB3,GATA2,GADD45B,WWTR1,SPOCK1,GATA3,KLF15,PCK2,MBNL1,DDIT3,LPIN1,MEF2C
WP306	Focal Adhesion	0.00105726435835774	-6.85207050085004	184	16	0.0975609756097561	164	4455	5599,10188,30849,10319,857,5291,3914,6696,2534,3480,5062,3673,4233,3687,1288,858	MAPK8,TNK2,PIK3R4,LAMC3,CAV1,PIK3CB,LAMB3,SPP1,FYN,IGF1R,PAK2,ITGA2,MET,ITGAX,COL4A6,CAV2
WP2380	BDNF signaling pathway	0.00224095092329335	-6.10085498387064	144	13	0.0792682926829268	164	4455	8660,5599,6696,627,2534,1958,4914,1739,4916,9252,140885,4208,84894	IRS2,MAPK8,SPP1,BDNF,FYN,EGR1,NTRK1,DLG1,NTRK3,RPS6KA5,SIRPA,MEF2C,LINGO1
WP481	Insulin Signaling	0.00244678561435983	-6.01298010998219	163	14	0.0853658536585366	164	4455	8660,5599,57761,6196,3480,1958,9175,5584,30849,2887,2992,9252,6812,5291	IRS2,MAPK8,TRIB3,RPS6KA2,IGF1R,EGR1,MAP3K13,PRKCI,PIK3R4,GRB10,GYG1,RPS6KA5,STXBP1,PIK3CB
WP437	EGFR1 Signaling Pathway	0.0127125073226022	-4.36516894159172	177	13	0.0792682926829268	164	4455	5599,10188,6196,5359,50807,5584,2887,857,5337,9252,6812,5291,858	MAPK8,TNK2,RPS6KA2,PLSCR1,ASAP1,PRKCI,GRB10,CAV1,PLD1,RPS6KA5,STXBP1,PIK3CB,CAV2
WP2291	Deregulation of Rab and Rab Effector Genes in Bladder Cancer	0.0192695183186574	-3.94923079330536	16	3	0.0182926829268293	164	4455	23086,25924,54843	EXPH5,MYRIP,SYTL2
WP734	Serotonin Receptor 4/6/7 and NR3C Signaling	0.0307665165446172	-3.48132830552657	19	3	0.0182926829268293	164	4455	3363,1958,9252	HTR7,EGR1,RPS6KA5
WP706	SIDS Susceptibility Pathways	0.0326048791123212	-3.42329333578619	160	11	0.0670731707317073	164	4455	627,1958,2624,4133,2625,5577,1889,6507,7422,4208,4602	BDNF,EGR1,GATA2,MAP2,GATA3,PRKAR2B,ECE1,SLC1A3,VEGFA,MEF2C,MYB
WP382	MAPK signaling pathway	0.0366445440942761	-3.30649072682577	163	11	0.0670731707317073	164	4455	5599,627,9175,3164,5922,5062,4914,22808,7048,1649,4208	MAPK8,BDNF,MAP3K13,NR4A1,RASA2,PAK2,NTRK1,MRAS,TGFBR2,DDIT3,MEF2C
WP244	Alpha6-Beta4 Integrin Signaling Pathway	0.0402739670130495	-3.21204999858944	69	6	0.0365853658536585	164	4455	8660,2534,4316,4233,5291,3914	IRS2,FYN,MMP7,MET,PIK3CB,LAMB3
WP366	TGF-beta Receptor Signaling Pathway	0.0503307374422868	-2.98913930615961	151	10	0.0609756097560976	164	4455	5599,6498,57559,467,857,7029,2113,7048,1021,4208	MAPK8,SKIL,STAMBPL1,ATF3,CAV1,TFDP2,ETS1,TGFBR2,CDK6,MEF2C
WP1539	Angiogenesis	0.0505499298685261	-2.98479372088505	23	3	0.0182926829268293	164	4455	7077,7422,2247	TIMP2,VEGFA,FGF2
WP2037	Prolactin Signaling Pathway	0.0566277903613723	-2.87125541848802	75	6	0.0365853658536585	164	4455	8660,5599,6196,2534,5291,140885	IRS2,MAPK8,RPS6KA2,FYN,PIK3CB,SIRPA
WP524	G13 Signaling Pathway	0.0578880998299292	-2.84924344523492	40	4	0.024390243902439	164	4455	10188,5585,5291,5305	TNK2,PKN1,PIK3CB,PIP4K2A
WP185	Integrin-mediated cell adhesion	0.0710036122672499	-2.64502452623149	99	7	0.0426829268292683	164	4455	7145,2534,857,3687,858,3673,5062	TNS1,FYN,CAV1,ITGAX,CAV2,ITGA2,PAK2
WP474	Endochondral Ossification	0.089690522375973	-2.41139017463044	65	5	0.0304878048780488	164	4455	6696,3480,7422,2247,4208	SPP1,IGF1R,VEGFA,FGF2,MEF2C
WP2525	Trans-sulfuration and one carbon metabolism	0.103957544511695	-2.26377268903671	31	3	0.0182926829268293	164	4455	29968,26227,4144	PSAT1,PHGDH,MAT2A
WP129	Matrix Metalloproteinases	0.103957544511695	-2.26377268903671	31	3	0.0182926829268293	164	4455	7077,4316,9313	TIMP2,MMP7,MMP20
WP12	Osteoclast Signaling	0.11542199874582	-2.15916031269607	16	2	0.0121951219512195	164	4455	5599,6696	MAPK8,SPP1
WP2406	Cardiac Progenitor Differentiation	0.129499229249942	-2.04408034959816	53	4	0.024390243902439	164	4455	2247,140885,22943,4208	FGF2,SIRPA,DKK1,MEF2C
WP1995	Effects of nitric oxide	0.139361326073369	-1.97068525047137	4	1	0.00609756097560976	164	4455	4842	NOS1
WP500	Glycogen Metabolism	0.153830608607608	-1.87190322605743	37	3	0.0182926829268293	164	4455	2992,5522,5523	GYG1,PPP2R2C,PPP2R3A
WP364	IL-6 Signaling Pathway	0.156241012214875	-1.85635551384487	99	6	0.0365853658536585	164	4455	5599,2534,83939,6196,5522,5523	MAPK8,FYN,EIF2A,RPS6KA2,PPP2R2C,PPP2R3A
WP170	Nuclear Receptors	0.162778039088729	-1.81536772954523	38	3	0.0182926829268293	164	4455	4919,3164,7182	ROR1,NR4A1,NR2C2
