TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH/PTB_dom	6.45054032098573e-11	-23.4642721249399	379	71	0.0465879265091864	1524	18293	6712,200734,58504,81846,8527,2037,26230,55160,23527,8853,53358,51454,54566,9828,23228,84249,90102,1894,7145,389072,157,57731,26084,29,8660,23007,2887,64097,27128,23294,84978,10160,64411,2888,5922,7204,4983,5774,139818,23239,10019,64759,56899,50807,23263,323,9922,84632,79674,1759,22874,64283,8831,84725,23101,9455,144100,65059,84033,8631,116987,84220,9651,10000,114879,55785,5332,5337,114880,50619,50649	SPTBN2,SPRED2,ARHGAP22,SBF2,DGKD,EPB41L2,TIAM2,ARHGEF10L,ACAP2,ASAP2,SHC3,GULP1,EPB41L4B,ARHGEF17,PLCL2,PSD2,PHLDB2,ECT2,TNS1,PLEKHM3,ADRBK2,SPTBN4,ARHGEF26,ABR,IRS2,PLCH1,GRB10,EPB41L4A,CYTH4,ANKS1A,FRMD5,FARP1,ARAP3,GRB14,RASA2,TRIO,OPHN1,PTPN3,DOCK11,PHLPP1,SH2B3,TNS3,ANKS1B,ASAP1,MCF2L,APBB2,IQSEC1,AFAP1L2,VEPH1,DNM1,PLEKHA6,ARHGEF28,SYNGAP1,PLEKHA8,MCF2L2,HOMER2,PLEKHA7,RAPH1,OBSCN,SKAP1,AGAP1,RGPD5,PLCH2,AKT3,OSBPL5,FGD6,PLCB4,PLD1,OSBPL6,DEF6,ARHGEF4
IPR001849	PH_domain	1.19583008923748e-09	-20.5444252573652	278	55	0.0360892388451444	1524	18293	6712,64411,10160,2888,5922,58504,7204,4983,81846,8527,23239,139818,26230,10019,23527,8853,50807,23263,54221,9922,84632,23228,84249,79674,90102,1759,64283,22874,8831,80790,84725,23101,65059,1894,144100,84033,389072,116987,8631,157,57731,29,26084,8660,23007,9651,10000,114879,55785,2887,5337,27128,114880,50619,50649	SPTBN2,ARAP3,FARP1,GRB14,RASA2,ARHGAP22,TRIO,OPHN1,SBF2,DGKD,PHLPP1,DOCK11,TIAM2,SH2B3,ACAP2,ASAP2,ASAP1,MCF2L,SNTG2,IQSEC1,AFAP1L2,PLCL2,PSD2,VEPH1,PHLDB2,DNM1,ARHGEF28,PLEKHA6,SYNGAP1,CMIP,PLEKHA8,MCF2L2,RAPH1,ECT2,PLEKHA7,OBSCN,PLEKHM3,AGAP1,SKAP1,ADRBK2,SPTBN4,ABR,ARHGEF26,IRS2,PLCH1,PLCH2,AKT3,OSBPL5,FGD6,GRB10,PLD1,CYTH4,OSBPL6,DEF6,ARHGEF4
IPR000008	C2_dom	7.50277957805536e-06	-11.8002369956737	160	31	0.0203412073490814	1524	18293	90342,8448,8831,5922,84258,57520,7145,11231,5585,6857,23236,5291,4734,54843,29,84144,5581,23007,64759,9651,22841,9066,153241,5332,23208,57586,80014,23228,5330,94120,9699	FER1L5,DOC2A,SYNGAP1,RASA2,SYT3,HECW2,TNS1,SEC63,PKN1,SYT1,PLCB1,PIK3CB,NEDD4,SYTL2,ABR,SYDE2,PRKCE,PLCH1,TNS3,PLCH2,RAB11FIP2,SYT7,CEP120,PLCB4,SYT11,SYT13,WWC2,PLCL2,PLCB2,SYTL3,RIMS2
IPR001660	SAM	2.02084319786789e-05	-10.8094106159675	93	21	0.0137795275590551	1524	18293	64411,10389,22941,2043,259230,22955,8527,2047,55607,401474,80012,56899,84456,8496,50944,148418,90627,51776,23034,23294,154075	ARAP3,SCML2,SHANK2,EPHA4,SGMS1,SCMH1,DGKD,EPHB1,PPP1R9A,SAMD12,PHC3,ANKS1B,L3MBTL3,PPFIBP1,SHANK1,SAMD13,STARD13,ZAK,SAMD4A,ANKS1A,SAMD3
IPR001452	SH3_domain	2.20483178673029e-05	-10.7222742461786	217	37	0.0242782152230971	1524	18293	115677,10580,6457,152503,7204,1795,115703,785,30011,153769,79729,8853,50807,50944,783,23263,1739,57522,1741,29993,10188,10152,51678,22941,84033,9743,80005,8631,26084,9901,2534,143098,23677,57091,80115,9644,50649	NOSTRIN,SORBS1,SH3GL3,SH3D19,TRIO,DOCK3,ARHGAP33,CACNB4,SH3KBP1,SH3RF2,SH3D21,ASAP2,ASAP1,SHANK1,CACNB2,MCF2L,DLG1,SRGAP1,DLG3,PACSIN1,TNK2,ABI2,MPP6,SHANK2,OBSCN,ARHGAP32,DOCK5,SKAP1,ARHGEF26,SRGAP3,FYN,MPP7,SH3BP4,CASS4,BAIAP2L2,SH3PXD2A,ARHGEF4
IPR004827	bZIP	9.86023829812801e-05	-9.22441512848059	54	14	0.00918635170603675	1524	18293	466,571,468,60468,122953,2354,1054,4779,22926,467,9586,2355,1649,55509	ATF1,BACH1,ATF4,BACH2,JDP2,FOSB,CEBPG,NFE2L1,ATF6,ATF3,CREB5,FOSL2,DDIT3,BATF3
IPR000719	Prot_kinase_dom	0.00013164887714272	-8.93537220116794	482	64	0.041994750656168	1524	18293	5599,90,84254,4882,2043,51701,4916,57118,65975,8428,5218,55359,6196,10783,84446,388228,4233,54899,1021,83931,10188,4139,9448,4914,283455,4919,157,54986,2534,23097,4638,2185,7443,5563,7273,2869,9175,7204,30849,2047,5585,7048,9252,5581,65125,3480,6788,22858,5062,5584,5292,375449,4920,140609,84033,57761,94,10000,6259,79858,27347,93627,282974,51776	MAPK8,ACVR1,CAMKK1,NPR2,EPHA4,NLK,NTRK3,CAMK1D,STK33,STK24,CDK14,STYK1,RPS6KA2,NEK6,BRSK1,SBK1,MET,PXK,CDK6,STK40,TNK2,MARK1,MAP4K4,NTRK1,KSR2,ROR1,ADRBK2,ULK4,FYN,CDK19,MYLK,PTK2B,VRK1,PRKAA2,TTN,GRK5,MAP3K13,TRIO,PIK3R4,EPHB1,PKN1,TGFBR2,RPS6KA5,PRKCE,WNK1,IGF1R,STK3,ICK,PAK2,PRKCI,PIM1,MAST4,ROR2,NEK7,OBSCN,TRIB3,ACVRL1,AKT3,RYK,NEK11,STK39,TBCK,STK32C,ZAK
IPR011009	Kinase-like_dom	0.000163769581941251	-8.7170501062245	524	68	0.0446194225721785	1524	18293	5599,90,84254,4882,2043,51701,4916,57118,65975,8428,5218,55359,6196,10783,84446,388228,4233,54899,1021,83931,10188,4139,9448,4914,283455,4919,157,54986,2534,23097,4638,2185,7443,5563,7273,2869,9175,7204,30849,5297,2047,5585,7048,9252,5581,65125,22858,3480,6788,5062,5584,545,80216,5292,375449,4920,140609,84033,5291,57761,94,10000,6259,79858,27347,93627,51776,282974	MAPK8,ACVR1,CAMKK1,NPR2,EPHA4,NLK,NTRK3,CAMK1D,STK33,STK24,CDK14,STYK1,RPS6KA2,NEK6,BRSK1,SBK1,MET,PXK,CDK6,STK40,TNK2,MARK1,MAP4K4,NTRK1,KSR2,ROR1,ADRBK2,ULK4,FYN,CDK19,MYLK,PTK2B,VRK1,PRKAA2,TTN,GRK5,MAP3K13,TRIO,PIK3R4,PI4KA,EPHB1,PKN1,TGFBR2,RPS6KA5,PRKCE,WNK1,ICK,IGF1R,STK3,PAK2,PRKCI,ATR,ALPK1,PIM1,MAST4,ROR2,NEK7,OBSCN,PIK3CB,TRIB3,ACVRL1,AKT3,RYK,NEK11,STK39,TBCK,ZAK,STK32C
IPR013761	SAM/pointed	0.000183251212617729	-8.60465259993303	115	22	0.0144356955380577	1524	18293	64411,10389,22941,2043,259230,22955,8527,2047,2113,55607,401474,80012,56899,84456,8496,50944,148418,90627,51776,23034,23294,154075	ARAP3,SCML2,SHANK2,EPHA4,SGMS1,SCMH1,DGKD,EPHB1,ETS1,PPP1R9A,SAMD12,PHC3,ANKS1B,L3MBTL3,PPFIBP1,SHANK1,SAMD13,STARD13,ZAK,SAMD4A,ANKS1A,SAMD3
IPR000837	AP-1	0.000377621656948373	-7.88161777113112	9	5	0.00328083989501312	1524	18293	467,2355,122953,2354,55509	ATF3,FOSL2,JDP2,FOSB,BATF3
