TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00169	PH	7.01388478058233e-08	-16.472789019432	177	38	0.0269694819020582	1409	16629	64411,10160,2888,5922,58504,7204,4983,81846,8527,23239,139818,26230,10019,23527,8853,50807,23263,84632,79674,90102,1759,22874,84725,65059,144100,389072,8631,157,29,8660,10000,114879,55785,2887,5337,27128,50619,50649	ARAP3,FARP1,GRB14,RASA2,ARHGAP22,TRIO,OPHN1,SBF2,DGKD,PHLPP1,DOCK11,TIAM2,SH2B3,ACAP2,ASAP2,ASAP1,MCF2L,AFAP1L2,VEPH1,PHLDB2,DNM1,PLEKHA6,PLEKHA8,RAPH1,PLEKHA7,PLEKHM3,SKAP1,ADRBK2,ABR,IRS2,AKT3,OSBPL5,FGD6,GRB10,PLD1,CYTH4,DEF6,ARHGEF4
PF00536	SAM_1	0.000231653464146161	-8.37026799198869	64	15	0.0106458481192335	1409	16629	80012,10389,84456,56899,8496,50944,259230,22941,22955,148418,2047,51776,23034,23294,154075	PHC3,SCML2,L3MBTL3,ANKS1B,PPFIBP1,SHANK1,SGMS1,SHANK2,SCMH1,SAMD13,EPHB1,ZAK,SAMD4A,ANKS1A,SAMD3
PF00170	bZIP_1	0.000343590212420797	-7.97606085364756	28	9	0.0063875088715401	1409	16629	466,468,122953,2354,467,22926,9586,2355,55509	ATF1,ATF4,JDP2,FOSB,ATF3,ATF6,CREB5,FOSL2,BATF3
PF00168	C2	0.000547188336561411	-7.5107175066466	122	22	0.0156139105748758	1409	16629	90342,8448,8831,5922,84258,57520,6857,54843,29,5581,23007,9651,22841,9066,153241,5332,23208,57586,23228,5330,94120,9699	FER1L5,DOC2A,SYNGAP1,RASA2,SYT3,HECW2,SYT1,SYTL2,ABR,PRKCE,PLCH1,PLCH2,RAB11FIP2,SYT7,CEP120,PLCB4,SYT11,SYT13,PLCL2,PLCB2,SYTL3,RIMS2
PF00122	E1-E2_ATPase	0.000605540852187233	-7.40938852872971	36	10	0.007097232079489	1409	16629	23200,10079,10396,27032,9914,79572,286410,23250,487,79895	ATP11B,ATP9A,ATP8A1,ATP2C1,ATP2C2,ATP13A3,ATP11C,ATP11A,ATP2A1,ATP8B4
PF16212	PhoLip_ATPase_C	0.000605646879462778	-7.40921344889189	14	6	0.0042583392476934	1409	16629	23200,286410,23250,79895,10079,10396	ATP11B,ATP11C,ATP11A,ATP8B4,ATP9A,ATP8A1
PF09279	EF-hand_like	0.000605646879462778	-7.40921344889189	14	6	0.0042583392476934	1409	16629	5332,23007,9651,23228,23236,5330	PLCB4,PLCH1,PLCH2,PLCL2,PLCB1,PLCB2
PF16209	PhoLip_ATPase_N	0.000605646879462778	-7.40921344889189	14	6	0.0042583392476934	1409	16629	23200,286410,23250,79895,10079,10396	ATP11B,ATP11C,ATP11A,ATP8B4,ATP9A,ATP8A1
PF00621	RhoGEF	0.000647199139573628	-7.34285652168066	70	15	0.0106458481192335	1409	16629	55160,64283,10160,23101,23263,7204,9639,1894,55785,84033,9828,26230,26084,29,50649	ARHGEF10L,ARHGEF28,FARP1,MCF2L2,MCF2L,TRIO,ARHGEF10,ECT2,FGD6,OBSCN,ARHGEF17,TIAM2,ARHGEF26,ABR,ARHGEF4
PF00387	PI-PLC-Y	0.000937354968008616	-6.97244851287792	15	6	0.0042583392476934	1409	16629	5332,23007,9651,23228,23236,5330	PLCB4,PLCH1,PLCH2,PLCL2,PLCB1,PLCB2
