TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
4488	MSX2 (msh homeobox 2)	2.11971022531024e-05	-10.7616460718031	25	3	0.0857142857142857	35	16036	4488,4487,5468	MSX2,MSX1,PPARG
64324	NSD1 (nuclear receptor binding SET domain protein 1)	3.34747969210411e-05	-10.3047177329912	29	3	0.0857142857142857	35	16036	7026,5468,7025	NR2F2,PPARG,NR2F1
9612	NCOR2 (nuclear receptor corepressor 2)	9.99032802053701e-05	-9.21130803796023	112	4	0.114285714285714	35	16036	23043,7026,5468,7025	TNIK,NR2F2,PPARG,NR2F1
23426	GRIP1 (glutamate receptor interacting protein 1)	0.00013557523442718	-8.90598383610584	46	3	0.0857142857142857	35	16036	1948,5468,7025	EFNB2,PPARG,NR2F1
1749	DLX5 (distal-less homeobox 5)	0.000205980530287847	-8.48772890680713	10	2	0.0571428571428571	35	16036	4488,4487	MSX2,MSX1
60	ACTB (actin, beta)	0.000353275627465502	-7.94826199135805	284	5	0.142857142857143	35	16036	10529,10611,51129,4907,7447	NEBL,PDLIM5,ANGPTL4,NT5E,VSNL1
638	BIK (BCL2-interacting killer (apoptosis-inducing))	0.000355566950031757	-7.94179700006185	13	2	0.0571428571428571	35	16036	7026,10010	NR2F2,TANK
1746	DLX2 (distal-less homeobox 2)	0.000477337120095525	-7.64728756598224	15	2	0.0571428571428571	35	16036	4488,4487	MSX2,MSX1
64919	BCL11B (B-cell CLL/lymphoma 11B (zinc finger protein))	0.000544780847710778	-7.51512695846281	16	2	0.0571428571428571	35	16036	7026,7025	NR2F2,NR2F1
155459	vif (p23)	0.00060893132894098	-7.40380505697194	320	5	0.142857142857143	35	16036	58480,7431,960,5468,4907	RHOU,VIM,CD44,PPARG,NT5E
7791	ZYX (zyxin)	0.000723201861313148	-7.23182217517122	81	3	0.0857142857142857	35	16036	7431,10529,10611	VIM,NEBL,PDLIM5
