TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005578	proteinaceous extracellular matrix	0.000248181056701806	-8.30135201082283	357	6	0.136363636363636	44	17570	3910,2254,51384,3691,4325,51129	LAMA4,FGF9,WNT16,ITGB4,MMP16,ANGPTL4
GO:0031012	extracellular matrix	0.000603849520387432	-7.412185529501	422	6	0.136363636363636	44	17570	3910,2254,51384,3691,4325,51129	LAMA4,FGF9,WNT16,ITGB4,MMP16,ANGPTL4
GO:0098589	membrane region	0.00135922606459819	-6.60083981136444	1097	9	0.204545454545455	44	17570	23043,30061,6281,23025,64084,3691,960,10611,4907	TNIK,SLC40A1,S100A10,UNC13A,CLSTN2,ITGB4,CD44,PDLIM5,NT5E
GO:0098590	plasma membrane region	0.00164125792568846	-6.41229230330274	906	8	0.181818181818182	44	17570	23043,30061,23025,64084,960,3691,10611,4907	TNIK,SLC40A1,UNC13A,CLSTN2,CD44,ITGB4,PDLIM5,NT5E
GO:0005604	basement membrane	0.00167558383514318	-6.391593616143	94	3	0.0681818181818182	44	17570	3910,2254,3691	LAMA4,FGF9,ITGB4
GO:0030018	Z disc	0.00249061361364365	-5.99522616768251	108	3	0.0681818181818182	44	17570	10529,10611,113146	NEBL,PDLIM5,AHNAK2
GO:0044459	plasma membrane part	0.00297558654372529	-5.81731410186282	2566	14	0.318181818181818	44	17570	1948,23043,30061,6281,23025,113146,64084,81796,54894,3691,960,10611,4325,4907	EFNB2,TNIK,SLC40A1,S100A10,UNC13A,AHNAK2,CLSTN2,SLCO5A1,RNF43,ITGB4,CD44,PDLIM5,MMP16,NT5E
GO:0030055	cell-substrate junction	0.00308865408600377	-5.7800198538336	399	5	0.113636363636364	44	17570	1948,58480,7431,3691,960	EFNB2,RHOU,VIM,ITGB4,CD44
GO:0031674	I band	0.00359688363729653	-5.62768746472338	123	3	0.0681818181818182	44	17570	10529,10611,113146	NEBL,PDLIM5,AHNAK2
GO:0097060	synaptic membrane	0.00362704738060774	-5.61933635546156	253	4	0.0909090909090909	44	17570	64084,10611,23025,4907	CLSTN2,PDLIM5,UNC13A,NT5E
GO:0044420	extracellular matrix component	0.00393500071667608	-5.53784421498418	127	3	0.0681818181818182	44	17570	3910,2254,3691	LAMA4,FGF9,ITGB4
