TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
follicular_lymphoma	follicular_lymphoma	4.11278150154275e-05	-10.0988259009982	1269	12	0.272727272727273	44	17775	23043,10846,400793,114788,54894,960,57537,3691,10611,2115,4325,5139	TNIK,PDE10A,C1orf226,CSMD3,RNF43,CD44,SORCS2,ITGB4,PDLIM5,ETV1,MMP16,PDE3A
Burkitt_lymphoma	Burkitt_lymphoma	0.00016223908219378	-8.72643949466708	2204	15	0.340909090909091	44	17775	1948,3910,30061,5468,10846,29091,10010,64084,114788,57537,3691,10611,4325,7025,5139	EFNB2,LAMA4,SLC40A1,PPARG,PDE10A,STXBP6,TANK,CLSTN2,CSMD3,SORCS2,ITGB4,PDLIM5,MMP16,NR2F1,PDE3A
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	0.00016223908219378	-8.72643949466708	2204	15	0.340909090909091	44	17775	1948,3910,30061,5468,10846,29091,10010,64084,114788,57537,3691,10611,4325,7025,5139	EFNB2,LAMA4,SLC40A1,PPARG,PDE10A,STXBP6,TANK,CLSTN2,CSMD3,SORCS2,ITGB4,PDLIM5,MMP16,NR2F1,PDE3A
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	0.00016388786634709	-8.71632810578413	1028	10	0.227272727272727	44	17775	10846,400793,114788,54894,960,57537,3691,2115,4325,5139	PDE10A,C1orf226,CSMD3,RNF43,CD44,SORCS2,ITGB4,ETV1,MMP16,PDE3A
upper_aerodigestive_tract-larynx-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-larynx-carcinoma-squamous_cell_carcinoma	0.000224849525993401	-8.40007915285118	2007	14	0.318181818181818	44	17775	3910,23043,30061,10529,79937,164045,64084,81796,114788,7546,57537,10611,4325,5139	LAMA4,TNIK,SLC40A1,NEBL,CNTNAP3,HFM1,CLSTN2,SLCO5A1,CSMD3,ZIC2,SORCS2,PDLIM5,MMP16,PDE3A
larynx	larynx	0.000227231195373605	-8.38954257696154	2009	14	0.318181818181818	44	17775	3910,23043,30061,10529,79937,164045,64084,81796,114788,7546,57537,10611,4325,5139	LAMA4,TNIK,SLC40A1,NEBL,CNTNAP3,HFM1,CLSTN2,SLCO5A1,CSMD3,ZIC2,SORCS2,PDLIM5,MMP16,PDE3A
central_nervous_system-thalamus-glioma-oligoastrocytoma_Grade_III	central_nervous_system-thalamus-glioma-oligoastrocytoma_Grade_III	0.00134049083794755	-6.61471943511389	22	2	0.0454545454545455	44	17775	10846,57822	PDE10A,GRHL3
ovary-carcinoma-serous_carcinoma	ovary-carcinoma-serous_carcinoma	0.00201459957930957	-6.20733482327654	11219	37	0.840909090909091	44	17775	1948,23043,79937,164045,400793,64084,54894,5139,6281,10529,10846,23025,51384,2115,5631,4907,3910,30061,2254,4487,3855,5468,7447,57822,7431,51129,7025,4488,817,113146,114788,81796,7026,57537,3691,10611,4325	EFNB2,TNIK,CNTNAP3,HFM1,C1orf226,CLSTN2,RNF43,PDE3A,S100A10,NEBL,PDE10A,UNC13A,WNT16,ETV1,PRPS1,NT5E,LAMA4,SLC40A1,FGF9,MSX1,KRT7,PPARG,VSNL1,GRHL3,VIM,ANGPTL4,NR2F1,MSX2,CAMK2D,AHNAK2,CSMD3,SLCO5A1,NR2F2,SORCS2,ITGB4,PDLIM5,MMP16
ovary-other-neoplasm	ovary-other-neoplasm	0.00210412438552088	-6.16385586726053	13367	41	0.931818181818182	44	17775	1948,23043,79937,29091,164045,400793,64084,5087,54894,7546,5139,6281,10529,10846,23025,10010,51384,960,2115,5631,4907,3910,30061,2254,4487,3855,5468,7447,57822,7431,51129,58480,4488,817,114788,81796,7026,3691,10611,4325,5570	EFNB2,TNIK,CNTNAP3,STXBP6,HFM1,C1orf226,CLSTN2,PBX1,RNF43,ZIC2,PDE3A,S100A10,NEBL,PDE10A,UNC13A,TANK,WNT16,CD44,ETV1,PRPS1,NT5E,LAMA4,SLC40A1,FGF9,MSX1,KRT7,PPARG,VSNL1,GRHL3,VIM,ANGPTL4,RHOU,MSX2,CAMK2D,CSMD3,SLCO5A1,NR2F2,ITGB4,PDLIM5,MMP16,PKIB
bone-tibia-other-chondroblastoma	bone-tibia-other-chondroblastoma	0.00216496068286012	-6.13535307803433	104	3	0.0681818181818182	44	17775	64084,54894,79937	CLSTN2,RNF43,CNTNAP3
