TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko00230	Purine metabolism	0.00325155739624047	-5.72862119857637	174	4	0.16	25	6908	5631,10846,5139,4907	PRPS1,PDE10A,PDE3A,NT5E
hsa00230	Purine metabolism	0.00325155739624047	-5.72862119857637	174	4	0.16	25	6908	10846,5631,5139,4907	PDE10A,PRPS1,PDE3A,NT5E
hsa05202	Transcriptional misregulation in cancer	0.0036010562875008	-5.62652806336264	179	4	0.16	25	6908	5087,51384,2115,5468	PBX1,WNT16,ETV1,PPARG
ko05202	Transcriptional misregulation in cancer	0.0036010562875008	-5.62652806336264	179	4	0.16	25	6908	5087,51384,2115,5468	PBX1,WNT16,ETV1,PPARG
hsa04512	ECM-receptor interaction	0.00363239196606738	-5.61786390389332	87	3	0.12	25	6908	3910,3691,960	LAMA4,ITGB4,CD44
ko04512	ECM-receptor interaction	0.00363239196606738	-5.61786390389332	87	3	0.12	25	6908	3910,3691,960	LAMA4,ITGB4,CD44
hsa04340	Hedgehog signaling pathway	0.0143851872755126	-4.24155626325818	51	2	0.08	25	6908	7546,51384	ZIC2,WNT16
ko04340	Hedgehog signaling pathway	0.0143851872755126	-4.24155626325818	51	2	0.08	25	6908	7546,51384	ZIC2,WNT16
ko03320	PPAR signaling pathway	0.0254409904198317	-3.67139360967087	69	2	0.08	25	6908	5468,51129	PPARG,ANGPTL4
hsa03320	PPAR signaling pathway	0.0254409904198317	-3.67139360967087	69	2	0.08	25	6908	5468,51129	PPARG,ANGPTL4
hsa05205	Proteoglycans in cancer	0.0357454372609286	-3.33133264705234	203	3	0.12	25	6908	817,51384,960	CAMK2D,WNT16,CD44
ko05205	Proteoglycans in cancer	0.0357454372609286	-3.33133264705234	203	3	0.12	25	6908	817,51384,960	CAMK2D,WNT16,CD44
hsa05032	Morphine addiction	0.0423172715493269	-3.16255996540731	91	2	0.08	25	6908	10846,5139	PDE10A,PDE3A
ko05032	Morphine addiction	0.0423172715493269	-3.16255996540731	91	2	0.08	25	6908	10846,5139	PDE10A,PDE3A
hsa04916	Melanogenesis	0.0501565088152045	-2.99260698605253	100	2	0.08	25	6908	817,51384	CAMK2D,WNT16
ko04916	Melanogenesis	0.0501565088152045	-2.99260698605253	100	2	0.08	25	6908	817,51384	CAMK2D,WNT16
hsa05200	Pathways in cancer	0.052153767861583	-2.95355884968349	397	4	0.16	25	6908	3910,2254,51384,5468	LAMA4,FGF9,WNT16,PPARG
hsa04114	Oocyte meiosis	0.0613575231105899	-2.7910374892537	112	2	0.08	25	6908	817,9748	CAMK2D,SLK
ko04114	Oocyte meiosis	0.0613575231105899	-2.7910374892537	112	2	0.08	25	6908	817,9748	CAMK2D,SLK
hsa05166	HTLV-I infection	0.0646589367359374	-2.73862895074308	258	3	0.12	25	6908	4488,4487,51384	MSX2,MSX1,WNT16
ko05166	HTLV-I infection	0.0646589367359374	-2.73862895074308	258	3	0.12	25	6908	4488,4487,51384	MSX2,MSX1,WNT16
ko05206	MicroRNAs in cancer	0.0901398092510495	-2.40639337786288	297	3	0.12	25	6908	7431,960,4325	VIM,CD44,MMP16
hsa05206	MicroRNAs in cancer	0.0901398092510495	-2.40639337786288	297	3	0.12	25	6908	7431,960,4325	VIM,CD44,MMP16
hsa04310	Wnt signaling pathway	0.0914790142258479	-2.39164568572899	141	2	0.08	25	6908	817,51384	CAMK2D,WNT16
ko04310	Wnt signaling pathway	0.0914790142258479	-2.39164568572899	141	2	0.08	25	6908	817,51384	CAMK2D,WNT16
ko05216	Thyroid cancer	0.0999952237803144	-2.30263285633155	29	1	0.04	25	6908	5468	PPARG
ko00030	Pentose phosphate pathway	0.0999952237803144	-2.30263285633155	29	1	0.04	25	6908	5631	PRPS1
ko00760	Nicotinate and nicotinamide metabolism	0.0999952237803144	-2.30263285633155	29	1	0.04	25	6908	4907	NT5E
hsa00030	Pentose phosphate pathway	0.0999952237803144	-2.30263285633155	29	1	0.04	25	6908	5631	PRPS1
hsa00760	Nicotinate and nicotinamide metabolism	0.0999952237803144	-2.30263285633155	29	1	0.04	25	6908	4907	NT5E
hsa05216	Thyroid cancer	0.0999952237803144	-2.30263285633155	29	1	0.04	25	6908	5468	PPARG
ko05143	African trypanosomiasis	0.116235680609778	-2.15213541965194	34	1	0.04	25	6908	3910	LAMA4
hsa05143	African trypanosomiasis	0.116235680609778	-2.15213541965194	34	1	0.04	25	6908	3910	LAMA4
hsa04151	PI3K-Akt signaling pathway	0.127267686975121	-2.06146263929969	346	3	0.12	25	6908	3910,2254,3691	LAMA4,FGF9,ITGB4
ko04151	PI3K-Akt signaling pathway	0.127267686975121	-2.06146263929969	346	3	0.12	25	6908	3910,2254,3691	LAMA4,FGF9,ITGB4
ko04024	cAMP signaling pathway	0.161171970944087	-1.82528334154613	199	2	0.08	25	6908	817,5139	CAMK2D,PDE3A
ko05169	Epstein-Barr virus infection	0.161171970944087	-1.82528334154613	199	2	0.08	25	6908	7431,960	VIM,CD44
hsa05169	Epstein-Barr virus infection	0.161171970944087	-1.82528334154613	199	2	0.08	25	6908	7431,960	VIM,CD44
hsa04024	cAMP signaling pathway	0.161171970944087	-1.82528334154613	199	2	0.08	25	6908	817,5139	CAMK2D,PDE3A
hsa04978	Mineral absorption	0.169375183110907	-1.77563900625115	51	1	0.04	25	6908	30061	SLC40A1
ko04978	Mineral absorption	0.169375183110907	-1.77563900625115	51	1	0.04	25	6908	30061	SLC40A1
hsa04510	Focal adhesion	0.171469554342797	-1.76334955383367	207	2	0.08	25	6908	3910,3691	LAMA4,ITGB4
ko04510	Focal adhesion	0.171469554342797	-1.76334955383367	207	2	0.08	25	6908	3910,3691	LAMA4,ITGB4
ko04810	Regulation of actin cytoskeleton	0.180575943824439	-1.71160384828642	214	2	0.08	25	6908	2254,3691	FGF9,ITGB4
hsa04810	Regulation of actin cytoskeleton	0.180575943824439	-1.71160384828642	214	2	0.08	25	6908	2254,3691	FGF9,ITGB4
ko05217	Basal cell carcinoma	0.181425249576939	-1.70691155817088	55	1	0.04	25	6908	51384	WNT16
hsa05217	Basal cell carcinoma	0.181425249576939	-1.70691155817088	55	1	0.04	25	6908	51384	WNT16
ko00561	Glycerolipid metabolism	0.193307397910596	-1.64347362184683	59	1	0.04	25	6908	84803	GPAT3
hsa00561	Glycerolipid metabolism	0.193307397910596	-1.64347362184683	59	1	0.04	25	6908	84803	GPAT3
ko04721	Synaptic vesicle cycle	0.205023871861455	-1.58462885851862	63	1	0.04	25	6908	23025	UNC13A
hsa04721	Synaptic vesicle cycle	0.205023871861455	-1.58462885851862	63	1	0.04	25	6908	23025	UNC13A
hsa04924	Renin secretion	0.207927363931356	-1.57056647213796	64	1	0.04	25	6908	5139	PDE3A
ko04924	Renin secretion	0.207927363931356	-1.57056647213796	64	1	0.04	25	6908	5139	PDE3A
