TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
haematopoietic_and_lymphoid_tissue-breast-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-breast-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.0080798620304624	-4.81838048203274	48	1	0.333333333333333	3	17775	5352	PLOD2
skin-arm-malignant_melanoma	skin-arm-malignant_melanoma	0.016300453492273	-4.1165623499446	1345	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
arm	arm	0.0168475987530105	-4.08354713957862	1368	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
myelodysplastic-myeloproliferative_neoplasm-unclassifiable	myelodysplastic-myeloproliferative_neoplasm-unclassifiable	0.0187851467281395	-3.97468878906632	112	1	0.333333333333333	3	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic-myeloproliferative_neoplasm-unclassifiable	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic-myeloproliferative_neoplasm-unclassifiable	0.0187851467281395	-3.97468878906632	112	1	0.333333333333333	3	17775	2122	MECOM
meninges-meningioma-secretory	meninges-meningioma-secretory	0.0201178662142416	-3.90614699234471	120	1	0.333333333333333	3	17775	5352	PLOD2
secretory	secretory	0.0201178662142416	-3.90614699234471	120	1	0.333333333333333	3	17775	5352	PLOD2
chronic_myelomonocytic_leukaemia	chronic_myelomonocytic_leukaemia	0.0252707557526158	-3.67810745092137	151	1	0.333333333333333	3	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-chronic_myelomonocytic_leukaemia	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-chronic_myelomonocytic_leukaemia	0.0252707557526158	-3.67810745092137	151	1	0.333333333333333	3	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_associated_with_MDS	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_associated_with_MDS	0.0295785789132048	-3.52070486500348	177	1	0.333333333333333	3	17775	2122	MECOM
acute_myeloid_leukaemia_associated_with_MDS	acute_myeloid_leukaemia_associated_with_MDS	0.0295785789132048	-3.52070486500348	177	1	0.333333333333333	3	17775	2122	MECOM
bone-femur-other-chondroblastoma	bone-femur-other-chondroblastoma	0.0327185640501798	-3.41981265420756	196	1	0.333333333333333	3	17775	5352	PLOD2
bone-osteosarcoma	bone-osteosarcoma	0.0366751699488361	-3.30565532104873	220	1	0.333333333333333	3	17775	2122	MECOM
osteosarcoma	osteosarcoma	0.0368397939591106	-3.30117666046869	221	1	0.333333333333333	3	17775	2122	MECOM
breast-carcinoma-HER-positive_carcinoma	breast-carcinoma-HER-positive_carcinoma	0.0376527669809534	-3.27934883524666	2074	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
HER-positive_carcinoma	HER-positive_carcinoma	0.0376527669809534	-3.27934883524666	2074	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
lung-carcinoid-endocrine_tumour-typical	lung-carcinoid-endocrine_tumour-typical	0.0546715976345232	-2.90641094326236	330	1	0.333333333333333	3	17775	5352	PLOD2
typical	typical	0.0546715976345232	-2.90641094326236	330	1	0.333333333333333	3	17775	5352	PLOD2
oesophagus-carcinoma-squamous_cell_carcinoma	oesophagus-carcinoma-squamous_cell_carcinoma	0.0557511444967421	-2.88685733976308	6791	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
