TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044420	extracellular matrix component	2.89279402918913e-07	-15.0558728237695	127	6	0.157894736842105	38	17570	1287,7077,6507,3339,80144,1303	COL4A5,TIMP2,SLC1A3,HSPG2,FRAS1,COL12A1
GO:0005578	proteinaceous extracellular matrix	9.8898625557425e-06	-11.5240003097222	357	7	0.184210526315789	38	17570	1287,7077,6507,1490,3339,80144,1303	COL4A5,TIMP2,SLC1A3,CTGF,HSPG2,FRAS1,COL12A1
GO:0031012	extracellular matrix	2.9083136110467e-05	-10.4453520668748	422	7	0.184210526315789	38	17570	1287,7077,6507,1490,3339,80144,1303	COL4A5,TIMP2,SLC1A3,CTGF,HSPG2,FRAS1,COL12A1
GO:0005604	basement membrane	4.93315391847799e-05	-9.91694694140568	94	4	0.105263157894737	38	17570	1287,7077,3339,80144	COL4A5,TIMP2,HSPG2,FRAS1
GO:0012505	endomembrane system	6.09248719192398e-05	-9.70586906072456	3658	19	0.5	38	17570	51421,3339,10079,3164,9914,1287,26047,51313,54843,1303,2122,2591,1490,5352,4133,256979,5144,25924,6820	AMOTL2,HSPG2,ATP9A,NR4A1,ATP2C2,COL4A5,CNTNAP2,FAM198B,SYTL2,COL12A1,MECOM,GALNT3,CTGF,PLOD2,MAP2,SUN3,PDE4D,MYRIP,SULT2B1
GO:0005605	basal lamina	0.00111978674991005	-6.79461701366989	23	2	0.0526315789473684	38	17570	1287,3339	COL4A5,HSPG2
GO:0098589	membrane region	0.00205091731946898	-6.18946811300627	1097	8	0.210526315789474	38	17570	51421,1604,3480,7220,6507,26047,5144,25924	AMOTL2,CD55,IGF1R,TRPC1,SLC1A3,CNTNAP2,PDE4D,MYRIP
GO:0005595	collagen type XII trimer	0.00216277746163498	-6.13636202143037	1	1	0.0263157894736842	38	17570	1303	COL12A1
GO:0061618	sublamina densa	0.00216277746163498	-6.13636202143037	1	1	0.0263157894736842	38	17570	80144	FRAS1
GO:0098590	plasma membrane region	0.00293926456415356	-5.82959587717093	906	7	0.184210526315789	38	17570	51421,7220,26047,6507,5144,3480,25924	AMOTL2,TRPC1,CNTNAP2,SLC1A3,PDE4D,IGF1R,MYRIP
GO:0005794	Golgi apparatus	0.0030274625520941	-5.80003045186403	1442	9	0.236842105263158	38	17570	2591,1490,3339,10079,9914,5144,26047,51313,2122	GALNT3,CTGF,HSPG2,ATP9A,ATP2C2,PDE4D,CNTNAP2,FAM198B,MECOM
GO:0097442	CA3 pyramidal cell dendrite	0.00432100015246194	-5.44426838674839	2	1	0.0263157894736842	38	17570	4133	MAP2
GO:0044459	plasma membrane part	0.00618453852453249	-5.08570288796132	2566	12	0.315789473684211	38	17570	51421,1604,4241,3480,9914,81831,7220,26047,5144,6507,25924,54843	AMOTL2,CD55,MFI2,IGF1R,ATP2C2,NETO2,TRPC1,CNTNAP2,PDE4D,SLC1A3,MYRIP,SYTL2
GO:0030934	anchoring collagen complex	0.0064746774064439	-5.03985649403629	3	1	0.0263157894736842	38	17570	1303	COL12A1
