TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GOZGIT_ESR1_TARGETS_DN	GOZGIT_ESR1_TARGETS_DN	1.77134937576554e-07	-15.5463540356312	691	11	0.282051282051282	39	17758	7077,3480,4133,10079,1831,80144,9914,202,1287,51313,54843	TIMP2,IGF1R,MAP2,ATP9A,TSC22D3,FRAS1,ATP2C2,AIM1,COL4A5,FAM198B,SYTL2
AACTTT_UNKNOWN	AACTTT_UNKNOWN	1.33637350266998e-05	-11.2229658610608	1782	14	0.358974358974359	39	17758	3480,3339,27295,80144,84969,81831,7220,1287,6507,51313,26047,5144,54843,2122	IGF1R,HSPG2,PDLIM3,FRAS1,TOX2,NETO2,TRPC1,COL4A5,SLC1A3,FAM198B,CNTNAP2,PDE4D,SYTL2,MECOM
WANG_SMARCE1_TARGETS_UP	WANG_SMARCE1_TARGETS_UP	2.50190240554738e-05	-10.5958740602621	270	6	0.153846153846154	39	17758	7077,1604,10079,80144,1303,84969	TIMP2,CD55,ATP9A,FRAS1,COL12A1,TOX2
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.22157525688231e-05	-10.3430550148263	83	4	0.102564102564103	39	17758	1287,7077,5352,1303	COL4A5,TIMP2,PLOD2,COL12A1
YAMAZAKI_TCEB3_TARGETS_UP	YAMAZAKI_TCEB3_TARGETS_UP	3.35361493688931e-05	-10.3028866152891	170	5	0.128205128205128	39	17758	51421,1287,3339,5352,3164	AMOTL2,COL4A5,HSPG2,PLOD2,NR4A1
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	4.18940162685758e-05	-10.0803675510537	791	9	0.230769230769231	39	17758	51421,1604,4241,1490,5352,3606,8407,6507,1303	AMOTL2,CD55,MFI2,CTGF,PLOD2,IL18,TAGLN2,SLC1A3,COL12A1
ONDER_CDH1_TARGETS_2_DN	ONDER_CDH1_TARGETS_2_DN	4.5480270285888e-05	-9.99823194613812	445	7	0.179487179487179	39	17758	2591,3606,26047,1604,6507,202,2122	GALNT3,IL18,CNTNAP2,CD55,SLC1A3,AIM1,MECOM
LEF1_UP.V1_DN	LEF1_UP.V1_DN	4.76816660321464e-05	-9.95096359386826	183	5	0.128205128205128	39	17758	3606,1490,25924,5352,202	IL18,CTGF,MYRIP,PLOD2,AIM1
PASINI_SUZ12_TARGETS_DN	PASINI_SUZ12_TARGETS_DN	5.22379839248781e-05	-9.85970066629674	308	6	0.153846153846154	39	17758	51421,1287,8407,7077,27295,5352	AMOTL2,COL4A5,TAGLN2,TIMP2,PDLIM3,PLOD2
LIU_PROSTATE_CANCER_DN	LIU_PROSTATE_CANCER_DN	5.308087424528e-05	-9.84369387830282	456	7	0.179487179487179	39	17758	7077,217,4241,79836,3339,1831,2122	TIMP2,ALDH2,MFI2,LONRF3,HSPG2,TSC22D3,MECOM
