GSM1727069	SRR2084431	AFF4_shPAF1.1_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727070	SRR2084432	AFF4_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727070	SRR2084433	AFF4_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727070	SRR2084434	AFF4_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727071	SRR2084435	AFF4_shSCR_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727072	SRR2084436	AFF4_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727072	SRR2084437	AFF4_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727072	SRR2084438	AFF4_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727073	SRR2084439	CDK9_shPAF1.1_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727073	SRR2084440	CDK9_shPAF1.1_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727073	SRR2084441	CDK9_shPAF1.1_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727073	SRR2084442	CDK9_shPAF1.1_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727074	SRR2084443	CDK9_shSCR_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727074	SRR2084444	CDK9_shSCR_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727074	SRR2084445	CDK9_shSCR_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727074	SRR2084446	CDK9_shSCR_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727075	SRR2084447	ELL2_shPAF1.1_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727076	SRR2084448	ELL2_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727076	SRR2084449	ELL2_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727076	SRR2084450	ELL2_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727077	SRR2084451	ELL2_shSCR_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727078	SRR2084452	ELL2_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727078	SRR2084453	ELL2_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727078	SRR2084454	ELL2_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727079	SRR2084455	H2Bub_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727079	SRR2084456	H2Bub_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727080	SRR2084457	H2Bub_shPAF1.1_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727081	SRR2084458	H2Bub_shSCR_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727082	SRR2084459	H2Bub_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727082	SRR2084460	H2Bub_shSCR_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727083	SRR2084461	Input_shPAF1.1_DMSO_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727083	SRR2084462	Input_shPAF1.1_DMSO_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727083	SRR2084463	Input_shPAF1.1_DMSO_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727083	SRR2084464	Input_shPAF1.1_DMSO_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727084	SRR2084465	Input_shPAF1.1_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727084	SRR2084466	Input_shPAF1.1_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727084	SRR2084467	Input_shPAF1.1_HCT116_rep1_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727085	SRR2084468	Input_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727085	SRR2084469	Input_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727085	SRR2084470	Input_shPAF1.1_HCT116_rep2_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727086	SRR2084471	Input_shPAF1.2_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727086	SRR2084472	Input_shPAF1.2_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
GSM1727086	SRR2084473	Input_shPAF1.2_HCT116_ChIPSeq	ChIP-Seq	GENOMIC	Homo sapiens	HCT116	colorectal cancer cell line
