TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.287.10	-	8.19023679222665e-05	-9.40998265516342	6	4	0.00809716599190283	494	9988	4141,2617,3035,7453	MARS,GARS,HARS,WARS
1.10.1300.10	-	0.000407629491050413	-7.80515190631251	21	6	0.0121457489878543	494	9988	5138,5140,5152,10846,5139,5142	PDE2A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
3.40.50.800	-	0.00147681732139938	-6.51786596527623	11	4	0.00809716599190283	494	9988	23438,2617,3035,6897	HARS2,GARS,HARS,TARS
3.40.980.10	-	0.0024415199912626	-6.01513448638934	2	2	0.00404858299595142	494	9988	80308,10243	FLAD1,GPHN
3.40.50.620	-	0.00414777097239136	-5.48518420412393	42	7	0.01417004048583	494	9988	80308,833,4141,89978,440,8565,7453	FLAD1,CARS,MARS,DPH6,ASNS,YARS,WARS
1.10.150.60	-	0.00521647643926911	-5.25593311664479	15	4	0.00809716599190283	494	9988	10765,10620,57492,84159	KDM5B,ARID3B,ARID1B,ARID5B
3.40.20.10	-	0.00563854300426128	-5.17812957942357	24	5	0.0101214574898785	494	9988	6840,1627,23406,9871,2764	SVIL,DBN1,COTL1,SEC24D,GMFB
3.90.650.10	-	0.00708397759124054	-4.9499197223584	3	2	0.00404858299595142	494	9988	22928,2618	SEPHS2,GART
2.30.29.30	-	0.0127715202109737	-4.36053757052784	379	29	0.0587044534412955	494	9988	23092,90102,200734,51466,26052,8935,8831,9455,7204,4647,10087,55022,84033,81846,55740,23365,26499,9722,114876,10019,3667,23683,6464,50807,5775,2965,5962,59339,25894	ARHGAP26,PHLDB2,SPRED2,EVL,DNM3,SKAP2,SYNGAP1,HOMER2,TRIO,MYO7A,COL4A3BP,PID1,OBSCN,SBF2,ENAH,ARHGEF12,PLEK2,NOS1AP,OSBPL1A,SH2B3,IRS1,PRKD3,SHC1,ASAP1,PTPN4,GTF2H1,RDX,PLEKHA2,PLEKHG4
3.30.1330.10	-	0.0137045359283795	-4.29002841128341	4	2	0.00404858299595142	494	9988	22928,2618	SEPHS2,GART
2.130.10.30	-	0.0180887288812711	-4.01246624841902	21	4	0.00809716599190283	494	9988	8924,23077,51366,8925	HERC2,MYCBP2,UBR5,HERC1
3.40.50.2020	-	0.0189360985259102	-3.96668520368353	12	3	0.00607287449392713	494	9988	353,3251,5631	APRT,HPRT1,PRPS1
4.10.1000.10	-	0.019324838338785	-3.94636404993639	32	5	0.0101214574898785	494	9988	677,9931,10150,4154,23091	ZFP36L1,HELZ,MBNL2,MBNL1,ZC3H13
3.30.40.10	-	0.0277225914397384	-3.58550762274796	438	31	0.062753036437247	494	9988	92979,23077,23469,10765,55904,25862,54894,10299,672,6596,58508,8411,9866,8927,8028,50862,11177,9810,56852,57630,57732,83860,1107,286053,26046,7187,648,90678,23081,7994,27339	MARCH9,MYCBP2,PHF3,KDM5B,KMT2E,USP49,RNF43,MARCH6,BRCA1,HLTF,KMT2C,EEA1,TRIM66,BSN,MLLT10,RNF141,BAZ1A,RNF40,RAD18,SH3RF1,ZFYVE28,TAF3,CHD3,NSMCE2,LTN1,TRAF3,BMI1,LRSAM1,KDM4C,KAT6A,PRPF19
3.10.120.10	-	0.0291166210878991	-3.53644609645552	14	3	0.00607287449392713	494	9988	3992,8924,80777	FADS1,HERC2,CYB5B
3.90.1290.10	-	0.0320704385931966	-3.43982058924971	6	2	0.00404858299595142	494	9988	667,2125	DST,EVPL
3.60.10.10	-	0.0372374230752468	-3.29044102673213	26	4	0.00809716599190283	494	9988	8871,328,25819,8867	SYNJ2,APEX1,NOCT,SYNJ1
2.60.120.200	-	0.0400455066217699	-3.217738805975	93	9	0.0182186234817814	494	9988	3910,1951,79937,2195,3956,64084,728577,3911,57211	LAMA4,CELSR3,CNTNAP3,FAT1,LGALS1,CLSTN2,CNTNAP3B,LAMA5,ADGRG6
