TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
4914	NTRK1 (neurotrophic tyrosine kinase, receptor, type 1)	1.01492206040921e-07	-16.1032838291871	1951	139	0.186827956989247	744	16036	6723,9588,55226,81846,55740,6596,5578,23279,16,63892,9898,8379,8565,1021,5567,7112,1627,6520,8731,3035,51474,287,1019,6924,1523,65108,23271,23760,29115,1207,5831,10469,25929,54623,7511,833,7273,204,9871,9748,7204,10643,9810,50807,4174,471,9646,23534,115098,10541,5832,79888,114793,5631,8508,124540,57459,26953,5682,5782,3615,83939,6857,10940,3667,1778,10973,3836,6624,60412,3099,6566,9644,1662,10611,6938,56647,8886,162,10464,57617,88455,440,6464,8496,51377,7414,10196,51194,27339,51780,5984,5983,2617,7846,535,7431,23331,9933,7453,23335,9497,2521,22984,9859,55161,55388,55622,5142,3800,10946,57142,55102,80232,140710,26058,2618,51164,308,26046,6472,5962,6576,6709,7150,10243,328,29968,55269,23365,4141,23022,6897,9943,7837,55133,57539,9135,54865	SRM,PRDX6,NAT10,SBF2,ENAH,HLTF,PRKCA,NUP160,AARS,THADA,UBAP2L,MAD1L1,YARS,CDK6,PRKACB,TMPO,DBN1,SLC3A2,RNMT,HARS,LIMA1,ANK2,CDK4,TCEB3,CUX1,MARCKSL1,CAMSAP2,PITPNB,SAP30BP,CLNS1A,PYCR1,TIMM44,GEMIN5,PAF1,XPNPEP1,CARS,TTN,AK2,SEC24D,SLK,TRIO,IGF2BP3,RNF40,ASAP1,MCM5,ATIC,CTR9,TNPO3,CCDC124,ANP32B,ALDH18A1,LPCAT1,FMNL2,PRPS1,NIPSNAP1,MSI2,GATAD2B,RANBP6,PSMA1,PTPN12,IMPDH2,EIF2A,SYT1,POP1,IRS1,DYNC1H1,ASCC3,KPNA1,FSCN1,EXOC4,HK2,SLC16A1,SH3PXD2A,DDX10,PDLIM5,TCF12,BCCIP,DDX18,AP1B1,PIBF1,VPS18,ANKRD13A,ASNS,SHC1,PPFIBP1,UCHL5,VCL,PRMT3,IPO11,PRPF19,KDM3B,RFC4,RFC3,GARS,TUBA1A,ATP6V0A1,VIM,TTC28,PUM3,WARS,WDR7,SLC4A7,FUS,PDCD11,CEP170,TMEM33,MCM10,TTC27,PDE4B,KIF5C,SF3A3,RTN4,ATG2B,WDR26,SOGA1,GIGYF2,GART,DCTN4,ANXA5,LTN1,SHMT2,RDX,SLC25A1,SPTAN1,TOP1,GPHN,APEX1,PSAT1,PSPC1,ARHGEF12,MARS,PALLD,TARS,OXSR1,PXDN,SRBD1,WDR35,RABEP1,GPATCH4
10482	NXF1 (nuclear RNA export factor 1)	5.45996771559739e-06	-12.1180676811192	1111	84	0.112903225806452	744	16036	6723,6938,154810,10626,25885,7389,125228,5578,10464,16,9875,51247,80308,79413,6464,8496,9898,10328,7701,8565,51194,27339,468,51474,3035,79971,23642,27351,253827,441094,23760,125058,55572,29115,6793,140576,9933,25929,6827,1107,79823,7511,80000,55568,648,55689,22928,10045,6872,143570,22839,5142,4799,10667,23126,9810,23534,9646,23438,5832,8508,5829,328,23286,84033,55173,57169,83939,5138,10150,80777,3093,5226,7165,2110,10973,9931,55133,9124,402055,51271,643314,6834,23081	SRM,TCF12,AMOTL1,TRIM16,POLR1A,UROD,FAM210A,PRKCA,PIBF1,AARS,URB1,PAIP2,FLAD1,ZBED2,SHC1,PPFIBP1,UBAP2L,EMC8,ZNF142,YARS,IPO11,PRPF19,ATF4,LIMA1,HARS,WLS,SNHG1,DESI1,MSRB3,NR2F1-AS1,PITPNB,TBC1D16,FOXRED1,SAP30BP,STK10,S100A16,PUM3,GEMIN5,SUPT4H1,CHD3,CAMKMT,XPNPEP1,GREB1L,GALNT10,BMI1,YEATS2,SEPHS2,SH2D3A,TAF1,XRRA1,DLGAP4,PDE4B,NFX1,FARS2,POGZ,RNF40,TNPO3,CTR9,HARS2,ALDH18A1,NIPSNAP1,PXN,APEX1,WWC1,OBSCN,MRPS10,ZNFX1,EIF2A,PDE2A,MBNL2,CYB5B,UBE2K,PGD,TPD52L2,ETFDH,ASCC3,HELZ,SRBD1,PDLIM1,SRRD,UBAP1,KIAA0754,SURF1,KDM4C
11230	PRAF2 (PRA1 domain family, member 2)	0.000127893028141039	-8.96431636109947	12	5	0.00672043010752688	744	16036	57142,3163,10098,10550,11230	RTN4,HMOX2,TSPAN5,ARL6IP5,PRAF2
3691	ITGB4 (integrin beta 4)	0.000128138183260955	-8.96240131962076	34	8	0.010752688172043	744	16036	4088,667,6464,6721,57561,6310,7431,5578	SMAD3,DST,SHC1,SREBF2,ARRDC3,ATXN1,VIM,PRKCA
1994	ELAVL1 (ELAV like RNA binding protein 1)	0.00013213729022427	-8.93166909842712	1762	114	0.153225806451613	744	16036	7803,6938,200734,51008,56929,8886,55904,27242,5087,55740,6596,5578,253558,51247,148867,88455,6281,5366,84869,8496,54407,9898,55973,81619,1021,51780,4893,23476,125144,4774,2764,1742,65108,114908,23314,23271,54733,23760,23406,10299,6659,58508,7644,1525,8028,23516,6541,11177,3638,79823,861,648,55205,85464,2335,84803,221078,677,10644,7546,26058,201266,10643,10019,50862,2618,93134,50807,54482,8614,23534,5962,79664,10541,960,8204,84186,79888,7150,10780,3460,10765,157506,55253,84159,55173,64359,639,80777,10150,2296,6934,7025,9636,3304,9811,283078,473,9943,3836,9931,55133,1824,6926,8780,3099,54901,472,5814,6907,317,9581,9644,7994	PTP4A1,TCF12,SPRED2,ASCC1,FEM1C,DDX18,KMT2E,TNFRSF21,PBX1,ENAH,HLTF,PRKCA,LCLAT1,PAIP2,SLC30A7,ANKRD13A,S100A10,PMAIP1,CBR4,PPFIBP1,SLC38A2,UBAP2L,BCAP29,TSPAN14,CDK6,KDM3B,NRAS,BRD4,LRRC75A-AS1,NFIA,GMFB,DLG4,MARCKSL1,TMEM123,SATB2,CAMSAP2,SLC35F2,PITPNB,COTL1,MARCH6,SOX4,KMT2C,ZNF91,CXADR,MLLT10,SLC39A14,SLC7A1,BAZ1A,INSIG1,CAMKMT,RUNX1,BMI1,ZNF532,SSH2,FN1,GPAT3,NSUN6,ZFP36L1,IGF2BP2,ZIC2,GIGYF2,SLC39A11,IGF2BP3,SH2B3,RNF141,GART,ZNF561,ASAP1,TRMT13,STC2,TNPO3,RDX,ICE2,ANP32B,CD44,NRIP1,ZCCHC7,LPCAT1,TOP1,ZNF234,IFNGR2,KDM5B,RDH10,TYW1,ARID5B,MRPS10,NXN,PRDM1,CYB5B,MBNL2,FOXC1,TCF7L2,NR2F1,ISG15,HSPA1B,CTIF,MKX,RERE,OXSR1,KPNA1,HELZ,SRBD1,DSC2,TBX3,RIOK3,HK2,CDKAL1,ATM,PURB,TBL1X,APAF1,PREPL,SH3PXD2A,KAT6A
4343	MOV10 (Mov10 RISC complex RNA helicase)	0.000135733091705113	-8.90482016156627	985	71	0.0954301075268817	744	16036	6723,6938,154810,10626,27242,25885,7389,5578,16,80308,6464,8496,10328,8565,84916,27339,1627,51780,468,51474,3035,79971,23642,27351,253827,23760,125058,55572,29115,6793,140576,9933,25929,6827,1107,4358,7511,80000,55568,22928,7205,6872,22839,5142,4799,23126,10643,93134,23025,23438,57402,5832,8508,5829,23286,84033,55173,57169,5138,80777,5226,10940,7165,2110,10973,402055,51271,643314,8780,6834,23081	SRM,TCF12,AMOTL1,TRIM16,TNFRSF21,POLR1A,UROD,PRKCA,AARS,FLAD1,SHC1,PPFIBP1,EMC8,YARS,UTP4,PRPF19,DBN1,KDM3B,ATF4,LIMA1,HARS,WLS,SNHG1,DESI1,MSRB3,PITPNB,TBC1D16,FOXRED1,SAP30BP,STK10,S100A16,PUM3,GEMIN5,SUPT4H1,CHD3,MPV17,XPNPEP1,GREB1L,GALNT10,SEPHS2,TRIP6,TAF1,DLGAP4,PDE4B,NFX1,POGZ,IGF2BP3,ZNF561,UNC13A,HARS2,S100A14,ALDH18A1,NIPSNAP1,PXN,WWC1,OBSCN,MRPS10,ZNFX1,PDE2A,CYB5B,PGD,POP1,TPD52L2,ETFDH,ASCC3,SRRD,UBAP1,KIAA0754,RIOK3,SURF1,KDM4C
23268	DNMBP (dynamin binding protein)	0.000136413407749064	-8.89982052010525	26	7	0.00940860215053763	744	16036	1627,55740,26052,51466,23268,7846,3304	DBN1,ENAH,DNM3,EVL,DNMBP,TUBA1A,HSPA1B
51523	CXXC5 (CXXC finger protein 5)	0.000143776018500736	-8.84725389639903	7	4	0.00537634408602151	744	16036	4088,6498,472,4092	SMAD3,SKIL,ATM,SMAD7
165904	XIRP1 (xin actin binding repeat containing 1)	0.000143776018500736	-8.84725389639903	7	4	0.00537634408602151	744	16036	2318,55740,51466,10529	FLNC,ENAH,EVL,NEBL
7520	XRCC5 (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	0.000150962220679925	-8.79848094662581	186	21	0.0282258064516129	744	16036	23268,328,2335,5468,5451,672,9636,6934,54386,11177,54623,1778,4488,6827,472,7518,648,8565,10196,7150,7112	DNMBP,APEX1,FN1,PPARG,POU2F1,BRCA1,ISG15,TCF7L2,TERF2IP,BAZ1A,PAF1,DYNC1H1,MSX2,SUPT4H1,ATM,XRCC4,BMI1,YARS,PRMT3,TOP1,TMPO
