TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
caspase_pathway	Caspase cascade in apoptosis	0.00834048466577941	-4.78663395089719	50	8	0.0601503759398496	133	2227	8738,7431,317,5551,329,843,7150,6709	CRADD,VIM,APAF1,PRF1,BIRC2,CASP10,TOP1,SPTAN1
myc_represspathway	Validated targets of C-MYC transcriptional repression	0.00995851714397459	-4.60932709959657	62	9	0.0676691729323308	133	2227	7709,1647,3956,3398,677,672,1191,3691,22943	ZBTB17,GADD45A,LGALS1,ID2,ZFP36L1,BRCA1,CLU,ITGB4,DKK1
avb3_integrin_pathway	Integrins in angiogenesis	0.0174743255924968	-4.04702258431103	46	7	0.0526315789473684	133	2227	3667,5829,2335,2247,7414,7048,4240	IRS1,PXN,FN1,FGF2,VCL,TGFBR2,MFGE8
smad2_3nuclearpathway	Regulation of nuclear SMAD2/3 signaling	0.0344220731829641	-3.36905725808455	76	9	0.0676691729323308	133	2227	4088,6498,7709,2308,1019,51586,4092,4208,8819	SMAD3,SKIL,ZBTB17,FOXO1,CDK4,MED15,SMAD7,MEF2C,SAP30
hnf3apathway	FOXA1 transcription factor network	0.0398178675121149	-3.22343953496658	43	6	0.0451127819548872	133	2227	5451,672,7026,162,8204,4774	POU2F1,BRCA1,NR2F2,AP1B1,NRIP1,NFIA
nfkappabcanonicalpathway	Canonical NF-kappaB pathway	0.0443996375881141	-3.11452397200713	23	4	0.0300751879699248	133	2227	472,5578,23085,329	ATM,PRKCA,ERC1,BIRC2
angiopoietinreceptor_pathway	Angiopoietin receptor Tie2-mediated signaling	0.0629360514781132	-2.7656361240117	48	6	0.0451127819548872	133	2227	5829,2308,2335,6464,2247,285	PXN,FOXO1,FN1,SHC1,FGF2,ANGPT2
tgfbrpathway	TGF-beta receptor signaling	0.0799551106085424	-2.52628991918675	51	6	0.0451127819548872	133	2227	4088,6498,83939,6464,7048,4092	SMAD3,SKIL,EIF2A,SHC1,TGFBR2,SMAD7
fak_pathway	Signaling events mediated by focal adhesion kinase	0.0993201055187466	-2.30940725593087	54	6	0.0451127819548872	133	2227	23092,5829,7414,50807,4323,6455	ARHGAP26,PXN,VCL,ASAP1,MMP14,SH3GL1
myc_activpathway	Validated targets of C-MYC transcriptional activation	0.106432276621725	-2.24024639636848	81	8	0.0601503759398496	133	2227	4088,8886,5366,1019,3398,23089,4953,648	SMAD3,DDX18,PMAIP1,CDK4,ID2,PEG10,ODC1,BMI1
syndecan_4_pathway	Syndecan-4-mediated signaling events	0.109705162546823	-2.20995885221736	31	4	0.0300751879699248	133	2227	2335,5578,2247,2260	FN1,PRKCA,FGF2,FGFR1
nfat_tfpathway	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	0.155030093373105	-1.86413603011349	48	5	0.037593984962406	133	2227	5451,6520,5468,1019,5796	POU2F1,SLC3A2,PPARG,CDK4,PTPRK
pi3kcibpathway	Class IB PI3K non-lipid kinase events	0.168748975582405	-1.77934301987071	3	1	0.0075187969924812	133	2227	5140	PDE3B
alk1pathway	ALK1 signaling events	0.169321541743521	-1.77595575786933	24	3	0.0225563909774436	133	2227	3397,7048,4092	ID1,TGFBR2,SMAD7
vegfr1_2_pathway	Signaling events mediated by VEGFR1 and VEGFR2	0.170490514978367	-1.76907561443142	63	6	0.0451127819548872	133	2227	5829,6464,8829,5578,7414,5606	PXN,SHC1,NRP1,PRKCA,VCL,MAP2K3
retinoic_acid_pathway	Retinoic acid receptors-mediated signaling	0.184517672919939	-1.690010031905	25	3	0.0225563909774436	133	2227	5578,8204,5947	PRKCA,NRIP1,RBP1
ret_pathway	Signaling events regulated by Ret tyrosine kinase	0.188392416648648	-1.66922816898412	38	4	0.0300751879699248	133	2227	3667,5829,6464,5578	IRS1,PXN,SHC1,PRKCA
telomerasepathway	Regulation of Telomerase	0.198022558043376	-1.61937432526508	66	6	0.0451127819548872	133	2227	472,4088,54386,7026,10038,8819	ATM,SMAD3,TERF2IP,NR2F2,PARP2,SAP30
glypican_1pathway	Glypican 1 network	0.200060057214484	-1.60913767143852	26	3	0.0225563909774436	133	2227	2247,7048,2260	FGF2,TGFBR2,FGFR1
ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction	0.213590443854062	-1.54369491140784	40	4	0.0300751879699248	133	2227	55740,51474,7414,60412	ENAH,LIMA1,VCL,EXOC4
atf2_pathway	ATF-2 transcription factor network	0.228682202506004	-1.47542200124389	55	5	0.037593984962406	133	2227	5451,672,1647,5578,1019	POU2F1,BRCA1,GADD45A,PRKCA,CDK4
igf1_pathway	IGF1 pathway	0.232002601053643	-1.46100669594056	28	3	0.0225563909774436	133	2227	3667,5829,6464	IRS1,PXN,SHC1
p38_mkk3_6pathway	p38 MAPK signaling pathway	0.248315500919238	-1.39305516022794	29	3	0.0225563909774436	133	2227	472,1647,5606	ATM,GADD45A,MAP2K3
ar_pathway	Coregulation of Androgen receptor activity	0.251419020550979	-1.38063432717173	57	5	0.037593984962406	133	2227	6840,672,8204,1021,23081	SVIL,BRCA1,NRIP1,CDK6,KDM4C
insulin_pathway	Insulin Pathway	0.25298313848614	-1.37443243877542	43	4	0.0300751879699248	133	2227	3667,6464,5786,60412	IRS1,SHC1,PTPRA,EXOC4
il2_stat5pathway	IL2 signaling events mediated by STAT5	0.264800474307382	-1.32877866372987	30	3	0.0225563909774436	133	2227	6464,5551,1021	SHC1,PRF1,CDK6
syndecan_1_pathway	Syndecan-1-mediated signaling events	0.269852216871298	-1.30988081475279	17	2	0.0150375939849624	133	2227	4316,3911	MMP7,LAMA5
a6b1_a6b4_integrin_pathway	a6b1 and a6b4 Integrin signaling	0.281417829139856	-1.26791477760297	31	3	0.0225563909774436	133	2227	3691,6464,5578	ITGB4,SHC1,PRKCA
cxcr4_pathway	CXCR4-mediated signaling events	0.299563424012497	-1.2054291175271	76	6	0.0451127819548872	133	2227	54331,5829,2308,23236,55824,3673	GNG2,PXN,FOXO1,PLCB1,PAG1,ITGA2
ephrinb_ephbpathway	EphrinB-EPHB pathway	0.309199485707408	-1.173768625571	6	1	0.0075187969924812	133	2227	1948	EFNB2
ephbfwdpathway	EPHB forward signaling	0.314899826202334	-1.15550070278914	33	3	0.0225563909774436	133	2227	1948,5829,8867	EFNB2,PXN,SYNJ1
syndecan_2_pathway	Syndecan-2-mediated signaling events	0.314899826202334	-1.15550070278914	33	3	0.0225563909774436	133	2227	2335,858,3673	FN1,CAV2,ITGA2
wnt_beta_catenin_pathway	Regulation of Wnt-mediated beta catenin signaling and target gene transcription	0.321105319272283	-1.13598611224287	78	6	0.0451127819548872	133	2227	3398,23043,6907,1462,6934,22943	ID2,TNIK,TBL1X,VCAN,TCF7L2,DKK1
hif1_tfpathway	HIF-1-alpha transcription factor network	0.346774582545917	-1.05908032815178	65	5	0.037593984962406	133	2227	3398,123,4088,3099,4907	ID2,PLIN2,SMAD3,HK2,NT5E
rapid_gr_pathway	Rapid glucocorticoid signaling	0.350566648428838	-1.04820443814812	7	1	0.0075187969924812	133	2227	54331	GNG2
hdac_classi_pathway	Signaling events mediated by HDAC Class I	0.358967371439668	-1.02452378197905	66	5	0.037593984962406	133	2227	57459,1107,5468,8819,4092	GATAD2B,CHD3,PPARG,SAP30,SMAD7
kitpathway	Signaling events mediated by Stem cell factor receptor (c-Kit)	0.377181349213733	-0.97502917479595	52	4	0.0300751879699248	133	2227	10019,200734,6464,8651	SH2B3,SPRED2,SHC1,SOCS1
pdgfrapathway	PDGFR-alpha signaling pathway	0.381918706442403	-0.9625475033831	22	2	0.0150375939849624	133	2227	90525,6464	SHF,SHC1
a4b1_paxindep_pathway	Paxillin-independent events mediated by a4b1 and a4b7	0.381918706442403	-0.9625475033831	22	2	0.0150375939849624	133	2227	5829,960	PXN,CD44
s1p_s1p5_pathway	S1P5 pathway	0.389474142014375	-0.942957803514692	8	1	0.0075187969924812	133	2227	2770	GNAI1
glypican_3pathway	Glypican 3 network	0.389474142014375	-0.942957803514692	8	1	0.0075187969924812	133	2227	652	BMP4
p53downstreampathway	Direct p53 effectors	0.38978002693231	-0.942172732492079	132	9	0.0676691729323308	133	2227	1647,5366,1462,317,639,843,64065,54541,22943	GADD45A,PMAIP1,VCAN,APAF1,PRDM1,CASP10,PERP,DDIT4,DKK1
prlsignalingeventspathway	Signaling events mediated by PRL	0.403575897217922	-0.907390711765838	23	2	0.0150375939849624	133	2227	7803,8073	PTP4A1,PTP4A2
lymphangiogenesis_pathway	VEGFR3 signaling in lymphatic endothelium	0.403575897217922	-0.907390711765838	23	2	0.0150375939849624	133	2227	2335,3673	FN1,ITGA2
s1p_s1p2_pathway	S1P2 pathway	0.424871747715734	-0.855967925680098	24	2	0.0150375939849624	133	2227	3667,2770	IRS1,GNAI1
botulinumtoxinpathway	Effects of Botulinum toxin	0.426067174512656	-0.853158258494571	9	1	0.0075187969924812	133	2227	6857	SYT1
ifngpathway	IFN-gamma pathway	0.431292348502298	-0.840969116032197	40	3	0.0225563909774436	133	2227	817,8651,4092	CAMK2D,SOCS1,SMAD7
nectin_pathway	Nectin adhesion pathway	0.445772102044466	-0.807947439520926	25	2	0.0150375939849624	133	2227	25945,5797	PVRL3,PTPRM
