TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00991	WHEP-TRS	2.58255620505588e-05	-10.564145779379	5	4	0.0090702947845805	441	9131	4141,2617,3035,7453	MARS,GARS,HARS,WARS
SM00471	HDc	0.000784617691279109	-7.15031397629224	24	6	0.0136054421768707	441	9131	5138,5140,5152,10846,5139,5142	PDE2A,PDE3B,PDE9A,PDE10A,PDE3A,PDE4B
SM00852	MoCF_biosynth	0.0023275667558919	-6.06293186785297	2	2	0.00453514739229025	441	9131	80308,10243	FLAD1,GPHN
SM00249	PHD	0.00424907350654956	-5.46105431826986	91	11	0.0249433106575964	441	9131	11177,23469,10765,55904,1107,83860,58508,23081,9866,8028,7994	BAZ1A,PHF3,KDM5B,KMT2E,CHD3,TAF3,KMT2C,KDM4C,TRIM66,MLLT10,KAT6A
SM00501	BRIGHT	0.00478768755896171	-5.34170774843614	15	4	0.0090702947845805	441	9131	10765,10620,57492,84159	KDM5B,ARID3B,ARID1B,ARID5B
SM00461	WH1	0.00522319421052666	-5.25464614650749	8	3	0.00680272108843537	441	9131	55740,51466,9455	ENAH,EVL,HOMER2
SM00487	DEXDc	0.00618786606047889	-5.08516499154777	109	12	0.0272108843537415	441	9131	10973,80205,57634,1107,8886,164045,1106,6596,55601,1662,91351,84083	ASCC3,CHD9,EP400,CHD3,DDX18,HFM1,CHD2,HLTF,DDX60,DDX10,DDX60L,ZRANB3
SM00563	PlsC	0.00773216556486306	-4.86236630492389	17	4	0.0090702947845805	441	9131	79888,253558,56895,84803	LPCAT1,LCLAT1,AGPAT4,GPAT3
SM00102	ADF	0.0104119256625378	-4.56480343147021	10	3	0.00680272108843537	441	9131	1627,23406,2764	DBN1,COTL1,GMFB
SM00973	Sec63	0.0130860793234771	-4.33620626084754	4	2	0.00453514739229025	441	9131	10973,164045	ASCC3,HFM1
SM00490	HELICc	0.013112791205834	-4.33416709724443	106	11	0.0249433106575964	441	9131	10973,80205,1107,8886,164045,1106,6596,55601,1662,91351,84083	ASCC3,CHD9,CHD3,DDX18,HFM1,CHD2,HLTF,DDX60,DDX10,DDX60L,ZRANB3
SM00231	FA58C	0.0166961236267713	-4.09257870466042	21	4	0.0090702947845805	441	9131	8829,79937,728577,4240	NRP1,CNTNAP3,CNTNAP3B,MFGE8
SM00150	SPEC	0.0175902060291608	-4.04041300744392	32	5	0.0113378684807256	441	9131	667,2125,91404,7204,6709	DST,EVPL,SESTD1,TRIO,SPTAN1
SM00523	DWA	0.0177638925803807	-4.03058738861061	12	3	0.00680272108843537	441	9131	4088,4092,4774	SMAD3,SMAD7,NFIA
SM00282	LamG	0.0182464448364354	-4.00378502141329	44	6	0.0136054421768707	441	9131	3910,1951,79937,2195,3911,728577	LAMA4,CELSR3,CNTNAP3,FAT1,LAMA5,CNTNAP3B
SM00194	PTPc	0.0281556956516929	-3.5700056126535	36	5	0.0113378684807256	441	9131	5775,5782,5797,5786,5796	PTPN4,PTPN12,PTPRM,PTPRA,PTPRK
SM00863	tRNA_SAD	0.0306719100790696	-3.48440802437754	6	2	0.00453514739229025	441	9131	16,6897	AARS,TARS
SM00800	uDENN	0.0330056847869126	-3.41107546608171	15	3	0.00680272108843537	441	9131	81846,10260,57706	SBF2,DENND4A,DENND1A
SM00137	MAM	0.0330056847869126	-3.41107546608171	15	3	0.00680272108843537	441	9131	8829,5797,5796	NRP1,PTPRM,PTPRK
SM00220	S_TKc	0.0350293550167629	-3.35156885425276	268	20	0.0453514739229025	441	9131	23043,7273,1195,1019,9748,7204,84033,10110,5578,6793,5606,5583,9943,23683,817,28996,26750,1021,5567,1196	TNIK,TTN,CLK1,CDK4,SLK,TRIO,OBSCN,SGK2,PRKCA,STK10,MAP2K3,PRKCH,OXSR1,PRKD3,CAMK2D,HIPK2,RPS6KC1,CDK6,PRKACB,CLK2
SM00801	dDENN	0.0392046531255843	-3.23895983704699	16	3	0.00680272108843537	441	9131	81846,10260,57706	SBF2,DENND4A,DENND1A
SM00799	DENN	0.0392046531255843	-3.23895983704699	16	3	0.00680272108843537	441	9131	81846,10260,57706	SBF2,DENND4A,DENND1A
SM00250	PLEC	0.0415866200983451	-3.17997679570099	7	2	0.00453514739229025	441	9131	667,2125	DST,EVPL
SM01055	Cadherin_pro	0.0415866200983451	-3.17997679570099	7	2	0.00453514739229025	441	9131	1825,1824	DSC3,DSC2
SM00382	AAA	0.0456229313652647	-3.08734480804677	144	12	0.0272108843537415	441	9131	1778,5984,10973,5983,617,5890,8714,1244,146754,79659,89795,10347	DYNC1H1,RFC4,ASCC3,RFC3,BCS1L,RAD51B,ABCC3,ABCC2,DNAH2,DYNC2H1,NAV3,ABCA7
SM01082	CHZ	0.0482970101849544	-3.03038562117217	1	1	0.00226757369614512	441	9131	8479	HIRIP3
SM00798	AICARFT_IMPCHas	0.0482970101849544	-3.03038562117217	1	1	0.00226757369614512	441	9131	471	ATIC
SM01004	ALAD	0.0482970101849544	-3.03038562117217	1	1	0.00226757369614512	441	9131	210	ALAD
SM00910	HIRAN	0.0482970101849544	-3.03038562117217	1	1	0.00226757369614512	441	9131	6596	HLTF
SM00507	HNHc	0.0482970101849544	-3.03038562117217	1	1	0.00226757369614512	441	9131	84083	ZRANB3
SM01024	BCS1_N	0.0482970101849544	-3.03038562117217	1	1	0.00226757369614512	441	9131	617	BCS1L
SM00524	DWB	0.0537077620610247	-2.92419774301489	8	2	0.00453514739229025	441	9131	4088,4092	SMAD3,SMAD7
SM00065	GAF	0.0537077620610247	-2.92419774301489	8	2	0.00453514739229025	441	9131	5138,10846	PDE2A,PDE10A
SM00545	JmjN	0.0537077620610247	-2.92419774301489	8	2	0.00453514739229025	441	9131	10765,23081	KDM5B,KDM4C
SM00132	LIM	0.0580925190860371	-2.84571838269093	72	7	0.0158730158730159	441	9131	166336,5829,10529,9124,7205,10611,51474	PRICKLE2,PXN,NEBL,PDLIM1,TRIP6,PDLIM5,LIMA1
SM00356	ZnF_C3H1	0.0594644673072351	-2.82237633293209	44	5	0.0113378684807256	441	9131	677,9931,10150,4154,23091	ZFP36L1,HELZ,MBNL2,MBNL1,ZC3H13
SM00326	SH3	0.0603755566056832	-2.80717094791015	217	16	0.036281179138322	441	9131	23092,115677,23268,8935,7204,4647,1742,84033,6455,10529,57630,50807,143098,783,9644,6709	ARHGAP26,NOSTRIN,DNMBP,SKAP2,TRIO,MYO7A,DLG4,OBSCN,SH3GL1,NEBL,SH3RF1,ASAP1,MPP7,CACNB2,SH3PXD2A,SPTAN1
SM00608	ACR	0.0610168286169544	-2.79660557388996	19	3	0.00680272108843537	441	9131	8754,203102,8728	ADAM9,ADAM32,ADAM19
SM00454	SAM	0.0617032143546752	-2.78541925291764	88	8	0.018140589569161	441	9131	1912,84456,8496,148398,22955,90678,23034,154075	PHC2,L3MBTL3,PPFIBP1,SAMD11,SCMH1,LRSAM1,SAMD4A,SAMD3
SM00558	JmjC	0.0663793925933495	-2.71236862317885	32	4	0.0090702947845805	441	9131	51780,55806,10765,23081	KDM3B,HR,KDM5B,KDM4C
SM00561	MBT	0.0668939003046165	-2.70464749231842	9	2	0.00453514739229025	441	9131	22955,84456	SCMH1,L3MBTL3
SM00050	DISIN	0.0780754790412203	-2.55007924017738	21	3	0.00680272108843537	441	9131	8754,203102,8728	ADAM9,ADAM32,ADAM19
SM00233	PH	0.0797264007798621	-2.52915449609472	278	19	0.0430839002267574	441	9131	23092,90102,26052,8935,8831,7204,10087,84033,81846,23365,26499,114876,10019,3667,23683,50807,54221,59339,25894	ARHGAP26,PHLDB2,DNM3,SKAP2,SYNGAP1,TRIO,COL4A3BP,OBSCN,SBF2,ARHGEF12,PLEK2,OSBPL1A,SH2B3,IRS1,PRKD3,ASAP1,SNTG2,PLEKHA2,PLEKHG4
SM00128	IPPc	0.0810143939678288	-2.51312843679053	10	2	0.00453514739229025	441	9131	8871,8867	SYNJ2,SYNJ1
SM00557	IG_FLMN	0.0810143939678288	-2.51312843679053	10	2	0.00453514739229025	441	9131	2318,2317	FLNC,FLNB
SM00035	CLa	0.0942664536122381	-2.36162989375516	2	1	0.00226757369614512	441	9131	1191	CLU
SM00896	FDX-ACB	0.0942664536122381	-2.36162989375516	2	1	0.00226757369614512	441	9131	10667	FARS2
