TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2261	Signaling Pathways in Glioblastoma	0.00126165854763926	-6.67532811594196	80	11	0.0518867924528302	212	4455	5583,3667,4893,2308,1019,472,672,5578,1021,2260,5606	PRKCH,IRS1,NRAS,FOXO1,CDK4,ATM,BRCA1,PRKCA,CDK6,FGFR1,MAP2K3
WP236	Adipogenesis	0.00344132562169443	-5.67189852668332	131	14	0.0660377358490566	212	4455	123,4088,3667,57761,1647,8651,2308,5468,9663,652,8204,4154,7025,4208	PLIN2,SMAD3,IRS1,TRIB3,GADD45A,SOCS1,FOXO1,PPARG,LPIN2,BMP4,NRIP1,MBNL1,NR2F1,MEF2C
WP244	Alpha6-Beta4 Integrin Signaling Pathway	0.00496503254085465	-5.3053354274572	69	9	0.0424528301886792	212	4455	4088,3667,667,4316,6464,7431,3691,5578,3911	SMAD3,IRS1,DST,MMP7,SHC1,VIM,ITGB4,PRKCA,LAMA5
WP197	Cholesterol biosynthesis	0.0072710444290567	-4.92385533488636	17	4	0.0188679245283019	212	4455	6713,3422,6721,1717	SQLE,IDI1,SREBF2,DHCR7
WP1982	SREBP signalling	0.0102293142744216	-4.5824977321136	64	8	0.0377358490566038	212	4455	3422,3638,6721,9871,5468,133522,51586,6713	IDI1,INSIG1,SREBF2,SEC24D,PPARG,PPARGC1B,MED15,SQLE
WP497	Urea cycle and metabolism of amino groups	0.0132359778983966	-4.32481655873403	20	4	0.0188679245283019	212	4455	6723,5832,4953,5831	SRM,ALDH18A1,ODC1,PYCR1
WP2012	miRs in Muscle Cell Differentiation	0.0135078219947407	-4.30448635431136	42	6	0.0283018867924528	212	4455	5583,3398,23683,5578,5567,4208	PRKCH,ID2,PRKD3,PRKCA,PRKACB,MEF2C
WP254	Apoptosis	0.0162308543628339	-4.12084125787785	83	9	0.0424528301886792	212	4455	8738,5366,27242,7187,317,4793,5551,329,843	CRADD,PMAIP1,TNFRSF21,TRAF3,APAF1,NFKBIB,PRF1,BIRC2,CASP10
WP51	Regulation of Actin Cytoskeleton	0.0196345505276668	-3.9304644825986	145	13	0.0613207547169811	212	4455	2254,85464,5829,4893,2335,2247,5962,55740,7414,5305,5881,7114,2260	FGF9,SSH2,PXN,NRAS,FN1,FGF2,RDX,ENAH,VCL,PIP4K2A,RAC3,TMSB4X,FGFR1
WP53	Id Signaling Pathway	0.0354535298368484	-3.33953245869446	52	6	0.0283018867924528	212	4455	3398,4088,6938,3667,3397,6934	ID2,SMAD3,TCF12,IRS1,ID1,TCF7L2
WP2324	AGE/RAGE pathway	0.0359686727558609	-3.325106920597	66	7	0.0330188679245283	212	4455	4088,3667,4316,2308,6464,5578,4323	SMAD3,IRS1,MMP7,FOXO1,SHC1,PRKCA,MMP14
WP707	DNA damage response	0.0386076414855336	-3.25430505615756	67	7	0.0330188679245283	212	4455	472,317,672,1647,5366,1019,1021	ATM,APAF1,BRCA1,GADD45A,PMAIP1,CDK4,CDK6
WP1604	Codeine and morphine metabolism	0.0522119278093049	-2.95244430810221	8	2	0.00943396226415094	212	4455	8714,1244	ABCC3,ABCC2
WP366	TGF-beta Receptor Signaling Pathway	0.0543886723592578	-2.91159937549296	151	12	0.0566037735849057	212	4455	4088,6498,817,2308,1019,4092,6935,960,7048,1021,5606,4208	SMAD3,SKIL,CAMK2D,FOXO1,CDK4,SMAD7,ZEB1,CD44,TGFBR2,CDK6,MAP2K3,MEF2C
WP1742	TP53 network	0.058657272973036	-2.83604370521043	19	3	0.0141509433962264	212	4455	472,1647,5366	ATM,GADD45A,PMAIP1
WP34	Ovarian Infertility Genes	0.0631896225585093	-2.76161519133521	32	4	0.0188679245283019	212	4455	472,4088,8204,1019	ATM,SMAD3,NRIP1,CDK4
WP561	Heme Biosynthesis	0.0650692720051408	-2.73230285341026	9	2	0.00943396226415094	212	4455	210,7389	ALAD,UROD
WP167	Eicosanoid Synthesis	0.0666727956328005	-2.70795827083592	20	3	0.0141509433962264	212	4455	2678,1800,6916	GGT1,DPEP1,TBXAS1
WP404	Nucleotide Metabolism	0.0666727956328005	-2.70795827083592	20	3	0.0141509433962264	212	4455	6723,3251,5631	SRM,HPRT1,PRPS1
WP1772	Apoptosis Modulation and Signaling	0.080302568528955	-2.52195367187903	79	7	0.0330188679245283	212	4455	7187,317,8738,5366,329,843,51155	TRAF3,APAF1,CRADD,PMAIP1,BIRC2,CASP10,HN1
WP35	G Protein Signaling Pathways	0.081042558453054	-2.51278084929011	95	8	0.0377358490566038	212	4455	5583,23683,4893,5142,5578,2787,5567,2770	PRKCH,PRKD3,NRAS,PDE4B,PRKCA,GNG5,PRKACB,GNAI1
WP2032	TSH signaling pathway	0.0821321605804167	-2.49942561474035	64	6	0.0283018867924528	212	4455	54331,328,23236,1019,5606,2770	GNG2,APEX1,PLCB1,CDK4,MAP2K3,GNAI1
WP299	Nuclear receptors in lipid metabolism and toxicity	0.0825280703186742	-2.49461679722518	35	4	0.0188679245283019	212	4455	1591,8714,1244,5468	CYP24A1,ABCC3,ABCC2,PPARG
WP1971	Integrated Cancer pathway	0.0825280703186742	-2.49461679722518	35	4	0.0188679245283019	212	4455	4088,472,672,1019	SMAD3,ATM,BRCA1,CDK4
WP2431	Spinal Cord Injury	0.0840033777640221	-2.47689826947083	112	9	0.0424528301886792	212	4455	1948,1647,328,1019,5786,1462,57142,7431,5578	EFNB2,GADD45A,APEX1,CDK4,PTPRA,VCAN,RTN4,VIM,PRKCA
WP1495	Glycine Metabolism	0.0929196167628215	-2.37602049546616	2	1	0.00471698113207547	212	4455	6472	SHMT2
WP185	Integrin-mediated cell adhesion	0.0974505055769409	-2.32841066497696	99	8	0.0377358490566038	212	4455	5829,6464,3673,3691,7414,5881,858,5606	PXN,SHC1,ITGA2,ITGB4,VCL,RAC3,CAV2,MAP2K3
WP399	Wnt Signaling Pathway and Pluripotency	0.106314047726964	-2.24135785065371	101	8	0.0377358490566038	212	4455	5583,4316,7976,85409,51384,5578,960,6934	PRKCH,MMP7,FZD3,NKD2,WNT16,PRKCA,CD44,TCF7L2
WP179	Cell cycle	0.110908550147211	-2.19904928978696	102	8	0.0377358490566038	212	4455	4088,55388,1647,4174,1019,8379,472,1021	SMAD3,MCM10,GADD45A,MCM5,CDK4,MAD1L1,ATM,CDK6
WP2446	RB in Cancer	0.118589342143826	-2.13208866033656	87	7	0.0330188679245283	212	4455	5984,5983,6596,1019,1021,5947,8819	RFC4,RFC3,HLTF,CDK4,CDK6,RBP1,SAP30
WP560	TGF Beta Signaling Pathway	0.118889949121807	-2.12955701105519	55	5	0.0235849056603774	212	4455	4088,6498,652,7048,4092	SMAD3,SKIL,BMP4,TGFBR2,SMAD7
WP581	EPO Receptor Signaling	0.123927301747573	-2.08806016153346	26	3	0.0141509433962264	212	4455	3667,6464,8651	IRS1,SHC1,SOCS1
WP405	Eukaryotic Transcription Initiation	0.128679239159911	-2.05043248928102	41	4	0.0188679245283019	212	4455	2965,2967,64425,25885	GTF2H1,GTF2H3,POLR1E,POLR1A
WP615	Senescence and Autophagy	0.130349754410384	-2.03753402268278	106	8	0.0377358490566038	212	4455	4088,2335,4323,9140,3570,960,648,5606	SMAD3,FN1,MMP14,ATG12,IL6R,CD44,BMI1,MAP2K3
WP437	EGFR1 Signaling Pathway	0.135115117588251	-2.00162814102938	177	12	0.0566037735849057	212	4455	4088,5829,4893,3855,6464,8651,2308,50807,5782,5578,858,5606	SMAD3,PXN,NRAS,KRT7,SHC1,SOCS1,FOXO1,ASAP1,PTPN12,PRKCA,CAV2,MAP2K3
WP2516	ATM Signaling Pathway	0.136104220681668	-1.9943343581842	3	1	0.00471698113207547	212	4455	1647	GADD45A
