TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
META_PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	0.00416432408226345	-5.48120130170383	2	2	0.0338983050847458	59	907	2618,4522	GART,MTHFD1
HUMAN_PROSYN-PWY	proline biosynthesis	0.00416432408226345	-5.48120130170383	2	2	0.0338983050847458	59	907	5832,5831	ALDH18A1,PYCR1
HUMAN_PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	0.00416432408226345	-5.48120130170383	2	2	0.0338983050847458	59	907	2618,4522	GART,MTHFD1
META_PROSYN-PWY	L-proline biosynthesis I	0.00416432408226345	-5.48120130170383	2	2	0.0338983050847458	59	907	5832,5831	ALDH18A1,PYCR1
HUMAN_PWY-2161	folate polyglutamylation	0.022936420263817	-3.77502922724242	4	2	0.0338983050847458	59	907	6472,4522	SHMT2,MTHFD1
META_POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	0.022936420263817	-3.77502922724242	4	2	0.0338983050847458	59	907	6723,4953	SRM,ODC1
META_PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	0.0296776575541642	-3.51736078717479	11	3	0.0508474576271186	59	907	8871,3628,8867	SYNJ2,INPP1,SYNJ1
HUMAN_PWY-5667	CDP-diacylglycerol biosynthesis	0.0299875325145332	-3.50697356654736	19	4	0.0677966101694915	59	907	10162,253558,56895,84803	LPCAT3,LCLAT1,AGPAT4,GPAT3
HUMAN_PWY66-409	superpathway of purine nucleotide salvage	0.0314916350900006	-3.4580333211143	38	6	0.101694915254237	59	907	353,3251,3615,204,29922,132	APRT,HPRT1,IMPDH2,AK2,NME7,ADK
HUMAN_PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	0.0366373291262369	-3.30668763685947	5	2	0.0338983050847458	59	907	3615,4907	IMPDH2,NT5E
META_PWY-841	superpathway of purine nucleotides de novo biosynthesis I	0.046871483400386	-3.06034581829753	13	3	0.0508474576271186	59	907	2618,3615,471	GART,IMPDH2,ATIC
META_PWY66-409	superpathway of purine nucleotide salvage	0.046871483400386	-3.06034581829753	13	3	0.0508474576271186	59	907	3251,3615,132	HPRT1,IMPDH2,ADK
HUMAN_PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	0.046871483400386	-3.06034581829753	13	3	0.0508474576271186	59	907	8871,3628,8867	SYNJ2,INPP1,SYNJ1
META_PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	0.0526812149199107	-2.94349634011196	6	2	0.0338983050847458	59	907	3615,4907	IMPDH2,NT5E
META_PWY66-5	superpathway of cholesterol biosynthesis	0.0563822489184035	-2.87560090550703	23	4	0.0677966101694915	59	907	6713,3422,1717,3156	SQLE,IDI1,DHCR7,HMGCR
HUMAN_P121-PWY	adenine and adenosine salvage I	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	353	APRT
META_PWY-46	putrescine biosynthesis III	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	4953	ODC1
HUMAN_PWY-6898	thiamin salvage III	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	27010	TPK1
META_PWY-6619	adenine and adenosine salvage VI	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	132	ADK
HUMAN_PWY66-366	flavin biosynthesis	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	80308	FLAD1
HUMAN_BSUBPOLYAMSYN-PWY	spermidine biosynthesis	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	6723	SRM
HUMAN_PWY-46	putrescine biosynthesis I	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	4953	ODC1
HUMAN_PWY-6619	adenine and adenosine salvage II	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	132	ADK
META_BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	0.0650496141125774	-2.73260500620759	1	1	0.0169491525423729	59	907	6723	SRM
HUMAN_PWY66-5	superpathway of cholesterol biosynthesis	0.0731114609994633	-2.61577013929755	25	4	0.0677966101694915	59	907	6713,3422,1717,3156	SQLE,IDI1,DHCR7,HMGCR
