TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Type 2 diabetes(PMID:18372903)	Type 2 diabetes(PMID:18372903)	0.00101255074313149	-6.8952826435663	8	5	0.0173611111111111	288	2389	54901,10644,63892,221895,6934	CDKAL1,IGF2BP2,THADA,JAZF1,TCF7L2
Hippocampal volume(PMID:22504421)	Hippocampal volume(PMID:22504421)	0.00173595125602831	-6.35619974146289	3	3	0.0104166666666667	288	2389	1803,253827,23245	DPP4,MSRB3,ASTN2
Type 2 diabetes(PMID:17463246)	Type 2 diabetes(PMID:17463246)	0.00254702865384038	-5.97282783301261	6	4	0.0138888888888889	288	2389	54901,10644,5468,6934	CDKAL1,IGF2BP2,PPARG,TCF7L2
Type 2 diabetes(PMID:17463248)	Type 2 diabetes(PMID:17463248)	0.00538155861379055	-5.22477724159935	7	4	0.0138888888888889	288	2389	54901,10644,5468,6934	CDKAL1,IGF2BP2,PPARG,TCF7L2
QT interval(PMID:20031603)	QT interval(PMID:20031603)	0.00538155861379055	-5.22477724159935	7	4	0.0138888888888889	288	2389	7273,5793,79658,5139	TTN,PTPRG,ARHGAP10,PDE3A
Metabolic syndrome(PMID:20694148)	Metabolic syndrome(PMID:20694148)	0.00538155861379055	-5.22477724159935	7	4	0.0138888888888889	288	2389	3992,9815,6934,9709	FADS1,GIT2,TCF7L2,HERPUD1
Height(PMID:19343178)	Height(PMID:19343178)	0.00949530639080101	-4.65695766659175	12	5	0.0173611111111111	288	2389	8091,57188,1021,221895,57211	HMGA2,ADAMTSL3,CDK6,JAZF1,ADGRG6
Type 2 diabetes(PMID:17463249)	Type 2 diabetes(PMID:17463249)	0.00975056648446872	-4.63042989468903	8	4	0.0138888888888889	288	2389	54901,10644,5468,6934	CDKAL1,IGF2BP2,PPARG,TCF7L2
Type 2 diabetes(PMID:19401414)	Type 2 diabetes(PMID:19401414)	0.0143973530301579	-4.24071090664681	5	3	0.0104166666666667	288	2389	54901,10644,6934	CDKAL1,IGF2BP2,TCF7L2
Coronary heart disease(PMID:22319020)	Coronary heart disease(PMID:22319020)	0.0144885162521972	-4.23439892594661	2	2	0.00694444444444444	288	2389	3570,2335	IL6R,FN1
Alcoholism (alcohol dependence factor score)(PMID:21529783)	Alcoholism (alcohol dependence factor score)(PMID:21529783)	0.0144885162521972	-4.23439892594661	2	2	0.00694444444444444	288	2389	10150,23294	MBNL2,ANKS1A
Colorectal cancer(PMID:20972440)	Colorectal cancer(PMID:20972440)	0.0144885162521972	-4.23439892594661	2	2	0.00694444444444444	288	2389	55892,3911	MYNN,LAMA5
Diabetes (gestational)(PMID:22233651)	Diabetes (gestational)(PMID:22233651)	0.0144885162521972	-4.23439892594661	2	2	0.00694444444444444	288	2389	54901,10644	CDKAL1,IGF2BP2
Polycystic ovary syndrome(PMID:21151128)	Polycystic ovary syndrome(PMID:21151128)	0.0144885162521972	-4.23439892594661	2	2	0.00694444444444444	288	2389	63892,57706	THADA,DENND1A
Brain imaging in schizophrenia (interaction)(PMID:19023125)	Brain imaging in schizophrenia (interaction)(PMID:19023125)	0.0144885162521972	-4.23439892594661	2	2	0.00694444444444444	288	2389	23043,7187	TNIK,TRAF3
Type 2 diabetes(PMID:20581827)	Type 2 diabetes(PMID:20581827)	0.0195855505432188	-3.9329632018066	14	5	0.0173611111111111	288	2389	54901,10644,204010,221895,6934	CDKAL1,IGF2BP2,RPSAP52,JAZF1,TCF7L2
HIV-1 control(PMID:20041166)	HIV-1 control(PMID:20041166)	0.0195855505432188	-3.9329632018066	14	5	0.0173611111111111	288	2389	81796,50854,80862,253769,7148	SLCO5A1,C6orf48,ZNRD1-AS1,WDR27,TNXB
Tonometry(PMID:17903302)	Tonometry(PMID:17903302)	0.0240401166571394	-3.72803131670047	10	4	0.0138888888888889	288	2389	137492,7048,60412,4208	VPS37A,TGFBR2,EXOC4,MEF2C
