TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01657	MCMFAMILY	0.00110432436163793	-6.80852156844826	8	4	0.0125786163522013	318	4759	4175,4171,4174,254394	MCM6,MCM2,MCM5,MCM9
PR00700	PRTYPHPHTASE	0.00210989212209921	-6.16111845976839	36	8	0.0251572327044025	318	4759	5771,5797,5786,5782,5775,5793,5784,5796	PTPN2,PTPRM,PTPRA,PTPN12,PTPN4,PTPRG,PTPN14,PTPRK
PR01040	TRNASYNTHTYR	0.00445190860246836	-5.41442237532397	2	2	0.00628930817610063	318	4759	8565,51067	YARS,YARS2
PR01039	TRNASYNTHTRP	0.00445190860246836	-5.41442237532397	2	2	0.00628930817610063	318	4759	10352,7453	WARS2,WARS
PR00387	PDIESTERASE1	0.0068825277022728	-4.97876929592506	19	5	0.0157232704402516	318	4759	5138,5141,5152,10846,5142	PDE2A,PDE4A,PDE9A,PDE10A,PDE4B
PR00008	DAGPEDOMAIN	0.0107884661690739	-4.52927766282199	21	5	0.0157232704402516	318	4759	1123,5583,23683,673,5578	CHN1,PRKCH,PRKD3,BRAF,PRKCA
PR01807	ANGIOMOTIN	0.0127642592872065	-4.36110625682648	3	2	0.00628930817610063	318	4759	154810,154796	AMOTL1,AMOT
PR00320	GPROTEINBRPT	0.0229616664350193	-3.77392913024212	84	11	0.0345911949685535	318	4759	11137,25929,5191,5048,55003,9128,22884,6907,317,81929,27339	PWP1,GEMIN5,PEX7,PAFAH1B1,PAK1IP1,PRPF4,WDR37,TBL1X,APAF1,SEH1L,PRPF19
PR00633	RCCNDNSATION	0.0232480031748795	-3.76153603558852	17	4	0.0125786163522013	318	4759	8924,23077,26297,8925	HERC2,MYCBP2,SERGEF,HERC1
PR00959	MEVGALKINASE	0.0244043466633761	-3.71299402060673	4	2	0.00628930817610063	318	4759	4598,2585	MVK,GALK2
PR00194	TROPOMYOSIN	0.0244043466633761	-3.71299402060673	4	2	0.00628930817610063	318	4759	7168,7171	TPM1,TPM4
PR00085	THFDHDRGNASE	0.0244043466633761	-3.71299402060673	4	2	0.00628930817610063	318	4759	25902,4522	MTHFD1L,MTHFD1
PR00020	MAMDOMAIN	0.0249347311960353	-3.69149362022923	10	3	0.00943396226415094	318	4759	8829,5797,5796	NRP1,PTPRM,PTPRK
PR00846	GLHYDRLASE56	0.0388930526887455	-3.24693963842722	5	2	0.00628930817610063	318	4759	3373,8372	HYAL1,HYAL3
PR01282	COUPTNFACTOR	0.0388930526887455	-3.24693963842722	5	2	0.00628930817610063	318	4759	7026,7025	NR2F2,NR2F1
PR00391	PITRANSFER	0.0388930526887455	-3.24693963842722	5	2	0.00628930817610063	318	4759	23760,9600	PITPNB,PITPNM1
PR01884	MALPROTEIN	0.0388930526887455	-3.24693963842722	5	2	0.00628930817610063	318	4759	7851,152189	MALL,CMTM8
PR00080	SDRFAMILY	0.0475487778742662	-3.04599919222921	40	6	0.0188679245283019	318	4759	51181,84869,157506,51171,3028,56898	DCXR,CBR4,RDH10,HSD17B14,HSD17B10,BDH2
PR00321	GPROTEING	0.0512266146440955	-2.97149606472738	13	3	0.00943396226415094	318	4759	54331,2787,2788	GNG2,GNG5,GNG7
PR01210	GGTRANSPTASE	0.0558000986867146	-2.88597964101732	6	2	0.00628930817610063	318	4759	2678,2686	GGT1,GGT7
PR00363	CYTOCHROMEB5	0.0558000986867146	-2.88597964101732	6	2	0.00628930817610063	318	4759	3992,80777	FADS1,CYB5B
PR00404	MADSDOMAIN	0.0558000986867146	-2.88597964101732	6	2	0.00628930817610063	318	4759	4209,4208	MEF2D,MEF2C
PR00081	GDHRDH	0.0607316453437447	-2.80129037667258	53	7	0.0220125786163522	318	4759	84263,51181,84869,157506,51171,3028,56898	HSDL2,DCXR,CBR4,RDH10,HSD17B14,HSD17B10,BDH2
PR01628	LCACHANNELB2	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	783	CACNB2
PR00989	ADENOKINASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	132	ADK
PR00052	FIBRILLARIN	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	2091	FBL
PR01190	GLUCTRSPORT1	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	6513	SLC2A1
PR01477	LTB1RECEPTOR	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	1241	LTB4R
PR00101	ATCASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	790	CAD
PR00474	GLU5KINASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	5832	ALDH18A1
PR01261	TAUPROTEIN	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4137	MAPT
PR01607	APYRASEFAMLY	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4907	NT5E
PR00201	ANNEXINV	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	308	ANXA5
PR01519	EPSLNTUBULIN	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	51175	TUBE1
PR01117	CLCHANNEL6	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	1185	CLCN6
PR01661	MCMPROTEIN5	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4174	MCM5
PR01080	HYPOXIAIF1A	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	3091	HIF1A
PR01866	APOPREGMCL1	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4170	MCL1
PR01425	TGFBETA2	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	7042	TGFB2
PR01480	NEUROTENSN1R	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4923	NTSR1
PR00067	CATALASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	847	CAT
PR01348	ICLNCHANNEL	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	1207	CLNS1A
PR00344	BCTRLSENSOR	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	10295	BCKDK
PR00071	HMGCOARDTASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	3156	HMGCR
PR02027	ARCARG31	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	23237	ARC
PR00965	OCULARALBNSM	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4935	GPR143
PR01809	ANNEXINX	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	11199	ANXA10
PR00658	CD44	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	960	CD44
PR00706	PYROGLUPTASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	54858	PGPEP1
PR01291	PROXISOMPAGR	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	5468	PPARG
PR00904	FRATAXIN	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	2395	FXN
PR00144	DALDHYDRTASE	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	210	ALAD
PR01895	WNT16PROTEIN	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	51384	WNT16
PR01560	EDG7RECEPTOR	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	23566	LPAR3
PR01662	MCMPROTEIN6	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	4175	MCM6
PR00493	BRSTCANCERI	0.0668207606637132	-2.7057414583453	1	1	0.00314465408805031	318	4759	672	BRCA1
