TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-379724	tRNA Aminoacylation	3.30608065273624e-10	-21.8300875349722	42	23	0.0205908683974933	1117	8202	833,79731,6301,2617,10352,4677,23395,3035,57038,57505,10667,7407,4141,16,6897,51067,7453,2193,5917,2058,23438,8565,5464	CARS,NARS2,SARS,GARS,WARS2,NARS,LARS2,HARS,RARS2,AARS2,FARS2,VARS,MARS,AARS,TARS,YARS2,WARS,FARSA,RARS,EPRS,HARS2,YARS,PPA1
R-HSA-74160	Gene Expression	1.72582411110438e-08	-17.8749760619854	1330	247	0.221128021486124	1117	8202	8663,5565,57038,25885,196513,5356,57505,5578,23279,16,6621,80153,7587,6497,58477,6427,6217,84844,284459,54778,55703,5901,93587,8565,7551,30834,81929,10498,10291,4234,4809,80205,7678,83667,121536,7748,340252,11176,5468,8731,2649,3035,9442,7247,6924,4774,55634,8340,79970,29115,10168,1207,51616,25929,7343,6498,2744,6827,10781,57570,1107,904,1874,27297,9128,80746,27327,833,348180,6301,29102,23395,6872,102157402,4092,8649,9887,677,10081,6748,5073,51067,54541,10643,8178,8894,6940,54807,54482,8932,4609,91801,2965,9862,9330,10642,50628,10419,4850,64425,5464,26986,104,57459,171392,2967,23404,10780,10352,84914,57510,55253,1974,57677,5682,6604,7469,6829,7025,79027,10940,155054,2058,2957,6158,10919,1025,6730,51586,90338,10670,6834,80264,54901,146198,57472,6907,9611,6727,192669,126382,9534,51123,728340,6235,8270,5520,51367,348995,163051,85456,220988,3303,10556,2193,54700,10286,7586,55746,2107,7539,51692,55039,10794,84967,27339,8819,55534,79731,2617,4677,8669,147657,5451,10025,8021,8667,7453,4088,6873,7421,5903,10236,84449,2539,79230,28996,55718,80818,3014,80324,2521,9477,7566,8891,51385,23049,136051,9612,27161,10946,10667,10644,7407,51058,9491,9883,158399,22938,661,56259,93134,284119,83860,653604,23438,26019,84172,54512,374655,10302,4670,7003,388569,4141,8363,4221,9669,6897,7316,11128,5430,3304,7638,10622,7562,5917,7711,339487,134637,6418,6874,1965,22916,3516,6883,9533	EIF3C,PRKAB2,RARS2,POLR1A,DCP1B,PLRG1,AARS2,PRKCA,NUP160,AARS,SNAPC4,EDC3,ZNF37A,SKI,SRPRB,SRSF2,RPS16,PHF5A,HKR1,RNF111,POLR3B,RAN,TRMT10A,YARS,ZNF3,ZNRD1,SEH1L,CARM1,SF3A1,METTL1,SNU13,CHD9,ZNF124,SESN2,AEBP2,ZNF195,ZNF680,BAZ2A,PPARG,RNMT,NR6A1,HARS,MED27,TSN,TCEB3,NFIA,KRBOX4,HIST1H2BL,ZNF767P,SAP30BP,ZNF197,CLNS1A,TAF9B,GEMIN5,UBTF,SKIL,GLS,SUPT4H1,ZNF266,TRMT5,CHD3,CCNT1,E2F4,CRCP,PRPF4,TSEN2,TNRC6A,CARS,CTU2,SARS,DROSHA,LARS2,TAF1,AK6,SMAD7,LAMTOR3,SMG7,ZFP36L1,PDCD7,SSR4,PARN,YARS2,DDIT4,IGF2BP3,ELL,EIF2S2,ZNF354A,ZNF586,TRMT13,MBD2,MYC,ALKBH8,GTF2H1,MED24,GTF3C3,IGF2BP1,GEMIN4,PRMT5,CNOT4,POLR1E,PPA1,PABPC1,ADARB1,GATAD2B,ZNF675,GTF2H3,EXOSC2,ZNF234,WARS2,ZNF587,XPO5,TYW1,EIF4A2,ZFP14,PSMA1,SMARCD3,NELFA,SUPT5H,NR2F1,ZNF655,POP1,ZNF425,EPRS,GTF2A1,RPL28,EHMT2,CDK9,SRP68,MED15,ZNF160,RRAGA,SURF1,ZNF430,CDKAL1,ZFP90,CNOT6,TBL1X,NCOR1,SRP14,AGO3,NR2C2AP,ZNF254,ZNF706,GTF2H2C,RPS29,LAGE3,PPP2R2A,POP5,NUP43,ZNF709,TNKS1BP1,HNRNPA3,HSPA1A,RPP30,FARSA,RRN3,BCAS2,ZKSCAN1,NUP133,ETF1,ZFP37,CPSF3,TRMT12,ZNF460,LSM10,PRPF19,SAP30,MAML3,NARS2,GARS,NARS,EIF3J,ZNF480,POU2F1,MED16,NUP214,EIF3H,WARS,SMAD3,TAF2,VDR,RANBP2,HNRNPR,ZNF333,G6PD,ZNF557,HIPK2,POLR3E,ZNF436,H2AFX,PUS1,FUS,MED20,ZNF18,EIF2B3,ZNF589,SMG1,ZNF786,NCOR2,AGO2,SF3A3,FARS2,IGF2BP2,VARS,ZNF691,PSMF1,POM121,ZNF483,SNW1,POLR3D,CTNNBL1,ZNF561,PTRF,TAF3,HIST2H3D,HARS2,UPF2,POLR1B,EXOSC4,ZNF710,SNAPC5,HNRNPM,TEAD1,ZNF324B,MARS,HIST1H4J,MEN1,EIF5B,TARS,UBC,POLR3A,POLR2A,HSPA1B,ZNF221,POLR3G,ZNF708,RARS,ZNF155,ZBTB8OS,ADAT2,SET,TAF4,EIF2S1,NCBP2,RBPJ,TAF12,POLR1C
R-HSA-379716	Cytosolic tRNA aminoacylation	3.6882713676604e-08	-17.1155228597122	24	15	0.0134288272157565	1117	8202	833,2193,5917,2058,6301,2617,4677,3035,4141,7407,8565,16,5464,6897,7453	CARS,FARSA,RARS,EPRS,SARS,GARS,NARS,HARS,MARS,VARS,YARS,AARS,PPA1,TARS,WARS
R-HSA-4839726	Chromatin organization	5.01297054849812e-07	-14.5060669877195	261	65	0.0581915846016115	1117	8202	55904,196528,6597,23028,6598,22992,284058,8242,4297,10498,8819,51780,84148,8085,121536,23067,1019,79813,55869,55578,8340,80854,58508,84444,8295,6599,23030,55250,1107,3014,55689,9612,57634,102157402,55729,23210,8518,317772,57492,10474,79723,23587,6944,653604,10419,57459,23135,10765,5927,63976,55140,84159,29072,6604,8363,8289,64324,6314,10919,6883,9611,6907,64754,23081,7994	KMT2E,ARID2,SMARCA4,KDM1A,SMARCB1,KDM2A,KANSL1,KDM5C,KMT2A,CARM1,SAP30,KDM3B,KAT8,KMT2D,AEBP2,SETD1B,CDK4,EHMT1,HDAC8,SUPT20H,HIST1H2BL,SETD7,KMT2C,DOT1L,TRRAP,SMARCC1,KDM4B,ELP2,CHD3,H2AFX,YEATS2,NCOR2,EP400,AK6,ATF7IP,JMJD6,IKBKAP,HIST2H2AB,ARID1B,TADA3,SUV39H2,ELP5,VPS72,HIST2H3D,PRMT5,GATAD2B,KDM6B,KDM5B,KDM5A,PRDM16,ELP3,ARID5B,SETD2,SMARCD3,HIST1H4J,ARID1A,NSD1,ATXN7,EHMT2,TAF12,NCOR1,TBL1X,SMYD3,KDM4C,KAT6A
R-HSA-3247509	Chromatin modifying enzymes	5.01297054849812e-07	-14.5060669877195	261	65	0.0581915846016115	1117	8202	55904,196528,6597,23028,6598,22992,284058,8242,4297,10498,8819,51780,84148,8085,121536,23067,1019,79813,55869,55578,8340,80854,58508,84444,8295,6599,23030,55250,1107,3014,55689,9612,57634,102157402,55729,23210,8518,317772,57492,10474,79723,23587,6944,653604,10419,57459,23135,10765,5927,63976,55140,84159,29072,6604,8363,8289,64324,6314,10919,6883,9611,6907,64754,23081,7994	KMT2E,ARID2,SMARCA4,KDM1A,SMARCB1,KDM2A,KANSL1,KDM5C,KMT2A,CARM1,SAP30,KDM3B,KAT8,KMT2D,AEBP2,SETD1B,CDK4,EHMT1,HDAC8,SUPT20H,HIST1H2BL,SETD7,KMT2C,DOT1L,TRRAP,SMARCC1,KDM4B,ELP2,CHD3,H2AFX,YEATS2,NCOR2,EP400,AK6,ATF7IP,JMJD6,IKBKAP,HIST2H2AB,ARID1B,TADA3,SUV39H2,ELP5,VPS72,HIST2H3D,PRMT5,GATAD2B,KDM6B,KDM5B,KDM5A,PRDM16,ELP3,ARID5B,SETD2,SMARCD3,HIST1H4J,ARID1A,NSD1,ATXN7,EHMT2,TAF12,NCOR1,TBL1X,SMYD3,KDM4C,KAT6A
R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	7.36689416384335e-07	-14.1210994496099	54	22	0.0196956132497762	1117	8202	10802,80205,51141,4598,9871,79071,6604,4047,3422,3638,6721,9632,2224,6713,6907,5901,57678,1717,10498,51360,3156,2222	SEC24A,CHD9,INSIG2,MVK,SEC24D,ELOVL6,SMARCD3,LSS,IDI1,INSIG1,SREBF2,SEC24C,FDPS,SQLE,TBL1X,RAN,GPAM,DHCR7,CARM1,MBTPS2,HMGCR,FDFT1
R-HSA-162587	HIV Life Cycle	2.296298553289e-06	-12.9842120560401	140	40	0.035810205908684	1117	8202	27243,6872,728340,51534,102157402,348995,23279,9883,8178,55746,83860,8815,2965,5901,81929,2967,137492,8731,6924,3981,5905,6829,7469,8021,7316,5430,51616,6873,5903,3836,6827,2957,904,1025,79720,6874,22916,6883,7518,92421	CHMP2A,TAF1,GTF2H2C,VTA1,AK6,NUP43,NUP160,POM121,ELL,NUP133,TAF3,BANF1,GTF2H1,RAN,SEH1L,GTF2H3,VPS37A,RNMT,TCEB3,LIG4,RANGAP1,SUPT5H,NELFA,NUP214,UBC,POLR2A,TAF9B,TAF2,RANBP2,KPNA1,SUPT4H1,GTF2A1,CCNT1,CDK9,VPS37B,TAF4,NCBP2,TAF12,XRCC4,CHMP4C
R-HSA-162599	Late Phase of HIV Life Cycle	8.88556614178439e-06	-11.6310823795599	127	36	0.0322291853178156	1117	8202	27243,6872,728340,51534,102157402,348995,23279,9883,8178,55746,83860,2965,5901,81929,2967,137492,8731,6924,5905,6829,7469,8021,7316,5430,51616,6873,5903,6827,2957,904,1025,79720,6874,22916,6883,92421	CHMP2A,TAF1,GTF2H2C,VTA1,AK6,NUP43,NUP160,POM121,ELL,NUP133,TAF3,GTF2H1,RAN,SEH1L,GTF2H3,VPS37A,RNMT,TCEB3,RANGAP1,SUPT5H,NELFA,NUP214,UBC,POLR2A,TAF9B,TAF2,RANBP2,SUPT4H1,GTF2A1,CCNT1,CDK9,VPS37B,TAF4,NCBP2,TAF12,CHMP4C
R-HSA-73894	DNA Repair	1.94596901204433e-05	-10.847165405257	306	68	0.0608773500447628	1117	8202	7874,5423,51008,8451,728340,2177,25898,9577,84464,51138,7516,54778,84126,4968,23514,27339,5984,5983,51548,10038,2140,6612,672,8340,9156,675,5932,23030,56852,7158,10987,3014,5890,146956,4798,10980,79184,7518,4595,8924,7508,22909,4292,80010,10459,25,8178,8533,2965,8914,64708,2967,328,51426,7156,9100,3981,8363,5430,9636,7316,6117,10973,5427,221120,79728,4437,472	USP7,POLB,ASCC1,CUL4A,GTF2H2C,FANCD2,RCHY1,BRE,SLX4,COPS4,XRCC2,RNF111,ATRIP,OGG1,SPIDR,PRPF19,RFC4,RFC3,SIRT6,PARP2,EYA3,SUMO3,BRCA1,HIST1H2BL,EXO1,BRCA2,RBBP8,KDM4B,RAD18,TP53BP1,COPS5,H2AFX,RAD51B,EME1,NFRKB,COPS6,BRCC3,XRCC4,MUTYH,HERC2,XPC,FAN1,MLH1,RMI1,MAD2L2,ABL1,ELL,COPS3,GTF2H1,TIMELESS,COPS7B,GTF2H3,APEX1,POLK,TOP3A,USP10,LIG4,HIST1H4J,POLR2A,ISG15,UBC,RPA1,ASCC3,POLE2,ALKBH3,PALB2,MSH3,ATM
R-HSA-535734	Fatty acid, triacylglycerol, and ketone body metabolism	4.98146353497536e-05	-9.9072017345835	212	50	0.044762757385855	1117	8202	9612,4862,5565,27242,133522,84803,23389,54797,253558,23175,788,1666,4899,6721,9663,26027,9862,4199,79888,51144,10498,6576,2222,3156,51703,84693,35,3992,80205,5468,7003,79071,5095,56895,9442,6604,10025,1374,51129,166785,123,57761,51,406,51586,56898,6907,9611,57678,9477	NCOR2,NPAS2,PRKAB2,TNFRSF21,PPARGC1B,GPAT3,MED13L,MED18,LCLAT1,LPIN1,SLC25A20,DECR1,NRF1,SREBF2,LPIN2,ACOT11,MED24,ME1,LPCAT1,HSD17B12,CARM1,SLC25A1,FDFT1,HMGCR,ACSL5,MCEE,ACADS,FADS1,CHD9,PPARG,TEAD1,ELOVL6,PCCA,AGPAT4,MED27,SMARCD3,MED16,CPT1A,ANGPTL4,MMAA,PLIN2,TRIB3,ACOX1,ARNTL,MED15,BDH2,TBL1X,NCOR1,GPAM,MED20
