TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
HUMAN_PWY-0	putrescine degradation III	0.00628792195484467	-5.0691246356936	9	4	0.0470588235294118	85	907	221,217,224,6303	ALDH3B1,ALDH2,ALDH3A2,SAT1
META_PWY-4041	gamma-glutamyl cycle	0.0086888585468537	-4.74571370082327	2	2	0.0235294117647059	85	907	2730,2729	GCLM,GCLC
META_PWY-5340	sulfate activation for sulfonation	0.0086888585468537	-4.74571370082327	2	2	0.0235294117647059	85	907	9060,9061	PAPSS2,PAPSS1
HUMAN_PWY-5340	sulfate activation for sulfonation	0.0086888585468537	-4.74571370082327	2	2	0.0235294117647059	85	907	9060,9061	PAPSS2,PAPSS1
META_LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)	0.0086888585468537	-4.74571370082327	2	2	0.0235294117647059	85	907	501,10157	ALDH7A1,AASS
HUMAN_LYSINE-DEG1-PWY	lysine degradation I (saccharopine pathway)	0.0086888585468537	-4.74571370082327	2	2	0.0235294117647059	85	907	501,10157	ALDH7A1,AASS
META_PWY-5327	superpathway of L-lysine degradation	0.0129124976009632	-4.34955963032821	6	3	0.0352941176470588	85	907	501,1428,10157	ALDH7A1,CRYM,AASS
META_PWY-0	putrescine degradation III	0.0244728181612125	-3.71019224014856	3	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
META_PWY66-425	L-lysine degradation II (L-pipecolate pathway)	0.0244728181612125	-3.71019224014856	3	2	0.0235294117647059	85	907	501,1428	ALDH7A1,CRYM
HUMAN_PWY-6571	dermatan sulfate biosynthesis	0.0439619342487483	-3.12443115021569	15	4	0.0470588235294118	85	907	337876,29940,64132,79586	CHSY3,DSE,XYLT2,CHPF
META_PWY-6571	dermatan sulfate biosynthesis	0.0439619342487483	-3.12443115021569	15	4	0.0470588235294118	85	907	337876,29940,64132,79586	CHSY3,DSE,XYLT2,CHPF
META_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0440599153268403	-3.12220485937919	9	3	0.0352941176470588	85	907	5330,90809,5336	PLCB2,TMEM55B,PLCG2
HUMAN_2PHENDEG-PWY	phenylethylamine degradation I	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
META_PWY66-21	ethanol degradation II	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
META_PWY66-162	ethanol degradation IV	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
META_PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
META_PWY-7181	pyrimidine deoxyribonucleosides degradation	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	1890,978	TYMP,CDA
META_PWY66-161	oxidative ethanol degradation III	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
HUMAN_PWY66-425	lysine degradation II (pipecolate pathway)	0.0459749711099522	-3.07965813687798	4	2	0.0235294117647059	85	907	501,1428	ALDH7A1,CRYM
META_PWY-6564	heparan sulfate biosynthesis	0.055855350256847	-2.88498996115548	23	5	0.0588235294117647	85	907	9394,9953,9348,64132,26035	HS6ST1,HS3ST3B1,NDST3,XYLT2,GLCE
HUMAN_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0663598910921419	-2.71266245482848	17	4	0.0470588235294118	85	907	23007,5330,90809,5336	PLCH1,PLCB2,TMEM55B,PLCG2
META_PWY-6558	heparan sulfate biosynthesis (late stages)	0.0663598910921419	-2.71266245482848	17	4	0.0470588235294118	85	907	9394,9953,9348,26035	HS6ST1,HS3ST3B1,NDST3,GLCE
META_PWY-7199	pyrimidine deoxyribonucleosides salvage	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	1633,978	DCK,CDA
HUMAN_PWY-7181	pyrimidine deoxyribonucleosides degradation	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	1890,978	TYMP,CDA
META_CITRULBIO-PWY	L-citrulline biosynthesis	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	5625,4942	PRODH,OAT
META_PWY-6566	chondroitin biosynthesis	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	337876,79586	CHSY3,CHPF
HUMAN_PWY-6566	chondroitin and dermatan biosynthesis	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	337876,79586	CHSY3,CHPF
META_PWY-6313	serotonin degradation	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
HUMAN_PWY66-21	ethanol degradation II	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
HUMAN_PWY66-162	ethanol degradation IV	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	217,224	ALDH2,ALDH3A2
HUMAN_UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	2673,6675	GFPT1,UAP1
HUMAN_PWY-7199	pyrimidine deoxyribonucleosides salvage	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	1633,978	DCK,CDA
HUMAN_PWY-5030	histidine degradation	0.0720093238862908	-2.63095966992957	5	2	0.0235294117647059	85	907	144193,3034	AMDHD1,HAL
META_PWY-6352	3-phosphoinositide biosynthesis	0.0760365146403686	-2.57654159828341	25	5	0.0588235294117647	85	907	5287,5293,200576,5295,5290	PIK3C2B,PIK3CD,PIKFYVE,PIK3R1,PIK3CA
