TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04142	Lysosome	1.59037088455108e-06	-13.3515433082092	123	27	0.0476190476190476	567	6908	3920,3916,2548,6272,2990,26088,3074,9516,427,1522,4891,10577,1514,2517,2799,533,950,10053,22901,1075,1515,20,5476,2717,411,2760,27074	LAMP2,LAMP1,GAA,SORT1,GUSB,GGA1,HEXB,LITAF,ASAH1,CTSZ,SLC11A2,NPC2,CTSL,FUCA1,GNS,ATP6V0B,SCARB2,AP1M2,ARSG,CTSC,CTSV,ABCA2,CTSA,GLA,ARSB,GM2A,LAMP3
ko04142	Lysosome	1.59037088455108e-06	-13.3515433082092	123	27	0.0476190476190476	567	6908	3920,3916,2548,6272,2990,26088,3074,9516,427,1522,4891,10577,1514,2517,2799,533,950,10053,22901,1075,1515,20,5476,2717,411,2760,27074	LAMP2,LAMP1,GAA,SORT1,GUSB,GGA1,HEXB,LITAF,ASAH1,CTSZ,SLC11A2,NPC2,CTSL,FUCA1,GNS,ATP6V0B,SCARB2,AP1M2,ARSG,CTSC,CTSV,ABCA2,CTSA,GLA,ARSB,GM2A,LAMP3
hsa05205	Proteoglycans in cancer	9.87874786102892e-05	-9.22253969595565	203	33	0.0582010582010582	567	6908	3339,8826,6385,7157,2064,22808,3709,6382,5566,8323,595,3480,5336,5290,7291,5600,5293,2017,2065,89780,7074,207,8322,5329,5295,2002,3710,8324,1514,3685,7855,2549,6300	HSPG2,IQGAP1,SDC4,TP53,ERBB2,MRAS,ITPR2,SDC1,PRKACA,FZD6,CCND1,IGF1R,PLCG2,PIK3CA,TWIST1,MAPK11,PIK3CD,CTTN,ERBB3,WNT3A,TIAM1,AKT1,FZD4,PLAUR,PIK3R1,ELK1,ITPR3,FZD7,CTSL,ITGAV,FZD5,GAB1,MAPK12
ko05205	Proteoglycans in cancer	9.87874786102892e-05	-9.22253969595565	203	33	0.0582010582010582	567	6908	3339,8826,6385,7157,2064,22808,3709,6382,5566,8323,595,3480,5336,5290,7291,5600,5293,2017,2065,89780,7074,207,8322,5329,5295,2002,3710,8324,1514,3685,7855,2549,6300	HSPG2,IQGAP1,SDC4,TP53,ERBB2,MRAS,ITPR2,SDC1,PRKACA,FZD6,CCND1,IGF1R,PLCG2,PIK3CA,TWIST1,MAPK11,PIK3CD,CTTN,ERBB3,WNT3A,TIAM1,AKT1,FZD4,PLAUR,PIK3R1,ELK1,ITPR3,FZD7,CTSL,ITGAV,FZD5,GAB1,MAPK12
hsa04070	Phosphatidylinositol signaling system	0.000106932393139775	-9.14331376301245	98	20	0.0352733686067019	567	6908	4534,90809,5295,801,1609,808,3709,3710,8526,1040,160851,54928,5336,5290,8821,5287,5293,200576,3706,5330	MTM1,TMEM55B,PIK3R1,CALM1,DGKQ,CALM3,ITPR2,ITPR3,DGKE,CDS1,DGKH,IMPAD1,PLCG2,PIK3CA,INPP4B,PIK3C2B,PIK3CD,PIKFYVE,ITPKA,PLCB2
ko04070	Phosphatidylinositol signaling system	0.000106932393139775	-9.14331376301245	98	20	0.0352733686067019	567	6908	4534,90809,5295,801,1609,808,3709,3710,8526,1040,160851,54928,5336,5290,8821,5287,5293,200576,3706,5330	MTM1,TMEM55B,PIK3R1,CALM1,DGKQ,CALM3,ITPR2,ITPR3,DGKE,CDS1,DGKH,IMPAD1,PLCG2,PIK3CA,INPP4B,PIK3C2B,PIK3CD,PIKFYVE,ITPKA,PLCB2
hsa05166	HTLV-I infection	0.000254646853252582	-8.27563286185675	258	38	0.0670194003527337	567	6908	3601,3133,3134,9232,7157,7046,22808,598,2113,5566,10297,3105,8323,595,1031,5154,7538,5902,5290,5293,3107,83660,89780,4603,207,8322,5295,4605,2002,958,292,2353,8324,3106,2114,4792,7855,9133	IL15RA,HLA-E,HLA-F,PTTG1,TP53,TGFBR1,MRAS,BCL2L1,ETS1,PRKACA,APC2,HLA-A,FZD6,CCND1,CDKN2C,PDGFA,ZFP36,RANBP1,PIK3CA,PIK3CD,HLA-C,TLN2,WNT3A,MYBL1,AKT1,FZD4,PIK3R1,MYBL2,ELK1,CD40,SLC25A5,FOS,FZD7,HLA-B,ETS2,NFKBIA,FZD5,CCNB2
ko05166	HTLV-I infection	0.000254646853252582	-8.27563286185675	258	38	0.0670194003527337	567	6908	3601,3133,3134,9232,7157,7046,22808,598,2113,5566,10297,3105,8323,595,1031,5154,7538,5902,5290,5293,3107,83660,89780,4603,207,8322,5295,4605,2002,958,292,2353,8324,3106,2114,4792,7855,9133	IL15RA,HLA-E,HLA-F,PTTG1,TP53,TGFBR1,MRAS,BCL2L1,ETS1,PRKACA,APC2,HLA-A,FZD6,CCND1,CDKN2C,PDGFA,ZFP36,RANBP1,PIK3CA,PIK3CD,HLA-C,TLN2,WNT3A,MYBL1,AKT1,FZD4,PIK3R1,MYBL2,ELK1,CD40,SLC25A5,FOS,FZD7,HLA-B,ETS2,NFKBIA,FZD5,CCNB2
hsa04068	FoxO signaling pathway	0.000503795550077175	-7.59334002680177	134	23	0.0405643738977072	567	6908	23411,5563,5347,207,5295,7046,23710,595,8660,51422,3480,10769,23678,10733,604,5290,1027,6446,5600,5293,9133,1032,6300	SIRT1,PRKAA2,PLK1,AKT1,PIK3R1,TGFBR1,GABARAPL1,CCND1,IRS2,PRKAG2,IGF1R,PLK2,SGK3,PLK4,BCL6,PIK3CA,CDKN1B,SGK1,MAPK11,PIK3CD,CCNB2,CDKN2D,MAPK12
hsa00603	Glycosphingolipid biosynthesis - globo series	0.000504432538301159	-7.59207644703033	14	6	0.0105820105820106	567	6908	8706,2717,2524,53947,3074,2523	B3GALNT1,GLA,FUT2,A4GALT,HEXB,FUT1
ko00603	Glycosphingolipid biosynthesis - globo series	0.000504432538301159	-7.59207644703033	14	6	0.0105820105820106	567	6908	8706,2717,2524,53947,3074,2523	B3GALNT1,GLA,FUT2,A4GALT,HEXB,FUT1
hsa05200	Pathways in cancer	0.000737651150193719	-7.21203954133435	397	51	0.0899470899470899	567	6908	9134,4824,2034,3655,5979,7157,2064,1287,7046,598,2113,2950,5566,10297,9965,8323,2122,5154,23604,595,3480,10681,999,5336,4286,5290,1612,1027,5293,89780,2149,5330,10125,207,8322,5295,5734,6932,2353,8324,10235,1909,2778,5228,2263,4792,3065,5337,3685,7855,54583	CCNE2,NKX3-1,EPAS1,ITGA6,RET,TP53,ERBB2,COL4A5,TGFBR1,BCL2L1,ETS1,GSTP1,PRKACA,APC2,FGF19,FZD6,MECOM,PDGFA,DAPK2,CCND1,IGF1R,GNB5,CDH1,PLCG2,MITF,PIK3CA,DAPK1,CDKN1B,PIK3CD,WNT3A,F2R,PLCB2,RASGRP1,AKT1,FZD4,PIK3R1,PTGER4,TCF7,FOS,FZD7,RASGRP2,EDNRA,GNAS,PGF,FGFR2,NFKBIA,HDAC1,PLD1,ITGAV,FZD5,EGLN1
hsa05215	Prostate cancer	0.000776467253239357	-7.16075608852578	89	17	0.0299823633156966	567	6908	9134,56034,4824,207,5295,7157,2064,6932,2950,595,5154,3480,2263,4792,5290,1027,5293	CCNE2,PDGFC,NKX3-1,AKT1,PIK3R1,TP53,ERBB2,TCF7,GSTP1,CCND1,PDGFA,IGF1R,FGFR2,NFKBIA,PIK3CA,CDKN1B,PIK3CD
ko05215	Prostate cancer	0.000776467253239357	-7.16075608852578	89	17	0.0299823633156966	567	6908	9134,56034,4824,207,5295,7157,2064,6932,2950,595,5154,3480,2263,4792,5290,1027,5293	CCNE2,PDGFC,NKX3-1,AKT1,PIK3R1,TP53,ERBB2,TCF7,GSTP1,CCND1,PDGFA,IGF1R,FGFR2,NFKBIA,PIK3CA,CDKN1B,PIK3CD
hsa04931	Insulin resistance	0.0015647836568931	-6.46000770295279	111	19	0.0335097001763668	567	6908	5563,2673,32,207,6195,5295,5465,5588,9021,5792,8660,6196,51422,28965,4792,5290,376497,5293,9882	PRKAA2,GFPT1,ACACB,AKT1,RPS6KA1,PIK3R1,PPARA,PRKCQ,SOCS3,PTPRF,IRS2,RPS6KA2,PRKAG2,SLC27A6,NFKBIA,PIK3CA,SLC27A1,PIK3CD,TBC1D4
hsa04014	Ras signaling pathway	0.00163065406829497	-6.41877407575768	227	32	0.0564373897707231	567	6908	5321,5922,808,22808,598,2113,5566,9965,5154,3480,10681,53358,5336,5290,5293,7074,10125,56034,207,5295,801,2902,2002,5921,10235,5228,2114,2263,1435,1946,5337,2549	PLA2G4A,RASA2,CALM3,MRAS,BCL2L1,ETS1,PRKACA,FGF19,PDGFA,IGF1R,GNB5,SHC3,PLCG2,PIK3CA,PIK3CD,TIAM1,RASGRP1,PDGFC,AKT1,PIK3R1,CALM1,GRIN1,ELK1,RASA1,RASGRP2,PGF,ETS2,FGFR2,CSF1,EFNA5,PLD1,GAB1
ko04722	Neurotrophin signaling pathway	0.00166633757875146	-6.39712712746163	120	20	0.0352733686067019	567	6908	6272,207,6195,5295,801,7157,808,397,9261,6196,27018,53358,5336,4792,5290,5600,5293,4217,2549,6300	SORT1,AKT1,RPS6KA1,PIK3R1,CALM1,TP53,CALM3,ARHGDIB,MAPKAPK2,RPS6KA2,NGFRAP1,SHC3,PLCG2,NFKBIA,PIK3CA,MAPK11,PIK3CD,MAP3K5,GAB1,MAPK12
hsa04722	Neurotrophin signaling pathway	0.00166633757875146	-6.39712712746163	120	20	0.0352733686067019	567	6908	6272,207,6195,5295,801,7157,808,397,9261,6196,27018,53358,5336,4792,5290,5600,5293,4217,2549,6300	SORT1,AKT1,RPS6KA1,PIK3R1,CALM1,TP53,CALM3,ARHGDIB,MAPKAPK2,RPS6KA2,NGFRAP1,SHC3,PLCG2,NFKBIA,PIK3CA,MAPK11,PIK3CD,MAP3K5,GAB1,MAPK12
hsa00340	Histidine metabolism	0.00184968240196217	-6.29274132924472	23	7	0.0123456790123457	567	6908	501,221,217,144193,224,3034,220	ALDH7A1,ALDH3B1,ALDH2,AMDHD1,ALDH3A2,HAL,ALDH1A3
ko00340	Histidine metabolism	0.00184968240196217	-6.29274132924472	23	7	0.0123456790123457	567	6908	501,221,217,144193,224,3034,220	ALDH7A1,ALDH3B1,ALDH2,AMDHD1,ALDH3A2,HAL,ALDH1A3
hsa04611	Platelet activation	0.00192882832763296	-6.25084254454353	130	21	0.037037037037037	567	6908	5321,207,5295,3709,3710,5566,10627,10235,2778,5336,5290,5592,5600,5293,83660,2149,5330,6850,103910,10125,6300	PLA2G4A,AKT1,PIK3R1,ITPR2,ITPR3,PRKACA,MYL12A,RASGRP2,GNAS,PLCG2,PIK3CA,PRKG1,MAPK11,PIK3CD,TLN2,F2R,PLCB2,SYK,MYL12B,RASGRP1,MAPK12
ko04520	Adherens junction	0.00212264906176766	-6.15509041290779	73	14	0.0246913580246914	567	6908	4008,81607,5792,10810,5795,10580,3480,999,5819,8826,2064,7046,6932,7525	LMO7,PVRL4,PTPRF,WASF3,PTPRJ,SORBS1,IGF1R,CDH1,PVRL2,IQGAP1,ERBB2,TGFBR1,TCF7,YES1
hsa04520	Adherens junction	0.00212264906176766	-6.15509041290779	73	14	0.0246913580246914	567	6908	4008,81607,5792,10810,5795,10580,3480,999,5819,8826,2064,7046,6932,7525	LMO7,PVRL4,PTPRF,WASF3,PTPRJ,SORBS1,IGF1R,CDH1,PVRL2,IQGAP1,ERBB2,TGFBR1,TCF7,YES1
hsa04152	AMPK signaling pathway	0.00226029385628841	-6.09226044924407	123	20	0.0352733686067019	567	6908	23411,5563,32,207,84254,5295,55437,3953,5523,6009,595,8660,51422,3480,5290,51719,51094,55012,5293,55844	SIRT1,PRKAA2,ACACB,AKT1,CAMKK1,PIK3R1,STRADB,LEPR,PPP2R3A,RHEB,CCND1,IRS2,PRKAG2,IGF1R,PIK3CA,CAB39,ADIPOR1,PPP2R3C,PIK3CD,PPP2R2D
ko04152	AMPK signaling pathway	0.00226029385628841	-6.09226044924407	123	20	0.0352733686067019	567	6908	23411,5563,32,207,84254,5295,55437,3953,5523,6009,595,8660,51422,3480,5290,51719,51094,55012,5293,55844	SIRT1,PRKAA2,ACACB,AKT1,CAMKK1,PIK3R1,STRADB,LEPR,PPP2R3A,RHEB,CCND1,IRS2,PRKAG2,IGF1R,PIK3CA,CAB39,ADIPOR1,PPP2R3C,PIK3CD,PPP2R2D
ko04514	Cell adhesion molecules (CAMs)	0.00262224296798271	-5.94372523279926	142	22	0.0388007054673721	567	6908	3134,3133,3655,6385,26047,29126,958,6382,214,3105,4756,5792,8506,3106,999,3696,5819,1001,1364,3107,3685,100506658	HLA-F,HLA-E,ITGA6,SDC4,CNTNAP2,CD274,CD40,SDC1,ALCAM,HLA-A,NEO1,PTPRF,CNTNAP1,HLA-B,CDH1,ITGB8,PVRL2,CDH3,CLDN4,HLA-C,ITGAV,OCLN
hsa04514	Cell adhesion molecules (CAMs)	0.00262224296798271	-5.94372523279926	142	22	0.0388007054673721	567	6908	3134,3133,3655,6385,26047,29126,958,6382,214,3105,4756,5792,8506,3106,999,3696,5819,1001,1364,3107,3685,100506658	HLA-F,HLA-E,ITGA6,SDC4,CNTNAP2,CD274,CD40,SDC1,ALCAM,HLA-A,NEO1,PTPRF,CNTNAP1,HLA-B,CDH1,ITGB8,PVRL2,CDH3,CLDN4,HLA-C,ITGAV,OCLN
hsa05213	Endometrial cancer	0.00279480798386902	-5.87999187460299	52	11	0.0194003527336861	567	6908	595,207,999,5295,7157,5290,2064,6932,5293,2002,10297	CCND1,AKT1,CDH1,PIK3R1,TP53,PIK3CA,ERBB2,TCF7,PIK3CD,ELK1,APC2
ko05213	Endometrial cancer	0.00279480798386902	-5.87999187460299	52	11	0.0194003527336861	567	6908	595,207,999,5295,7157,5290,2064,6932,5293,2002,10297	CCND1,AKT1,CDH1,PIK3R1,TP53,PIK3CA,ERBB2,TCF7,PIK3CD,ELK1,APC2
hsa04919	Thyroid hormone signaling pathway	0.00322711740888447	-5.7361659832818	118	19	0.0335097001763668	567	6908	7068,207,7067,5295,7157,481,5566,6009,595,8202,476,5336,5290,3065,3685,5293,9882,5330,10499	THRB,AKT1,THRA,PIK3R1,TP53,ATP1B1,PRKACA,RHEB,CCND1,NCOA3,ATP1A1,PLCG2,PIK3CA,HDAC1,ITGAV,PIK3CD,TBC1D4,PLCB2,NCOA2
hsa04015	Rap1 signaling pathway	0.00386332682363585	-5.55622659529504	211	29	0.0511463844797178	567	6908	56034,64411,207,9693,801,5295,2902,808,22808,9564,9965,10235,2778,5228,5154,57568,3480,999,2263,1435,5290,5600,1946,5293,83660,2149,5330,7074,6300	PDGFC,ARAP3,AKT1,RAPGEF2,CALM1,PIK3R1,GRIN1,CALM3,MRAS,BCAR1,FGF19,RASGRP2,GNAS,PGF,PDGFA,SIPA1L2,IGF1R,CDH1,FGFR2,CSF1,PIK3CA,MAPK11,EFNA5,PIK3CD,TLN2,F2R,PLCB2,TIAM1,MAPK12
