TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ONDER_CDH1_TARGETS_2_DN	ONDER_CDH1_TARGETS_2_DN	1.27428846760676e-37	-84.9532604825675	445	120	0.0920245398773006	1304	17758	23086,5321,5655,79977,3601,55366,2034,6768,3732,6195,3606,6382,780,54830,56649,64787,1040,8870,4072,1543,6337,10053,999,9048,57834,220,11221,1364,1001,4070,64129,54566,4940,10103,29887,2760,4155,1604,1952,64116,397,53905,54502,64208,10769,8821,7718,688,3084,23586,5652,306,64761,50650,3655,5349,6385,6662,9429,10123,1534,26047,6507,55008,6273,55107,79056,9734,2122,760,79589,1075,27076,79365,3783,9783,23767,202,4293,55092,928,6653,27075,2065,375449,259173,6850,9699,3321,388650,9603,3280,116984,25818,2729,7464,55638,2041,55227,2353,26872,8851,23150,2591,5792,55040,5265,2263,55785,5650,60559,7855,1992,64135,51361,10371,9882,100506658,7498,50649	EXPH5,PLA2G4A,KLK10,GRHL2,IL15RA,LGR4,EPAS1,ST14,CD82,RPS6KA1,IL18,SDC1,DDR1,NUP62CL,TMPRSS4,EPS8L2,CDS1,IER3,EPCAM,CYP1A1,SCNN1A,AP1M2,CDH1,ARTN,CYP4F11,ALDH1A3,DUSP10,CLDN4,CDH3,TACSTD2,TINAGL1,EPB41L4B,OAS3,TSPAN1,SNX10,GM2A,MBP,CD55,CELSR2,SLC39A8,ARHGDIB,DUOX1,RBM47,POPDC3,PLK2,INPP4B,ZNF165,KLF5,NRG1,DDX58,PRSS8,ANXA3,PARP12,ARHGEF3,ITGA6,FXYD3,SDC4,SOX9,ABCG2,ARL4C,CYB561,CNTNAP2,SLC1A3,HERC6,S100A2,ANO1,PRRG4,HDAC9,MECOM,CA2,RNF128,CTSC,LYPD3,BHLHE41,KCNN4,RIMS3,FLRT3,AIM1,MAP3K9,TMEM51,CD9,SORL1,TSPAN13,ERBB3,MAST4,ALS2CL,SYK,RIMS2,IGSF3,FAM69A,NFE2L3,HES1,ARAP2,KLK5,GCLC,CORO2A,SYBU,EPHA1,LRRC1,FOS,STEAP1,CDK5R1,FRMD4B,GALNT3,PTPRF,EPN3,SERPINA1,FGFR2,FGD6,KLK7,SPCS3,FZD5,SERPINB1,IFIH1,HOOK1,SEMA3A,TBC1D4,OCLN,XDH,ARHGEF4
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	5.68834650313548e-31	-69.6417182738972	530	122	0.093558282208589	1304	17758	4059,2034,1428,831,10396,440026,79695,9914,2064,3597,51313,6574,6382,780,1040,8870,10950,203286,389337,23288,7538,2001,220,51274,604,1001,4070,54566,5144,83660,5874,10103,221002,51435,57147,1362,7077,1604,8322,6451,6303,7402,4891,80005,5738,3417,10184,214,1605,4784,9848,5795,11278,55062,91050,10479,92689,8821,619279,51719,54621,64097,113263,2549,19,3229,306,64411,346389,9891,5349,5090,1534,4925,3212,84707,25849,8879,64207,64759,84910,2624,27076,3783,11320,114990,55332,93664,22998,57552,6558,55223,490,388650,3321,81607,2673,5625,56034,116984,54020,54885,6867,9693,9516,221178,1730,55227,58488,139221,2235,2517,55040,2591,23075,9066,390,23677,55785,5337,5569,150696	BCAM,EPAS1,CRYM,CAST,ATP8A1,TMEM41B,GALNT12,ATP2C2,ERBB2,IL13RA1,FAM198B,SLC20A1,SDC1,DDR1,CDS1,IER3,BTG3,ANKS6,ARHGEF37,IQCE,ZFP36,ELF5,ALDH1A3,KLF3,BCL6,CDH3,TACSTD2,EPB41L4B,PDE4D,TLN2,RAB27B,TSPAN1,RASGEF1A,SCARA3,SCYL3,CPD,TIMP2,CD55,FZD4,SH3BGRL,SAT1,UTRN,SLC11A2,DOCK5,PTGFRN,IDH1,LHFPL2,ALCAM,DAG1,NFIX,MFAP3L,PTPRJ,KLF12,WIPI1,CCDC149,SLC9A6,FAM114A1,INPP4B,ZNF704,CAB39,VSIG10,EPB41L4A,GLCCI1,GAB1,ABCA1,HOXC13,ANXA3,ARAP3,MACC1,NUAK1,FXYD3,PBX3,CYB561,NUCB2,HOXB2,BEX2,PARM1,SGPL1,IRF2BPL,TNS3,TMEM87B,GATA2,LYPD3,KCNN4,MGAT4A,VASN,DRAM1,CADPS2,LIMCH1,NCEH1,SLC12A2,TRIM62,ATP2B1,FAM69A,IGSF3,PVRL4,GFPT1,PRODH,PDGFC,ARAP2,SLC37A1,TBC1D8B,TACC1,RAPGEF2,LITAF,SPATA13,DIAPH2,LRRC1,PCTP,MUM1L1,FECH,FUCA1,EPN3,GALNT3,SWAP70,SYT7,RND3,SH3BP4,FGD6,PLD1,PKIA,PROM2
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	7.00705350878042e-29	-64.8280504109931	665	136	0.104294478527607	1304	17758	286676,11046,55366,2034,139231,1428,5611,4942,10950,203286,23639,1490,220,23446,2001,261729,3790,59277,1545,84333,1604,130399,51809,5738,3417,9262,55062,51573,540,92689,642273,3268,1979,60592,427,55504,115201,2799,118788,622,8460,22998,57552,6558,51375,2673,93010,84343,54020,7464,8654,58488,26872,440503,1528,23150,2778,55040,28231,130271,6675,57161,55785,79789,5306,4929,27347,5337,114569,1992,123606,23348,137392,6768,831,6195,79695,9914,80323,3597,2495,84883,64787,1040,4856,533,6337,54566,84918,10103,10130,7181,57147,1362,4645,27248,23157,6303,4891,481,1846,5795,64208,6398,1946,222171,274,4824,9518,3212,9725,120,10681,6238,51465,55332,5205,257407,10370,53373,6277,5236,79836,5465,6641,11275,2517,2591,79838,10857,23220,78990,83699,54465,7855,196	ILDR1,SLC35D2,LGR4,EPAS1,FAM199X,CRYM,DNAJC3,OAT,BTG3,ANKS6,LRRC6,CTGF,ALDH1A3,SLC44A1,ELF5,STEAP2,KCNS3,NTN4,CYP1B1,PCGF5,CD55,ACVR1C,GALNT7,PTGFRN,IDH1,STK17B,WIPI1,GDE1,ATP7B,FAM114A1,FAM110C,AGFG2,EIF4EBP2,SCOC,ASAH1,TNFRSF19,ATG4A,GNS,PIK3AP1,BDH1,TPST1,LIMCH1,NCEH1,SLC12A2,SNX7,GFPT1,B3GNT7,HPS3,SLC37A1,CORO2A,PDE5A,PCTP,STEAP1,PLIN5,CYB5A,FRMD4B,GNAS,EPN3,SLCO4A1,PLEKHH2,UAP1,PELI2,FGD6,CLMN,PITPNA,NR4A2,STK39,PLD1,MAL2,SERPINB1,NIPA1,DOCK9,FAM92A1,ST14,CAST,RPS6KA1,GALNT12,ATP2C2,CCDC68,IL13RA1,FTH1,AIFM2,EPS8L2,CDS1,NOV,ATP6V0B,SCNN1A,EPB41L4B,LRP11,TSPAN1,PDIA6,NR2C1,SCYL3,CPD,MYO5B,ERLEC1,SEPT6,SAT1,SLC11A2,ATP1B1,DUSP4,PTPRJ,POPDC3,SECTM1,EFNA5,PRR15,BIN1,NKX3-1,GDF15,HOXB2,TMEM63A,ADD3,GNB5,RRBP1,UBE2J1,DRAM1,ATP8B1,C2orf72,CITED2,TPCN1,S100A6,PGM1,LONRF3,PPARA,SNTB1,KLHL2,FUCA1,GALNT3,TMC5,PGRMC1,DTX4,OTUB2,SH3BGRL2,ETAA1,FZD5,AHR
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	3.43343895471833e-27	-60.9362351412347	458	106	0.0812883435582822	1304	17758	5321,23321,1728,115265,1831,9914,29995,90355,66004,598,92737,9920,10961,2013,79961,27237,5358,4072,5154,376267,6337,999,8543,220,59084,1001,1364,4070,89944,2182,7873,64129,140738,10103,1741,25976,2118,389058,57228,1545,203328,4645,3920,4155,64116,56256,192668,7022,79754,26084,476,27345,51704,642273,7088,80320,9953,155368,253512,222171,306,1299,4824,3489,5349,6662,9324,1287,55107,6549,3105,1999,9734,6640,55103,79589,23359,3993,3783,130574,622,202,55092,6446,3485,27075,687,10370,6558,79816,4188,56034,5359,2729,7464,83543,83716,23052,3106,2263,84879,4792,10481,57146,150696,170690	PLA2G4A,TRIM2,NQO1,DDIT4L,TSC22D3,ATP2C2,LMCD1,C5orf30,LYNX1,BCL2L1,DNER,KBTBD11,ERP29,EMP2,DENND2D,ARHGEF16,PLS3,EPCAM,PDGFA,RAB15,SCNN1A,CDH1,LMO4,ALDH1A3,ENPP5,CDH3,CLDN4,TACSTD2,GLB1L2,ACSL4,MANF,TINAGL1,TMEM37,TSPAN1,DLG3,TIPARP,ETV4,SP5,SMAGP,CYP1B1,SUSD3,MYO5B,LAMP2,MBP,SLC39A8,SERTAD4,CYS1,TFAP2C,ASB13,ARHGEF26,ATP1A1,KCNMB4,GPRC5B,FAM110C,TLE1,SP6,HS3ST3B1,WBSCR27,SLC25A30,PRR15,ANXA3,COL9A3,NKX3-1,IGFBP6,FXYD3,SOX9,HMGN3,COL4A5,ANO1,SLC9A2,HLA-A,ELF3,HDAC9,SNTA1,RALGPS2,RNF128,FAM189A1,LLGL2,KCNN4,LYPD6,BDH1,AIM1,TMEM51,SGK1,IGFBP2,TSPAN13,KLF9,CITED2,SLC12A2,TLE6,MDFI,PDGFC,PLSCR1,GCLC,CORO2A,AIF1L,CRISPLD2,ENDOD1,HLA-B,FGFR2,MFSD2A,NFKBIA,HOXB13,TMEM159,PROM2,ADAMTS16
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	1.22797743684208e-26	-59.6618439621961	487	109	0.0835889570552147	1304	17758	4008,2034,10157,831,10396,1831,2043,29995,2064,3597,2495,54843,1040,143686,1543,1490,220,51274,11221,1001,1364,4070,59277,3434,57181,5874,1604,56256,5734,4017,481,1846,10184,214,10627,57205,8324,4133,10769,619279,7088,51719,688,5287,64332,2549,19,3229,5652,306,54751,90427,64761,65018,346389,9891,122786,10123,9429,9518,29940,1382,2122,1999,151636,64759,3696,800,11320,80144,655,51465,7020,55332,22998,10370,55791,490,83666,57669,81607,3280,116984,5097,84343,57167,6867,7464,9693,196527,144165,1730,8654,55227,27031,58488,83716,79633,390,4147,23677,283209,55625,83699,3685,4217,1992,196,9619	LMO7,EPAS1,AASS,CAST,ATP8A1,TSC22D3,EPHA4,LMCD1,ERBB2,IL13RA1,FTH1,SYTL2,CDS1,SESN3,CYP1A1,CTGF,ALDH1A3,KLF3,DUSP10,CDH3,CLDN4,TACSTD2,NTN4,IFIT1,SLC39A10,RAB27B,CD55,SERTAD4,PTGER4,LOXL2,ATP1B1,DUSP4,LHFPL2,ALCAM,MYL12A,ATP10D,FZD7,MAP2,PLK2,ZNF704,TLE1,CAB39,KLF5,PIK3C2B,NFKBIZ,GAB1,ABCA1,HOXC13,PRSS8,ANXA3,FBLIM1,BMF,PARP12,PINK1,MACC1,NUAK1,FRMD6,ARL4C,ABCG2,GDF15,DSE,CRABP2,MECOM,ELF3,DTX3L,TNS3,ITGB8,CALD1,MGAT4A,FRAS1,BMP7,UBE2J1,TFAP2A,DRAM1,LIMCH1,CITED2,LRIF1,ATP2B1,PARP9,EPB41L5,PVRL4,HES1,ARAP2,PCDH1,HPS3,SALL4,TACC1,CORO2A,RAPGEF2,ANO6,PRICKLE1,DIAPH2,PDE5A,LRRC1,NPHP3,PCTP,CRISPLD2,FAT4,RND3,MATN2,SH3BP4,PGM2L1,ZDHHC7,SH3BGRL2,ITGAV,MAP3K5,SERPINB1,AHR,ABCG1
GEORGES_TARGETS_OF_MIR192_AND_MIR215	GEORGES_TARGETS_OF_MIR192_AND_MIR215	1.72406317783636e-24	-54.7173584142103	837	148	0.113496932515337	1304	17758	7368,139231,81839,5611,5979,85462,64398,359845,580,767,55128,54918,55215,54749,5358,55552,29841,255743,3572,10745,23178,3790,7220,7873,84333,6595,1058,56256,11274,80119,54443,9262,157,5557,84187,27345,26018,642273,64127,7718,64332,113263,5563,55355,84959,51715,9493,29899,55589,79056,115201,8706,3480,139886,9120,93664,22998,5292,57552,10970,337876,4241,10112,11098,196527,221178,6932,27031,4781,55632,2778,8202,10507,5634,23677,54820,123606,9824,9787,79695,8826,90355,83540,115207,100113407,6542,6491,9920,55329,151126,6760,9928,65055,10733,254887,219790,3998,29887,1032,1491,399474,22875,23411,8322,64116,214,8324,51199,27295,619279,5017,9953,253512,55844,55762,4824,55635,2491,11113,2059,10123,55922,4925,51804,55540,11228,130574,9917,23467,55179,6837,3161,5865,259266,55796,55086,144165,2353,23052,36,22841,9949,78990,3685,1062,60559,129607,10009	UGT8,FAM199X,VANGL1,DNAJC3,RET,FHDC1,MPP5,FAM101B,BARD1,CA8,TRIM68,CMTM6,FANCI,EPDR1,PLS3,ZNF823,GRHL1,NPNT,IL6ST,PHTF1,PASK,KCNS3,TRPC1,MANF,PCGF5,SMARCA2,CENPA,SERTAD4,USP18,PIF1,ANLN,STK17B,ADRBK2,PRIM1,TMEM164,KCNMB4,LRIG1,FAM110C,NOD2,ZNF165,NFKBIZ,GLCCI1,PRKAA2,HJURP,UBASH3B,RAB23,KIF23,GPSM2,BMP2K,PRRG4,ATG4A,B3GALNT1,IGF1R,SPIN4,SLC16A6,CADPS2,LIMCH1,PIM1,NCEH1,CKAP4,CHSY3,MFI2,KIF20A,PRSS23,ANO6,SPATA13,TCF7,NPHP3,NFIB,G2E3,GNAS,NCOA3,SEMA4D,PRPS2,SH3BP4,NDE1,NIPA1,ARHGAP11A,DLGAP5,GALNT12,IQGAP1,C5orf30,NUF2,KCTD12,TMEM170B,SLC7A2,STIL,KBTBD11,MNS1,ZNF385B,SS18,KIF14,REEP1,PLK4,ZDHHC23,RTKN2,LMAN1,SNX10,CDKN2D,CTH,TMEM200B,ENPP4,SIRT1,FZD4,SLC39A8,ALCAM,FZD7,NIN,PDLIM3,ZNF704,OVOL1,HS3ST3B1,SLC25A30,PPP2R2D,ZNF701,NKX3-1,DEPDC1,CENPI,CIT,EPS8,ARL4C,NKRF,NUCB2,SIX4,IL17RB,RASSF8,LYPD6,FAM20B,NPTXR,FAIM,MED22,HMMR,RAB3B,ASPM,MBNL3,CXorf57,PRICKLE1,FOS,ENDOD1,ACADSB,RAB11FIP2,AMMECR1,OTUB2,ITGAV,CENPE,SPCS3,CMPK2,ZBTB33
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	3.56177981425215e-24	-53.9917818641018	436	98	0.0751533742331288	1304	17758	4059,158219,2034,440026,10396,9914,80323,2064,3597,51313,6574,6382,83999,10838,1040,55552,23167,389337,7538,51274,220,65055,316,254887,1364,1001,4070,54566,5874,10103,84918,6284,7077,1604,8322,6451,6303,7402,4891,51809,5738,10184,214,1605,9848,5167,5795,55062,10769,92689,642273,619279,51719,54621,64097,113263,2549,55916,306,10123,5090,427,9518,4925,25849,9668,84910,2624,23303,655,55332,5205,27075,22998,687,57552,6558,55223,490,3321,130814,6867,7464,9516,2517,55040,2591,23075,36,23677,55625,114569,7855,80762,196,8609,150696,10938	BCAM,TTC39B,EPAS1,TMEM41B,ATP8A1,ATP2C2,CCDC68,ERBB2,IL13RA1,FAM198B,SLC20A1,SDC1,KREMEN1,ZNF275,CDS1,ZNF823,EFR3A,ARHGEF37,ZFP36,KLF3,ALDH1A3,REEP1,AOX1,ZDHHC23,CLDN4,CDH3,TACSTD2,EPB41L4B,RAB27B,TSPAN1,LRP11,S100A13,TIMP2,CD55,FZD4,SH3BGRL,SAT1,UTRN,SLC11A2,GALNT7,PTGFRN,LHFPL2,ALCAM,DAG1,MFAP3L,ENPP1,PTPRJ,WIPI1,PLK2,FAM114A1,FAM110C,ZNF704,CAB39,VSIG10,EPB41L4A,GLCCI1,GAB1,NXT2,ANXA3,ARL4C,PBX3,ASAH1,GDF15,NUCB2,PARM1,ZNF432,TMEM87B,GATA2,KIF13B,BMP7,DRAM1,ATP8B1,TSPAN13,LIMCH1,KLF9,NCEH1,SLC12A2,TRIM62,ATP2B1,IGSF3,PQLC3,TACC1,CORO2A,LITAF,FUCA1,EPN3,GALNT3,SWAP70,ACADSB,SH3BP4,ZDHHC7,MAL2,FZD5,NDFIP1,AHR,KLF7,PROM2,EHD1
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	4.78133888887667e-24	-53.6973216222996	1033	169	0.129601226993865	1304	17758	2016,59307,2034,10165,5979,6890,85462,9254,6382,29775,23604,221184,10053,1490,255743,7538,390928,3790,347735,11221,4070,59277,140738,51435,389058,57228,11274,4919,80119,54443,51043,10184,9262,983,26084,1303,5228,5167,23589,10555,540,642273,80223,93273,219699,3706,2549,6331,5270,55355,1028,11149,6662,9493,6507,55107,79056,2122,64759,118788,3491,2624,5592,55092,29969,64115,2571,259173,51375,56896,5625,11098,4605,8654,4781,23150,2778,8412,8671,5819,84879,4929,5129,114569,9824,55013,57405,79977,6768,115265,80781,5318,2064,6542,6491,2013,595,4856,999,5336,55959,4645,10076,64116,5734,7402,5588,481,1846,3710,80005,9064,8324,112616,4784,631,64208,57619,90139,54621,1946,9953,57586,6300,169792,4824,64405,23555,6385,147111,9965,51804,8323,6549,9725,55540,144455,58191,3993,655,53947,928,5205,3485,699,8407,2065,2650,9603,3280,5865,259266,55796,5465,9516,83543,79774,6641,83716,2591,23075,79633,5352,2263,9096,7855,11065,100506658,7093	EMX1,SIGIRR,EPAS1,SLC25A13,RET,TAP1,FHDC1,CACNA2D2,SDC1,CARD10,DAPK2,CPNE2,AP1M2,CTGF,NPNT,ZFP36,PAPL,KCNS3,SERINC2,DUSP10,TACSTD2,NTN4,TMEM37,SCARA3,SP5,SMAGP,USP18,ROR1,PIF1,ANLN,ZBTB7B,LHFPL2,STK17B,CDK1,ARHGEF26,COL12A1,PGF,ENPP1,CARHSP1,AGPAT2,ATP7B,FAM110C,RAB11FIP1,LEMD1,UNC5B,ITPKA,GAB1,SCN5A,SERPINE2,HJURP,CDKN1C,BVES,SOX9,KIF23,SLC1A3,ANO1,PRRG4,MECOM,TNS3,PIK3AP1,CYR61,GATA2,PRKG1,TMEM51,MDFIC,C10orf54,GAD1,ALS2CL,SNX7,DPYSL5,PRODH,PRSS23,MYBL2,PDE5A,NFIB,FRMD4B,GNAS,BCAR3,SLC4A4,PVRL2,MFSD2A,NR4A2,CDK18,MAL2,ARHGAP11A,CCDC109B,SPC25,GRHL2,ST14,DDIT4L,COL18A1,PKP2,ERBB2,SLC7A2,STIL,EMP2,CCND1,NOV,CDH1,PLCG2,SULF2,MYO5B,PTPRU,SLC39A8,PTGER4,UTRN,PRKCQ,ATP1B1,DUSP4,ITPR3,DOCK5,MAP3K6,FZD7,CMTM7,NFIX,BFSP1,POPDC3,SHROOM3,TSPAN18,VSIG10,EFNA5,HS3ST3B1,SYT13,MAPK12,GLIS3,NKX3-1,CDH22,TSPAN15,SDC4,NOTUM,FGF19,SIX4,FZD6,SLC9A2,TMEM63A,IL17RB,E2F7,CXCL16,LLGL2,BMP7,A4GALT,CD9,ATP8B1,IGFBP2,BUB1,TAGLN2,ERBB3,GCNT1,NFE2L3,HES1,RAB3B,ASPM,MBNL3,PPARA,LITAF,AIF1L,GRTP1,SNTB1,CRISPLD2,GALNT3,SWAP70,FAT4,PLOD2,FGFR2,TBX18,FZD5,UBE2C,OCLN,TLL2
GOZGIT_ESR1_TARGETS_DN	GOZGIT_ESR1_TARGETS_DN	1.43101796077775e-23	-52.6010710871601	691	129	0.0989263803680982	1304	17758	23321,1831,2043,5979,29995,57568,143686,1543,6196,255743,2001,4286,316,79983,11221,64089,4070,10125,1545,84333,1952,6451,11274,23007,5167,55062,4133,10769,92689,64332,3229,5652,860,9891,3655,6662,140462,54809,55008,8706,3480,9120,23767,80144,202,375449,2571,6558,10970,57669,54020,11098,221178,10577,3437,131870,5819,4053,357,8609,344148,79977,9060,51566,9914,80781,2495,51313,6542,56649,54843,6337,9881,604,7291,169200,3434,10103,5874,4599,7077,64116,6303,7402,481,214,23710,57619,6398,8821,7088,253512,115908,3489,23555,346389,10079,122786,9518,1287,28951,4925,1382,9734,135228,58191,3696,28965,2530,6446,399665,27075,687,4644,5939,6277,167691,55796,205,50861,3953,5265,2263,390,55536,283209,83699,196,5569	TRIM2,TSC22D3,EPHA4,RET,LMCD1,SIPA1L2,SESN3,CYP1A1,RPS6KA2,NPNT,ELF5,MITF,AOX1,POF1B,DUSP10,SNX16,TACSTD2,RASGRP1,CYP1B1,PCGF5,CELSR2,SH3BGRL,USP18,PLCH1,ENPP1,WIPI1,MAP2,PLK2,FAM114A1,NFKBIZ,HOXC13,PRSS8,RUNX2,NUAK1,ITGA6,SOX9,ASB9,SAMD9,HERC6,B3GALNT1,IGF1R,SLC16A6,FLRT3,FRAS1,AIM1,MAST4,GAD1,SLC12A2,CKAP4,EPB41L5,SLC37A1,PRSS23,SPATA13,NPC2,IFIT3,NUDT16,PVRL2,LTBP2,SHROOM2,KLF7,NCKAP5,GRHL2,PAPSS2,ARMCX3,ATP2C2,COL18A1,FTH1,FAM198B,SLC7A2,TMPRSS4,SYTL2,SCNN1A,TRANK1,BCL6,TWIST1,TMEM64,IFIT1,TSPAN1,RAB27B,MX1,TIMP2,SLC39A8,SAT1,UTRN,ATP1B1,ALCAM,GABARAPL1,SHROOM3,SECTM1,INPP4B,TLE1,SLC25A30,CTHRC1,IGFBP6,TSPAN15,MACC1,ATP9A,FRMD6,GDF15,COL4A5,TRIB2,NUCB2,CRABP2,HDAC9,CD109,CXCL16,ITGB8,SLC27A6,FUT8,SGK1,FAM102A,TSPAN13,KLF9,MYO5A,RBMS2,S100A6,LCA5,MBNL3,AK4,STMN3,LEPR,SERPINA1,FGFR2,RND3,CDCA7L,PGM2L1,SH3BGRL2,AHR,PKIA
COLDREN_GEFITINIB_RESISTANCE_DN	COLDREN_GEFITINIB_RESISTANCE_DN	7.04094900295832e-20	-44.0999588972393	217	60	0.0460122699386503	1304	17758	23086,4008,5652,79977,9185,346389,6768,5349,9914,64063,780,56649,27286,79056,64787,1999,1040,340481,55057,10053,999,29841,255743,220,59084,202,147700,1364,1001,4070,2065,10103,57228,81607,22875,25801,116984,54885,8654,5653,397,2041,23150,2591,23052,55040,2778,27345,27134,54502,91050,79838,5017,51719,83699,27347,54762,114569,2549,100506658	EXPH5,LMO7,PRSS8,GRHL2,REPS2,MACC1,ST14,FXYD3,ATP2C2,PRSS22,DDR1,TMPRSS4,SRPX2,PRRG4,EPS8L2,ELF3,CDS1,ZDHHC21,AIM1L,AP1M2,CDH1,GRHL1,NPNT,ALDH1A3,ENPP5,AIM1,KLC3,CLDN4,CDH3,TACSTD2,ERBB3,TSPAN1,SMAGP,PVRL4,ENPP4,GCA,ARAP2,TBC1D8B,PDE5A,KLK6,ARHGDIB,EPHA1,FRMD4B,GALNT3,ENDOD1,EPN3,GNAS,KCNMB4,TJP3,RBM47,CCDC149,TMC5,OVOL1,CAB39,SH3BGRL2,STK39,GRAMD1C,MAL2,GAB1,OCLN
