TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	3.04362006646683e-08	-17.3076331256499	247	46	0.0491452991452991	936	11866	64411,50650,11113,5922,7006,6305,23239,55701,6710,27237,6640,156,55103,26031,5336,219790,93664,7074,64283,22874,116984,207,51177,221178,6641,54443,157,29,26084,5921,83478,8660,160851,55200,23007,23075,128272,130271,57480,11078,55785,60312,2549,50619,23348,50649	ARAP3,ARHGEF3,CIT,RASA2,TEC,SBF1,PHLPP1,ARHGEF40,SPTB,ARHGEF16,SNTA1,ADRBK1,RALGPS2,OSBPL3,PLCG2,RTKN2,CADPS2,TIAM1,ARHGEF28,PLEKHA6,ARAP2,AKT1,PLEKHO1,SPATA13,SNTB1,ANLN,ADRBK2,ABR,ARHGEF26,RASA1,ARHGAP24,IRS2,DGKH,PLEKHG6,PLCH1,SWAP70,ARHGEF19,PLEKHH2,PLEKHG1,TRIOBP,FGD6,AFAP1,GAB1,DEF6,DOCK9,ARHGEF4
PS50011	PROTEIN_KINASE_DOM	3.24448830866882e-08	-17.2437230923106	481	73	0.077991452991453	936	11866	84254,6195,2043,5979,2064,57118,2870,780,5566,23604,6196,23178,10733,2050,57147,5347,207,130399,55872,5588,4919,9064,9262,157,983,51765,23097,10769,5754,558,3984,11329,6300,5563,114783,65018,5128,9891,11113,7046,7006,28951,5585,55589,156,3480,4751,4293,5592,1612,23678,6446,5600,699,5292,2065,375449,6850,55437,2041,7525,149420,9263,9261,94,2263,53944,6790,27347,5129,4217,10114,29959	CAMKK1,RPS6KA1,EPHA4,RET,ERBB2,CAMK1D,GRK6,DDR1,PRKACA,DAPK2,RPS6KA2,PASK,PLK4,EPHB4,SCYL3,PLK1,AKT1,ACVR1C,PBK,PRKCQ,ROR1,MAP3K6,STK17B,ADRBK2,CDK1,STK26,CDK19,PLK2,PTK7,AXL,LIMK1,STK38,MAPK12,PRKAA2,LMTK3,PINK1,CDK17,NUAK1,CIT,TGFBR1,TEC,TRIB2,PKN1,BMP2K,ADRBK1,IGF1R,NEK2,MAP3K9,PRKG1,DAPK1,SGK3,SGK1,MAPK11,BUB1,PIM1,ERBB3,MAST4,SYK,STRADB,EPHA1,YES1,PDIK1L,STK17A,MAPKAPK2,ACVRL1,FGFR2,CSNK1G1,AURKA,STK39,CDK18,MAP3K5,HIPK3,NRBP1
PS00107	PROTEIN_KINASE_ATP	1.15995098841128e-07	-15.9697178981022	378	60	0.0641025641025641	936	11866	5563,5128,114783,9891,11113,84254,6195,2043,5979,2064,7046,7006,57118,2870,5585,5566,23604,6196,156,3480,23178,23678,1612,5592,10733,4293,6446,699,5600,2050,5292,6850,5347,207,130399,5588,7525,2041,149420,9064,157,9262,983,9263,9261,2263,51765,94,23097,53944,10769,558,3984,11329,6790,5129,27347,4217,10114,6300	PRKAA2,CDK17,LMTK3,NUAK1,CIT,CAMKK1,RPS6KA1,EPHA4,RET,ERBB2,TGFBR1,TEC,CAMK1D,GRK6,PKN1,PRKACA,DAPK2,RPS6KA2,ADRBK1,IGF1R,PASK,SGK3,DAPK1,PRKG1,PLK4,MAP3K9,SGK1,BUB1,MAPK11,EPHB4,PIM1,SYK,PLK1,AKT1,ACVR1C,PRKCQ,YES1,EPHA1,PDIK1L,MAP3K6,ADRBK2,STK17B,CDK1,STK17A,MAPKAPK2,FGFR2,STK26,ACVRL1,CDK19,CSNK1G1,PLK2,AXL,LIMK1,STK38,AURKA,CDK18,STK39,MAP3K5,HIPK3,MAPK12
PS00108	PROTEIN_KINASE_ST	9.03280521329396e-06	-11.6146475839288	309	47	0.0502136752136752	936	11866	5563,5128,65018,9891,11113,84254,6195,7046,57118,2870,5585,5566,55589,23604,6196,156,23178,23678,1612,5592,4293,4751,6446,699,5292,375449,5347,207,130399,55872,5588,149420,9064,9262,157,983,9263,9261,94,23097,53944,11329,10769,6790,5129,4217,10114	PRKAA2,CDK17,PINK1,NUAK1,CIT,CAMKK1,RPS6KA1,TGFBR1,CAMK1D,GRK6,PKN1,PRKACA,BMP2K,DAPK2,RPS6KA2,ADRBK1,PASK,SGK3,DAPK1,PRKG1,MAP3K9,NEK2,SGK1,BUB1,PIM1,MAST4,PLK1,AKT1,ACVR1C,PBK,PRKCQ,PDIK1L,MAP3K6,STK17B,ADRBK2,CDK1,STK17A,MAPKAPK2,ACVRL1,CDK19,CSNK1G1,STK38,PLK2,AURKA,CDK18,MAP3K5,HIPK3
PS50004	C2	9.08934388633011e-06	-11.6084078321016	108	23	0.0245726495726496	936	11866	5321,79772,83737,5922,94121,5921,54843,29,221184,23007,9066,22841,5998,9783,5336,80223,11059,5287,57586,5330,94120,9699,57488	PLA2G4A,MCTP1,ITCH,RASA2,SYTL4,RASA1,SYTL2,ABR,CPNE2,PLCH1,SYT7,RAB11FIP2,RGS3,RIMS3,PLCG2,RAB11FIP1,WWP1,PIK3C2B,SYT13,PLCB2,SYTL3,RIMS2,ESYT2
PS51285	AGC_KINASE_CTER	1.50631908754267e-05	-11.103256480517	55	15	0.016025641025641	936	11866	6196,156,207,11113,6195,11329,23678,5592,6446,5588,2870,5585,375449,5566,157	RPS6KA2,ADRBK1,AKT1,CIT,RPS6KA1,STK38,SGK3,PRKG1,SGK1,PRKCQ,GRK6,PKN1,MAST4,PRKACA,ADRBK2
PS50002	SH3	9.9647519189162e-05	-9.21387140685709	201	32	0.0341880341880342	936	11866	274,3927,10580,11252,9322,84959,2059,64398,7006,27237,30011,64787,389337,5336,4293,26578,2017,1741,4354,5295,221178,7525,9564,80005,9479,26084,5921,128272,27134,23677,23623,50649	BIN1,LASP1,SORBS1,PACSIN2,TRIP10,UBASH3B,EPS8,MPP5,TEC,ARHGEF16,SH3KBP1,EPS8L2,ARHGEF37,PLCG2,MAP3K9,OSTF1,CTTN,DLG3,MPP1,PIK3R1,SPATA13,YES1,BCAR1,DOCK5,MAPK8IP1,ARHGEF26,RASA1,ARHGEF19,TJP3,SH3BP4,RUSC1,ARHGEF4
PS00018	EF_HAND_1	0.00012437668665009	-8.99219580157171	177	29	0.030982905982906	936	11866	10398,25801,29957,30818,9185,54885,6275,801,794,808,4925,90411,6273,10627,51440,5523,10235,5358,5954,4924,53905,23007,85407,6276,55012,6277,823,10125,10938	MYL9,GCA,SLC25A24,KCNIP3,REPS2,TBC1D8B,S100A4,CALM1,CALB2,CALM3,NUCB2,MCFD2,S100A2,MYL12A,HPCAL4,PPP2R3A,RASGRP2,PLS3,RCN1,NUCB1,DUOX1,PLCH1,NKD1,S100A5,PPP2R3C,S100A6,CAPN1,RASGRP1,EHD1
PS50916	RABBD	0.000144695619773032	-8.84087819587671	12	6	0.00641025641025641	936	11866	23086,94121,25924,94120,9699,54843	EXPH5,SYTL4,MYRIP,SYTL3,RIMS2,SYTL2
PS50222	EF_HAND_2	0.000191167516178368	-8.56236046624528	217	33	0.0352564102564103	936	11866	10398,29957,9185,10165,794,808,79180,4925,6273,51440,5523,5358,5954,10125,6277,25801,30818,54885,6275,801,90411,83543,10627,10235,51199,53905,23007,4924,23075,85407,6276,823,10938	MYL9,SLC25A24,REPS2,SLC25A13,CALB2,CALM3,EFHD2,NUCB2,S100A2,HPCAL4,PPP2R3A,PLS3,RCN1,RASGRP1,S100A6,GCA,KCNIP3,TBC1D8B,S100A4,CALM1,MCFD2,AIF1L,MYL12A,RASGRP2,NIN,DUOX1,PLCH1,NUCB1,SWAP70,NKD1,S100A5,CAPN1,EHD1
