TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-1236977	Endosomal/Vacuolar pathway	4.49323572479807e-06	-12.312937464352	11	7	0.0108527131782946	645	8202	1514,3106,3107,3133,3134,1515,3105	CTSL,HLA-B,HLA-C,HLA-E,HLA-F,CTSV,HLA-A
R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	6.00089158987203e-06	-12.0236025014639	24	10	0.0155038759689922	645	8202	3106,10484,6892,3133,3134,6890,51752,3107,3105,64167	HLA-B,SEC23A,TAPBP,HLA-E,HLA-F,TAP1,ERAP1,HLA-C,HLA-A,ERAP2
R-HSA-1474244	Extracellular matrix organization	9.62991444341852e-06	-11.5506362165739	267	42	0.0651162790697674	645	8202	4052,1299,3339,55214,3655,4038,6385,80781,1287,6382,780,2192,5154,3696,999,655,1291,8751,59277,10491,10516,7077,1292,5045,1294,4017,1605,1303,1514,4324,5352,4326,1515,649,140766,5650,4053,3685,1307,823,7093,170690	LTBP1,COL9A3,HSPG2,P3H2,ITGA6,LRP4,SDC4,COL18A1,COL4A5,SDC1,DDR1,FBLN1,PDGFA,ITGB8,CDH1,BMP7,COL6A1,ADAM15,NTN4,CRTAP,FBLN5,TIMP2,COL6A2,FURIN,COL7A1,LOXL2,DAG1,COL12A1,CTSL,MMP15,PLOD2,MMP17,CTSV,BMP1,ADAMTS14,KLK7,LTBP2,ITGAV,COL16A1,CAPN1,TLL2,ADAMTS16
R-HSA-422475	Axon guidance	4.1541640178646e-05	-10.088814255976	516	66	0.102325581395349	645	8202	10398,5721,6195,8826,2043,2064,9542,5720,5361,6710,5154,6196,9048,53358,1808,11221,7220,59277,2050,6326,1741,221002,7074,10125,6328,10817,1292,5588,1846,214,10627,8660,3984,1946,3084,219699,103910,1299,6331,5922,808,5716,1287,9965,1947,8828,4756,1291,2065,56896,64283,9693,801,2902,2041,7525,10048,5921,8851,8506,10507,2263,5306,3685,10371,56963	MYL9,PSME2,RPS6KA1,IQGAP1,EPHA4,ERBB2,NRG2,PSME1,PLXNA1,SPTB,PDGFA,RPS6KA2,ARTN,SHC3,DPYSL2,DUSP10,TRPC1,NTN4,EPHB4,SCN2A,DLG3,RASGEF1A,TIAM1,RASGRP1,SCN3A,FRS3,COL6A2,PRKCQ,DUSP4,ALCAM,MYL12A,IRS2,LIMK1,EFNA5,NRG1,UNC5B,MYL12B,COL9A3,SCN5A,RASA2,CALM3,PSMD10,COL4A5,FGF19,EFNB1,NRP2,NEO1,COL6A1,ERBB3,DPYSL5,ARHGEF28,RAPGEF2,CALM1,GRIN1,EPHA1,YES1,RANBP9,RASA1,CDK5R1,CNTNAP1,SEMA4D,FGFR2,PITPNA,ITGAV,SEMA3A,RGMA
R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	6.33960131281178e-05	-9.66610958291295	36	11	0.0170542635658915	645	8202	118788,5336,801,5295,7220,808,3709,5293,3710,6850,30011	PIK3AP1,PLCG2,CALM1,PIK3R1,TRPC1,CALM3,ITPR2,PIK3CD,ITPR3,SYK,SH3KBP1
R-HSA-1280218	Adaptive Immune System	6.58850540106387e-05	-9.62759894019599	668	80	0.124031007751938	645	8202	5721,6890,26232,2064,9542,221687,5720,29126,3709,5566,30011,5154,10053,999,5336,5290,1027,7220,5293,10125,64167,10484,207,83737,5588,192670,958,79754,3710,127544,9021,8660,6892,5795,3084,2549,9902,90293,3133,3134,140462,9493,808,5716,23239,9965,3105,151636,92912,118788,1075,51465,147700,5592,6737,11059,2065,3107,6850,10112,3164,801,5295,7319,7525,3832,10235,1514,3106,2263,5819,4792,1515,51752,5476,3685,1062,126433,11065,945	PSME2,TAP1,FBXO2,ERBB2,NRG2,RNF182,PSME1,CD274,ITPR2,PRKACA,SH3KBP1,PDGFA,AP1M2,CDH1,PLCG2,PIK3CA,CDKN1B,TRPC1,PIK3CD,RASGRP1,ERAP2,SEC23A,AKT1,ITCH,PRKCQ,AGO4,CD40,ASB13,ITPR3,RNF19B,SOCS3,IRS2,TAPBP,PTPRJ,NRG1,GAB1,MRC2,KLHL13,HLA-E,HLA-F,ASB9,KIF23,CALM3,PSMD10,PHLPP1,FGF19,HLA-A,DTX3L,UBE2Q2,PIK3AP1,CTSC,UBE2J1,KLC3,PRKG1,TRIM21,WWP1,ERBB3,HLA-C,SYK,KIF20A,NR4A1,CALM1,PIK3R1,UBE2A,YES1,KIF11,RASGRP2,CTSL,HLA-B,FGFR2,PVRL2,NFKBIA,CTSV,ERAP1,CTSA,ITGAV,CENPE,FBXO27,UBE2C,CD33
R-HSA-1474290	Collagen formation	9.88904723535438e-05	-9.22149766013858	86	18	0.027906976744186	645	8202	1299,1292,55214,3655,80781,1287,1294,4017,1303,1514,5352,1291,1515,649,140766,1307,10491,7093	COL9A3,COL6A2,P3H2,ITGA6,COL18A1,COL4A5,COL7A1,LOXL2,COL12A1,CTSL,PLOD2,COL6A1,CTSV,BMP1,ADAMTS14,COL16A1,CRTAP,TLL2
R-HSA-983705	Signaling by the B Cell Receptor (BCR)	0.000154266360540644	-8.77682983570997	198	31	0.048062015503876	645	8202	207,3164,5721,801,5295,5716,2064,9542,808,192670,5720,3709,23239,3710,9965,30011,8660,5154,118788,2263,4792,5336,5290,1027,7220,3084,2065,5293,2549,6850,10125	AKT1,NR4A1,PSME2,CALM1,PIK3R1,PSMD10,ERBB2,NRG2,CALM3,AGO4,PSME1,ITPR2,PHLPP1,ITPR3,FGF19,SH3KBP1,IRS2,PDGFA,PIK3AP1,FGFR2,NFKBIA,PLCG2,PIK3CA,CDKN1B,TRPC1,NRG1,ERBB3,PIK3CD,GAB1,SYK,RASGRP1
R-HSA-1474228	Degradation of the extracellular matrix	0.000157175656235859	-8.75814654851151	89	18	0.027906976744186	645	8202	1299,7077,3339,5045,80781,1303,4324,1514,999,4326,1515,649,8751,5650,1307,823,7093,170690	COL9A3,TIMP2,HSPG2,FURIN,COL18A1,COL12A1,MMP15,CTSL,CDH1,MMP17,CTSV,BMP1,ADAM15,KLK7,COL16A1,CAPN1,TLL2,ADAMTS16
R-HSA-1306955	GRB7 events in ERBB2 signaling	0.000177724594408164	-8.63527542828292	5	4	0.0062015503875969	645	8202	2064,9542,3084,2065	ERBB2,NRG2,NRG1,ERBB3
