TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	5.96119988247221e-08	-16.6354089605753	278	51	0.066579634464752	766	9131	64411,50650,11113,5922,55852,7006,6305,23239,22822,55701,6710,27237,6640,156,55103,63916,55715,26031,5336,219790,93664,7074,64283,116984,22874,207,51177,221178,6641,54443,157,29,26084,5921,83478,8660,160851,55200,23007,23075,128272,130271,11078,57480,55785,5337,60312,2549,50619,23348,50649	ARAP3,ARHGEF3,CIT,RASA2,TEX2,TEC,SBF1,PHLPP1,PHLDA1,ARHGEF40,SPTB,ARHGEF16,SNTA1,ADRBK1,RALGPS2,ELMO2,DOK4,OSBPL3,PLCG2,RTKN2,CADPS2,TIAM1,ARHGEF28,ARAP2,PLEKHA6,AKT1,PLEKHO1,SPATA13,SNTB1,ANLN,ADRBK2,ABR,ARHGEF26,RASA1,ARHGAP24,IRS2,DGKH,PLEKHG6,PLCH1,SWAP70,ARHGEF19,PLEKHH2,TRIOBP,PLEKHG1,FGD6,PLD1,AFAP1,GAB1,DEF6,DOCK9,ARHGEF4
SM00239	C2	1.62165707630342e-05	-11.0294769519109	135	27	0.0352480417754569	766	9131	5321,79772,827,83737,5922,94121,5585,5921,54843,29,221184,23007,22841,9066,5998,9783,5336,5290,80223,11059,93664,5287,57586,5330,94120,9699,57488	PLA2G4A,MCTP1,CAPN6,ITCH,RASA2,SYTL4,PKN1,RASA1,SYTL2,ABR,CPNE2,PLCH1,RAB11FIP2,SYT7,RGS3,RIMS3,PLCG2,PIK3CA,RAB11FIP1,WWP1,CADPS2,PIK3C2B,SYT13,PLCB2,SYTL3,RIMS2,ESYT2
SM00133	S_TK_X	3.07290821723635e-05	-10.3903010497471	55	15	0.0195822454308094	766	9131	6196,156,207,11113,6195,11329,23678,5592,6446,5588,2870,5585,375449,5566,157	RPS6KA2,ADRBK1,AKT1,CIT,RPS6KA1,STK38,SGK3,PRKG1,SGK1,PRKCQ,GRK6,PKN1,MAST4,PRKACA,ADRBK2
SM00220	S_TKc	5.14129135179019e-05	-9.87562118130073	268	42	0.0548302872062663	766	9131	5563,5128,9891,11113,84254,6195,2870,57118,5585,5566,23604,6196,156,23178,10733,23678,5592,4751,1612,6446,5600,5292,375449,5347,207,5588,9064,9262,983,157,9263,9261,23097,51765,11329,10769,6790,27347,5129,4217,10114,6300	PRKAA2,CDK17,NUAK1,CIT,CAMKK1,RPS6KA1,GRK6,CAMK1D,PKN1,PRKACA,DAPK2,RPS6KA2,ADRBK1,PASK,PLK4,SGK3,PRKG1,NEK2,DAPK1,SGK1,MAPK11,PIM1,MAST4,PLK1,AKT1,PRKCQ,MAP3K6,STK17B,CDK1,ADRBK2,STK17A,MAPKAPK2,CDK19,STK26,STK38,PLK2,AURKA,STK39,CDK18,MAP3K5,HIPK3,MAPK12
SM00326	SH3	0.000263177814521532	-8.24268065339739	217	34	0.0443864229765013	766	9131	274,3927,10580,11252,9322,346389,84959,2059,64398,7006,27237,30011,64787,389337,2530,5336,4293,26578,2017,1741,4354,5295,221178,7525,80005,9564,9479,26084,5921,128272,27134,23677,23623,50649	BIN1,LASP1,SORBS1,PACSIN2,TRIP10,MACC1,UBASH3B,EPS8,MPP5,TEC,ARHGEF16,SH3KBP1,EPS8L2,ARHGEF37,FUT8,PLCG2,MAP3K9,OSTF1,CTTN,DLG3,MPP1,PIK3R1,SPATA13,YES1,DOCK5,BCAR1,MAPK8IP1,ARHGEF26,RASA1,ARHGEF19,TJP3,SH3BP4,RUSC1,ARHGEF4
SM00325	RhoGEF	0.000955811062566094	-6.95295029774397	66	14	0.0182767624020888	766	9131	55160,55200,128272,64283,50650,389337,221178,57480,55785,7074,27237,29,26084,50649	ARHGEF10L,PLEKHG6,ARHGEF19,ARHGEF28,ARHGEF3,ARHGEF37,SPATA13,PLEKHG1,FGD6,TIAM1,ARHGEF16,ABR,ARHGEF26,ARHGEF4
SM00251	SAM_PNT	0.00123403894588645	-6.69746279331103	11	5	0.00652741514360313	766	9131	2114,51513,2113,2001,1999	ETS2,ETV7,ETS1,ELF5,ELF3
SM00413	ETS	0.00206632234527212	-6.18198489660611	29	8	0.010443864229765	766	9131	2004,2114,2001,2002,2118,2113,51513,1999	ELK3,ETS2,ELF5,ELK1,ETV4,ETS1,ETV7,ELF3
SM00219	TyrKc	0.0024055344990089	-6.02998315520701	88	16	0.02088772845953	766	9131	2043,5979,2064,7006,4919,7525,2041,780,3480,2263,558,5754,4293,2050,2065,6850	EPHA4,RET,ERBB2,TEC,ROR1,YES1,EPHA1,DDR1,IGF1R,FGFR2,AXL,PTK7,MAP3K9,EPHB4,ERBB3,SYK
SM00261	FU	0.00263403316201795	-5.93923908575626	18	6	0.00783289817232376	766	9131	2064,2065,3480,80144,5125,5045	ERBB2,ERBB3,IGF1R,FRAS1,PCSK5,FURIN
