TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	5.59351417379012e-11	-23.6068282796577	379	84	0.0777777777777778	1080	9988	161742,4534,4771,6710,27237,64787,55160,23527,63916,53358,55715,26031,5998,5336,153090,219790,54566,83660,7074,10817,207,51177,7430,7145,54443,157,26084,29,8660,5335,55200,23007,128272,11078,57480,51332,64097,2549,2245,64411,50650,55691,9826,23216,11113,122786,5922,2059,7006,6305,23239,55701,64759,156,55103,56899,5902,149371,79156,93664,29116,9855,57669,5923,116984,22874,64283,221178,6641,9479,5921,23150,83478,160851,23075,130271,55785,5337,9882,60312,23229,50619,23348,50649	SPRED1,MTM1,NF2,SPTB,ARHGEF16,EPS8L2,ARHGEF10L,ACAP2,ELMO2,SHC3,DOK4,OSBPL3,RGS3,PLCG2,DAB2IP,RTKN2,EPB41L4B,TLN2,TIAM1,FRS3,AKT1,PLEKHO1,EZR,TNS1,ANLN,ADRBK2,ARHGEF26,ABR,IRS2,PLCG1,PLEKHG6,PLCH1,ARHGEF19,TRIOBP,PLEKHG1,SPTBN5,EPB41L4A,GAB1,FGD1,ARAP3,ARHGEF3,FRMD4A,ARHGEF11,TBC1D1,CIT,FRMD6,RASA2,EPS8,TEC,SBF1,PHLPP1,ARHGEF40,TNS3,ADRBK1,RALGPS2,ANKS1B,RANBP1,EXOC8,PLEKHF1,CADPS2,MYLIP,FARP2,EPB41L5,RASGRF1,ARAP2,PLEKHA6,ARHGEF28,SPATA13,SNTB1,MAPK8IP1,RASA1,FRMD4B,ARHGAP24,DGKH,SWAP70,PLEKHH2,FGD6,PLD1,TBC1D4,AFAP1,ARHGEF9,DEF6,DOCK9,ARHGEF4
1.20.900.10	-	1.15831258460003e-05	-11.3659611873575	71	21	0.0194444444444444	1080	9988	5923,64283,50650,9826,221178,55701,27237,26084,29,55160,55200,128272,389337,57480,55785,7074,259173,23229,50649,2245,9855	RASGRF1,ARHGEF28,ARHGEF3,ARHGEF11,SPATA13,ARHGEF40,ARHGEF16,ARHGEF26,ABR,ARHGEF10L,PLEKHG6,ARHGEF19,ARHGEF37,PLEKHG1,FGD6,TIAM1,ALS2CL,ARHGEF9,ARHGEF4,FGD1,FARP2
2.60.40.150	-	6.82024234600914e-05	-9.59303045914075	146	32	0.0296296296296296	1080	9988	5321,5922,94121,5585,54843,11060,221184,5998,9783,5336,5290,153090,11059,5293,5330,94120,9699,79772,827,83737,5588,29,5921,23007,5335,9066,22841,80223,8821,5287,57586,57488	PLA2G4A,RASA2,SYTL4,PKN1,SYTL2,WWP2,CPNE2,RGS3,RIMS3,PLCG2,PIK3CA,DAB2IP,WWP1,PIK3CD,PLCB2,SYTL3,RIMS2,MCTP1,CAPN6,ITCH,PRKCQ,ABR,RASA1,PLCH1,PLCG1,SYT7,RAB11FIP2,RAB11FIP1,INPP4B,PIK3C2B,SYT13,ESYT2
1.20.80.10	-	0.000132475155815788	-8.929115433396	49	15	0.0138888888888889	1080	9988	57669,91452,130271,55691,4771,122786,1622,10455,7430,54566,83660,64097,29116,9855,23150	EPB41L5,ACBD5,PLEKHH2,FRMD4A,NF2,FRMD6,DBI,ECI2,EZR,EPB41L4B,TLN2,EPB41L4A,MYLIP,FARP2,FRMD4B
1.10.238.10	-	0.000133901373095439	-8.91840705068613	260	48	0.0444444444444444	1080	9988	10398,29957,9185,6282,10165,794,808,79180,4925,6273,85021,51440,23413,5523,5358,805,5954,9478,5330,1608,6284,10125,6277,11261,25801,30818,54885,6775,6275,801,7402,83543,90411,10627,51199,10235,4924,5335,23007,53905,10669,85407,6276,9813,55012,1821,823,10938	MYL9,SLC25A24,REPS2,S100A11,SLC25A13,CALB2,CALM3,EFHD2,NUCB2,S100A2,REPS1,HPCAL4,NCS1,PPP2R3A,PLS3,CALM2,RCN1,CABP1,PLCB2,DGKG,S100A13,RASGRP1,S100A6,CHP1,GCA,KCNIP3,TBC1D8B,STAT4,S100A4,CALM1,UTRN,AIF1L,MCFD2,MYL12A,NIN,RASGRP2,NUCB1,PLCG1,PLCH1,DUOX1,CGREF1,NKD1,S100A5,EFCAB14,PPP2R3C,DRP2,CAPN1,EHD1
3.40.720.10	-	0.00110558805626321	-6.80737790795494	31	10	0.00925925925925926	1080	9988	22875,2799,5167,250,22901,2588,59084,411,153642,55959	ENPP4,GNS,ENPP1,ALPP,ARSG,GALNS,ENPP5,ARSB,ARSK,SULF2
2.60.120.260	-	0.00165794683552922	-6.40217528820581	73	17	0.0157407407407407	1080	9988	2990,2043,5045,26232,26270,2041,26047,780,8828,8506,284656,51430,89944,2050,126433,285761,5125	GUSB,EPHA4,FURIN,FBXO2,FBXO6,EPHA1,CNTNAP2,DDR1,NRP2,CNTNAP1,EPHA10,SUCO,GLB1L2,EPHB4,FBXO27,DCBLD1,PCSK5
3.40.309.10	-	0.0026454487319528	-5.93491457514909	19	7	0.00648148148148148	1080	9988	501,221,217,7915,4329,224,220	ALDH7A1,ALDH3B1,ALDH2,ALDH5A1,ALDH6A1,ALDH3A2,ALDH1A3
3.40.605.10	-	0.0026454487319528	-5.93491457514909	19	7	0.00648148148148148	1080	9988	501,221,217,7915,4329,224,220	ALDH7A1,ALDH3B1,ALDH2,ALDH5A1,ALDH6A1,ALDH3A2,ALDH1A3
3.30.500.10	-	0.00274237694930777	-5.89893023489523	24	8	0.00740740740740741	1080	9988	3106,4277,3134,3133,154064,3107,80328,3105	HLA-B,MICB,HLA-F,HLA-E,RAET1L,HLA-C,ULBP2,HLA-A
1.10.565.10	-	0.00416993907449171	-5.4798538537118	48	12	0.0111111111111111	1080	9988	7068,9975,2908,3164,7067,8013,5465,4929,5916,7181,4306,7182	THRB,NR1D2,NR3C1,NR4A1,THRA,NR4A3,PPARA,NR4A2,RARG,NR2C1,NR3C2,NR2C2
2.70.150.10	-	0.00548253122596317	-5.20618838211833	32	9	0.00833333333333333	1080	9988	476,10079,10396,540,5205,148229,57205,490,23400	ATP1A1,ATP9A,ATP8A1,ATP7B,ATP8B1,ATP8B3,ATP10D,ATP2B1,ATP13A2
3.40.1110.10	-	0.00548253122596317	-5.20618838211833	32	9	0.00833333333333333	1080	9988	476,10079,10396,540,5205,148229,57205,490,23400	ATP1A1,ATP9A,ATP8A1,ATP7B,ATP8B1,ATP8B3,ATP10D,ATP2B1,ATP13A2
2.30.40.10	-	0.00665355833778267	-5.01260347903475	8	4	0.0037037037037037	1080	9988	56896,144193,1808,1809	DPYSL5,AMDHD1,DPYSL2,DPYSL3
3.30.50.10	-	0.00676106507339537	-4.99657484610178	57	13	0.012037037037037	1080	9988	7068,2908,2624,9975,3164,7067,5465,8013,4929,5916,4306,7181,7182	THRB,NR3C1,GATA2,NR1D2,NR4A1,THRA,PPARA,NR4A3,NR4A2,RARG,NR3C2,NR2C1,NR2C2
1.10.418.10	-	0.00796631816731707	-4.83253285435784	71	15	0.0138888888888889	1080	9988	10634,4008,342527,259266,8826,23224,7402,79789,51332,85458,22998,8407,128239,6710,5358	GAS2L1,LMO7,SMTNL2,ASPM,IQGAP1,SYNE2,UTRN,CLMN,SPTBN5,DIXDC1,LIMCH1,TAGLN2,IQGAP3,SPTB,PLS3
2.30.42.10	-	0.010041606400557	-4.60101817746172	150	26	0.0240740740740741	1080	9988	84443,4008,9826,9693,4354,6645,23513,64398,55914,6641,57716,6640,57568,27295,27134,57619,5998,3984,26037,1739,1741,375449,7074,357,1856,9699	FRMPD3,LMO7,ARHGEF11,RAPGEF2,MPP1,SNTB2,SCRIB,MPP5,ERBB2IP,SNTB1,PRX,SNTA1,SIPA1L2,PDLIM3,TJP3,SHROOM3,RGS3,LIMK1,SIPA1L1,DLG1,DLG3,MAST4,TIAM1,SHROOM2,DVL2,RIMS2
3.40.50.850	-	0.0116823877450983	-4.44967289224405	2	2	0.00185185185185185	1080	9988	79763,51015	ISOC2,ISOC1
3.90.1170.50	-	0.0116823877450983	-4.44967289224405	2	2	0.00185185185185185	1080	9988	7498,316	XDH,AOX1
1.10.150.120	-	0.0116823877450983	-4.44967289224405	2	2	0.00185185185185185	1080	9988	316,7498	AOX1,XDH
3.30.365.10	-	0.0116823877450983	-4.44967289224405	2	2	0.00185185185185185	1080	9988	316,7498	AOX1,XDH
1.10.150.50	-	0.0150493742690474	-4.19641886545907	104	19	0.0175925925925926	1080	9988	116984,64411,2043,8495,2041,54809,2113,1999,6322,160851,284656,203286,2114,6786,56899,2001,51460,2050,51513	ARAP2,ARAP3,EPHA4,PPFIBP2,EPHA1,SAMD9,ETS1,ELF3,SCML1,DGKH,EPHA10,ANKS6,ETS2,STIM1,ANKS1B,ELF5,SFMBT1,EPHB4,ETV7
3.40.850.10	-	0.0169456425251009	-4.07774455637107	44	10	0.00925925925925926	1080	9988	3799,90990,10112,9928,23303,9493,10749,63971,1062,3832	KIF5B,KIFC2,KIF20A,KIF14,KIF13B,KIF23,KIF1C,KIF13A,CENPE,KIF11
1.10.506.10	-	0.0174146382864463	-4.05044414560978	15	5	0.00462962962962963	1080	9988	153090,128239,8826,5922,5921	DAB2IP,IQGAP3,IQGAP1,RASA2,RASA1
2.60.40.1180	-	0.0174146382864463	-4.05044414560978	15	5	0.00462962962962963	1080	9988	2517,23324,4122,2717,4668	FUCA1,MAN2B2,MAN2A2,GLA,NAGA
2.60.40.720	-	0.0196132796641554	-3.93154840828265	6	3	0.00277777777777778	1080	9988	864,860,7157	RUNX3,RUNX2,TP53
1.25.10.30	-	0.0196132796641554	-3.93154840828265	6	3	0.00277777777777778	1080	9988	3709,3710,3708	ITPR2,ITPR3,ITPR1
2.60.120.290	-	0.0212024155083945	-3.85364016471952	52	11	0.0101851851851852	1080	9988	56034,5118,6768,1954,649,81831,26033,83999,285761,8828,7093	PDGFC,PCOLCE,ST14,MEGF8,BMP1,NETO2,ATRNL1,KREMEN1,DCBLD1,NRP2,TLL2
3.40.800.20	-	0.0240692305464052	-3.72682099502653	11	4	0.0037037037037037	1080	9988	3065,10013,79885,9734	HDAC1,HDAC6,HDAC11,HDAC9
1.10.472.10	-	0.0243939442476763	-3.71342036405701	40	9	0.00833333333333333	1080	9988	9134,10983,595,5933,79616,891,899,9133,8851	CCNE2,CCNI,CCND1,RBL1,CCNJL,CCNB1,CCNF,CCNB2,CDK5R1
3.80.20.20	-	0.0315957695724287	-3.45473204164146	7	3	0.00277777777777778	1080	9988	2064,2065,3480	ERBB2,ERBB3,IGF1R
1.20.120.180	-	0.0325249092818399	-3.42574904376994	3	2	0.00185185185185185	1080	9988	5720,5721	PSME1,PSME2
1.20.5.120	-	0.0325249092818399	-3.42574904376994	3	2	0.00185185185185185	1080	9988	5720,5721	PSME1,PSME2
4.10.770.10	-	0.0325249092818399	-3.42574904376994	3	2	0.00185185185185185	1080	9988	864,860	RUNX3,RUNX2
4.10.630.10	-	0.0325249092818399	-3.42574904376994	3	2	0.00185185185185185	1080	9988	8202,10499	NCOA3,NCOA2
1.20.1290.10	-	0.0325249092818399	-3.42574904376994	3	2	0.00185185185185185	1080	9988	143686,27244	SESN3,SESN1
1.10.840.10	-	0.0373575598801479	-3.28721998145507	30	7	0.00648148148148148	1080	9988	8412,5923,55103,221002,9693,10125,10235	BCAR3,RASGRF1,RALGPS2,RASGEF1A,RAPGEF2,RASGRP1,RASGRP2
3.30.1520.10	-	0.0389190141158906	-3.24627235302601	50	10	0.00925925925925926	1080	9988	112574,23678,64089,5287,5337,29887,221749,29934,401548,51375	SNX18,SGK3,SNX16,PIK3C2B,PLD1,SNX10,PXDC1,SNX12,SNX30,SNX7
3.90.290.10	-	0.0465610963129052	-3.06698992959679	8	3	0.00277777777777778	1080	9988	4052,4053,4054	LTBP1,LTBP2,LTBP3
1.50.40.10	-	0.0551482960243108	-2.89772943087127	53	10	0.00925925925925926	1080	9988	153328,29957,291,10165,9481,253512,203427,292,54977,55186	SLC25A48,SLC25A24,SLC25A4,SLC25A13,SLC25A27,SLC25A30,SLC25A43,SLC25A5,SLC25A38,SLC25A36
3.30.505.10	-	0.0552873898360837	-2.8952104283543	112	18	0.0166666666666667	1080	9988	3635,6775,5295,7145,7006,7525,5921,63898,9021,8412,5335,64759,3716,53358,5336,3718,6850,9655	INPP5D,STAT4,PIK3R1,TNS1,TEC,YES1,RASA1,SH2D4A,SOCS3,BCAR3,PLCG1,TNS3,JAK1,SHC3,PLCG2,JAK3,SYK,SOCS5
3.10.120.10	-	0.0562299719772018	-2.87830535503842	14	4	0.0037037037037037	1080	9988	9415,29937,1528,10857	FADS2,NENF,CYB5A,PGRMC1
3.40.225.10	-	0.0604133929069464	-2.80654446175138	4	2	0.00185185185185185	1080	9988	120,118	ADD3,ADD1
3.90.370.10	-	0.0604133929069464	-2.80654446175138	4	2	0.00185185185185185	1080	9988	7078,7077	TIMP3,TIMP2
1.25.40.70	-	0.0643615377272048	-2.74323906455163	9	3	0.00277777777777778	1080	9988	5287,5293,5290	PIK3C2B,PIK3CD,PIK3CA
1.10.2000.10	-	0.0686685550734207	-2.67846389816958	21	5	0.00462962962962963	1080	9988	80781,7855,8322,8324,8323	COL18A1,FZD5,FZD4,FZD7,FZD6
3.40.50.410	-	0.0708563204774067	-2.64710110754551	70	12	0.0111111111111111	1080	9988	10484,57685,1292,3696,4147,1291,143,9254,64856,1294,84168,1303	SEC23A,CACHD1,COL6A2,ITGB8,MATN2,COL6A1,PARP4,CACNA2D2,VWA1,COL7A1,ANTXR1,COL12A1
3.40.50.1000	-	0.0732225155506868	-2.61425231582056	63	11	0.0101851851851852	1080	9988	55907,10079,10396,540,10217,5205,148229,64900,57205,10106,23400	CMAS,ATP9A,ATP8A1,ATP7B,CTDSPL,ATP8B1,ATP8B3,LPIN3,ATP10D,CTDSP2,ATP13A2
2.10.110.10	-	0.0840826753574402	-2.47595473373031	72	12	0.0111111111111111	1080	9988	4008,54751,3927,27295,4007,8543,3984,26468,29995,144165,22998,2273	LMO7,FBLIM1,LASP1,PDLIM3,PRICKLE3,LMO4,LIMK1,LHX6,LMCD1,PRICKLE1,LIMCH1,FHL1
