TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1994	ELAVL1 (ELAV like RNA binding protein 1)	1.24041345117464e-15	-34.323331642502	1762	293	0.169756662804171	1726	16036	3916,32,51696,54434,1831,10165,440026,284611,9867,54878,6574,580,54855,54918,23413,143686,1490,26031,220,64089,51257,10472,3920,137695,6645,56256,7022,60485,23463,292,378,10401,55608,54502,3984,540,1979,7188,55916,2245,9891,64771,80727,2122,7023,223082,9120,51306,5902,970,26578,203228,164091,66008,2673,23531,11098,57167,9926,4277,196527,801,139285,79837,55591,2002,84168,4781,2767,167227,55435,8202,51422,10507,1633,84193,4929,114569,57146,126433,161742,79867,831,90355,221687,3597,595,334,55603,55715,1027,2050,2182,1741,29887,26099,55810,53354,51203,481,94239,51199,8660,51765,558,23603,10479,8821,11078,9813,688,51015,55635,6385,734,79180,63939,203427,2113,9601,4756,8879,6322,56998,79647,151636,58191,10681,28965,5728,9917,928,10370,10253,9121,7050,607,5045,205,7525,55227,83543,3832,9949,6259,411,56270,3720,23086,10983,836,23321,2034,139231,9337,114984,8450,51726,50848,10013,54830,30011,25840,1808,23446,4286,7220,2017,57181,22903,23471,81603,3621,27067,83737,23466,7430,3417,3775,57171,51094,8462,221749,83930,64761,55893,5504,5270,9209,84959,2119,5082,808,135293,5870,23239,9249,92912,26528,2624,139886,149371,22998,5292,51029,10970,56603,55437,26035,2235,9261,6675,55754,5634,55432,28978,10140,2537,54585,10217,7157,116039,22822,54793,6760,54521,23167,65055,54566,3998,1856,2760,1491,11261,10817,22929,1362,23411,25801,28962,80219,79669,2178,1605,9021,6892,9991,54621,4048,90488,274,84641,27333,6272,9826,11113,10020,55143,166,7046,1287,4189,8323,9559,80212,64207,22900,51465,7020,6446,215,27075,687,128239,387882,3280,158747,2908,2729,267,5329,54542,9516,133686,22862,90843,55536,57826,81831,83606,11065,10009,9619	LAMP1,ACACB,HECA,SSH1,TSC22D3,SLC25A13,TMEM41B,FAM102B,PJA2,DPP8,SLC20A1,BARD1,FAM46C,CMTM6,NCS1,SESN3,CTGF,OSBPL3,ALDH1A3,SNX16,MARCH2,ZBTB18,LAMP2,TMEM68,SNTB2,SERTAD4,TFAP2C,SAV1,ICMT,SLC25A5,ARF4,PIAS3,ANKRD10,RBM47,LIMK1,ATP7B,EIF4EBP2,TRAF5,NXT2,FGD1,NUAK1,C6orf106,TTYH3,MECOM,TFAP4,ZNRF2,SLC16A6,FAM13B,RANBP1,CD70,OSTF1,C9orf72,PAQR7,TRAK2,GFPT1,MMD,PRSS23,SALL4,LPGAT1,MICB,ANO6,CALM1,AMER1,PIP4K2C,VEZT,ELK1,ANTXR1,NFIB,GNA11,DCP2,AP1AR,NCOA3,PRKAG2,SEMA4D,DCK,SETD3,NR4A2,MAL2,TMEM159,FBXO27,SPRED1,TCTN2,CAST,C5orf30,RNF182,IL13RA1,CCND1,APLP2,FAM46A,DOK4,CDKN1B,EPHB4,ACSL4,DLG3,SNX10,SZRD1,FOXJ2,PANK1,NUSAP1,ATP1B1,H2AFV,NIN,IRS2,STK26,AXL,CORO1C,SLC9A6,INPP4B,TRIOBP,EFCAB14,KLF5,ISOC1,DEPDC1,SDC4,OSGIN2,EFHD2,FAM217B,SLC25A43,ETS1,PDIA4,NEO1,SGPL1,SCML1,CTNNBIP1,AKIRIN1,DTX3L,CXCL16,GNB5,SLC27A6,PTEN,FAM20B,CD9,CITED2,SPRY2,SLC16A5,TGIF1,BCL9,FURIN,AK4,YES1,LRRC1,AIF1L,KIF11,AMMECR1,RYK,ARSB,WDR45B,JARID2,EXPH5,CCNI,CASP3,TRIM2,EPAS1,FAM199X,CNOT8,FLYWCH2,CUL4B,DNAJB11,F11R,HDAC6,NUP62CL,SH3KBP1,METTL7A,DPYSL2,SLC44A1,MITF,TRPC1,CTTN,SLC39A10,BTBD3,TRAM1,TRIM8,ING1,STAU2,ITCH,CBX6,EZR,IDH1,KCNK1,DOLPP1,ADIPOR1,KLF11,PXDC1,STARD3NL,PARP12,ZNF395,PPP1R2,SERPINE2,LRRFIP2,UBASH3B,ETV5,PDCL,CALM3,PM20D2,RAB6A,PHLPP1,DHRS3,UBE2Q2,DAZAP1,GATA2,SPIN4,EXOC8,LIMCH1,PIM1,DESI2,CKAP4,CYP26B1,STRADB,GLCE,FECH,MAPKAPK2,UAP1,TMEM30A,PRPS2,YOD1,TMEM14A,TOB1,IFI6,LZTFL1,CTDSPL,TP53,OSR2,PHLDA1,KCTD9,SS18,WDR44,EFR3A,REEP1,EPB41L4B,LMAN1,DVL2,GM2A,CTH,CHP1,FRS3,SEPHS1,CPD,SIRT1,GCA,OSTM1,COQ10B,C3orf52,FANCE,DAG1,SOCS3,TAPBP,PTBP3,VSIG10,LTA4H,TMEM263,BIN1,MFSD14B,GOLIM4,SORT1,ARHGEF11,CIT,GNE,CDCA8,AES,TGFBR1,COL4A5,DNAJB9,FZD6,VPS26A,CCDC92,IRF2BPL,CARD8,UBE2J1,TFAP2A,SGK1,ABCD1,TSPAN13,KLF9,IQGAP3,C12orf75,HES1,MOSPD2,NR3C1,GCLC,AMFR,PLAUR,RC3H2,LITAF,NADK2,FNDC3A,TCEAL8,CDCA7L,RAP2C,NETO2,GUCD1,UBE2C,ZBTB33,ABCG1
5727	PTCH1 (patched 1)	1.23529441193921e-06	-13.6042012260606	94	27	0.0156431054461182	1726	16036	7368,83737,3655,842,9254,80781,51809,5361,891,153642,983,3105,57462,79586,11060,5167,3679,54928,20,81831,26504,11059,3107,4249,23505,2650,55959	UGT8,ITCH,ITGA6,CASP9,CACNA2D2,COL18A1,GALNT7,PLXNA1,CCNB1,ARSK,CDK1,HLA-A,KIAA1161,CHPF,WWP2,ENPP1,ITGA7,IMPAD1,ABCA2,NETO2,CNNM4,WWP1,HLA-C,MGAT5,TMEM131,GCNT1,SULF2
6901	TAZ (tafazzin)	5.87091676329229e-06	-12.0454997585858	90	25	0.0144843568945539	1726	16036	9509,1292,4241,2990,145864,5329,3134,120071,9254,80781,4017,51809,5361,153642,8828,135228,3679,80144,655,1954,64132,2588,3685,4668,23505	ADAMTS2,COL6A2,MFI2,GUSB,HAPLN3,PLAUR,HLA-F,GYLTL1B,CACNA2D2,COL18A1,LOXL2,GALNT7,PLXNA1,ARSK,NRP2,CD109,ITGA7,FRAS1,BMP7,MEGF8,XYLT2,GALNS,ITGAV,NAGA,TMEM131
3958	LGALS3 (lectin, galactoside-binding, soluble, 3)	1.23585266869762e-05	-11.3011643131225	166	37	0.0214368482039397	1726	16036	3916,9902,7295,3958,967,6542,6507,6697,580,3959,9725,135228,347735,191,1889,51435,6558,10970,64087,22875,3920,1182,28962,29071,5738,292,214,6136,476,5795,1650,10479,1622,5243,10226,103910,823	LAMP1,MRC2,TXN,LGALS3,CD63,SLC7A2,SLC1A3,SPR,BARD1,LGALS3BP,TMEM63A,CD109,SERINC2,AHCY,ECE1,SCARA3,SLC12A2,CKAP4,MCCC2,ENPP4,LAMP2,CLCN3,OSTM1,C1GALT1C1,PTGFRN,SLC25A5,ALCAM,RPL12,ATP1A1,PTPRJ,DDOST,SLC9A6,DBI,ABCB1,PLIN3,MYL12B,CAPN1
3965	LGALS9 (lectin, galactoside-binding, soluble, 9)	1.4171118057175e-05	-11.1643046042569	72	21	0.0121668597914253	1726	16036	22875,1182,9902,3958,967,28962,55872,2923,5361,5738,214,2192,1605,135228,6533,5795,10479,6653,10130,6558,3321	ENPP4,CLCN3,MRC2,LGALS3,CD63,OSTM1,PBK,PDIA3,PLXNA1,PTGFRN,ALCAM,FBLN1,DAG1,CD109,SLC6A6,PTPRJ,SLC9A6,SORL1,PDIA6,SLC12A2,IGSF3
6329	SCN4A (sodium channel, voltage gated, type IV alpha subunit)	1.47878903282979e-05	-11.1217019331807	10	7	0.00405561993047509	1726	16036	6640,55914,1741,6641,6645,801,1739	SNTA1,ERBB2IP,DLG3,SNTB1,SNTB2,CALM1,DLG1
983	CDK1 (cyclin-dependent kinase 1)	1.7344562982199e-05	-10.9622314734668	234	47	0.0272305909617613	1726	16036	5128,860,9185,9787,1028,2305,9232,7157,26270,891,580,4000,7153,595,7465,334,800,1027,699,4661,1164,23411,4155,55872,991,7319,28984,157313,9088,899,3832,983,10671,3005,3708,113130,6259,7088,197259,3159,54820,3718,3315,9133,5909,9700,11178	CDK17,RUNX2,REPS2,DLGAP5,CDKN1C,FOXM1,PTTG1,TP53,FBXO6,CCNB1,BARD1,LMNA,TOP2A,CCND1,WEE1,APLP2,CALD1,CDKN1B,BUB1,MYT1,CKS2,SIRT1,MBP,PBK,CDC20,UBE2A,RGCC,CDCA2,PKMYT1,CCNF,KIF11,CDK1,DCTN6,H1F0,ITPR1,CDCA5,RYK,TLE1,MLKL,HMGA1,NDE1,JAK3,HSPB1,CCNB2,RAP1GAP,ESPL1,LZTS1
7430	EZR (ezrin)	1.95987503586782e-05	-10.8400447509707	144	33	0.0191193511008111	1726	16036	2026,4771,10007,8826,9232,1609,3074,6402,51477,26270,4942,5358,5954,999,1739,231,11059,8407,6850,57147,2879,387,5295,56648,7430,397,57716,355,3106,23035,6790,382,3897	ENO2,NF2,GNPDA1,IQGAP1,PTTG1,DGKQ,HEXB,SELL,ISYNA1,FBXO6,OAT,PLS3,RCN1,CDH1,DLG1,AKR1B1,WWP1,TAGLN2,SYK,SCYL3,GPX4,RHOA,PIK3R1,EIF5A2,EZR,ARHGDIB,PRX,FAS,HLA-B,PHLPP2,AURKA,ARF6,L1CAM
1499	CTNNB1 (catenin (cadherin-associated protein), beta 1)	2.96027154616291e-05	-10.4276444622734	315	58	0.033603707995365	1726	16036	836,4771,2034,9322,3732,8826,5318,2064,51191,7046,10013,10297,9372,4000,7153,56998,595,55182,999,5728,4286,7020,4751,604,6446,1001,3485,10499,1856,9229,5347,23411,207,10076,3164,607,9693,5295,139285,2902,7430,55591,26108,55914,8851,355,5792,79960,5308,5795,6259,7088,3065,2906,688,196,10140,10009	CASP3,NF2,EPAS1,TRIP10,CD82,IQGAP1,PKP2,ERBB2,HERC5,TGFBR1,HDAC6,APC2,ZFYVE9,LMNA,TOP2A,CTNNBIP1,CCND1,RNF220,CDH1,PTEN,MITF,TFAP2A,NEK2,BCL6,SGK1,CDH3,IGFBP2,NCOA2,DVL2,DLGAP1,PLK1,SIRT1,AKT1,PTPRU,NR4A1,BCL9,RAPGEF2,PIK3R1,AMER1,GRIN1,EZR,VEZT,PYGO1,ERBB2IP,CDK5R1,FAS,PTPRF,JADE1,PITX2,PTPRJ,RYK,TLE1,HDAC1,GRIN2D,KLF5,AHR,TOB1,ZBTB33
387	RHOA (ras homolog family member A)	4.29129483381494e-05	-10.0563369515065	143	32	0.018539976825029	1726	16036	50650,9826,11113,1609,5716,7046,5585,5566,9077,23616,1808,7220,1027,6185,1856,5923,387,64283,7430,397,23463,292,2909,355,8506,5335,4792,3708,5337,10226,50619,50649	ARHGEF3,ARHGEF11,CIT,DGKQ,PSMD10,TGFBR1,PKN1,PRKACA,DIRAS3,SH3BP1,DPYSL2,TRPC1,CDKN1B,RPN2,DVL2,RASGRF1,RHOA,ARHGEF28,EZR,ARHGDIB,ICMT,SLC25A5,ARHGAP35,FAS,CNTNAP1,PLCG1,NFKBIA,ITPR1,PLD1,PLIN3,DEF6,ARHGEF4
