TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH/PTB_dom	9.73316017611595e-13	-27.6580675785998	379	84	0.0463065049614112	1814	18293	161742,4534,4771,6710,27237,64787,55160,23527,63916,53358,55715,26031,5998,5336,153090,219790,54566,83660,7074,10817,207,51177,7430,7145,54443,157,26084,29,8660,5335,55200,23007,128272,11078,57480,51332,64097,2549,2245,64411,50650,55691,9826,23216,11113,122786,5922,2059,7006,6305,23239,55701,64759,156,55103,56899,5902,149371,79156,93664,29116,9855,57669,5923,116984,22874,64283,221178,6641,9479,5921,23150,83478,160851,23075,130271,55785,5337,9882,60312,23229,50619,23348,50649	SPRED1,MTM1,NF2,SPTB,ARHGEF16,EPS8L2,ARHGEF10L,ACAP2,ELMO2,SHC3,DOK4,OSBPL3,RGS3,PLCG2,DAB2IP,RTKN2,EPB41L4B,TLN2,TIAM1,FRS3,AKT1,PLEKHO1,EZR,TNS1,ANLN,ADRBK2,ARHGEF26,ABR,IRS2,PLCG1,PLEKHG6,PLCH1,ARHGEF19,TRIOBP,PLEKHG1,SPTBN5,EPB41L4A,GAB1,FGD1,ARAP3,ARHGEF3,FRMD4A,ARHGEF11,TBC1D1,CIT,FRMD6,RASA2,EPS8,TEC,SBF1,PHLPP1,ARHGEF40,TNS3,ADRBK1,RALGPS2,ANKS1B,RANBP1,EXOC8,PLEKHF1,CADPS2,MYLIP,FARP2,EPB41L5,RASGRF1,ARAP2,PLEKHA6,ARHGEF28,SPATA13,SNTB1,MAPK8IP1,RASA1,FRMD4B,ARHGAP24,DGKH,SWAP70,PLEKHH2,FGD6,PLD1,TBC1D4,AFAP1,ARHGEF9,DEF6,DOCK9,ARHGEF4
IPR001849	PH_domain	2.6076029858929e-10	-22.0674195267997	278	63	0.0347298787210584	1814	18293	64411,50650,9826,11113,5922,55852,7006,6305,23239,22822,55701,6710,27237,6640,23527,156,55103,63916,55715,26031,5336,149371,79156,153090,219790,93664,7074,9855,5923,64283,116984,22874,207,6645,51177,221178,6641,54443,157,5921,29,26084,83478,160851,8660,5335,23007,55200,23075,128272,130271,11078,57480,55785,51332,5337,60312,2549,23229,50619,23348,50649,2245	ARAP3,ARHGEF3,ARHGEF11,CIT,RASA2,TEX2,TEC,SBF1,PHLPP1,PHLDA1,ARHGEF40,SPTB,ARHGEF16,SNTA1,ACAP2,ADRBK1,RALGPS2,ELMO2,DOK4,OSBPL3,PLCG2,EXOC8,PLEKHF1,DAB2IP,RTKN2,CADPS2,TIAM1,FARP2,RASGRF1,ARHGEF28,ARAP2,PLEKHA6,AKT1,SNTB2,PLEKHO1,SPATA13,SNTB1,ANLN,ADRBK2,RASA1,ABR,ARHGEF26,ARHGAP24,DGKH,IRS2,PLCG1,PLCH1,PLEKHG6,SWAP70,ARHGEF19,PLEKHH2,TRIOBP,PLEKHG1,FGD6,SPTBN5,PLD1,AFAP1,GAB1,ARHGEF9,DEF6,DOCK9,ARHGEF4,FGD1
IPR011009	Kinase-like_dom	8.94784986678483e-10	-20.8344376648636	524	97	0.0534729878721058	1814	18293	84254,6195,2043,5979,2064,10420,57118,2870,780,5566,23604,7465,6196,23178,5290,10733,2050,5293,57147,4215,5347,207,8767,130399,55872,5588,4919,9088,9064,9262,157,983,284656,3716,51765,23097,10769,5754,11329,3984,558,5287,197259,6300,5563,114783,65018,5128,9891,11113,7046,203054,7006,28951,5585,10461,55589,156,3480,5127,23678,4751,4293,5592,90956,1612,6446,5600,699,2065,80216,5292,375449,6850,7016,56997,55437,27102,7525,2041,149420,9263,9261,2263,94,53944,6259,57538,6790,27347,5129,79705,4217,3718,29959,10114,9833	CAMKK1,RPS6KA1,EPHA4,RET,ERBB2,TESK2,CAMK1D,GRK6,DDR1,PRKACA,DAPK2,WEE1,RPS6KA2,PASK,PIK3CA,PLK4,EPHB4,PIK3CD,SCYL3,MAP3K3,PLK1,AKT1,RIPK2,ACVR1C,PBK,PRKCQ,ROR1,PKMYT1,MAP3K6,STK17B,ADRBK2,CDK1,EPHA10,JAK1,STK26,CDK19,PLK2,PTK7,STK38,LIMK1,AXL,PIK3C2B,MLKL,MAPK12,PRKAA2,LMTK3,PINK1,CDK17,NUAK1,CIT,TGFBR1,ADCK5,TEC,TRIB2,PKN1,MERTK,BMP2K,ADRBK1,IGF1R,CDK16,SGK3,NEK2,MAP3K9,PRKG1,ADCK2,DAPK1,SGK1,MAPK11,BUB1,ERBB3,ALPK1,PIM1,MAST4,SYK,TESK1,ADCK3,STRADB,EIF2AK1,YES1,EPHA1,PDIK1L,STK17A,MAPKAPK2,FGFR2,ACVRL1,CSNK1G1,RYK,ALPK3,AURKA,STK39,CDK18,LRRK1,MAP3K5,JAK3,NRBP1,HIPK3,MELK
IPR000719	Prot_kinase_dom	5.06847523868352e-09	-19.1002258064522	482	89	0.0490628445424476	1814	18293	84254,6195,2043,5979,2064,10420,57118,2870,780,5566,23604,7465,6196,23178,10733,2050,57147,4215,5347,207,8767,130399,55872,5588,4919,9088,9064,9262,157,983,284656,3716,51765,23097,10769,5754,11329,3984,558,197259,6300,5563,114783,65018,5128,9891,11113,7046,7006,28951,5585,10461,55589,156,3480,5127,23678,4751,4293,5592,1612,6446,5600,699,2065,5292,375449,6850,7016,55437,27102,7525,2041,149420,9263,9261,2263,94,53944,6259,6790,27347,5129,79705,4217,3718,10114,29959,9833	CAMKK1,RPS6KA1,EPHA4,RET,ERBB2,TESK2,CAMK1D,GRK6,DDR1,PRKACA,DAPK2,WEE1,RPS6KA2,PASK,PLK4,EPHB4,SCYL3,MAP3K3,PLK1,AKT1,RIPK2,ACVR1C,PBK,PRKCQ,ROR1,PKMYT1,MAP3K6,STK17B,ADRBK2,CDK1,EPHA10,JAK1,STK26,CDK19,PLK2,PTK7,STK38,LIMK1,AXL,MLKL,MAPK12,PRKAA2,LMTK3,PINK1,CDK17,NUAK1,CIT,TGFBR1,TEC,TRIB2,PKN1,MERTK,BMP2K,ADRBK1,IGF1R,CDK16,SGK3,NEK2,MAP3K9,PRKG1,DAPK1,SGK1,MAPK11,BUB1,ERBB3,PIM1,MAST4,SYK,TESK1,STRADB,EIF2AK1,YES1,EPHA1,PDIK1L,STK17A,MAPKAPK2,FGFR2,ACVRL1,CSNK1G1,RYK,AURKA,STK39,CDK18,LRRK1,MAP3K5,JAK3,HIPK3,NRBP1,MELK
IPR017441	Protein_kinase_ATP_BS	1.95717093646489e-07	-15.4465956201836	378	70	0.0385887541345094	1814	18293	84254,6195,2043,5979,2064,10420,57118,2870,5566,23604,7465,6196,23178,10733,2050,5347,207,130399,5588,9088,9064,157,9262,983,3716,51765,23097,10769,11329,558,3984,6300,5563,114783,5128,9891,11113,7046,7006,5585,10461,156,3480,5127,4293,5592,1612,23678,6446,5600,699,5292,6850,7016,27102,2041,7525,149420,9263,9261,94,2263,53944,6790,27347,5129,4217,3718,10114,9833	CAMKK1,RPS6KA1,EPHA4,RET,ERBB2,TESK2,CAMK1D,GRK6,PRKACA,DAPK2,WEE1,RPS6KA2,PASK,PLK4,EPHB4,PLK1,AKT1,ACVR1C,PRKCQ,PKMYT1,MAP3K6,ADRBK2,STK17B,CDK1,JAK1,STK26,CDK19,PLK2,STK38,AXL,LIMK1,MAPK12,PRKAA2,LMTK3,CDK17,NUAK1,CIT,TGFBR1,TEC,PKN1,MERTK,ADRBK1,IGF1R,CDK16,MAP3K9,PRKG1,DAPK1,SGK3,SGK1,MAPK11,BUB1,PIM1,SYK,TESK1,EIF2AK1,EPHA1,YES1,PDIK1L,STK17A,MAPKAPK2,ACVRL1,FGFR2,CSNK1G1,AURKA,STK39,CDK18,MAP3K5,JAK3,HIPK3,MELK
IPR000008	C2_dom	2.04929153910032e-06	-13.098016415227	160	36	0.019845644983462	1814	18293	5321,5922,94121,5585,54843,11060,64759,221184,5728,5998,9783,5336,5290,153090,93664,11059,5293,5330,94120,9699,79772,827,83737,7145,5588,29,5921,23007,5335,9066,22841,80223,8821,5287,57586,57488	PLA2G4A,RASA2,SYTL4,PKN1,SYTL2,WWP2,TNS3,CPNE2,PTEN,RGS3,RIMS3,PLCG2,PIK3CA,DAB2IP,CADPS2,WWP1,PIK3CD,PLCB2,SYTL3,RIMS2,MCTP1,CAPN6,ITCH,TNS1,PRKCQ,ABR,RASA1,PLCH1,PLCG1,SYT7,RAB11FIP2,RAB11FIP1,INPP4B,PIK3C2B,SYT13,ESYT2
IPR000219	DH-domain	3.09926697816685e-06	-12.6843449330898	71	21	0.0115766262403528	1814	18293	5923,64283,50650,9826,221178,55701,27237,26084,29,55160,55200,128272,389337,57480,55785,7074,259173,23229,50649,2245,9855	RASGRF1,ARHGEF28,ARHGEF3,ARHGEF11,SPATA13,ARHGEF40,ARHGEF16,ARHGEF26,ABR,ARHGEF10L,PLEKHG6,ARHGEF19,ARHGEF37,PLEKHG1,FGD6,TIAM1,ALS2CL,ARHGEF9,ARHGEF4,FGD1,FARP2
IPR002048	EF_hand_dom	4.6498858951848e-06	-12.278667877336	220	44	0.0242557883131202	1814	18293	10398,29957,9185,6282,10165,794,808,79180,4925,6273,85021,51440,5523,23413,5358,5954,805,9478,1608,10125,6277,11261,25801,30818,54885,6275,801,90411,83543,10627,10235,51199,53905,5335,4924,23007,23075,79158,10669,85407,6276,9813,823,10938	MYL9,SLC25A24,REPS2,S100A11,SLC25A13,CALB2,CALM3,EFHD2,NUCB2,S100A2,REPS1,HPCAL4,PPP2R3A,NCS1,PLS3,RCN1,CALM2,CABP1,DGKG,RASGRP1,S100A6,CHP1,GCA,KCNIP3,TBC1D8B,S100A4,CALM1,MCFD2,AIF1L,MYL12A,RASGRP2,NIN,DUOX1,PLCG1,NUCB1,PLCH1,SWAP70,GNPTAB,CGREF1,NKD1,S100A5,EFCAB14,CAPN1,EHD1
IPR018247	EF_Hand_1_Ca_BS	6.97024592462228e-06	-11.8738600505112	175	37	0.0203969128996692	1814	18293	10398,29957,9185,6282,794,808,4925,6273,51440,85021,23413,5523,5358,805,5954,9478,1608,10125,6277,25801,30818,6275,801,90411,10627,10235,23007,5335,53905,4924,79158,10669,85407,6276,55012,823,10938	MYL9,SLC25A24,REPS2,S100A11,CALB2,CALM3,NUCB2,S100A2,HPCAL4,REPS1,NCS1,PPP2R3A,PLS3,CALM2,RCN1,CABP1,DGKG,RASGRP1,S100A6,GCA,KCNIP3,S100A4,CALM1,MCFD2,MYL12A,RASGRP2,PLCH1,PLCG1,DUOX1,NUCB1,GNPTAB,CGREF1,NKD1,S100A5,PPP2R3C,CAPN1,EHD1
IPR001452	SH3_domain	7.58405806371929e-06	-11.7894621369597	217	43	0.0237045203969129	1814	18293	274,3927,10580,11252,9322,346389,9853,84959,2059,64398,7006,785,27237,30011,64787,389337,112574,2530,5336,1739,4293,26578,2017,29993,1741,4703,9732,4354,5295,221178,7525,80005,9564,9479,26084,5921,5335,128272,27134,23677,23229,23623,50649	BIN1,LASP1,SORBS1,PACSIN2,TRIP10,MACC1,RUSC2,UBASH3B,EPS8,MPP5,TEC,CACNB4,ARHGEF16,SH3KBP1,EPS8L2,ARHGEF37,SNX18,FUT8,PLCG2,DLG1,MAP3K9,OSTF1,CTTN,PACSIN1,DLG3,NEB,DOCK4,MPP1,PIK3R1,SPATA13,YES1,DOCK5,BCAR1,MAPK8IP1,ARHGEF26,RASA1,PLCG1,ARHGEF19,TJP3,SH3BP4,ARHGEF9,RUSC1,ARHGEF4
