TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00169	PH	1.33509795476093e-07	-15.8290909874451	177	42	0.0247641509433962	1696	16629	64411,11113,5922,7006,6305,23239,27237,6640,23527,156,55103,79156,219790,93664,7074,9855,5923,22874,116984,207,51177,221178,6641,54443,157,29,5921,83478,8660,160851,23075,130271,11078,55785,5337,60312,2549,23229,50619,23348,50649,2245	ARAP3,CIT,RASA2,TEC,SBF1,PHLPP1,ARHGEF16,SNTA1,ACAP2,ADRBK1,RALGPS2,PLEKHF1,RTKN2,CADPS2,TIAM1,FARP2,RASGRF1,PLEKHA6,ARAP2,AKT1,PLEKHO1,SPATA13,SNTB1,ANLN,ADRBK2,ABR,RASA1,ARHGAP24,IRS2,DGKH,SWAP70,PLEKHH2,TRIOBP,FGD6,PLD1,AFAP1,GAB1,ARHGEF9,DEF6,DOCK9,ARHGEF4,FGD1
PF07714	Pkinase_Tyr	1.21675751432295e-05	-11.316735919525	129	30	0.017688679245283	1696	16629	114783,8767,130399,7016,2043,5979,2064,10420,7046,7006,4919,7525,2041,780,10461,284656,3716,3480,2263,94,3984,558,5754,6259,4293,2065,197259,2050,3718,6850	LMTK3,RIPK2,ACVR1C,TESK1,EPHA4,RET,ERBB2,TESK2,TGFBR1,TEC,ROR1,YES1,EPHA1,DDR1,MERTK,EPHA10,JAK1,IGF1R,FGFR2,ACVRL1,LIMK1,AXL,PTK7,RYK,MAP3K9,ERBB3,MLKL,EPHB4,JAK3,SYK
PF00621	RhoGEF	1.42947435076089e-05	-11.1556186751555	70	20	0.0117924528301887	1696	16629	5923,64283,50650,9826,221178,55701,27237,26084,29,55160,55200,128272,389337,57480,55785,7074,23229,50649,2245,9855	RASGRF1,ARHGEF28,ARHGEF3,ARHGEF11,SPATA13,ARHGEF40,ARHGEF16,ARHGEF26,ABR,ARHGEF10L,PLEKHG6,ARHGEF19,ARHGEF37,PLEKHG1,FGD6,TIAM1,ARHGEF9,ARHGEF4,FGD1,FARP2
PF00069	Pkinase	2.45150176146317e-05	-10.6162246643367	352	61	0.0359669811320755	1696	16629	5563,5128,65018,9891,11113,84254,6195,7046,57118,2870,28951,5585,5566,55589,23604,7465,6196,156,5127,23178,23678,1612,5592,10733,4293,4751,6446,699,5600,5292,375449,57147,4215,5347,207,55872,55437,5588,27102,9088,149420,9064,9262,157,983,9263,9261,51765,23097,53944,10769,11329,6790,5129,27347,79705,4217,29959,10114,9833,6300	PRKAA2,CDK17,PINK1,NUAK1,CIT,CAMKK1,RPS6KA1,TGFBR1,CAMK1D,GRK6,TRIB2,PKN1,PRKACA,BMP2K,DAPK2,WEE1,RPS6KA2,ADRBK1,CDK16,PASK,SGK3,DAPK1,PRKG1,PLK4,MAP3K9,NEK2,SGK1,BUB1,MAPK11,PIM1,MAST4,SCYL3,MAP3K3,PLK1,AKT1,PBK,STRADB,PRKCQ,EIF2AK1,PKMYT1,PDIK1L,MAP3K6,STK17B,ADRBK2,CDK1,STK17A,MAPKAPK2,STK26,CDK19,CSNK1G1,PLK2,STK38,AURKA,CDK18,STK39,LRRK1,MAP3K5,NRBP1,HIPK3,MELK,MAPK12
PF09379	FERM_N	7.29106567358735e-05	-9.52627574669955	29	11	0.00648584905660377	1696	16629	57669,55691,4771,122786,7430,54566,83660,64097,29116,9855,23150	EPB41L5,FRMD4A,NF2,FRMD6,EZR,EPB41L4B,TLN2,EPB41L4A,MYLIP,FARP2,FRMD4B
PF06623	MHC_I_C	0.000107859422946786	-9.13468181809003	4	4	0.00235849056603774	1696	16629	3106,3107,3133,3105	HLA-B,HLA-C,HLA-E,HLA-A
PF09380	FERM_C	0.000135707226981995	-8.90501073548927	26	10	0.00589622641509434	1696	16629	57669,55691,4771,122786,7430,54566,64097,29116,23150,9855	EPB41L5,FRMD4A,NF2,FRMD6,EZR,EPB41L4B,EPB41L4A,MYLIP,FRMD4B,FARP2
PF13499	EF-hand_7	0.000190291638194341	-8.56695272475189	89	21	0.0123820754716981	1696	16629	29957,30818,801,794,808,79180,4925,90411,10627,51440,5523,23413,5358,805,53905,4924,23007,9478,10669,1608,11261	SLC25A24,KCNIP3,CALM1,CALB2,CALM3,EFHD2,NUCB2,MCFD2,MYL12A,HPCAL4,PPP2R3A,NCS1,PLS3,CALM2,DUOX1,NUCB1,PLCH1,CABP1,CGREF1,DGKG,CHP1
PF00129	MHC_I	0.000197059611254369	-8.53200427979914	18	8	0.00471698113207547	1696	16629	3106,4277,3133,3134,154064,3107,80328,3105	HLA-B,MICB,HLA-E,HLA-F,RAET1L,HLA-C,ULBP2,HLA-A
PF00168	C2	0.000209358626177706	-8.47146186177334	122	26	0.0153301886792453	1696	16629	5321,79772,827,83737,5922,94121,5921,54843,29,5335,221184,23007,22841,9066,5998,9783,5336,80223,153090,11059,5287,57586,5330,94120,9699,57488	PLA2G4A,MCTP1,CAPN6,ITCH,RASA2,SYTL4,RASA1,SYTL2,ABR,PLCG1,CPNE2,PLCH1,RAB11FIP2,SYT7,RGS3,RIMS3,PLCG2,RAB11FIP1,DAB2IP,WWP1,PIK3C2B,SYT13,PLCB2,SYTL3,RIMS2,ESYT2
PF00373	FERM_M	0.000499368433922384	-7.60216639012115	46	13	0.00766509433962264	1696	16629	84443,57669,130271,55691,4771,122786,7430,54566,83660,64097,29116,9855,23150	FRMPD3,EPB41L5,PLEKHH2,FRMD4A,NF2,FRMD6,EZR,EPB41L4B,TLN2,EPB41L4A,MYLIP,FARP2,FRMD4B
PF00178	Ets	0.00133472594110532	-6.61902929576586	28	9	0.00530660377358491	1696	16629	2004,2114,2119,2001,2002,2118,2113,51513,1999	ELK3,ETS2,ETV5,ELF5,ELK1,ETV4,ETS1,ETV7,ELF3
PF16183	Kinesin_assoc	0.001365601563902	-6.59616024127234	6	4	0.00235849056603774	1696	16629	10749,63971,9928,23303	KIF1C,KIF13A,KIF14,KIF13B
PF14604	SH3_9	0.00165519053441095	-6.40383915024736	77	17	0.0100235849056604	1696	16629	274,3927,10580,84959,9479,27237,26084,30011,128272,112574,2530,4293,23677,2017,29993,4703,23623	BIN1,LASP1,SORBS1,UBASH3B,MAPK8IP1,ARHGEF16,ARHGEF26,SH3KBP1,ARHGEF19,SNX18,FUT8,MAP3K9,SH3BP4,CTTN,PACSIN1,NEB,RUSC1
PF00105	zf-C4	0.0017528709263215	-6.34650030591845	46	12	0.00707547169811321	1696	16629	7068,2908,9975,3164,7067,5465,8013,4929,5916,7181,4306,7182	THRB,NR3C1,NR1D2,NR4A1,THRA,PPARA,NR4A3,NR4A2,RARG,NR2C1,NR3C2,NR2C2
PF00433	Pkinase_C	0.00176228792483823	-6.34114235685056	29	9	0.00530660377358491	1696	16629	6196,207,11113,6195,11329,23678,6446,5588,5585	RPS6KA2,AKT1,CIT,RPS6KA1,STK38,SGK3,SGK1,PRKCQ,PKN1
PF00171	Aldedh	0.00189048755733499	-6.2709205163344	19	7	0.00412735849056604	1696	16629	501,221,7915,217,4329,224,220	ALDH7A1,ALDH3B1,ALDH5A1,ALDH2,ALDH6A1,ALDH3A2,ALDH1A3
PF00122	E1-E2_ATPase	0.0025156684114151	-5.98521674079465	36	10	0.00589622641509434	1696	16629	476,10079,10396,540,9914,5205,148229,57205,490,23400	ATP1A1,ATP9A,ATP8A1,ATP7B,ATP2C2,ATP8B1,ATP8B3,ATP10D,ATP2B1,ATP13A2
PF00104	Hormone_recep	0.00259191715532126	-5.95535746268451	48	12	0.00707547169811321	1696	16629	7068,2908,9975,3164,7067,5465,8013,4929,5916,4306,7181,7182	THRB,NR3C1,NR1D2,NR4A1,THRA,PPARA,NR4A3,NR4A2,RARG,NR3C2,NR2C1,NR2C2
PF00307	CH	0.0026254123728379	-5.94251730086215	67	15	0.00884433962264151	1696	16629	4008,10634,342527,259266,8826,23224,7402,79789,51332,85458,22998,8407,128239,6710,5358	LMO7,GAS2L1,SMTNL2,ASPM,IQGAP1,SYNE2,UTRN,CLMN,SPTBN5,DIXDC1,LIMCH1,TAGLN2,IQGAP3,SPTB,PLS3
PF00041	fn3	0.00285129636933523	-5.85998152168854	137	25	0.0147405660377358	1696	16629	10076,2043,64856,1294,9466,2041,22862,10461,1303,4756,5792,284656,114088,5795,57549,558,3572,133396,162282,6653,2050,4684,3897,3977,57722	PTPRU,EPHA4,VWA1,COL7A1,IL27RA,EPHA1,FNDC3A,MERTK,COL12A1,NEO1,PTPRF,EPHA10,TRIM9,PTPRJ,IGSF9,AXL,IL6ST,IL31RA,ANKFN1,SORL1,EPHB4,NCAM1,L1CAM,LIFR,IGDCC4
PF07738	Sad1_UNC	0.00292887677330761	-5.83313628327195	7	4	0.00235849056603774	1696	16629	23353,25777,256979,51430	SUN1,SUN2,SUN3,SUCO
PF13640	2OG-FeII_Oxy_3	0.00299180667131646	-5.81187783615928	11	5	0.00294811320754717	1696	16629	112399,8974,55214,283208,54583	EGLN3,P4HA2,P3H2,P4HA3,EGLN1
PF02198	SAM_PNT	0.00299180667131646	-5.81187783615928	11	5	0.00294811320754717	1696	16629	2114,51513,2113,2001,1999	ETS2,ETV7,ETS1,ELF5,ELF3
PF00018	SH3_1	0.00390563088057958	-5.54533595161278	97	19	0.0112028301886792	1696	16629	10580,11252,9322,2059,221178,7006,7525,80005,9564,64787,5921,5335,389337,5336,1739,26578,1741,23229,50649	SORBS1,PACSIN2,TRIP10,EPS8,SPATA13,TEC,YES1,DOCK5,BCAR1,EPS8L2,RASA1,PLCG1,ARHGEF37,PLCG2,DLG1,OSTF1,DLG3,ARHGEF9,ARHGEF4
PF00659	POLO_box	0.00391332844338937	-5.54336700281086	4	3	0.0017688679245283	1696	16629	5347,10769,10733	PLK1,PLK2,PLK4
