TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00109	TYRKINASE	3.99896028222383e-06	-12.4294761600759	98	25	0.0541125541125541	462	4759	114783,7016,2043,5979,2064,10420,7006,4919,7525,2041,780,10461,284656,3716,3480,2263,3984,558,5754,6259,4293,2065,2050,3718,6850	LMTK3,TESK1,EPHA4,RET,ERBB2,TESK2,TEC,ROR1,YES1,EPHA1,DDR1,MERTK,EPHA10,JAK1,IGF1R,FGFR2,LIMK1,AXL,PTK7,RYK,MAP3K9,ERBB3,EPHB4,JAK3,SYK
PR00935	BAND41	0.000350029931181552	-7.95749188947567	25	9	0.0194805194805195	462	4759	57669,55691,4771,7430,54566,64097,29116,23150,9855	EPB41L5,FRMD4A,NF2,EZR,EPB41L4B,EPB41L4A,MYLIP,FRMD4B,FARP2
PR00661	ERMFAMILY	0.000407643946946197	-7.8051164436196	16	7	0.0151515151515152	462	4759	57669,7430,54566,4771,64097,29116,9855	EPB41L5,EZR,EPB41L4B,NF2,EPB41L4A,MYLIP,FARP2
PR01638	MHCCLASSI	0.000763769366969055	-7.17724469006635	9	5	0.0108225108225108	462	4759	3106,3107,3133,3134,3105	HLA-B,HLA-C,HLA-E,HLA-F,HLA-A
PR00454	ETSDOMAIN	0.000907893584748746	-7.00438338364441	28	9	0.0194805194805195	462	4759	2004,2114,2119,2001,2002,2118,2113,51513,1999	ELK3,ETS2,ETV5,ELF5,ELK1,ETV4,ETS1,ETV7,ELF3
PR00779	INSP3RECEPTR	0.00090955180218466	-7.00255860485549	3	3	0.00649350649350649	462	4759	3709,3710,3708	ITPR2,ITPR3,ITPR1
PR01284	NUCLEARECPTR	0.00090955180218466	-7.00255860485549	3	3	0.00649350649350649	462	4759	4929,3164,8013	NR4A2,NR4A1,NR4A3
PR00047	STROIDFINGER	0.00109073290252647	-6.82090542105341	46	12	0.025974025974026	462	4759	7068,2908,9975,3164,7067,5465,8013,4929,5916,4306,7181,7182	THRB,NR3C1,NR1D2,NR4A1,THRA,PPARA,NR4A3,NR4A2,RARG,NR3C2,NR2C1,NR2C2
PR00119	CATATPASE	0.00132597442326273	-6.62560767604497	35	10	0.0216450216450216	462	4759	476,10079,540,10396,9914,5205,148229,57205,490,23400	ATP1A1,ATP9A,ATP7B,ATP8A1,ATP2C2,ATP8B1,ATP8B3,ATP10D,ATP2B1,ATP13A2
PR00259	TMFOUR	0.00157684991373345	-6.45232614754468	30	9	0.0194805194805195	462	4759	23555,967,7105,3732,90139,928,27075,10103,7102	TSPAN15,CD63,TSPAN6,CD82,TSPAN18,CD9,TSPAN13,TSPAN1,TSPAN7
PR00336	LYSASSOCTDMP	0.00337486557046982	-5.69139978642282	4	3	0.00649350649350649	462	4759	3920,3916,27074	LAMP2,LAMP1,LAMP3
PR00398	STRDHORMONER	0.00439918274264085	-5.42633649561869	47	11	0.0238095238095238	462	4759	7068,9975,2908,3164,7067,8013,5465,4929,5916,7181,7182	THRB,NR1D2,NR3C1,NR4A1,THRA,NR4A3,PPARA,NR4A2,RARG,NR2C1,NR2C2
PR00380	KINESINHEAVY	0.00809119447995879	-4.81697890986654	44	10	0.0216450216450216	462	4759	3799,10112,90990,9928,23303,9493,10749,63971,1062,3832	KIF5B,KIF20A,KIFC2,KIF14,KIF13B,KIF23,KIF1C,KIF13A,CENPE,KIF11
PR00740	GLHYDRLASE27	0.00940595200653049	-4.66641259790367	2	2	0.00432900432900433	462	4759	2717,4668	GLA,NAGA
PR00926	MITOCARRIER	0.0123336702154662	-4.39542234061154	27	7	0.0151515151515152	462	4759	153328,29957,291,203427,292,10165,55186	SLC25A48,SLC25A24,SLC25A4,SLC25A43,SLC25A5,SLC25A13,SLC25A36
PR00452	SH3DOMAIN	0.0125715667209051	-4.37631762445672	83	15	0.0324675324675325	462	4759	274,3927,5335,11252,10580,5336,4293,26578,7525,7006,2017,29993,9564,4703,30011	BIN1,LASP1,PLCG1,PACSIN2,SORBS1,PLCG2,MAP3K9,OSTF1,YES1,TEC,CTTN,PACSIN1,BCAR1,NEB,SH3KBP1
PR00689	ACOABINDINGP	0.0145371634571326	-4.2310469113876	6	3	0.00649350649350649	462	4759	91452,10455,1622	ACBD5,ECI2,DBI
PR01270	HDASUPER	0.0166241066676455	-4.09690142816092	11	4	0.00865800865800866	462	4759	3065,10013,79885,9734	HDAC1,HDAC6,HDAC11,HDAC9
PR00705	PAPAIN	0.0166241066676455	-4.09690142816092	11	4	0.00865800865800866	462	4759	1514,1522,1075,1515	CTSL,CTSZ,CTSC,CTSV
PR00756	ALADIPTASE	0.0166241066676455	-4.09690142816092	11	4	0.00865800865800866	462	4759	51752,6051,4048,64167	ERAP1,RNPEP,LTA4H,ERAP2
PR00489	FRIZZLED	0.0166241066676455	-4.09690142816092	11	4	0.00865800865800866	462	4759	7855,8322,8324,8323	FZD5,FZD4,FZD7,FZD6
PR00717	GPCRKINASE	0.0236269602303767	-3.74536683633002	7	3	0.00649350649350649	462	4759	2870,156,157	GRK6,ADRBK1,ADRBK2
PR00469	PNDRDTASEII	0.0263987524151366	-3.63443852694892	3	2	0.00432900432900433	462	4759	150209,84883	AIFM3,AIFM2
PR00967	ONCOGENEAML1	0.0263987524151366	-3.63443852694892	3	2	0.00432900432900433	462	4759	864,860	RUNX3,RUNX2
PR01088	NAHEXCHNGR6	0.0263987524151366	-3.63443852694892	3	2	0.00432900432900433	462	4759	10479,84679	SLC9A6,SLC9A7
PR01084	NAHEXCHNGR	0.0489712650499589	-3.01652158043926	9	3	0.00649350649350649	462	4759	10479,84679,6549	SLC9A6,SLC9A7,SLC9A2
PR00465	EP450IV	0.0489712650499589	-3.01652158043926	9	3	0.00649350649350649	462	4759	56603,51302,1592	CYP26B1,CYP39A1,CYP26A1
PR01823	JANUSKINASE	0.0494226392602838	-3.00734667514746	4	2	0.00432900432900433	462	4759	3716,3718	JAK1,JAK3
PR00546	THYROIDHORMR	0.0494226392602838	-3.00734667514746	4	2	0.00432900432900433	462	4759	7068,7067	THRB,THRA
PR01773	P38MAPKINASE	0.0494226392602838	-3.00734667514746	4	2	0.00432900432900433	462	4759	5600,6300	MAPK11,MAPK12
PR00927	ADPTRNSLCASE	0.0494226392602838	-3.00734667514746	4	2	0.00432900432900433	462	4759	291,292	SLC25A4,SLC25A5
PR01428	PROTEASEAR	0.0494226392602838	-3.00734667514746	4	2	0.00432900432900433	462	4759	2149,2150	F2R,F2RL1
PR00390	PHPHLIPASEC	0.0504005601138029	-2.98775299059746	15	4	0.00865800865800866	462	4759	23007,5335,5330,5336	PLCH1,PLCG1,PLCB2,PLCG2
PR00170	NACHANNEL	0.0650550945084427	-2.73252076028096	10	3	0.00649350649350649	462	4759	6331,6326,6328	SCN5A,SCN2A,SCN3A
PR00261	LDLRECEPTOR	0.0654861251377157	-2.7259169887386	23	5	0.0108225108225108	462	4759	6653,158056,3339,6768,4038	SORL1,MAMDC4,HSPG2,ST14,LRP4
PR00402	TECBTKDOMAIN	0.0771513722428345	-2.56198591364502	5	2	0.00432900432900433	462	4759	7006,5922	TEC,RASA2
PR01850	GROUCHOFAMLY	0.0771513722428345	-2.56198591364502	5	2	0.00432900432900433	462	4759	7088,79816	TLE1,TLE6
