TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00618	Fosphenytoin (Antiarrhythmic) Metabolism Pathway	0.00138843965520516	-6.57957471258305	4	4	0.0210526315789474	190	978	6640,6331,6641,6645	SNTA1,SCN5A,SNTB1,SNTB2
SMP00582	Joubert syndrome	0.00293045310490545	-5.83259822459677	21	10	0.0526315789473684	190	978	56623,5728,3635,5295,8821,5290,2064,5293,10423,200576	INPP5E,PTEN,INPP5D,PIK3R1,INPP4B,PIK3CA,ERBB2,PIK3CD,CDIPT,PIKFYVE
SMP00463	Phosphatidylinositol Phosphate Metabolism	0.00293045310490545	-5.83259822459677	21	10	0.0526315789473684	190	978	56623,5728,3635,5295,8821,5290,2064,5293,10423,200576	INPP5E,PTEN,INPP5D,PIK3R1,INPP4B,PIK3CA,ERBB2,PIK3CD,CDIPT,PIKFYVE
SMP00472	Erlotinib Action Pathway	0.00723919071564084	-4.92824585843994	3	3	0.0157894736842105	190	978	1956,5243,9429	EGFR,ABCB1,ABCG2
SMP00499	Beta-mercaptolactate-cysteine disulfiduria	0.016845126779687	-4.0836938759016	9	5	0.0263157894736842	190	978	2805,2730,1497,2729,1491	GOT1,GCLM,CTNS,GCLC,CTH
SMP00013	Cysteine Metabolism	0.016845126779687	-4.0836938759016	9	5	0.0263157894736842	190	978	2805,2730,1497,2729,1491	GOT1,GCLM,CTNS,GCLC,CTH
SMP00722	Cystinosis- ocular nonnephropathic	0.016845126779687	-4.0836938759016	9	5	0.0263157894736842	190	978	2730,2805,1497,2729,1491	GCLM,GOT1,CTNS,GCLC,CTH
SMP00522	3-hydroxyisobutyric aciduria	0.0192242216125974	-3.95158425270153	30	11	0.0578947368421053	190	978	5096,217,36,5019,4329,316,56922,3155,34,27034,64087	PCCB,ALDH2,ACADSB,OXCT1,ALDH6A1,AOX1,MCCC1,HMGCL,ACADM,ACAD8,MCCC2
SMP00524	Isovaleric acidemia	0.0192242216125974	-3.95158425270153	30	11	0.0578947368421053	190	978	5096,217,36,5019,4329,316,56922,3155,34,27034,64087	PCCB,ALDH2,ACADSB,OXCT1,ALDH6A1,AOX1,MCCC1,HMGCL,ACADM,ACAD8,MCCC2
SMP00523	Isobutyryl-coa dehydrogenase deficiency	0.0192242216125974	-3.95158425270153	30	11	0.0578947368421053	190	978	5096,217,36,5019,4329,316,56922,3155,34,27034,64087	PCCB,ALDH2,ACADSB,OXCT1,ALDH6A1,AOX1,MCCC1,HMGCL,ACADM,ACAD8,MCCC2
SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	0.0192242216125974	-3.95158425270153	30	11	0.0578947368421053	190	978	5096,217,36,5019,4329,316,56922,3155,34,27034,64087	PCCB,ALDH2,ACADSB,OXCT1,ALDH6A1,AOX1,MCCC1,HMGCL,ACADM,ACAD8,MCCC2
SMP00238	Isovaleric Aciduria	0.0192242216125974	-3.95158425270153	30	11	0.0578947368421053	190	978	5096,217,36,5019,4329,316,56922,3155,34,27034,64087	PCCB,ALDH2,ACADSB,OXCT1,ALDH6A1,AOX1,MCCC1,HMGCL,ACADM,ACAD8,MCCC2
SMP00199	Maple Syrup Urine Disease	0.0192242216125974	-3.95158425270153	30	11	0.0578947368421053	190	978	5096,217,36,5019,4329,316,56922,3155,34,27034,64087	PCCB,ALDH2,ACADSB,OXCT1,ALDH6A1,AOX1,MCCC1,HMGCL,ACADM,ACAD8,MCCC2
