TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr1p22-p21	human chr1p22-p21	0.000424519781720994	-7.76455195324916	3	2	0.00636942675159236	314	26250	1266,2152	CNN3,F3
human chr17q25.1	human chr17q25.1	0.000427024123289136	-7.75867005150909	81	6	0.0191082802547771	314	26250	2125,23510,2905,283987,51,2232	EVPL,KCTD2,GRIN2C,HID1,ACOX1,FDXR
human chr7q31.31	human chr7q31.31	0.00084231794932286	-7.07935300297703	4	2	0.00636942675159236	314	26250	23554,79974	TSPAN12,CPED1
human chr17q24.3	human chr17q24.3	0.00166186191462577	-6.39981666985988	20	3	0.00955414012738853	314	26250	400618,400619,6662	SOX9-AS1,LINC00511,SOX9
human chrXq22.3	human chrXq22.3	0.00359473670677746	-5.62828452921793	26	3	0.00955414012738853	314	26250	79710,5631,139221	MORC4,PRPS1,MUM1L1
human chr2p24.3	human chr2p24.3	0.00602416804323031	-5.11197589325106	10	2	0.00636942675159236	314	26250	28951,7447	TRIB2,VSNL1
human chr15q26	human chr15q26	0.00602416804323031	-5.11197589325106	10	2	0.00636942675159236	314	26250	7026,28232	NR2F2,SLCO3A1
human chr19p13.11	human chr19p13.11	0.009921552271917	-4.61304589090303	70	4	0.0127388535031847	314	26250	9518,51477,284439,23025	GDF15,ISYNA1,SLC25A42,UNC13A
human chr11q21-q22.1	human chr11q21-q22.1	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	79659	DYNC2H1
human chr14q22-q24	human chr14q22-q24	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	677	ZFP36L1
human chr5q32-q34	human chr5q32-q34	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	900	CCNG1
human chr6q14-q21	human chr6q14-q21	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	4907	NT5E
human chr7q31|14q24.2-q24.3	human chr7q31|14q24.2-q24.3	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	4189	DNAJB9
human chr12q14.3-q15	human chr12q14.3-q15	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	4193	MDM2
human chr14q11.2-q13	human chr14q11.2-q13	0.0119619047616795	-4.42602828213035	1	1	0.00318471337579618	314	26250	1690	COCH
human chr17q22	human chr17q22	0.0156397209792036	-4.15794138422849	44	3	0.00955414012738853	314	26250	8714,54894,162282	ABCC3,RNF43,ANKFN1
human chr9q21.13	human chr9q21.13	0.0172305147780505	-4.06107335204296	17	2	0.00636942675159236	314	26250	23670,301	TMEM2,ANXA1
human chr1p31	human chr1p31	0.0172305147780505	-4.06107335204296	17	2	0.00636942675159236	314	26250	9077,5142	DIRAS3,PDE4B
human chr11q12.1	human chr11q12.1	0.017638299716887	-4.03768262098068	83	4	0.0127388535031847	314	26250	63901,85456,374393,23220	FAM111A,TNKS1BP1,FAM111B,DTX4
human chr9p24.1	human chr9p24.1	0.0213280233995789	-3.84773341841684	19	2	0.00636942675159236	314	26250	50808,4781	AK3,NFIB
human chr7q31	human chr7q31	0.0213280233995789	-3.84773341841684	19	2	0.00636942675159236	314	26250	51384,10447	WNT16,FAM3C
human chr9p13	human chr9p13	0.0235131524552742	-3.75019533544603	20	2	0.00636942675159236	314	26250	360,2189	AQP3,FANCG
human chr11q22.2-q22.3	human chr11q22.2-q22.3	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	837	CASP4
human chr8q23.3	human chr8q23.3	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	114788	CSMD3
human chr1p36-p35	human chr1p36-p35	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	2582	GALE
human chr1q42.11-q42.3	human chr1q42.11-q42.3	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	58480	RHOU
human chr8q23-q24	human chr8q23-q24	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	6641	SNTB1
human chr7p12	human chr7p12	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	1956	EGFR
human chr5p14.1	human chr5p14.1	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	643401	LINC01021
human chr5q13.3-q14	human chr5q13.3-q14	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	3156	HMGCR
human chr20p12.1-p11.23	human chr20p12.1-p11.23	0.0237811726161881	-3.73886107790968	2	1	0.00318471337579618	314	26250	182	JAG1
human chr12q13	human chr12q13	0.02685469507569	-3.61731461015985	54	3	0.00955414012738853	314	26250	3489,3856,3875	IGFBP6,KRT8,KRT18
human chr4q26	human chr4q26	0.0331064087220651	-3.40802839835965	24	2	0.00636942675159236	314	26250	817,79642	CAMK2D,ARSJ
human chr7p21	human chr7p21	0.0354594990345826	-3.33936410605621	3	1	0.00318471337579618	314	26250	57037	ANKMY2
human chr20p11	human chr20p11	0.0354594990345826	-3.33936410605621	3	1	0.00318471337579618	314	26250	23767	FLRT3
human chr3p11.1	human chr3p11.1	0.0354594990345826	-3.33936410605621	3	1	0.00318471337579618	314	26250	55279	ZNF654
human chr17q24-q25	human chr17q24-q25	0.0354594990345826	-3.33936410605621	3	1	0.00318471337579618	314	26250	23580	CDC42EP4
human chr13q11-q12	human chr13q11-q12	0.0354594990345826	-3.33936410605621	3	1	0.00318471337579618	314	26250	2254	FGF9
human chr6q13	human chr6q13	0.0357062612489202	-3.3324292204509	25	2	0.00636942675159236	314	26250	135228,26503	CD109,SLC17A5
human chr10q24.3	human chr10q24.3	0.0469985593941598	-3.05763832892993	4	1	0.00318471337579618	314	26250	1308	COL17A1
human chr22q13.1-q13.2	human chr22q13.1-q13.2	0.0469985593941598	-3.05763832892993	4	1	0.00318471337579618	314	26250	60489	APOBEC3G
human chr12q24.21	human chr12q24.21	0.0469985593941598	-3.05763832892993	4	1	0.00318471337579618	314	26250	6926	TBX3
human chr3q13.1	human chr3q13.1	0.0469985593941598	-3.05763832892993	4	1	0.00318471337579618	314	26250	214	ALCAM
human chr6q14	human chr6q14	0.0469985593941598	-3.05763832892993	4	1	0.00318471337579618	314	26250	55603	FAM46A
human chr3q26.3	human chr3q26.3	0.0469985593941598	-3.05763832892993	4	1	0.00318471337579618	314	26250	5290	PIK3CA
human chr5q35.2	human chr5q35.2	0.0498041490652062	-2.99965698385962	30	2	0.00636942675159236	314	26250	4488,101928176	MSX2,LINC01411
human chr6p12.3	human chr6p12.3	0.0528287558678359	-2.94069961781185	31	2	0.00636942675159236	314	26250	266977,442213	ADGRF1,PTCHD4
human chr12q23	human chr12q23	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	317	APAF1
human chr2q33-q34	human chr2q33-q34	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	4719	NDUFS1
human chr5q14	human chr5q14	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	7025	NR2F1
human chr7p12.1	human chr7p12.1	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	10371	SEMA3A
human chr8q12	human chr8q12	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	6386	SDCBP
human chr1p32-p31	human chr1p32-p31	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	5865	RAB3B
human chr13q33	human chr13q33	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	1948	EFNB2
human chr20q11	human chr20q11	0.0584000092309665	-2.84043923108347	5	1	0.00318471337579618	314	26250	3397	ID1
human chr17q25	human chr17q25	0.0590669105187752	-2.82908440106609	33	2	0.00636942675159236	314	26250	3691,9123	ITGB4,SLC16A3
human chr1q21	human chr1q21	0.0670272158232777	-2.70265653575304	78	3	0.00955414012738853	314	26250	6281,6275,6277	S100A10,S100A4,S100A6
human chrXp22.1	human chrXp22.1	0.0696654844442248	-2.66405028552954	6	1	0.00318471337579618	314	26250	6303	SAT1
human chr9q21.2	human chr9q21.2	0.0696654844442248	-2.66405028552954	6	1	0.00318471337579618	314	26250	158471	PRUNE2
human chr9q33	human chr9q33	0.0696654844442248	-2.66405028552954	6	1	0.00318471337579618	314	26250	2934	GSN
human chr14q	human chr14q	0.0696654844442248	-2.66405028552954	6	1	0.00318471337579618	314	26250	6235	RPS29
human chr10p12	human chr10p12	0.0696654844442248	-2.66405028552954	6	1	0.00318471337579618	314	26250	10529	NEBL
human chr6q14-q15	human chr6q14-q15	0.0696654844442248	-2.66405028552954	6	1	0.00318471337579618	314	26250	7162	TPBG
human chr1q23.3	human chr1q23.3	0.0791575339792223	-2.53631531109251	39	2	0.00636942675159236	314	26250	81607,400793	PVRL4,C1orf226
human chr6q22	human chr6q22	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	4121	MAN1A1
human chr7q21.12	human chr7q21.12	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	5243	ABCB1
human chr7q11.2	human chr7q11.2	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	5447	POR
human chr4q22	human chr4q22	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	10611	PDLIM5
human chr9p24	human chr9p24	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	6505	SLC1A1
human chr3q26.32	human chr3q26.32	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	64393	ZMAT3
human chr10p11.2	human chr10p11.2	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	6935	ZEB1
human chr3p22	human chr3p22	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	7433	VIPR1
human chr7q21.11	human chr7q21.11	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	223117	SEMA3D
human chr10p15	human chr10p15	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	5588	PRKCQ
human chr4p16.2	human chr4p16.2	0.0807966015799614	-2.51582037399356	7	1	0.00318471337579618	314	26250	4487	MSX1
human chr3q13	human chr3q13	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	25945	PVRL3
human chr2p24	human chr2p24	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	9475	ROCK2
human chr6q24	human chr6q24	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	64065	PERP
human chr4q21.23	human chr4q21.23	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	84803	GPAT3
human chr2q21.2	human chr2q21.2	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	53353	LRP1B
human chr13q32	human chr13q32	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	7546	ZIC2
human chr12p11.23	human chr12p11.23	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	55726	ASUN
human chr9p22.1	human chr9p22.1	0.0917949579808183	-2.3881979068203	8	1	0.00318471337579618	314	26250	123	PLIN2
human chr1p34.2	human chr1p34.2	0.0972671770011603	-2.33029368481905	44	2	0.00636942675159236	314	26250	440584,6513	SLC2A1-AS1,SLC2A1
human chr11p13	human chr11p13	0.101018601491241	-2.29245060591807	45	2	0.00636942675159236	314	26250	847,960	CAT,CD44
human chr8q23.1	human chr8q23.1	0.102662132097708	-2.27631195353157	9	1	0.00318471337579618	314	26250	50484	RRM2B
human chr4q28.1	human chr4q28.1	0.102662132097708	-2.27631195353157	9	1	0.00318471337579618	314	26250	8492	PRSS12
human chr12q24.2	human chr12q24.2	0.102662132097708	-2.27631195353157	9	1	0.00318471337579618	314	26250	4940	OAS3
human chr6q24.3	human chr6q24.3	0.102662132097708	-2.27631195353157	9	1	0.00318471337579618	314	26250	389432	SAMD5
human chr8q24.12	human chr8q24.12	0.102662132097708	-2.27631195353157	9	1	0.00318471337579618	314	26250	64798	DEPTOR
human chr12q21.1	human chr12q21.1	0.102662132097708	-2.27631195353157	9	1	0.00318471337579618	314	26250	283392	TRHDE-AS1
human chr17q21	human chr17q21	0.108638713252039	-2.21972745938733	47	2	0.00636942675159236	314	26250	672,10140	BRCA1,TOB1
human chr2q37.1	human chr2q37.1	0.112504477922628	-2.18476225437312	48	2	0.00636942675159236	314	26250	3635,10123	INPP5D,ARL4C
human chr18q21.2	human chr18q21.2	0.113399683652317	-2.17683667735449	10	1	0.00318471337579618	314	26250	5874	RAB27B
human chr20q13	human chr20q13	0.113399683652317	-2.17683667735449	10	1	0.00318471337579618	314	26250	1591	CYP24A1
